site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
0LIO 18APR16 2018.2888 58224 1997 1   18.1   1532  0.326092   6583402  0.475363    86  0.650488  0.0710 0.000524 0.000725 0.002102  0.017177  0.024097  0.206132
0LIO 18APR17 2018.2916 58225 1997 2   18.1   1532  0.328298   6583402  0.473692    86  0.656051  0.0710 0.000444 0.000595 0.001739  0.012746  0.020954  0.196942
0LIO 18APR18 2018.2943 58226 1997 3   18.1   1532  0.327131   6583402  0.473085    86  0.653127  0.0710 0.000442 0.000589 0.001709 -0.001271  0.014550  0.181392
0LIO 18APR19 2018.2971 58227 1997 4   18.1   1532  0.325084   6583402  0.472981    86  0.654036  0.0710 0.000432 0.000585 0.001714  0.010297 -0.003320  0.197502
0LIO 18APR20 2018.2998 58228 1997 5   18.1   1532  0.325262   6583402  0.473649    86  0.655616  0.0710 0.000429 0.000588 0.001707  0.010364  0.007697  0.209125
0LIO 18APR21 2018.3025 58229 1997 6   18.1   1532  0.326193   6583402  0.472234    86  0.650511  0.0710 0.000430 0.000586 0.001714  0.012310  0.000847  0.223150
0LIO 18APR22 2018.3053 58230 1998 0   18.1   1532  0.326556   6583402  0.474252    86  0.655315  0.0710 0.000430 0.000582 0.001709  0.017959  0.016251  0.219231
0LIO 18APR23 2018.3080 58231 1998 1   18.1   1532  0.326972   6583402  0.472484    86  0.649762  0.0710 0.000460 0.000617 0.001779  0.010145  0.002470  0.205406
0LIO 18APR24 2018.3107 58232 1998 2   18.1   1532  0.328135   6583402  0.473121    86  0.648634  0.0710 0.000428 0.000588 0.001704  0.010567  0.005897  0.199817
0LIO 18APR25 2018.3135 58233 1998 3   18.1   1532  0.329375   6583402  0.472225    86  0.649052  0.0710 0.000428 0.000586 0.001698  0.019871  0.004036  0.205869
0LIO 18APR26 2018.3162 58234 1998 4   18.1   1532  0.329912   6583402  0.474690    86  0.641908  0.0710 0.000430 0.000587 0.001717  0.011276  0.004426  0.212628
0LIO 18APR27 2018.3190 58235 1998 5   18.1   1532  0.330062   6583402  0.475108    86  0.642221  0.0710 0.000436 0.000585 0.001732  0.014972  0.004097  0.210366
0LIO 18APR28 2018.3217 58236 1998 6   18.1   1532  0.330740   6583402  0.473409    86  0.642357  0.0710 0.000434 0.000589 0.001732  0.019594 -0.002222  0.214198
0LIO 18APR29 2018.3244 58237 1999 0   18.1   1532  0.330769   6583402  0.474993    86  0.647003  0.0710 0.000428 0.000586 0.001690  0.007741  0.012678  0.195065
0LIO 18APR30 2018.3272 58238 1999 1   18.1   1532  0.329033   6583402  0.474717    86  0.646217  0.0710 0.000429 0.000585 0.001698  0.008296  0.011221  0.193602
0LIO 18MAY01 2018.3299 58239 1999 2   18.1   1532  0.330113   6583402  0.474225    86  0.645541  0.0710 0.000427 0.000587 0.001701  0.021710  0.003244  0.205545
0LIO 18MAY02 2018.3326 58240 1999 3   18.1   1532  0.327828   6583402  0.476916    86  0.643258  0.0710 0.000428 0.000579 0.001694  0.017310  0.002142  0.219761
0LIO 18MAY03 2018.3354 58241 1999 4   18.1   1532  0.330253   6583402  0.475318    86  0.644593  0.0710 0.000438 0.000587 0.001756  0.028219  0.017701  0.226546
0LIO 18MAY04 2018.3381 58242 1999 5   18.1   1532  0.330518   6583402  0.475221    86  0.643743  0.0710 0.000436 0.000589 0.001742  0.028495  0.018212  0.210242
0LIO 18MAY05 2018.3409 58243 1999 6   18.1   1532  0.331034   6583402  0.475778    86  0.647456  0.0710 0.000429 0.000583 0.001706  0.008494  0.007300  0.217720
0LIO 18MAY06 2018.3436 58244 2000 0   18.1   1532  0.331070   6583402  0.476251    86  0.650388  0.0710 0.000426 0.000581 0.001693  0.016285  0.009795  0.208761
0LIO 18MAY07 2018.3463 58245 2000 1   18.1   1532  0.330675   6583402  0.475653    86  0.655871  0.0710 0.000427 0.000584 0.001712  0.018252  0.004243  0.225016
0LIO 18MAY08 2018.3491 58246 2000 2   18.1   1532  0.330850   6583402  0.477533    86  0.652130  0.0710 0.000437 0.000587 0.001752  0.029183  0.004073  0.227842
0LIO 18MAY09 2018.3518 58247 2000 3   18.1   1532  0.330870   6583402  0.476366    86  0.658335  0.0710 0.000433 0.000586 0.001739  0.011384  0.014639  0.205855
0LIO 18MAY10 2018.3546 58248 2000 4   18.1   1532  0.329971   6583402  0.475405    86  0.651708  0.0710 0.000430 0.000585 0.001708  0.015847  0.005213  0.212447
0LIO 18MAY11 2018.3573 58249 2000 5   18.1   1532  0.329464   6583402  0.474779    86  0.652804  0.0710 0.000426 0.000580 0.001685  0.007996  0.013318  0.207755
0LIO 18MAY12 2018.3600 58250 2000 6   18.1   1532  0.329459   6583402  0.475474    86  0.647972  0.0710 0.000427 0.000582 0.001698  0.018463  0.000899  0.216198
0LIO 18MAY13 2018.3628 58251 2001 0   18.1   1532  0.329055   6583402  0.477678    86  0.648241  0.0710 0.000439 0.000591 0.001736  0.011408  0.019047  0.230529
