site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
0SKN 04JUL18 2004.5448 53204 1280 0   12.9  -2663 -0.557423   6143293  0.468964    48  0.590570  0.0710 0.000462 0.000629 0.001821  0.028426 -0.006434  0.112016
0SKN 04JUL19 2004.5476 53205 1280 1   12.9  -2663 -0.557175   6143293  0.469961    48  0.594612  0.0710 0.000463 0.000632 0.001822  0.026543  0.010035  0.126752
0SKN 04JUL20 2004.5503 53206 1280 2   12.9  -2663 -0.557080   6143293  0.469551    48  0.589176  0.0710 0.000467 0.000644 0.001857  0.040926  0.008675  0.127268
0SKN 04JUL21 2004.5530 53207 1280 3   12.9  -2663 -0.556162   6143293  0.469251    48  0.589416  0.0710 0.000459 0.000626 0.001814  0.024615 -0.011170  0.120345
0SKN 04JUL22 2004.5558 53208 1280 4   12.9  -2663 -0.557705   6143293  0.471093    48  0.590156  0.0710 0.000457 0.000621 0.001795  0.019488 -0.003229  0.127412
0SKN 04JUL23 2004.5585 53209 1280 5   12.9  -2663 -0.554800   6143293  0.471139    48  0.589937  0.0710 0.000460 0.000630 0.001805  0.018205 -0.002431  0.124430
0SKN 04JUL24 2004.5613 53210 1280 6   12.9  -2663 -0.555919   6143293  0.468769    48  0.594484  0.0710 0.000456 0.000618 0.001775  0.025725  0.008898  0.119062
0SKN 04JUL25 2004.5640 53211 1281 0   12.9  -2663 -0.555399   6143293  0.470178    48  0.595568  0.0710 0.000460 0.000635 0.001816  0.024776  0.002705  0.080284
0SKN 04JUL26 2004.5667 53212 1281 1   12.9  -2663 -0.555801   6143293  0.471014    48  0.597557  0.0710 0.000457 0.000623 0.001795  0.016487  0.007605  0.133407
0SKN 04JUL27 2004.5695 53213 1281 2   12.9  -2663 -0.556130   6143293  0.470039    48  0.588198  0.0710 0.000466 0.000636 0.001854  0.022039  0.011791  0.096074
0SKN 04JUL28 2004.5722 53214 1281 3   12.9  -2663 -0.554832   6143293  0.471152    48  0.595099  0.0710 0.000458 0.000626 0.001813  0.025936 -0.010995  0.145839
0SKN 04JUL29 2004.5749 53215 1281 4   12.9  -2663 -0.556371   6143293  0.470998    48  0.596494  0.0710 0.000459 0.000624 0.001790  0.028813 -0.004415  0.129020
0SKN 04JUL30 2004.5777 53216 1281 5   12.9  -2663 -0.555900   6143293  0.469738    48  0.593741  0.0710 0.000456 0.000619 0.001782  0.029036  0.007958  0.132359
0SKN 04JUL31 2004.5804 53217 1281 6   12.9  -2663 -0.555446   6143293  0.468211    48  0.600405  0.0710 0.000461 0.000626 0.001813  0.023997  0.004319  0.141078
0SKN 04AUG01 2004.5832 53218 1282 0   12.9  -2663 -0.556203   6143293  0.469133    48  0.587317  0.0710 0.000456 0.000631 0.001814  0.021589  0.003123  0.150121
0SKN 04AUG02 2004.5859 53219 1282 1   12.9  -2663 -0.555639   6143293  0.470905    48  0.585931  0.0710 0.000461 0.000622 0.001817  0.020967 -0.000398  0.140158
0SKN 04AUG03 2004.5886 53220 1282 2   12.9  -2663 -0.555798   6143293  0.471127    48  0.590601  0.0710 0.000474 0.000633 0.001814  0.024807 -0.015178  0.123725
