site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
A368 02DEC19 2002.9651 52627 1197 4   66.8   -234 -0.840593  -8247755 -0.466204  1235  0.797005  0.0300 0.001015 0.001157 0.005048 -0.085653 -0.064039 -0.081657
A368 02DEC20 2002.9678 52628 1197 5   66.8   -234 -0.837426  -8247755 -0.456462  1235  0.776819  0.0300 0.000825 0.000987 0.004093 -0.101712 -0.090857 -0.238377
A368 02DEC21 2002.9706 52629 1197 6   66.8   -234 -0.838538  -8247755 -0.459387  1235  0.784514  0.0300 0.000549 0.000704 0.002937 -0.076347 -0.029652 -0.248412
A368 02DEC23 2002.9760 52631 1198 1   66.8   -234 -0.832796  -8247755 -0.463104  1235  0.791747  0.0300 0.000992 0.001146 0.004560 -0.075582 -0.075026 -0.227414
A368 02DEC24 2002.9788 52632 1198 2   66.8   -234 -0.838464  -8247755 -0.458514  1235  0.790202  0.0300 0.000878 0.000906 0.003826 -0.033230 -0.182192 -0.199743
A368 02DEC25 2002.9815 52633 1198 3   66.8   -234 -0.834903  -8247755 -0.457413  1235  0.786177  0.0300 0.000862 0.000916 0.003924 -0.117873 -0.049479 -0.230721
A368 02DEC26 2002.9843 52634 1198 4   66.8   -234 -0.837010  -8247755 -0.462384  1235  0.782284  0.0300 0.000669 0.000840 0.003506 -0.058288 -0.017168 -0.099964
A368 02DEC27 2002.9870 52635 1198 5   66.8   -234 -0.830039  -8247755 -0.461030  1235  0.793273  0.0300 0.000884 0.001118 0.004642 -0.110196  0.051782 -0.238402
A368 02DEC28 2002.9897 52636 1198 6   66.8   -234 -0.835175  -8247755 -0.461415  1235  0.779134  0.0300 0.000780 0.000911 0.004150 -0.033714 -0.083179 -0.187216
A368 02DEC30 2002.9952 52638 1199 1   66.8   -234 -0.841141  -8247755 -0.461039  1235  0.777646  0.0300 0.000817 0.000836 0.003933 -0.136760 -0.086273 -0.213907
A368 02DEC31 2002.9979 52639 1199 2   66.8   -234 -0.838052  -8247755 -0.461088  1235  0.782568  0.0300 0.000541 0.000673 0.002907 -0.048816 -0.056274 -0.241445
A368 03JAN01 2003.0007 52640 1199 3   66.8   -234 -0.833423  -8247755 -0.459179  1235  0.780921  0.0300 0.000654 0.000733 0.003355 -0.131502 -0.085854 -0.225716
A368 03JAN02 2003.0034 52641 1199 4   66.8   -234 -0.837689  -8247755 -0.460096  1235  0.780681  0.0300 0.000627 0.000746 0.003308 -0.153732 -0.081093 -0.175817
A368 03JAN03 2003.0062 52642 1199 5   66.8   -234 -0.835059  -8247755 -0.456675  1235  0.788806  0.0300 0.000787 0.000894 0.003695 -0.170585 -0.077429 -0.193926
A368 03JAN04 2003.0089 52643 1199 6   66.8   -234 -0.836066  -8247755 -0.462363  1235  0.782280  0.0300 0.000586 0.000754 0.003320 -0.046608 -0.184270 -0.248781
A368 03JAN05 2003.0116 52644 1200 0   66.8   -234 -0.839027  -8247755 -0.463225  1235  0.777861  0.0300 0.000685 0.000847 0.003385 -0.148035 -0.025155 -0.182320
A368 03JAN06 2003.0144 52645 1200 1   66.8   -234 -0.837275  -8247755 -0.462886  1235  0.779485  0.0300 0.000558 0.000676 0.002888 -0.120422 -0.035757 -0.206142
A368 03JAN07 2003.0171 52646 1200 2   66.8   -234 -0.837573  -8247755 -0.462934  1235  0.783091  0.0300 0.000800 0.000929 0.003721 -0.198558 -0.115440 -0.225203
A368 03JAN08 2003.0198 52647 1200 3   66.8   -234 -0.840970  -8247755 -0.459021  1235  0.787991  0.0300 0.000538 0.000653 0.002820 -0.091064  0.008757 -0.249863
A368 03JAN09 2003.0226 52648 1200 4   66.8   -234 -0.837327  -8247755 -0.464660  1235  0.785693  0.0300 0.000597 0.000727 0.003104 -0.136654 -0.001524 -0.206704
A368 03JAN10 2003.0253 52649 1200 5   66.8   -234 -0.833844  -8247755 -0.461747  1235  0.785935  0.0300 0.000741 0.000852 0.003585 -0.174506  0.048037 -0.207694
A368 03JAN11 2003.0281 52650 1200 6   66.8   -234 -0.833443  -8247755 -0.462638  1235  0.783729  0.0300 0.000633 0.000796 0.003295 -0.106335 -0.152130 -0.198140
A368 03JAN12 2003.0308 52651 1201 0   66.8   -234 -0.836366  -8247755 -0.461748  1235  0.792547  0.0300 0.000645 0.000777 0.003414 -0.110461 -0.191523 -0.216136
A368 03JAN13 2003.0335 52652 1201 1   66.8   -234 -0.839762  -8247755 -0.460488  1235  0.780671  0.0300 0.000586 0.000777 0.002975 -0.149685 -0.066948 -0.232866
