site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ABOL 18NOV19 2018.8830 58441 2028 1 -114.1   -400 -0.414106   5740169  0.388955  1030  0.614245  0.0000 0.000771 0.001184 0.002964 -0.001217 -0.079859  0.096341
ABOL 18NOV20 2018.8857 58442 2028 2 -114.1   -400 -0.414809   5740169  0.384961  1030  0.613100  0.0000 0.000445 0.000605 0.001692 -0.007245 -0.020054  0.058977
ABOL 18NOV21 2018.8884 58443 2028 3 -114.1   -400 -0.415630   5740169  0.385649  1030  0.616134  0.0000 0.000443 0.000604 0.001683 -0.009145 -0.016589  0.046571
ABOL 18NOV22 2018.8912 58444 2028 4 -114.1   -400 -0.414912   5740169  0.386676  1030  0.616724  0.0000 0.000441 0.000606 0.001675 -0.004342 -0.009981  0.049545
ABOL 18NOV23 2018.8939 58445 2028 5 -114.1   -400 -0.415123   5740169  0.386535  1030  0.607207  0.0000 0.000440 0.000605 0.001680 -0.000587 -0.022214  0.046621
ABOL 18NOV24 2018.8966 58446 2028 6 -114.1   -400 -0.413990   5740169  0.386878  1030  0.603573  0.0000 0.000459 0.000624 0.001729 -0.001757 -0.027648  0.044433
ABOL 18NOV25 2018.8994 58447 2029 0 -114.1   -400 -0.414664   5740169  0.386558  1030  0.601417  0.0000 0.000445 0.000612 0.001690 -0.009314 -0.030712  0.048256
ABOL 18NOV26 2018.9021 58448 2029 1 -114.1   -400 -0.415364   5740169  0.384316  1030  0.609051  0.0000 0.000447 0.000614 0.001704 -0.004995 -0.019514  0.038126
ABOL 18NOV27 2018.9049 58449 2029 2 -114.1   -400 -0.415809   5740169  0.385177  1030  0.619507  0.0000 0.000443 0.000612 0.001684 -0.009993 -0.012636  0.033658
ABOL 18NOV28 2018.9076 58450 2029 3 -114.1   -400 -0.416152   5740169  0.385125  1030  0.616299  0.0000 0.000443 0.000614 0.001680 -0.001912 -0.010489  0.025776
ABOL 18NOV29 2018.9103 58451 2029 4 -114.1   -400 -0.416063   5740169  0.385690  1030  0.613498  0.0000 0.000443 0.000615 0.001708 -0.004017 -0.029433  0.036288
ABOL 18NOV30 2018.9131 58452 2029 5 -114.1   -400 -0.416683   5740169  0.385249  1030  0.608926  0.0000 0.000451 0.000623 0.001734 -0.025725 -0.026899  0.054474
ABOL 18DEC01 2018.9158 58453 2029 6 -114.1   -400 -0.415980   5740169  0.384792  1030  0.609495  0.0000 0.000445 0.000612 0.001693 -0.010615 -0.019359  0.037489
