site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AC63 04JUL12 2004.5284 53198 1279 1 -145.8  -2352 -0.799059   7044387  0.901978   815  0.012767  0.0083 0.000517 0.000656 0.002244 -0.007878 -0.105900  0.288662
AC63 04JUL13 2004.5311 53199 1279 2 -145.8  -2352 -0.802101   7044387  0.905015   815  0.004972  0.0083 0.000474 0.000611 0.002026 -0.008364 -0.104823  0.277459
AC63 04JUL14 2004.5339 53200 1279 3 -145.8  -2352 -0.798409   7044387  0.900025   815  0.013428  0.0083 0.000471 0.000609 0.002017 -0.005218 -0.081374  0.310658
AC63 04JUL15 2004.5366 53201 1279 4 -145.8  -2352 -0.797720   7044387  0.900436   815  0.005199  0.0083 0.000466 0.000600 0.001995 -0.006007 -0.076903  0.315196
AC63 04JUL16 2004.5394 53202 1279 5 -145.8  -2352 -0.796774   7044387  0.899736   815  0.011293  0.0083 0.000487 0.000627 0.002073  0.022646 -0.083066  0.285430
AC63 04JUL17 2004.5421 53203 1279 6 -145.8  -2352 -0.797376   7044387  0.897395   815  0.004501  0.0083 0.000473 0.000606 0.002028  0.004615 -0.086798  0.289566
AC63 04JUL18 2004.5448 53204 1280 0 -145.8  -2352 -0.800102   7044387  0.899386   815  0.013387  0.0083 0.000469 0.000603 0.002007  0.000367 -0.088451  0.299907
AC63 04JUL19 2004.5476 53205 1280 1 -145.8  -2352 -0.802307   7044387  0.901433   815  0.010240  0.0083 0.000469 0.000609 0.002030  0.006109 -0.079977  0.282022
AC63 04JUL20 2004.5503 53206 1280 2 -145.8  -2352 -0.798738   7044387  0.900396   815  0.017239  0.0083 0.000473 0.000605 0.002029  0.013515 -0.063732  0.305012
AC63 04JUL21 2004.5530 53207 1280 3 -145.8  -2352 -0.799488   7044387  0.901992   815  0.012484  0.0083 0.000465 0.000601 0.001990 -0.002496 -0.079880  0.322669
AC63 04JUL22 2004.5558 53208 1280 4 -145.8  -2352 -0.799976   7044387  0.899363   815  0.008780  0.0083 0.000479 0.000613 0.002004  0.008068 -0.087660  0.287104
AC63 04JUL23 2004.5585 53209 1280 5 -145.8  -2352 -0.798222   7044387  0.901226   815  0.004565  0.0083 0.000555 0.000707 0.002252  0.009305 -0.120264  0.210775
AC63 04JUL24 2004.5613 53210 1280 6 -145.8  -2352 -0.799679   7044387  0.900890   815  0.012389  0.0083 0.000482 0.000620 0.002061  0.027407 -0.116327  0.251365
AC63 04JUL25 2004.5640 53211 1281 0 -145.8  -2352 -0.801767   7044387  0.899748   815  0.010021  0.0083 0.000785 0.000968 0.003248 -0.000567 -0.199452  0.313535
AC63 04JUL26 2004.5667 53212 1281 1 -145.8  -2352 -0.798061   7044387  0.903224   815  0.012006  0.0083 0.000483 0.000627 0.002028  0.024407 -0.087238  0.259008
AC63 04JUL27 2004.5695 53213 1281 2 -145.8  -2352 -0.796962   7044387  0.902765   815  0.001437  0.0083 0.000671 0.000836 0.002810  0.050478 -0.113343  0.167260
AC63 04JUL28 2004.5722 53214 1281 3 -145.8  -2352 -0.800778   7044387  0.903282   815  0.010612  0.0083 0.000470 0.000604 0.002009  0.006070 -0.103694  0.286430
AC63 04JUL29 2004.5749 53215 1281 4 -145.8  -2352 -0.798517   7044387  0.900146   815  0.001144  0.0083 0.000466 0.000592 0.001964  0.016483 -0.092422  0.290859
