site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ADKS 02FEB20 2002.1383 52325 1154 3  -95.6   1314  0.138934   3296942  0.218143     2  0.778240  0.0000 0.000789 0.000768 0.003216 -0.086286 -0.047366 -0.166250
ADKS 02FEB22 2002.1437 52327 1154 5  -95.6   1314  0.139005   3296942  0.218952     2  0.768893  0.0000 0.000774 0.000771 0.003189 -0.123456  0.030120 -0.150667
ADKS 02FEB23 2002.1465 52328 1154 6  -95.6   1314  0.139512   3296942  0.217853     2  0.769429  0.0000 0.000754 0.000745 0.003020 -0.069586 -0.034468 -0.112366
ADKS 02FEB25 2002.1520 52330 1155 1  -95.6   1314  0.139288   3296942  0.218913     2  0.770846  0.0000 0.000793 0.000773 0.003101 -0.117557  0.014208 -0.076029
ADKS 02FEB26 2002.1547 52331 1155 2  -95.6   1314  0.140052   3296942  0.215894     2  0.771250  0.0000 0.000790 0.000813 0.003209 -0.121760  0.019260 -0.135506
ADKS 02FEB27 2002.1574 52332 1155 3  -95.6   1314  0.139374   3296942  0.218002     2  0.770403  0.0000 0.000803 0.000820 0.003127 -0.156085  0.057057 -0.085643
ADKS 02MAR02 2002.1656 52335 1155 6  -95.6   1314  0.138911   3296942  0.220608     2  0.772379  0.0000 0.000845 0.000822 0.003407 -0.101953  0.037863 -0.137300
ADKS 02MAR10 2002.1875 52343 1157 0  -95.6   1314  0.138687   3296942  0.218891     2  0.772923  0.0000 0.000829 0.000810 0.003286 -0.091227  0.004351 -0.134139
ADKS 02MAR14 2002.1985 52347 1157 4  -95.6   1314  0.141072   3296942  0.216398     2  0.788789  0.0000 0.000853 0.000855 0.003319 -0.138401  0.025184 -0.032368
ADKS 02MAR18 2002.2094 52351 1158 1  -95.6   1314  0.139114   3296942  0.218180     2  0.784188  0.0000 0.000940 0.000961 0.003822 -0.053651 -0.001052 -0.063494
ADKS 02MAR19 2002.2122 52352 1158 2  -95.6   1314  0.138686   3296942  0.219333     2  0.787802  0.0000 0.000862 0.000865 0.003461 -0.057503 -0.017918  0.009244
ADKS 02MAR20 2002.2149 52353 1158 3  -95.6   1314  0.137767   3296942  0.217881     2  0.790175  0.0000 0.000882 0.000852 0.003472 -0.127311 -0.007032 -0.107685
ADKS 02MAR22 2002.2204 52355 1158 5  -95.6   1314  0.138706   3296942  0.218402     2  0.780187  0.0000 0.000886 0.000877 0.003491 -0.113382 -0.001172 -0.110630
ADKS 02MAR24 2002.2259 52357 1159 0  -95.6   1314  0.138999   3296942  0.218204     2  0.776859  0.0000 0.000878 0.000883 0.003444 -0.089999  0.007843 -0.080246
ADKS 02MAR25 2002.2286 52358 1159 1  -95.6   1314  0.139104   3296942  0.216491     2  0.789254  0.0000 0.000868 0.000854 0.003371 -0.077146  0.026167 -0.072685
ADKS 02MAR27 2002.2341 52360 1159 3  -95.6   1314  0.139505   3296942  0.219418     2  0.787337  0.0000 0.000931 0.000906 0.003529 -0.163352  0.149151 -0.051834
ADKS 02JUN06 2002.4285 52431 1169 4  -95.6   1314  0.129204   3296942  0.227834     2  0.784200  0.0000 0.000747 0.000729 0.002910 -0.053758 -0.066940 -0.037592
ADKS 02JUN11 2002.4422 52436 1170 2  -95.6   1314  0.128780   3296942  0.227240     2  0.775198  0.0000 0.000774 0.000747 0.003112 -0.050608 -0.083684 -0.169352
ADKS 02JUN12 2002.4449 52437 1170 3  -95.6   1314  0.130240   3296942  0.224814     2  0.780792  0.0000 0.000742 0.000744 0.002921 -0.134062  0.013877 -0.110322
