site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AITB 10JUL08 2010.5161 55385 1591 4  100.6   1339  0.247382   1557135  0.755426   -17 -0.751043  0.1710 0.001114 0.000804 0.004378  0.135203 -0.275854 -0.393431
AITB 10JUL09 2010.5188 55386 1591 5  100.6   1339 -4.213789   1557135  4.791263   -17 -0.547466  0.1710 0.000813 0.000665 0.003078 -0.047368  0.060810  0.003921
AITB 10JUL18 2010.5435 55395 1593 0  100.6   1339 -4.220126   1557135  4.796868   -17 -0.544091  0.1710 0.000847 0.000676 0.002978 -0.109614 -0.004764 -0.008873
AITB 10JUL19 2010.5462 55396 1593 1  100.6   1339 -4.221970   1557135  4.806797   -17 -0.541519  0.1710 0.002816 0.002263 0.014528 -0.105118  0.255549 -0.348388
AITB 10JUL27 2010.5681 55404 1594 2  100.6   1339 -4.222026   1557135  4.794962   -17 -0.528316  0.1710 0.000854 0.000658 0.003035 -0.003959 -0.050010 -0.027831
AITB 10AUG04 2010.5900 55412 1595 3  100.6   1339 -4.224048   1557135  4.801615   -17 -0.516141  0.1710 0.001192 0.001087 0.004975  0.001805 -0.006456 -0.031208
AITB 10AUG05 2010.5927 55413 1595 4  100.6   1339 -4.222279   1557135  4.798215   -17 -0.523074  0.1710 0.001285 0.000951 0.004551  0.005738  0.034155 -0.004244
AITB 10SEP15 2010.7050 55454 1601 3  100.6   1339 -4.213977   1557135  4.798814   -17 -0.536786  0.1710 0.000829 0.000724 0.003368 -0.015688 -0.004354 -0.045410
AITB 10SEP16 2010.7077 55455 1601 4  100.6   1339 -4.212470   1557135  4.798503   -17 -0.550006  0.1710 0.000651 0.000549 0.002415 -0.047039  0.029670 -0.026517
AITB 10SEP17 2010.7105 55456 1601 5  100.6   1339 -4.214190   1557135  4.798939   -17 -0.550838  0.1710 0.000676 0.000557 0.002480 -0.042960  0.008733 -0.025634
AITB 10SEP18 2010.7132 55457 1601 6  100.6   1339 -4.212938   1557135  4.799846   -17 -0.537446  0.1710 0.000681 0.000563 0.002514 -0.038634  0.002639 -0.036785
AITB 10SEP19 2010.7159 55458 1602 0  100.6   1339 -4.216875   1557135  4.796840   -17 -0.560383  0.1710 0.000722 0.000621 0.002856 -0.011468 -0.041705  0.040689
AITB 10SEP20 2010.7187 55459 1602 1  100.6   1339 -4.215722   1557135  4.800453   -17 -0.548539  0.1710 0.000660 0.000555 0.002447 -0.023774  0.009521 -0.038760
AITB 10SEP21 2010.7214 55460 1602 2  100.6   1339 -4.215650   1557135  4.800577   -17 -0.554395  0.1710 0.000667 0.000585 0.002569 -0.031156  0.034696 -0.017801
AITB 10SEP22 2010.7242 55461 1602 3  100.6   1339 -4.214553   1557135  4.799264   -17 -0.558833  0.1710 0.000675 0.000576 0.002554 -0.030826  0.064986 -0.017945
AITB 10SEP23 2010.7269 55462 1602 4  100.6   1339 -4.209480   1557135  4.798354   -17 -0.542084  0.1710 0.000708 0.000567 0.002531 -0.081372  0.016993 -0.027851
AITB 10SEP24 2010.7296 55463 1602 5  100.6   1339 -4.215553   1557135  4.796303   -17 -0.544098  0.1710 0.000735 0.000600 0.002666 -0.081610  0.019891  0.012507
AITB 10SEP25 2010.7324 55464 1602 6  100.6   1339 -4.212245   1557135  4.796061   -17 -0.579896  0.1710 0.001521 0.001246 0.006891 -0.066356  0.015101  0.034165
AITB 10SEP28 2010.7406 55467 1603 2  100.6   1339 -4.215337   1557135  4.797900   -17 -0.542681  0.1710 0.000765 0.000679 0.003070 -0.007064  0.071749 -0.030856
AITB 10SEP29 2010.7433 55468 1603 3  100.6   1339 -4.212546   1557135  4.797873   -17 -0.566267  0.1710 0.000658 0.000557 0.002444 -0.052956  0.043494  0.000011
AITB 10SEP30 2010.7461 55469 1603 4  100.6   1339 -4.217351   1557135  4.795493   -17 -0.552095  0.1710 0.000674 0.000560 0.002465 -0.021813  0.037192 -0.009495
AITB 10OCT01 2010.7488 55470 1603 5  100.6   1339 -4.218982   1557135  4.800338   -17 -0.542082  0.1710 0.000771 0.000638 0.002852 -0.036215  0.051280 -0.043510
AITB 10OCT02 2010.7515 55471 1603 6  100.6   1339 -4.213665   1557135  4.795507   -17 -0.521876  0.1710 0.000739 0.000619 0.002911 -0.012373 -0.044812 -0.016231
AITB 10OCT03 2010.7543 55472 1604 0  100.6   1339 -4.210928   1557135  4.799833   -17 -0.543726  0.1710 0.000689 0.000570 0.002532 -0.041479  0.028208 -0.037774
AITB 10OCT04 2010.7570 55473 1604 1  100.6   1339 -4.212725   1557135  4.801126   -17 -0.536812  0.1710 0.000698 0.000570 0.002554 -0.039149  0.051046 -0.018114
AITB 10OCT05 2010.7598 55474 1604 2  100.6   1339 -4.212179   1557135  4.799143   -17 -0.551719  0.1710 0.000753 0.000624 0.002789 -0.052523  0.065543  0.028960
AITB 10OCT06 2010.7625 55475 1604 3  100.6   1339 -4.216423   1557135  4.800938   -17 -0.562776  0.1710 0.001797 0.001481 0.008575 -0.052711 -0.001481  0.106394
AITB 10NOV08 2010.8528 55508 1609 1  100.6   1339 -4.115162   1557135  4.806373   -17 -0.658095  0.1710 0.002827 0.002064 0.008938 -0.188182  0.179603 -0.188665
AITB 10NOV09 2010.8556 55509 1609 2  100.6   1339 -4.211117   1557135  4.794751   -17 -0.554066  0.1710 0.000675 0.000552 0.002468 -0.055181 -0.001843 -0.006153
AITB 10NOV10 2010.8583 55510 1609 3  100.6   1339 -4.210972   1557135  4.794615   -17 -0.554671  0.1710 0.000643 0.000549 0.002408 -0.042645  0.067001  0.015389
AITB 10NOV11 2010.8611 55511 1609 4  100.6   1339 -4.212140   1557135  4.798051   -17 -0.550115  0.1710 0.000661 0.000565 0.002505 -0.038531  0.028845 -0.009340
AITB 10NOV12 2010.8638 55512 1609 5  100.6   1339 -4.211400   1557135  4.794602   -17 -0.558089  0.1710 0.000862 0.000718 0.003380 -0.026609  0.016642  0.047238
AITB 10NOV13 2010.8665 55513 1609 6  100.6   1339 -4.208074   1557135  4.793304   -17 -0.566579  0.1710 0.000663 0.000545 0.002437 -0.048019  0.010786 -0.054806
AITB 10NOV14 2010.8693 55514 1610 0  100.6   1339 -4.208724   1557135  4.795398   -17 -0.566310  0.1710 0.000640 0.000542 0.002395 -0.044140  0.036797 -0.048343
AITB 10NOV15 2010.8720 55515 1610 1  100.6   1339 -4.207571   1557135  4.795541   -17 -0.561470  0.1710 0.000752 0.000635 0.002884 -0.053574  0.027729 -0.021187
AITB 10NOV16 2010.8747 55516 1610 2  100.6   1339 -4.202509   1557135  4.795675   -17 -0.570766  0.1710 0.002144 0.001760 0.010800 -0.097918  0.128403  0.017994
AITB 10NOV26 2010.9021 55526 1611 5  100.6   1339 -4.209529   1557135  4.793919   -17 -0.555564  0.1710 0.000749 0.000602 0.002755 -0.017932  0.022763 -0.041674
AITB 10NOV27 2010.9049 55527 1611 6  100.6   1339 -4.208987   1557135  4.794029   -17 -0.551526  0.1710 0.000673 0.000545 0.002444 -0.057206  0.048790 -0.025480
AITB 10NOV28 2010.9076 55528 1612 0  100.6   1339 -4.209660   1557135  4.794407   -17 -0.548616  0.1710 0.000657 0.000556 0.002470 -0.032811  0.038655 -0.001357
AITB 10NOV29 2010.9103 55529 1612 1  100.6   1339 -4.208957   1557135  4.795215   -17 -0.563931  0.1710 0.001296 0.001086 0.005550 -0.047916  0.056192 -0.058962
AITB 10DEC09 2010.9377 55539 1613 4  100.6   1339 -4.205578   1557135  4.790788   -17 -0.544647  0.1710 0.000881 0.000694 0.003136 -0.024217 -0.008468  0.006064
AITB 10DEC10 2010.9405 55540 1613 5  100.6   1339 -4.205193   1557135  4.791895   -17 -0.537082  0.1710 0.000686 0.000548 0.002464 -0.053157  0.018437 -0.024588
AITB 10DEC11 2010.9432 55541 1613 6  100.6   1339 -4.205535   1557135  4.788478   -17 -0.549519  0.1710 0.000662 0.000541 0.002400 -0.022846  0.042677 -0.031592
AITB 10DEC12 2010.9459 55542 1614 0  100.6   1339 -4.207029   1557135  4.788281   -17 -0.547488  0.1710 0.001051 0.000892 0.004321 -0.092434  0.086473 -0.012910
AITB 10DEC15 2010.9541 55545 1614 3  100.6   1339 -4.214509   1557135  4.792399   -17 -0.548523  0.1710 0.000764 0.000612 0.002699 -0.034615 -0.023598 -0.059966
AITB 10DEC16 2010.9569 55546 1614 4  100.6   1339 -4.209871   1557135  4.794228   -17 -0.539031  0.1710 0.000692 0.000557 0.002519 -0.059486  0.003823 -0.023440
AITB 10DEC17 2010.9596 55547 1614 5  100.6   1339 -4.209188   1557135  4.789010   -17 -0.549390  0.1710 0.000683 0.000568 0.002496 -0.055279  0.023667 -0.015488
AITB 10DEC18 2010.9624 55548 1614 6  100.6   1339 -4.210432   1557135  4.789414   -17 -0.554072  0.1710 0.001389 0.001164 0.006093 -0.072351  0.112924 -0.048483
AITB 11JAN03 2011.0062 55564 1617 1  100.6   1339 -4.211190   1557135  4.786599   -17 -0.550055  0.1710 0.001235 0.000927 0.004082 -0.018207 -0.102636 -0.033003
AITB 11JAN04 2011.0089 55565 1617 2  100.6   1339 -4.209058   1557135  4.792072   -17 -0.552447  0.1710 0.000710 0.000554 0.002483 -0.034778 -0.018325 -0.030966
AITB 11JAN05 2011.0116 55566 1617 3  100.6   1339 -4.210846   1557135  4.788839   -17 -0.524209  0.1710 0.000695 0.000554 0.002439 -0.052435 -0.004330 -0.040202
AITB 11JAN06 2011.0144 55567 1617 4  100.6   1339 -4.205500   1557135  4.793293   -17 -0.529956  0.1710 0.000991 0.000845 0.004207 -0.069719  0.127046 -0.000128
AITB 11FEB05 2011.0965 55597 1621 6  100.6   1339 -4.207842   1557135  4.790800   -17 -0.531971  0.1710 0.001145 0.000819 0.003663 -0.091435  0.052469 -0.028184
AITB 11FEB06 2011.0992 55598 1622 0  100.6   1339 -4.206744   1557135  4.786817   -17 -0.557224  0.1710 0.000701 0.000553 0.002461 -0.048867  0.002795  0.020402
AITB 11FEB07 2011.1020 55599 1622 1  100.6   1339 -4.208622   1557135  4.788230   -17 -0.551872  0.1710 0.000688 0.000549 0.002474 -0.033340  0.041887  0.004340
AITB 11FEB08 2011.1047 55600 1622 2  100.6   1339 -4.206803   1557135  4.790873   -17 -0.537832  0.1710 0.001277 0.001095 0.005776  0.036036  0.052448  0.061673
AITB 11FEB24 2011.1485 55616 1624 4  100.6   1339 -4.199330   1557135  4.789415   -17 -0.521005  0.1710 0.000721 0.000576 0.002587 -0.038806  0.040027 -0.024856
AITB 11FEB25 2011.1513 55617 1624 5  100.6   1339 -4.205213   1557135  4.788329   -17 -0.523906  0.1710 0.000732 0.000564 0.002532 -0.045646 -0.000648  0.016395
AITB 11FEB26 2011.1540 55618 1624 6  100.6   1339 -4.200159   1557135  4.788984   -17 -0.524253  0.1710 0.000883 0.000713 0.003340 -0.006153  0.065142  0.018610
AITB 11MAR03 2011.1677 55623 1625 4  100.6   1339 -4.205746   1557135  4.791132   -17 -0.547095  0.1710 0.000725 0.000561 0.002543 -0.058647  0.043450 -0.005261
AITB 11MAR04 2011.1704 55624 1625 5  100.6   1339 -4.206058   1557135  4.783608   -17 -0.556923  0.1710 0.001111 0.000951 0.004145 -0.090882 -0.039009  0.020725
AITB 11MAR06 2011.1759 55626 1626 0  100.6   1339 -4.204031   1557135  4.786835   -17 -0.549897  0.1710 0.000769 0.000613 0.002706 -0.081057 -0.007930  0.011731
AITB 11MAR07 2011.1786 55627 1626 1  100.6   1339 -4.204880   1557135  4.786240   -17 -0.527919  0.1710 0.000707 0.000565 0.002511 -0.017169  0.035193 -0.009114
AITB 11MAR08 2011.1814 55628 1626 2  100.6   1339 -4.198640   1557135  4.783844   -17 -0.520664  0.1710 0.001006 0.000742 0.003447 -0.083298  0.011078 -0.026836
AITB 11MAR09 2011.1841 55629 1626 3  100.6   1339 -4.207774   1557135  4.787699   -17 -0.556835  0.1710 0.001322 0.001046 0.005263  0.001269  0.138458 -0.077518
AITB 11APR06 2011.2608 55657 1630 3  100.6   1339 -4.209372   1557135  4.785274   -17 -0.523832  0.1710 0.001485 0.001182 0.004965 -0.086739  0.125064 -0.078171
AITB 11APR07 2011.2635 55658 1630 4  100.6   1339 -4.201992   1557135  4.788744   -17 -0.561315  0.1710 0.000863 0.000697 0.003024 -0.085384  0.082393 -0.022824
AITB 11APR08 2011.2663 55659 1630 5  100.6   1339 -4.203910   1557135  4.790660   -17 -0.541520  0.1710 0.001026 0.000829 0.003643 -0.018936  0.029674  0.044716
