site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AL23 12DEC09 2012.9391 56270 1718 0  -88.0   4276  0.873644   3780141  0.937828   141  0.189810  0.0000 0.000628 0.000714 0.002422  0.018930 -0.036240 -0.152938
AL23 12DEC10 2012.9418 56271 1718 1  -88.0   4276  0.869550   3780141  0.935005   141  0.187093  0.0000 0.000613 0.000741 0.002366  0.019048 -0.037539 -0.144293
AL23 12DEC11 2012.9446 56272 1718 2  -88.0   4276  0.868914   3780141  0.942819   141  0.178312  0.0000 0.000518 0.000556 0.001907 -0.010570  0.019536 -0.116684
AL23 12DEC12 2012.9473 56273 1718 3  -88.0   4276  0.870341   3780141  0.938481   141  0.173668  0.0000 0.000516 0.000565 0.001917  0.024254  0.000706 -0.143495
AL23 12DEC13 2012.9500 56274 1718 4  -88.0   4276  0.872986   3780141  0.940799   141  0.182950  0.0000 0.000545 0.000607 0.002087  0.035504  0.018848 -0.169062
AL23 12DEC14 2012.9528 56275 1718 5  -88.0   4276  0.869183   3780141  0.936539   141  0.195421  0.0000 0.000499 0.000550 0.001858  0.002712  0.008121 -0.110920
AL23 12DEC15 2012.9555 56276 1718 6  -88.0   4276  0.870383   3780141  0.928843   141  0.203377  0.0000 0.000498 0.000547 0.001857 -0.003391  0.006523 -0.130033
AL23 12DEC16 2012.9582 56277 1719 0  -88.0   4276  0.874102   3780141  0.934383   141  0.220109  0.0000 0.000564 0.000590 0.002077  0.002847 -0.002547 -0.152174
AL23 12DEC17 2012.9610 56278 1719 1  -88.0   4276  0.873492   3780141  0.933944   141  0.190610  0.0000 0.000506 0.000557 0.001919  0.003436  0.025199 -0.138306
AL23 12DEC18 2012.9637 56279 1719 2  -88.0   4276  0.876497   3780141  0.938169   141  0.192540  0.0000 0.000501 0.000552 0.001880  0.023485 -0.011404 -0.122697
AL23 12DEC19 2012.9665 56280 1719 3  -88.0   4276  0.871659   3780141  0.936481   141  0.203911  0.0000 0.000503 0.000546 0.001879 -0.004040  0.029305 -0.115625
AL23 12DEC20 2012.9692 56281 1719 4  -88.0   4276  0.873128   3780141  0.933117   141  0.197197  0.0000 0.000515 0.000560 0.001909  0.004408  0.006044 -0.126499
AL23 12DEC21 2012.9719 56282 1719 5  -88.0   4276  0.872730   3780141  0.938938   141  0.187261  0.0000 0.000508 0.000542 0.001879  0.006821 -0.013471 -0.148548
AL23 12DEC22 2012.9747 56283 1719 6  -88.0   4276  0.874103   3780141  0.938594   141  0.187459  0.0000 0.000499 0.000538 0.001832 -0.005427  0.007455 -0.126164
AL23 12DEC23 2012.9774 56284 1720 0  -88.0   4276  0.877006   3780141  0.935722   141  0.177092  0.0000 0.000502 0.000539 0.001827  0.006232  0.016500 -0.126475
AL23 12DEC24 2012.9802 56285 1720 1  -88.0   4276  0.871862   3780141  0.937805   141  0.197133  0.0000 0.000512 0.000547 0.001915  0.013642 -0.008371 -0.164171
AL23 12DEC25 2012.9829 56286 1720 2  -88.0   4276  0.874308   3780141  0.937474   141  0.182993  0.0000 0.000505 0.000545 0.001869 -0.002863  0.020222 -0.138738
AL23 12DEC26 2012.9856 56287 1720 3  -88.0   4276  0.872597   3780141  0.934686   141  0.192297  0.0000 0.000504 0.000544 0.001876  0.004488 -0.018908 -0.139402
AL23 12DEC27 2012.9884 56288 1720 4  -88.0   4276  0.876502   3780141  0.934851   141  0.191106  0.0000 0.000499 0.000539 0.001827 -0.004780  0.018493 -0.119749
AL23 12DEC28 2012.9911 56289 1720 5  -88.0   4276  0.876956   3780141  0.932459   141  0.194962  0.0000 0.000504 0.000540 0.001846 -0.006559  0.014559 -0.128943
AL23 12DEC29 2012.9938 56290 1720 6  -88.0   4276  0.874176   3780141  0.934640   141  0.184411  0.0000 0.000499 0.000540 0.001851  0.013583 -0.010807 -0.129389
AL23 12DEC30 2012.9966 56291 1721 0  -88.0   4276  0.871242   3780141  0.939216   141  0.178553  0.0000 0.000501 0.000547 0.001866 -0.015785  0.054236 -0.132842
AL23 12DEC31 2012.9993 56292 1721 1  -88.0   4276  0.872673   3780141  0.936742   141  0.184053  0.0000 0.000499 0.000544 0.001858 -0.003905  0.010956 -0.119833
AL23 13JAN01 2013.0021 56293 1721 2  -88.0   4276  0.873477   3780141  0.933404   141  0.206252  0.0000 0.000700 0.000772 0.002652 -0.010553  0.083431 -0.160509
