site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ALFO 09SEP29 2009.7440 55103 1551 2  -87.7   2394  0.390897   3366335  0.484762     3  0.041015  0.0000 0.000519 0.000550 0.001947  0.023985  0.001128 -0.097861
ALFO 09SEP30 2009.7467 55104 1551 3  -87.7   2394  0.391060   3366335  0.487612     3  0.038118  0.0000 0.000505 0.000539 0.001867 -0.007163  0.031252 -0.110348
ALFO 09OCT01 2009.7495 55105 1551 4  -87.7   2394  0.392223   3366335  0.486408     3  0.045416  0.0000 0.000510 0.000545 0.001901 -0.010390  0.036142 -0.118859
ALFO 09OCT02 2009.7522 55106 1551 5  -87.7   2394  0.391317   3366335  0.483935     3  0.052225  0.0000 0.000509 0.000541 0.001891 -0.008304  0.027997 -0.122930
ALFO 09OCT03 2009.7550 55107 1551 6  -87.7   2394  0.390342   3366335  0.486684     3  0.039895  0.0000 0.000503 0.000537 0.001864  0.002723  0.012606 -0.113508
ALFO 09OCT04 2009.7577 55108 1552 0  -87.7   2394  0.391600   3366335  0.484340     3  0.060470  0.0000 0.000513 0.000548 0.001912 -0.012999  0.025825 -0.099931
ALFO 09OCT05 2009.7604 55109 1552 1  -87.7   2394  0.389529   3366335  0.489089     3  0.054032  0.0000 0.000519 0.000548 0.001956 -0.020823  0.021610 -0.112717
ALFO 09OCT06 2009.7632 55110 1552 2  -87.7   2394  0.390478   3366335  0.485806     3  0.048265  0.0000 0.000520 0.000549 0.001932  0.006290  0.039595 -0.112646
ALFO 09OCT07 2009.7659 55111 1552 3  -87.7   2394  0.391548   3366335  0.484763     3  0.049296  0.0000 0.000512 0.000550 0.001927 -0.007027  0.017520 -0.121179
ALFO 09OCT08 2009.7687 55112 1552 4  -87.7   2394  0.391033   3366335  0.482277     3  0.047663  0.0000 0.000532 0.000567 0.001992  0.029537 -0.014146 -0.146043
ALFO 09OCT09 2009.7714 55113 1552 5  -87.7   2394  0.391446   3366335  0.484051     3  0.052170  0.0000 0.000516 0.000546 0.001934 -0.008631  0.000662 -0.133503
ALFO 09OCT10 2009.7741 55114 1552 6  -87.7   2394  0.387741   3366335  0.487450     3  0.055129  0.0000 0.000521 0.000549 0.001940 -0.010833  0.028329 -0.115256
ALFO 09OCT11 2009.7769 55115 1553 0  -87.7   2394  0.389582   3366335  0.487485     3  0.052986  0.0000 0.000511 0.000541 0.001892  0.003312  0.044502 -0.112271
ALFO 09OCT12 2009.7796 55116 1553 1  -87.7   2394  0.390693   3366335  0.488544     3  0.046141  0.0000 0.000521 0.000551 0.001960 -0.012683  0.016716 -0.129405
ALFO 09OCT13 2009.7823 55117 1553 2  -87.7   2394  0.389901   3366335  0.485534     3  0.053224  0.0000 0.000516 0.000550 0.001942  0.013057 -0.003613 -0.122420
ALFO 09OCT14 2009.7851 55118 1553 3  -87.7   2394  0.390284   3366335  0.485014     3  0.057998  0.0000 0.000512 0.000543 0.001911 -0.013244  0.028740 -0.125219
ALFO 09OCT15 2009.7878 55119 1553 4  -87.7   2394  0.390677   3366335  0.486466     3  0.049546  0.0000 0.000513 0.000556 0.001911 -0.018340  0.027645 -0.105595
ALFO 09OCT16 2009.7906 55120 1553 5  -87.7   2394  0.390313   3366335  0.485594     3  0.054064  0.0000 0.000523 0.000562 0.001946 -0.033220  0.046687 -0.117572
ALFO 09OCT17 2009.7933 55121 1553 6  -87.7   2394  0.390966   3366335  0.487562     3  0.036365  0.0000 0.000517 0.000557 0.001919 -0.027628  0.067564 -0.114824
ALFO 09OCT18 2009.7960 55122 1554 0  -87.7   2394  0.391385   3366335  0.487334     3  0.037241  0.0000 0.000516 0.000562 0.001938 -0.021433  0.050099 -0.108744
ALFO 09OCT19 2009.7988 55123 1554 1  -87.7   2394  0.391337   3366335  0.486696     3  0.036269  0.0000 0.000518 0.000560 0.001926 -0.034392  0.031090 -0.095789
ALFO 09OCT20 2009.8015 55124 1554 2  -87.7   2394  0.392632   3366335  0.487617     3  0.038782  0.0000 0.000517 0.000557 0.001938 -0.029483  0.038606 -0.118472
ALFO 09OCT21 2009.8042 55125 1554 3  -87.7   2394  0.391531   3366335  0.485919     3  0.044759  0.0000 0.000515 0.000553 0.001927 -0.027840  0.035067 -0.117247
ALFO 09OCT22 2009.8070 55126 1554 4  -87.7   2394  0.389756   3366335  0.484577     3  0.043456  0.0000 0.000532 0.000564 0.002005 -0.046044  0.057770 -0.143721
ALFO 09OCT23 2009.8097 55127 1554 5  -87.7   2394  0.392552   3366335  0.485862     3  0.043421  0.0000 0.000534 0.000568 0.002001 -0.056813  0.059914 -0.143500
ALFO 09OCT24 2009.8125 55128 1554 6  -87.7   2394  0.390061   3366335  0.486032     3  0.040321  0.0000 0.000527 0.000563 0.001958 -0.040660  0.086961 -0.117649
ALFO 09OCT25 2009.8152 55129 1555 0  -87.7   2394  0.390100   3366335  0.486416     3  0.043359  0.0000 0.000531 0.000565 0.001976 -0.024712  0.037555 -0.114046
ALFO 09OCT26 2009.8179 55130 1555 1  -87.7   2394  0.390098   3366335  0.485321     3  0.042540  0.0000 0.000536 0.000581 0.002010 -0.045830  0.032979 -0.082668
ALFO 09OCT27 2009.8207 55131 1555 2  -87.7   2394  0.391248   3366335  0.483918     3  0.051974  0.0000 0.000527 0.000564 0.001972 -0.061133  0.038126 -0.112643
ALFO 09OCT28 2009.8234 55132 1555 3  -87.7   2394  0.389871   3366335  0.484416     3  0.063547  0.0000 0.000522 0.000553 0.001937 -0.047339  0.058156 -0.110276
ALFO 09OCT29 2009.8261 55133 1555 4  -87.7   2394  0.390866   3366335  0.484165     3  0.050867  0.0000 0.000521 0.000553 0.001946 -0.046134  0.054865 -0.111405
ALFO 09OCT30 2009.8289 55134 1555 5  -87.7   2394  0.391560   3366335  0.484645     3  0.047658  0.0000 0.000522 0.000553 0.001960 -0.031469  0.045797 -0.097455
ALFO 09OCT31 2009.8316 55135 1555 6  -87.7   2394  0.391849   3366335  0.483005     3  0.063760  0.0000 0.000535 0.000552 0.001974 -0.054348  0.090206 -0.125983
ALFO 09NOV01 2009.8344 55136 1556 0  -87.7   2394  0.391576   3366335  0.486526     3  0.039808  0.0000 0.000520 0.000546 0.001922 -0.022945  0.051405 -0.094983
ALFO 09NOV02 2009.8371 55137 1556 1  -87.7   2394  0.390749   3366335  0.487772     3  0.037570  0.0000 0.000532 0.000552 0.001963 -0.031652  0.077712 -0.122314
ALFO 09NOV03 2009.8398 55138 1556 2  -87.7   2394  0.389034   3366335  0.488809     3  0.033460  0.0000 0.000539 0.000561 0.001986 -0.045020  0.084739 -0.125600
ALFO 09NOV04 2009.8426 55139 1556 3  -87.7   2394  0.390509   3366335  0.488030     3  0.033364  0.0000 0.000522 0.000551 0.001936 -0.036239  0.054074 -0.089796
ALFO 09NOV05 2009.8453 55140 1556 4  -87.7   2394  0.390577   3366335  0.487073     3  0.039404  0.0000 0.000523 0.000566 0.001960 -0.032444  0.051046 -0.106033
ALFO 09NOV06 2009.8480 55141 1556 5  -87.7   2394  0.392229   3366335  0.485908     3  0.040239  0.0000 0.000522 0.000566 0.001947 -0.032948  0.051053 -0.108448
ALFO 09NOV07 2009.8508 55142 1556 6  -87.7   2394  0.389979   3366335  0.485114     3  0.043982  0.0000 0.000517 0.000554 0.001923 -0.018217  0.048562 -0.106590
