site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ALPP 01AUG07 2001.5989 52128 1126 2 -118.7    475  0.900557   3855122  0.052220   918  0.065505  0.0083 0.000577 0.000678 0.002199 -0.066032  0.075224 -0.163983
ALPP 01AUG08 2001.6016 52129 1126 3 -118.7    475  0.902647   3855122  0.053034   918  0.073868  0.0083 0.000590 0.000673 0.002206 -0.033512  0.037518 -0.140971
ALPP 01AUG09 2001.6044 52130 1126 4 -118.7    475  0.906321   3855122  0.056027   918  0.076271  0.0083 0.000572 0.000669 0.002212  0.008112  0.010646 -0.175164
ALPP 01AUG10 2001.6071 52131 1126 5 -118.7    475  0.903466   3855122  0.053100   918  0.065375  0.0083 0.000554 0.000648 0.002113 -0.075308  0.024754 -0.193079
ALPP 01AUG11 2001.6099 52132 1126 6 -118.7    475  0.903193   3855122  0.054563   918  0.071594  0.0083 0.000536 0.000641 0.002068  0.019759  0.004351 -0.207814
ALPP 01AUG12 2001.6126 52133 1127 0 -118.7    475  0.902290   3855122  0.051601   918  0.069798  0.0083 0.000519 0.000636 0.002052 -0.010988  0.041572 -0.178090
ALPP 01AUG13 2001.6153 52134 1127 1 -118.7    475  0.905237   3855122  0.054857   918  0.077275  0.0083 0.000541 0.000654 0.002108 -0.006143  0.041678 -0.188118
ALPP 01AUG14 2001.6181 52135 1127 2 -118.7    475  0.904283   3855122  0.052088   918  0.065405  0.0083 0.000542 0.000644 0.002055 -0.057275  0.066070 -0.138477
ALPP 01AUG15 2001.6208 52136 1127 3 -118.7    475  0.905811   3855122  0.055849   918  0.064068  0.0083 0.000524 0.000627 0.002029 -0.055632  0.041328 -0.174484
ALPP 01AUG16 2001.6235 52137 1127 4 -118.7    475  0.904892   3855122  0.053927   918  0.068220  0.0083 0.000525 0.000636 0.002041 -0.047869  0.038657 -0.164031
ALPP 01AUG17 2001.6263 52138 1127 5 -118.7    475  0.903881   3855122  0.053633   918  0.070684  0.0083 0.000531 0.000625 0.002036 -0.037171  0.050470 -0.150012
ALPP 01AUG18 2001.6290 52139 1127 6 -118.7    475  0.903571   3855122  0.054730   918  0.077668  0.0083 0.000545 0.000654 0.002098 -0.018958  0.038981 -0.138935
ALPP 01AUG19 2001.6318 52140 1128 0 -118.7    475  0.903322   3855122  0.053551   918  0.067243  0.0083 0.000524 0.000628 0.001987 -0.048332  0.043426 -0.150817
ALPP 01AUG20 2001.6345 52141 1128 1 -118.7    475  0.903797   3855122  0.051945   918  0.072774  0.0083 0.000542 0.000660 0.002092 -0.079259  0.047564 -0.158801
ALPP 01AUG21 2001.6372 52142 1128 2 -118.7    475  0.902587   3855122  0.054562   918  0.070746  0.0083 0.000568 0.000674 0.002141 -0.073052  0.034867 -0.121916
ALPP 01AUG22 2001.6400 52143 1128 3 -118.7    475  0.902826   3855122  0.054660   918  0.064808  0.0083 0.000531 0.000639 0.002066 -0.048019  0.056417 -0.172252
ALPP 01AUG23 2001.6427 52144 1128 4 -118.7    475  0.899637   3855122  0.066809   918  0.076928  0.0083 0.000541 0.000641 0.002071 -0.087762  0.093023 -0.188775
ALPP 01AUG24 2001.6454 52145 1128 5 -118.7    475  0.901570   3855122  0.052310   918  0.064957  0.0083 0.000554 0.000663 0.002139 -0.071342  0.049702 -0.154599
ALPP 01AUG25 2001.6482 52146 1128 6 -118.7    475  0.901600   3855122  0.055595   918  0.070409  0.0083 0.000581 0.000719 0.002256 -0.004739  0.065428 -0.140406
ALPP 01AUG26 2001.6509 52147 1129 0 -118.7    475  0.903454   3855122  0.053022   918  0.070361  0.0083 0.000532 0.000632 0.002018 -0.072024  0.047289 -0.141689
ALPP 01AUG27 2001.6537 52148 1129 1 -118.7    475  0.904541   3855122  0.054521   918  0.066078  0.0083 0.000521 0.000623 0.001988 -0.048501  0.051934 -0.159971
ALPP 01AUG28 2001.6564 52149 1129 2 -118.7    475  0.899935   3855122  0.049531   918  0.064677  0.0083 0.000552 0.000661 0.002140 -0.034474  0.042749 -0.143649
ALPP 01AUG29 2001.6591 52150 1129 3 -118.7    475  0.905518   3855122  0.053367   918  0.081385  0.0083 0.000533 0.000634 0.002053 -0.060092  0.045087 -0.166866
ALPP 01AUG30 2001.6619 52151 1129 4 -118.7    475  0.902890   3855122  0.053675   918  0.062042  0.0083 0.000530 0.000638 0.002033 -0.041272  0.014722 -0.157236
ALPP 01AUG31 2001.6646 52152 1129 5 -118.7    475  0.902547   3855122  0.052717   918  0.069804  0.0083 0.000581 0.000729 0.002332 -0.135481  0.077944 -0.153397
ALPP 01SEP01 2001.6674 52153 1129 6 -118.7    475  0.902606   3855122  0.053653   918  0.066575  0.0083 0.000562 0.000665 0.002146 -0.078846  0.074845 -0.193994
ALPP 01SEP02 2001.6701 52154 1130 0 -118.7    475  0.905119   3855122  0.052541   918  0.084006  0.0083 0.000561 0.000669 0.002132 -0.083435  0.063564 -0.152846
ALPP 01SEP03 2001.6728 52155 1130 1 -118.7    475  0.905663   3855122  0.056017   918  0.074971  0.0083 0.000530 0.000635 0.002044 -0.061837  0.052568 -0.178050
ALPP 01SEP04 2001.6756 52156 1130 2 -118.7    475  0.899825   3855122  0.054945   918  0.069258  0.0083 0.000566 0.000656 0.002105 -0.075152  0.065818 -0.146257
ALPP 01SEP05 2001.6783 52157 1130 3 -118.7    475  0.905709   3855122  0.056869   918  0.067561  0.0083 0.000600 0.000661 0.002146 -0.088667  0.045017 -0.161951
ALPP 01SEP06 2001.6810 52158 1130 4 -118.7    475  0.903361   3855122  0.052250   918  0.053239  0.0083 0.000538 0.000641 0.002090 -0.035426  0.031520 -0.153418
ALPP 01SEP07 2001.6838 52159 1130 5 -118.7    475  0.900258   3855122  0.057302   918  0.068718  0.0083 0.000523 0.000627 0.002006 -0.033960  0.006392 -0.128684
ALPP 01SEP08 2001.6865 52160 1130 6 -118.7    475  0.902676   3855122  0.052008   918  0.070768  0.0083 0.000534 0.000627 0.002014 -0.061322  0.055819 -0.131024
ALPP 01SEP09 2001.6893 52161 1131 0 -118.7    475  0.902623   3855122  0.051035   918  0.068028  0.0083 0.000546 0.000638 0.002034 -0.086628  0.034116 -0.127039
ALPP 01SEP10 2001.6920 52162 1131 1 -118.7    475  0.899369   3855122  0.049698   918  0.069101  0.0083 0.000513 0.000619 0.001990 -0.038953  0.057562 -0.163778
ALPP 01SEP11 2001.6947 52163 1131 2 -118.7    475  0.903015   3855122  0.052943   918  0.070802  0.0083 0.000541 0.000631 0.002029 -0.032784  0.031676 -0.132044
ALPP 01SEP12 2001.6975 52164 1131 3 -118.7    475  0.905092   3855122  0.057171   918  0.073080  0.0083 0.000539 0.000641 0.002062 -0.004397  0.015302 -0.152003
ALPP 01SEP13 2001.7002 52165 1131 4 -118.7    475  0.904045   3855122  0.055998   918  0.071265  0.0083 0.000521 0.000625 0.001982 -0.007612  0.013325 -0.172335
ALPP 01SEP14 2001.7029 52166 1131 5 -118.7    475  0.903965   3855122  0.052962   918  0.074250  0.0083 0.000515 0.000615 0.001997 -0.033127  0.021325 -0.182712
ALPP 01SEP15 2001.7057 52167 1131 6 -118.7    475  0.903954   3855122  0.051112   918  0.058365  0.0083 0.000553 0.000653 0.002137 -0.065381  0.092932 -0.142662
ALPP 01SEP16 2001.7084 52168 1132 0 -118.7    475  0.904571   3855122  0.057720   918  0.074653  0.0083 0.000530 0.000646 0.002046 -0.051008  0.065025 -0.122166
ALPP 01SEP17 2001.7112 52169 1132 1 -118.7    475  0.903386   3855122  0.050122   918  0.072592  0.0083 0.000517 0.000618 0.001967 -0.034499  0.047934 -0.148189
ALPP 01SEP18 2001.7139 52170 1132 2 -118.7    475  0.903114   3855122  0.053177   918  0.074425  0.0083 0.000518 0.000623 0.001968 -0.036205  0.037711 -0.151054
ALPP 01SEP19 2001.7166 52171 1132 3 -118.7    475  0.905710   3855122  0.055138   918  0.088167  0.0083 0.000519 0.000619 0.001977 -0.047724  0.051955 -0.148475
ALPP 01SEP20 2001.7194 52172 1132 4 -118.7    475  0.904254   3855122  0.054468   918  0.083028  0.0083 0.000529 0.000633 0.002032 -0.052854  0.062285 -0.164391
ALPP 01SEP21 2001.7221 52173 1132 5 -118.7    475  0.903256   3855122  0.053961   918  0.070823  0.0083 0.000584 0.000703 0.002240 -0.027229  0.043250 -0.163331
ALPP 01SEP22 2001.7248 52174 1132 6 -118.7    475  0.901852   3855122  0.052270   918  0.072464  0.0083 0.000528 0.000630 0.002093 -0.013797  0.022794 -0.198706
ALPP 01SEP23 2001.7276 52175 1133 0 -118.7    475  0.902847   3855122  0.053686   918  0.072559  0.0083 0.000514 0.000612 0.001962 -0.034001  0.049580 -0.160355
ALPP 01SEP24 2001.7303 52176 1133 1 -118.7    475  0.904656   3855122  0.053158   918  0.064024  0.0083 0.000505 0.000614 0.001964 -0.043863  0.022225 -0.166629
ALPP 01SEP25 2001.7331 52177 1133 2 -118.7    475  0.905042   3855122  0.054616   918  0.071901  0.0083 0.000526 0.000625 0.002013 -0.046920  0.013895 -0.142784
ALPP 01SEP26 2001.7358 52178 1133 3 -118.7    475  0.900991   3855122  0.053933   918  0.077075  0.0083 0.000533 0.000631 0.002036 -0.021332  0.043901 -0.132726
ALPP 01SEP27 2001.7385 52179 1133 4 -118.7    475  0.900490   3855122  0.053902   918  0.073679  0.0083 0.000543 0.000638 0.002063 -0.051500  0.043597 -0.145160
ALPP 01SEP28 2001.7413 52180 1133 5 -118.7    475  0.901945   3855122  0.056086   918  0.068504  0.0083 0.000516 0.000624 0.002014 -0.015661  0.018112 -0.160282
ALPP 01SEP29 2001.7440 52181 1133 6 -118.7    475  0.900854   3855122  0.054663   918  0.066740  0.0083 0.000542 0.000638 0.002048 -0.025940  0.010613 -0.138691
ALPP 01SEP30 2001.7467 52182 1134 0 -118.7    475  0.902262   3855122  0.053337   918  0.077243  0.0083 0.000509 0.000614 0.001971 -0.037623  0.005867 -0.134422
ALPP 01OCT01 2001.7495 52183 1134 1 -118.7    475  0.903225   3855122  0.051836   918  0.075665  0.0083 0.000507 0.000612 0.001983 -0.019187  0.008839 -0.144322
ALPP 01OCT02 2001.7522 52184 1134 2 -118.7    475  0.902141   3855122  0.052555   918  0.071010  0.0083 0.000510 0.000622 0.002007 -0.013995  0.011980 -0.159107
ALPP 01OCT03 2001.7550 52185 1134 3 -118.7    475  0.898855   3855122  0.055108   918  0.070043  0.0083 0.000527 0.000648 0.002045 -0.010013  0.015082 -0.123323
ALPP 01OCT04 2001.7577 52186 1134 4 -118.7    475  0.902648   3855122  0.053297   918  0.080854  0.0083 0.000524 0.000664 0.002101 -0.064851  0.051002 -0.147100
ALPP 01OCT05 2001.7604 52187 1134 5 -118.7    475  0.901813   3855122  0.053656   918  0.074513  0.0083 0.000567 0.000716 0.002264 -0.042049  0.024520 -0.202325
ALPP 01OCT06 2001.7632 52188 1134 6 -118.7    475  0.902266   3855122  0.052216   918  0.070786  0.0083 0.000501 0.000613 0.001934 -0.034893  0.018553 -0.172880
ALPP 01OCT07 2001.7659 52189 1135 0 -118.7    475  0.901722   3855122  0.053069   918  0.069492  0.0083 0.000548 0.000652 0.002076 -0.047137 -0.031807 -0.080079
ALPP 01OCT08 2001.7687 52190 1135 1 -118.7    475  0.902685   3855122  0.053270   918  0.067791  0.0083 0.000510 0.000622 0.001994 -0.020304  0.019901 -0.179863
ALPP 01OCT09 2001.7714 52191 1135 2 -118.7    475  0.899891   3855122  0.051039   918  0.067771  0.0083 0.000511 0.000629 0.001997 -0.013988  0.038574 -0.155371
ALPP 01OCT10 2001.7741 52192 1135 3 -118.7    475  0.903972   3855122  0.053432   918  0.083444  0.0083 0.000514 0.000641 0.001998 -0.005899  0.006839 -0.165682
ALPP 01OCT11 2001.7769 52193 1135 4 -118.7    475  0.901502   3855122  0.053582   918  0.075350  0.0083 0.000510 0.000630 0.001990 -0.030568 -0.000588 -0.144091
ALPP 01OCT12 2001.7796 52194 1135 5 -118.7    475  0.900746   3855122  0.058770   918  0.084195  0.0083 0.000528 0.000638 0.002003 -0.011446 -0.005390 -0.152491
ALPP 01OCT13 2001.7823 52195 1135 6 -118.7    475  0.903170   3855122  0.053156   918  0.078307  0.0083 0.000562 0.000662 0.002085 -0.038007 -0.013679 -0.096051
ALPP 01OCT14 2001.7851 52196 1136 0 -118.7    475  0.909878   3855122  0.047007   918  0.081969  0.0083 0.000521 0.000632 0.001998 -0.030895  0.022033 -0.126696
ALPP 01OCT15 2001.7878 52197 1136 1 -118.7    475  0.901581   3855122  0.053686   918  0.076596  0.0083 0.000516 0.000629 0.002039 -0.023940  0.012672 -0.157016
ALPP 01OCT16 2001.7906 52198 1136 2 -118.7    475  0.901711   3855122  0.054585   918  0.078663  0.0083 0.000534 0.000647 0.002055 -0.024275 -0.022459 -0.123190
ALPP 01OCT17 2001.7933 52199 1136 3 -118.7    475  0.902221   3855122  0.054478   918  0.082958  0.0083 0.000543 0.000645 0.002074 -0.045261  0.018364 -0.092173
ALPP 01OCT18 2001.7960 52200 1136 4 -118.7    475  0.900190   3855122  0.052077   918  0.082695  0.0083 0.000566 0.000706 0.002285 -0.003256  0.004315 -0.181941
ALPP 01OCT19 2001.7988 52201 1136 5 -118.7    475  0.899928   3855122  0.056183   918  0.081901  0.0083 0.000544 0.000648 0.002088 -0.028856  0.018946 -0.135716
ALPP 01OCT20 2001.8015 52202 1136 6 -118.7    475  0.901100   3855122  0.053210   918  0.088129  0.0083 0.000506 0.000621 0.001979 -0.028624  0.025859 -0.127831
ALPP 01OCT21 2001.8042 52203 1137 0 -118.7    475  0.901522   3855122  0.055953   918  0.077787  0.0083 0.000511 0.000624 0.001999 -0.016155  0.029268 -0.151236
ALPP 01OCT22 2001.8070 52204 1137 1 -118.7    475  0.895295   3855122  0.062819   918  0.083896  0.0083 0.000527 0.000635 0.002058 -0.035297  0.028100 -0.152288
ALPP 01OCT23 2001.8097 52205 1137 2 -118.7    475  0.899755   3855122  0.058990   918  0.089948  0.0083 0.000512 0.000627 0.002012 -0.026769  0.031471 -0.158005
ALPP 01OCT24 2001.8125 52206 1137 3 -118.7    475  0.899844   3855122  0.053278   918  0.084142  0.0083 0.000526 0.000633 0.002059 -0.042999  0.055859 -0.204610
ALPP 01OCT25 2001.8152 52207 1137 4 -118.7    475  0.902622   3855122  0.056436   918  0.078543  0.0083 0.000566 0.000670 0.002154 -0.012631 -0.024464 -0.101576
ALPP 01OCT26 2001.8179 52208 1137 5 -118.7    475  0.901551   3855122  0.056013   918  0.081764  0.0083 0.000527 0.000641 0.002078 -0.026094 -0.018152 -0.141833
ALPP 01OCT27 2001.8207 52209 1137 6 -118.7    475  0.902399   3855122  0.056151   918  0.077842  0.0083 0.000531 0.000650 0.002072  0.005127  0.017655 -0.112705
ALPP 01OCT28 2001.8234 52210 1138 0 -118.7    475  0.899846   3855122  0.055693   918  0.085758  0.0083 0.000530 0.000647 0.002080  0.021441 -0.013662 -0.155336
ALPP 01OCT29 2001.8261 52211 1138 1 -118.7    475  0.902683   3855122  0.055634   918  0.083098  0.0083 0.000524 0.000634 0.002029 -0.039861  0.029544 -0.141656
ALPP 01OCT30 2001.8289 52212 1138 2 -118.7    475  0.899354   3855122  0.052784   918  0.087944  0.0083 0.000520 0.000624 0.002007 -0.018002  0.040578 -0.162036
ALPP 01OCT31 2001.8316 52213 1138 3 -118.7    475  0.900682   3855122  0.056109   918  0.069098  0.0083 0.000504 0.000610 0.001965 -0.019454  0.026983 -0.187278
ALPP 01NOV01 2001.8344 52214 1138 4 -118.7    475  0.901499   3855122  0.053250   918  0.078856  0.0083 0.000531 0.000656 0.002149  0.023350 -0.037657 -0.183684
ALPP 01NOV02 2001.8371 52215 1138 5 -118.7    475  0.900885   3855122  0.054373   918  0.077351  0.0083 0.000500 0.000612 0.001944 -0.005391  0.019045 -0.147530
ALPP 01NOV03 2001.8398 52216 1138 6 -118.7    475  0.900852   3855122  0.056243   918  0.073986  0.0083 0.000520 0.000617 0.001991 -0.034604  0.025499 -0.154472
ALPP 01NOV04 2001.8426 52217 1139 0 -118.7    475  0.900290   3855122  0.056621   918  0.073354  0.0083 0.000501 0.000610 0.001948 -0.038998  0.041554 -0.184418
ALPP 01NOV05 2001.8453 52218 1139 1 -118.7    475  0.900812   3855122  0.054317   918  0.082001  0.0083 0.000565 0.000682 0.002175 -0.000728 -0.012747 -0.104590
ALPP 01NOV06 2001.8480 52219 1139 2 -118.7    475  0.898974   3855122  0.052678   918  0.071084  0.0083 0.000696 0.000834 0.002704  0.072179 -0.064654 -0.128191
ALPP 01NOV07 2001.8508 52220 1139 3 -118.7    475  0.899971   3855122  0.057110   918  0.077430  0.0083 0.000552 0.000674 0.002168 -0.039511  0.032346 -0.156404
ALPP 01NOV08 2001.8535 52221 1139 4 -118.7    475  0.901971   3855122  0.056667   918  0.076803  0.0083 0.000533 0.000644 0.002120  0.006479  0.008356 -0.102079
ALPP 01NOV09 2001.8563 52222 1139 5 -118.7    475  0.899865   3855122  0.054232   918  0.070658  0.0083 0.000520 0.000637 0.002088  0.003564 -0.034463 -0.172445
ALPP 01NOV10 2001.8590 52223 1139 6 -118.7    475  0.898900   3855122  0.054476   918  0.076037  0.0083 0.000501 0.000608 0.001959 -0.024515  0.007808 -0.180813
ALPP 01NOV11 2001.8617 52224 1140 0 -118.7    475  0.900415   3855122  0.057728   918  0.075036  0.0083 0.000506 0.000619 0.001988 -0.013564  0.000646 -0.175722
ALPP 01NOV12 2001.8645 52225 1140 1 -118.7    475  0.898157   3855122  0.054781   918  0.071249  0.0083 0.000504 0.000621 0.001963 -0.026628  0.028509 -0.163733
ALPP 01NOV13 2001.8672 52226 1140 2 -118.7    475  0.892231   3855122  0.061753   918  0.062759  0.0083 0.000507 0.000624 0.001997 -0.030974  0.031399 -0.159880
ALPP 01NOV14 2001.8700 52227 1140 3 -118.7    475  0.899086   3855122  0.055541   918  0.079145  0.0083 0.000508 0.000631 0.002009 -0.039875  0.031647 -0.182148
ALPP 01NOV15 2001.8727 52228 1140 4 -118.7    475  0.898022   3855122  0.054526   918  0.070317  0.0083 0.000502 0.000610 0.001969 -0.032340 -0.010756 -0.179257
ALPP 01NOV16 2001.8754 52229 1140 5 -118.7    475  0.899816   3855122  0.054835   918  0.081402  0.0083 0.000517 0.000627 0.002037 -0.004828 -0.004774 -0.179754
ALPP 01NOV17 2001.8782 52230 1140 6 -118.7    475  0.899485   3855122  0.054672   918  0.079791  0.0083 0.000515 0.000621 0.002001 -0.035915 -0.000543 -0.169109
ALPP 01NOV18 2001.8809 52231 1141 0 -118.7    475  0.899352   3855122  0.053566   918  0.082221  0.0083 0.000517 0.000623 0.001993 -0.052589  0.051198 -0.126806
ALPP 01NOV19 2001.8836 52232 1141 1 -118.7    475  0.899853   3855122  0.054847   918  0.077444  0.0083 0.000511 0.000616 0.001998 -0.037429  0.035469 -0.180353
ALPP 01NOV20 2001.8864 52233 1141 2 -118.7    475  0.901144   3855122  0.057014   918  0.074122  0.0083 0.000526 0.000636 0.002103 -0.016866  0.029546 -0.179579
ALPP 01NOV21 2001.8891 52234 1141 3 -118.7    475  0.893247   3855122  0.056217   918  0.071569  0.0083 0.000520 0.000621 0.002000 -0.045385  0.049781 -0.180265
ALPP 01NOV22 2001.8919 52235 1141 4 -118.7    475  0.889190   3855122  0.062140   918  0.075326  0.0083 0.000524 0.000627 0.002009 -0.021282  0.050622 -0.197108
ALPP 01NOV23 2001.8946 52236 1141 5 -118.7    475  0.894136   3855122  0.059906   918  0.067363  0.0083 0.000513 0.000629 0.002028  0.008174  0.012107 -0.139377
ALPP 01NOV24 2001.8973 52237 1141 6 -118.7    475  0.896995   3855122  0.053178   918  0.074802  0.0083 0.000531 0.000658 0.002193  0.030083 -0.023547 -0.197279
ALPP 01NOV25 2001.9001 52238 1142 0 -118.7    475  0.895502   3855122  0.059658   918  0.071904  0.0083 0.000517 0.000621 0.001986  0.004961  0.008602 -0.171068
ALPP 01NOV26 2001.9028 52239 1142 1 -118.7    475  0.897497   3855122  0.057466   918  0.068001  0.0083 0.000500 0.000615 0.001935 -0.009829  0.023762 -0.156057
ALPP 01NOV27 2001.9055 52240 1142 2 -118.7    475  0.897044   3855122  0.058865   918  0.071398  0.0083 0.000513 0.000621 0.001967 -0.048160  0.042766 -0.160533
ALPP 01NOV28 2001.9083 52241 1142 3 -118.7    475  0.900235   3855122  0.053900   918  0.076832  0.0083 0.000506 0.000613 0.001953 -0.024703  0.051302 -0.168371
ALPP 01NOV29 2001.9110 52242 1142 4 -118.7    475  0.897897   3855122  0.054542   918  0.076826  0.0083 0.000510 0.000620 0.001981 -0.047031  0.069305 -0.152643
ALPP 01NOV30 2001.9138 52243 1142 5 -118.7    475  0.897920   3855122  0.057095   918  0.070228  0.0083 0.000520 0.000627 0.002012 -0.061746  0.072867 -0.158251
ALPP 01DEC01 2001.9165 52244 1142 6 -118.7    475  0.899624   3855122  0.054803   918  0.079998  0.0083 0.000508 0.000614 0.001946 -0.027480 -0.000634 -0.174716
ALPP 01DEC02 2001.9192 52245 1143 0 -118.7    475  0.900437   3855122  0.055663   918  0.077154  0.0083 0.000510 0.000624 0.001962  0.002259  0.014659 -0.158989
ALPP 01DEC03 2001.9220 52246 1143 1 -118.7    475  0.895975   3855122  0.056364   918  0.072431  0.0083 0.000507 0.000622 0.001972 -0.038741  0.029459 -0.136374
ALPP 01DEC04 2001.9247 52247 1143 2 -118.7    475  0.886354   3855122  0.068322   918  0.064286  0.0083 0.000507 0.000613 0.001951 -0.016792  0.033152 -0.147782
ALPP 01DEC05 2001.9274 52248 1143 3 -118.7    475  0.894829   3855122  0.057040   918  0.074796  0.0083 0.000508 0.000612 0.001950 -0.044789  0.044272 -0.132544
ALPP 01DEC06 2001.9302 52249 1143 4 -118.7    475  0.898732   3855122  0.058560   918  0.073925  0.0083 0.000533 0.000634 0.002034 -0.048229  0.073972 -0.157630
ALPP 01DEC07 2001.9329 52250 1143 5 -118.7    475  0.897680   3855122  0.057575   918  0.081230  0.0083 0.000533 0.000640 0.002057 -0.069034  0.053695 -0.133104
ALPP 01DEC08 2001.9357 52251 1143 6 -118.7    475  0.899597   3855122  0.056789   918  0.076324  0.0083 0.000503 0.000609 0.001938 -0.023220  0.030910 -0.152353
ALPP 01DEC09 2001.9384 52252 1144 0 -118.7    475  0.899894   3855122  0.057262   918  0.072929  0.0083 0.000505 0.000627 0.001967 -0.045642  0.035396 -0.151455
ALPP 01DEC10 2001.9411 52253 1144 1 -118.7    475  0.892920   3855122  0.066099   918  0.064537  0.0083 0.000527 0.000635 0.002044 -0.011428  0.031705 -0.150501
ALPP 01DEC11 2001.9439 52254 1144 2 -118.7    475  0.892274   3855122  0.065062   918  0.062523  0.0083 0.000535 0.000646 0.002073 -0.114669  0.108705 -0.167659
ALPP 01DEC12 2001.9466 52255 1144 3 -118.7    475  0.892446   3855122  0.063964   918  0.070063  0.0083 0.000526 0.000653 0.002094 -0.094340  0.070377 -0.177987
ALPP 01DEC13 2001.9493 52256 1144 4 -118.7    475  0.897747   3855122  0.054600   918  0.069662  0.0083 0.000513 0.000631 0.002012 -0.034945  0.011288 -0.155322
ALPP 01DEC14 2001.9521 52257 1144 5 -118.7    475  0.898899   3855122  0.053592   918  0.073123  0.0083 0.000505 0.000623 0.001990 -0.017751  0.022168 -0.170423
ALPP 01DEC15 2001.9548 52258 1144 6 -118.7    475  0.892284   3855122  0.059769   918  0.069761  0.0083 0.000506 0.000611 0.001922 -0.018524  0.037024 -0.149276
ALPP 01DEC16 2001.9576 52259 1145 0 -118.7    475  0.896850   3855122  0.054912   918  0.075529  0.0083 0.000515 0.000619 0.001939 -0.043868  0.070104 -0.151323
ALPP 01DEC17 2001.9603 52260 1145 1 -118.7    475  0.894963   3855122  0.057423   918  0.074726  0.0083 0.000514 0.000621 0.001972 -0.026189  0.013517 -0.155305
ALPP 01DEC18 2001.9630 52261 1145 2 -118.7    475  0.898054   3855122  0.059246   918  0.070950  0.0083 0.000516 0.000634 0.001986 -0.036914  0.015252 -0.132476
ALPP 01DEC19 2001.9658 52262 1145 3 -118.7    475  0.898004   3855122  0.057859   918  0.077200  0.0083 0.000500 0.000609 0.001923 -0.024622  0.005128 -0.142308
ALPP 01DEC20 2001.9685 52263 1145 4 -118.7    475  0.897678   3855122  0.056329   918  0.071997  0.0083 0.000512 0.000616 0.001955 -0.034392  0.004309 -0.161044
ALPP 01DEC21 2001.9713 52264 1145 5 -118.7    475  0.896283   3855122  0.057729   918  0.069193  0.0083 0.000508 0.000610 0.001941 -0.022391  0.020407 -0.156883
ALPP 01DEC22 2001.9740 52265 1145 6 -118.7    475  0.894290   3855122  0.059120   918  0.068903  0.0083 0.000524 0.000613 0.001956 -0.009825  0.019634 -0.143458
ALPP 01DEC23 2001.9767 52266 1146 0 -118.7    475  0.891680   3855122  0.064264   918  0.055638  0.0083 0.000518 0.000613 0.001938 -0.027852  0.007253 -0.144381
