site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
API1 07JAN01 2007.0007 54101 1408 1  -89.4   2048  0.259597   4249482  0.700145   121  0.938133  0.0000 0.000507 0.000613 0.001924 -0.012973 -0.011880 -0.178646
API1 07JAN02 2007.0034 54102 1408 2  -89.4   2048  0.259926   4249482  0.700251   121  0.942478  0.0000 0.000504 0.000611 0.001890 -0.012273  0.001947 -0.184139
API1 07JAN03 2007.0062 54103 1408 3  -89.4   2048  0.261469   4249482  0.701326   121  0.948798  0.0000 0.000510 0.000612 0.001921 -0.020863  0.011896 -0.189733
API1 07JAN04 2007.0089 54104 1408 4  -89.4   2048  0.262539   4249482  0.702864   121  0.957717  0.0000 0.000513 0.000612 0.001923 -0.017206 -0.011334 -0.198638
API1 07JAN05 2007.0116 54105 1408 5  -89.4   2048  0.261922   4249482  0.701227   121  0.952610  0.0000 0.000509 0.000613 0.001907 -0.019095  0.002357 -0.184286
API1 07JAN06 2007.0144 54106 1408 6  -89.4   2048  0.262283   4249482  0.700175   121  0.951308  0.0000 0.000503 0.000608 0.001882 -0.017904  0.015335 -0.169143
API1 07JAN07 2007.0171 54107 1409 0  -89.4   2048  0.257950   4249482  0.702588   121  0.945513  0.0000 0.000510 0.000624 0.001919 -0.001435 -0.006496 -0.177418
API1 07JAN08 2007.0198 54108 1409 1  -89.4   2048  0.259243   4249482  0.702153   121  0.938787  0.0000 0.000511 0.000627 0.001932 -0.010425 -0.028232 -0.192122
API1 07JAN09 2007.0226 54109 1409 2  -89.4   2048  0.259319   4249482  0.701801   121  0.933175  0.0000 0.000513 0.000623 0.001921  0.004053 -0.019908 -0.189074
API1 07JAN10 2007.0253 54110 1409 3  -89.4   2048  0.258336   4249482  0.703707   121  0.945406  0.0000 0.000510 0.000614 0.001920 -0.016145 -0.014530 -0.146866
API1 07JAN11 2007.0281 54111 1409 4  -89.4   2048  0.262391   4249482  0.703629   121  0.941657  0.0000 0.000529 0.000621 0.001978 -0.005599 -0.007813 -0.187093
API1 07JAN12 2007.0308 54112 1409 5  -89.4   2048  0.262797   4249482  0.702959   121  0.948985  0.0000 0.000499 0.000614 0.001910 -0.005937 -0.005292 -0.181012
API1 07JAN13 2007.0335 54113 1409 6  -89.4   2048  0.258160   4249482  0.702324   121  0.949583  0.0000 0.000491 0.000598 0.001861 -0.001710 -0.013944 -0.163387
API1 07JAN14 2007.0363 54114 1410 0  -89.4   2048  0.258735   4249482  0.702222   121  0.947833  0.0000 0.000505 0.000610 0.001928 -0.014065  0.004366 -0.164690
API1 07JAN15 2007.0390 54115 1410 1  -89.4   2048  0.258184   4249482  0.704000   121  0.947166  0.0000 0.000495 0.000599 0.001886 -0.011769  0.002125 -0.172308
API1 07JAN16 2007.0418 54116 1410 2  -89.4   2048  0.255812   4249482  0.704053   121  0.933770  0.0000 0.000503 0.000602 0.001894  0.020588 -0.028211 -0.183066
API1 07JAN17 2007.0445 54117 1410 3  -89.4   2048  0.258457   4249482  0.703827   121  0.935063  0.0000 0.000492 0.000594 0.001846 -0.009530 -0.020623 -0.156760
API1 07JAN18 2007.0472 54118 1410 4  -89.4   2048  0.259471   4249482  0.703127   121  0.940429  0.0000 0.000499 0.000616 0.001904 -0.009067 -0.016571 -0.168146
API1 07JAN19 2007.0500 54119 1410 5  -89.4   2048  0.258934   4249482  0.703300   121  0.937852  0.0000 0.000511 0.000606 0.001915 -0.007887 -0.022392 -0.130615
API1 07JAN20 2007.0527 54120 1410 6  -89.4   2048  0.258492   4249482  0.703516   121  0.940388  0.0000 0.000513 0.000608 0.001929 -0.011028 -0.031847 -0.152273
API1 07JAN21 2007.0554 54121 1411 0  -89.4   2048  0.257936   4249482  0.702129   121  0.942974  0.0000 0.000491 0.000608 0.001899  0.002694 -0.012004 -0.183286
API1 07JAN22 2007.0582 54122 1411 1  -89.4   2048  0.258170   4249482  0.704153   121  0.935867  0.0000 0.000486 0.000597 0.001853  0.001147 -0.000845 -0.168310
API1 07JAN23 2007.0609 54123 1411 2  -89.4   2048  0.258679   4249482  0.703688   121  0.938796  0.0000 0.000487 0.000598 0.001843 -0.003964 -0.028022 -0.165222
API1 07JAN24 2007.0637 54124 1411 3  -89.4   2048  0.259046   4249482  0.703319   121  0.938494  0.0000 0.000492 0.000606 0.001867 -0.004563 -0.014287 -0.165251
API1 07JAN25 2007.0664 54125 1411 4  -89.4   2048  0.258627   4249482  0.703255   121  0.934381  0.0000 0.000504 0.000618 0.001953  0.028387 -0.014528 -0.170915
