site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ARLD 11NOV09 2011.8549 55874 1661 3    4.5  -1032 -0.801441   5222090  0.215622   414  0.783855  0.0000 0.000647 0.000865 0.002562 -0.012487 -0.005017 -0.065215
ARLD 11NOV10 2011.8576 55875 1661 4    4.5  -1032 -0.802578   5222090  0.218943   414  0.780249  0.0000 0.000567 0.000753 0.002195  0.056276 -0.032799 -0.117140
ARLD 11NOV11 2011.8604 55876 1661 5    4.5  -1032 -0.802457   5222090  0.214960   414  0.779971  0.0000 0.000570 0.000759 0.002239  0.032050 -0.016230 -0.095486
ARLD 11NOV12 2011.8631 55877 1661 6    4.5  -1032 -0.803912   5222090  0.217973   414  0.780225  0.0000 0.000559 0.000747 0.002195  0.024303 -0.012556 -0.108006
ARLD 11NOV13 2011.8658 55878 1662 0    4.5  -1032 -0.802944   5222090  0.216993   414  0.774550  0.0000 0.000562 0.000742 0.002186  0.032514 -0.019005 -0.101281
ARLD 11NOV14 2011.8686 55879 1662 1    4.5  -1032 -0.802451   5222090  0.217741   414  0.778868  0.0000 0.000563 0.000745 0.002202  0.037572 -0.012329 -0.106457
ARLD 11NOV15 2011.8713 55880 1662 2    4.5  -1032 -0.803741   5222090  0.218478   414  0.777885  0.0000 0.000589 0.000774 0.002281  0.053496 -0.036347 -0.099833
ARLD 11NOV16 2011.8741 55881 1662 3    4.5  -1032 -0.802225   5222090  0.218568   414  0.780283  0.0000 0.000613 0.000790 0.002369 -0.005244 -0.020267 -0.108049
ARLD 11NOV17 2011.8768 55882 1662 4    4.5  -1032 -0.803500   5222090  0.215883   414  0.778320  0.0000 0.000578 0.000770 0.002266  0.038628 -0.002576 -0.109877
ARLD 11NOV18 2011.8795 55883 1662 5    4.5  -1032 -0.802800   5222090  0.218625   414  0.781135  0.0000 0.000563 0.000737 0.002164  0.070690 -0.024141 -0.110703
ARLD 11NOV19 2011.8823 55884 1662 6    4.5  -1032 -0.804658   5222090  0.214600   414  0.787319  0.0000 0.000559 0.000734 0.002171  0.033084 -0.012209 -0.112062
ARLD 11NOV20 2011.8850 55885 1663 0    4.5  -1032 -0.801886   5222090  0.216012   414  0.781387  0.0000 0.000654 0.000855 0.002521  0.071023 -0.023495 -0.111700
