site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BCSQ 19JAN15 2019.0390 58498 2036 2 -123.2   3316  0.957411   5507391  0.455832    -5 -0.911044  0.0000 0.000528 0.000702 0.002004 -0.195915  0.074888  0.039440
BCSQ 19JAN16 2019.0418 58499 2036 3 -123.2   3316  0.957714   5507391  0.454900    -5 -0.910144  0.0000 0.000522 0.000695 0.001945 -0.199818  0.077642  0.001214
BCSQ 19JAN17 2019.0445 58500 2036 4 -123.2   3316  0.958984   5507391  0.454315    -5 -0.903604  0.0000 0.000524 0.000693 0.001929 -0.206919  0.055863  0.017194
BCSQ 19JAN18 2019.0472 58501 2036 5 -123.2   3316  0.961917   5507391  0.454853    -5 -0.911024  0.0000 0.000534 0.000688 0.001956 -0.190778  0.057760 -0.015245
BCSQ 19JAN19 2019.0500 58502 2036 6 -123.2   3316  0.961368   5507391  0.453053    -5 -0.917246  0.0000 0.000544 0.000689 0.001998 -0.190608  0.089805 -0.030927
BCSQ 19JAN20 2019.0527 58503 2037 0 -123.2   3316  0.959942   5507391  0.454212    -5 -0.912090  0.0000 0.000551 0.000713 0.002017 -0.214172  0.073275 -0.029001
BCSQ 19JAN21 2019.0554 58504 2037 1 -123.2   3316  0.957285   5507391  0.452783    -5 -0.904845  0.0000 0.000539 0.000712 0.001994 -0.219087  0.069629  0.005197
BCSQ 19JAN22 2019.0582 58505 2037 2 -123.2   3316  0.958735   5507391  0.452169    -5 -0.901749  0.0000 0.000539 0.000729 0.002002 -0.224736  0.056382 -0.004777
BCSQ 19JAN23 2019.0609 58506 2037 3 -123.2   3316  0.959420   5507391  0.454839    -5 -0.907037  0.0000 0.000523 0.000698 0.001947 -0.202142  0.058817 -0.006195
BCSQ 19JAN24 2019.0637 58507 2037 4 -123.2   3316  0.960654   5507391  0.455193    -5 -0.908823  0.0000 0.000532 0.000704 0.001943 -0.214832  0.055983 -0.011176
BCSQ 19JAN25 2019.0664 58508 2037 5 -123.2   3316  0.960055   5507391  0.454793    -5 -0.903935  0.0000 0.000532 0.000706 0.001984 -0.209876  0.095740  0.021122
BCSQ 19JAN26 2019.0691 58509 2037 6 -123.2   3316  0.958316   5507391  0.451154    -5 -0.904568  0.0000 0.000531 0.000698 0.002022 -0.192405  0.052027  0.034320
BCSQ 19JAN27 2019.0719 58510 2038 0 -123.2   3316  0.958375   5507391  0.456492    -5 -0.908832  0.0000 0.000535 0.000714 0.002075 -0.189964  0.059799  0.056337
BCSQ 19JAN28 2019.0746 58511 2038 1 -123.2   3316  0.959175   5507391  0.458459    -5 -0.901615  0.0000 0.000526 0.000680 0.001955 -0.191755  0.090451  0.009592
BCSQ 19JAN29 2019.0773 58512 2038 2 -123.2   3316  0.959299   5507391  0.458699    -5 -0.903794  0.0000 0.000530 0.000695 0.001998 -0.203400  0.083977  0.047081
BCSQ 19JAN30 2019.0801 58513 2038 3 -123.2   3316  0.959404   5507391  0.453431    -5 -0.901414  0.0000 0.000529 0.000691 0.001995 -0.186383  0.103435  0.013670
BCSQ 19JAN31 2019.0828 58514 2038 4 -123.2   3316  0.960003   5507391  0.456107    -5 -0.899557  0.0000 0.000547 0.000706 0.002108 -0.203659  0.111431  0.068231
BCSQ 19FEB01 2019.0856 58515 2038 5 -123.2   3316  0.962052   5507391  0.454759    -5 -0.905054  0.0000 0.000526 0.000691 0.001954 -0.203833  0.062970 -0.018019
BCSQ 19FEB02 2019.0883 58516 2038 6 -123.2   3316  0.961410   5507391  0.457835    -5 -0.916875  0.0000 0.000519 0.000685 0.001939 -0.200636  0.086663 -0.005186
BCSQ 19FEB03 2019.0910 58517 2039 0 -123.2   3316  0.958942   5507391  0.454900    -5 -0.904800  0.0000 0.000535 0.000687 0.001975 -0.204952  0.085184  0.004533
BCSQ 19FEB04 2019.0938 58518 2039 1 -123.2   3316  0.945891   5507391  0.447595    -5 -0.957837  0.0000 0.000536 0.000699 0.002003 -0.204239  0.094156  0.013701
BCSQ 19FEB05 2019.0965 58519 2039 2 -123.2   3316  0.949427   5507391  0.451249    -5 -0.961712  0.0000 0.000533 0.000704 0.002019 -0.206286  0.105140  0.031489
BCSQ 19FEB06 2019.0992 58520 2039 3 -123.2   3316  0.948263   5507391  0.450514    -5 -0.955936  0.0000 0.000529 0.000693 0.001999 -0.199719  0.095476  0.037010
BCSQ 19FEB07 2019.1020 58521 2039 4 -123.2   3316  0.948258   5507391  0.449843    -5 -0.957565  0.0000 0.000529 0.000695 0.001987 -0.201066  0.094575  0.013644
BCSQ 19FEB08 2019.1047 58522 2039 5 -123.2   3316  0.946863   5507391  0.449878    -5 -0.961111  0.0000 0.000531 0.000689 0.002003 -0.207301  0.087804  0.029018
BCSQ 19FEB09 2019.1075 58523 2039 6 -123.2   3316  0.944493   5507391  0.449143    -5 -0.950178  0.0000 0.000538 0.000694 0.002021 -0.211337  0.086717  0.016817
BCSQ 19FEB10 2019.1102 58524 2040 0 -123.2   3316  0.948648   5507391  0.448732    -5 -0.961438  0.0000 0.000533 0.000695 0.002015 -0.205297  0.082331  0.030494
BCSQ 19FEB11 2019.1129 58525 2040 1 -123.2   3316  0.946396   5507391  0.448738    -5 -0.961780  0.0000 0.000534 0.000715 0.002076 -0.215944  0.075789  0.035037
BCSQ 19FEB12 2019.1157 58526 2040 2 -123.2   3316  0.946813   5507391  0.447423    -5 -0.955539  0.0000 0.000550 0.000733 0.002155 -0.204110  0.084975  0.047592
BCSQ 19FEB13 2019.1184 58527 2040 3 -123.2   3316  0.947976   5507391  0.449374    -5 -0.953313  0.0000 0.000535 0.000699 0.002039 -0.197435  0.092957  0.014137
BCSQ 19FEB14 2019.1211 58528 2040 4 -123.2   3316  0.947145   5507391  0.450154    -5 -0.944358  0.0000 0.000554 0.000705 0.002049 -0.204893  0.083256 -0.003713
BCSQ 19FEB15 2019.1239 58529 2040 5 -123.2   3316  0.947664   5507391  0.446964    -5 -0.957070  0.0000 0.000554 0.000710 0.002061 -0.199437  0.087234 -0.012601
BCSQ 19FEB16 2019.1266 58530 2040 6 -123.2   3316  0.948829   5507391  0.448578    -5 -0.958966  0.0000 0.000520 0.000679 0.001938 -0.198266  0.064054 -0.012818
BCSQ 19FEB17 2019.1294 58531 2041 0 -123.2   3316  0.946481   5507391  0.450056    -5 -0.964834  0.0000 0.000538 0.000694 0.002015 -0.200688  0.082805  0.011572
BCSQ 19FEB18 2019.1321 58532 2041 1 -123.2   3316  0.947268   5507391  0.449105    -5 -0.964471  0.0000 0.000530 0.000706 0.002013 -0.193622  0.085569  0.025890
