site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BJNA 09JUL19 2009.5469 55031 1541 0    1.4  -2109 -0.011218   1133858  0.882834   416  0.957161  0.0000 0.000576 0.000450 0.002058  0.019931 -0.171561 -0.061664
BJNA 09JUL20 2009.5496 55032 1541 1    1.4  -2109 -0.008133   1133858  0.883304   416  0.962691  0.0000 0.000575 0.000454 0.002066  0.013609 -0.174136 -0.049978
BJNA 09JUL21 2009.5524 55033 1541 2    1.4  -2109 -0.010446   1133858  0.882004   416  0.961527  0.0000 0.000569 0.000450 0.002036  0.009225 -0.151334 -0.044322
BJNA 09JUL22 2009.5551 55034 1541 3    1.4  -2109 -0.009922   1133858  0.883648   416  0.962751  0.0000 0.000575 0.000451 0.002041  0.014184 -0.147936 -0.052153
BJNA 09JUL23 2009.5578 55035 1541 4    1.4  -2109 -0.011316   1133858  0.881947   416  0.962516  0.0000 0.000570 0.000450 0.002040  0.016159 -0.160601 -0.067367
BJNA 09JUL24 2009.5606 55036 1541 5    1.4  -2109 -0.012604   1133858  0.883435   416  0.965439  0.0000 0.000570 0.000460 0.002083  0.035704 -0.146360 -0.073890
BJNA 09JUL25 2009.5633 55037 1541 6    1.4  -2109 -0.009788   1133858  0.883311   416  0.967351  0.0000 0.000593 0.000453 0.002057  0.008003 -0.133748 -0.053000
BJNA 09JUL26 2009.5661 55038 1542 0    1.4  -2109 -0.010316   1133858  0.882684   416  0.955072  0.0000 0.000596 0.000456 0.002065 -0.004787 -0.148336 -0.024946
BJNA 09JUL27 2009.5688 55039 1542 1    1.4  -2109 -0.011132   1133858  0.883831   416  0.958948  0.0000 0.000566 0.000447 0.001990  0.005585 -0.137332 -0.046450
BJNA 09JUL28 2009.5715 55040 1542 2    1.4  -2109 -0.012673   1133858  0.884840   416  0.960498  0.0000 0.000566 0.000450 0.002012  0.010372 -0.146566 -0.054380
