site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BORM 07DEC23 2007.9754 54457 1459 0   10.4  -2766 -0.897694   5148127  0.140500  1263  0.367059  0.0749 0.000685 0.000876 0.002903  0.032821  0.022158 -0.223117
BORM 07DEC24 2007.9781 54458 1459 1   10.4  -2766 -0.896846   5148127  0.140955  1263  0.366019  0.0749 0.000697 0.000887 0.002967  0.025413  0.038503 -0.223812
BORM 07DEC25 2007.9808 54459 1459 2   10.4  -2766 -0.895275   5148127  0.142135  1263  0.370075  0.0749 0.000700 0.000867 0.002986  0.025137 -0.022087 -0.234341
BORM 07DEC26 2007.9836 54460 1459 3   10.4  -2766 -0.895484   5148127  0.142372  1263  0.367435  0.0749 0.000689 0.000853 0.002903  0.012657 -0.007299 -0.248870
BORM 07DEC27 2007.9863 54461 1459 4   10.4  -2766 -0.895595   5148127  0.141122  1263  0.369771  0.0749 0.000710 0.000902 0.002985  0.035296 -0.004209 -0.218587
BORM 07DEC28 2007.9890 54462 1459 5   10.4  -2766 -0.897416   5148127  0.141174  1263  0.367047  0.0749 0.000707 0.000910 0.002986  0.039492 -0.013571 -0.228603
BORM 07DEC29 2007.9918 54463 1459 6   10.4  -2766 -0.896355   5148127  0.141183  1263  0.368160  0.0749 0.000704 0.000883 0.002945  0.037632 -0.001945 -0.246898
BORM 07DEC30 2007.9945 54464 1460 0   10.4  -2766 -0.896317   5148127  0.143311  1263  0.373969  0.0749 0.000703 0.000904 0.002940  0.033866  0.028573 -0.196079
BORM 07DEC31 2007.9973 54465 1460 1   10.4  -2766 -0.897140   5148127  0.140615  1263  0.370078  0.0749 0.000691 0.000859 0.002930  0.010747  0.014644 -0.236327
BORM 08JAN01 2008.0000 54466 1460 2   10.4  -2766 -0.897579   5148127  0.143077  1263  0.371085  0.0749 0.000684 0.000838 0.002863 -0.010051  0.011333 -0.263212
BORM 08JAN02 2008.0027 54467 1460 3   10.4  -2766 -0.896509   5148127  0.142401  1263  0.372377  0.0749 0.000678 0.000846 0.002845 -0.000753  0.045685 -0.241715
BORM 08JAN03 2008.0055 54468 1460 4   10.4  -2766 -0.896558   5148127  0.139277  1263  0.366194  0.0749 0.000669 0.000826 0.002779 -0.016856  0.035432 -0.254675
BORM 08JAN04 2008.0082 54469 1460 5   10.4  -2766 -0.896383   5148127  0.141026  1263  0.363648  0.0749 0.000673 0.000828 0.002763  0.003496  0.035522 -0.231184
BORM 08JAN05 2008.0110 54470 1460 6   10.4  -2766 -0.896973   5148127  0.139525  1263  0.362502  0.0749 0.000681 0.000849 0.002799  0.024418  0.042742 -0.204147
BORM 08JAN06 2008.0137 54471 1461 0   10.4  -2766 -0.896104   5148127  0.142734  1263  0.369544  0.0749 0.000672 0.000830 0.002779 -0.016749  0.047865 -0.232687
BORM 08JAN07 2008.0164 54472 1461 1   10.4  -2766 -0.895171   5148127  0.140735  1263  0.372236  0.0749 0.000662 0.000833 0.002762 -0.031477  0.066584 -0.230474
BORM 08JAN08 2008.0192 54473 1461 2   10.4  -2766 -0.896336   5148127  0.140729  1263  0.373138  0.0749 0.000678 0.000822 0.002799 -0.023824  0.030157 -0.243326
BORM 08JAN09 2008.0219 54474 1461 3   10.4  -2766 -0.896147   5148127  0.140471  1263  0.375724  0.0749 0.000670 0.000835 0.002806 -0.018663  0.029897 -0.204691
BORM 08JAN10 2008.0246 54475 1461 4   10.4  -2766 -0.896460   5148127  0.139615  1263  0.373868  0.0749 0.000658 0.000806 0.002725 -0.028501  0.029015 -0.257330
BORM 08JAN11 2008.0274 54476 1461 5   10.4  -2766 -0.897245   5148127  0.139189  1263  0.371258  0.0749 0.000662 0.000823 0.002772 -0.036125  0.050205 -0.240510
BORM 08JAN12 2008.0301 54477 1461 6   10.4  -2766 -0.899174   5148127  0.140430  1263  0.372764  0.0749 0.000665 0.000839 0.002785 -0.009416  0.046396 -0.214028
BORM 08JAN13 2008.0329 54478 1462 0   10.4  -2766 -0.894152   5148127  0.142707  1263  0.371461  0.0749 0.000666 0.000855 0.002832 -0.023656  0.062301 -0.196078
BORM 08JAN14 2008.0356 54479 1462 1   10.4  -2766 -0.895289   5148127  0.139786  1263  0.366115  0.0749 0.000657 0.000842 0.002778 -0.033577  0.056667 -0.216589
BORM 08JAN15 2008.0383 54480 1462 2   10.4  -2766 -0.895684   5148127  0.139970  1263  0.368267  0.0749 0.000658 0.000837 0.002768 -0.031858  0.056560 -0.218828
BORM 08JAN16 2008.0411 54481 1462 3   10.4  -2766 -0.897962   5148127  0.139432  1263  0.364936  0.0749 0.000680 0.000849 0.002838  0.027469  0.026542 -0.203253
BORM 08JAN17 2008.0438 54482 1462 4   10.4  -2766 -0.894544   5148127  0.140780  1263  0.370334  0.0749 0.000687 0.000869 0.002897  0.011736  0.010344 -0.216076
BORM 08JAN18 2008.0465 54483 1462 5   10.4  -2766 -0.896342   5148127  0.144174  1263  0.375865  0.0749 0.000669 0.000852 0.002870 -0.012628  0.072007 -0.234861
BORM 08JAN19 2008.0493 54484 1462 6   10.4  -2766 -0.896385   5148127  0.142819  1263  0.367924  0.0749 0.000674 0.000865 0.002841 -0.003189  0.060035 -0.193896
BORM 08MAY19 2008.3806 54605 1480 1   10.4  -2766 -0.892788   5148127  0.147661  1263  0.374057  0.0749 0.000662 0.000822 0.002756 -0.030940  0.059983 -0.251050
BORM 08MAY20 2008.3833 54606 1480 2   10.4  -2766 -0.891222   5148127  0.146470  1263  0.369379  0.0749 0.000683 0.000832 0.002820 -0.071555  0.064273 -0.241486
