site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BRDQ 14JUL30 2014.5763 56868 1803 3  -67.7   2015  0.805797  -2029254 -0.540352  3807  0.510727  0.0000 0.000581 0.000496 0.001983  0.011751  0.045254  0.034539
BRDQ 14JUL31 2014.5791 56869 1803 4  -67.7   2015  0.810812  -2029254 -0.533898  3807  0.524281  0.0000 0.000549 0.000471 0.001865  0.021763  0.041034  0.031730
BRDQ 14AUG01 2014.5818 56870 1803 5  -67.7   2015  0.808139  -2029254 -0.538595  3807  0.519814  0.0000 0.000558 0.000481 0.001882 -0.004382  0.046620  0.032711
BRDQ 14AUG02 2014.5845 56871 1803 6  -67.7   2015  0.810164  -2029254 -0.537074  3807  0.529921  0.0000 0.000559 0.000485 0.001894 -0.015102  0.061047  0.038234
BRDQ 14AUG03 2014.5873 56872 1804 0  -67.7   2015  0.809452  -2029254 -0.541576  3807  0.522685  0.0000 0.000561 0.000482 0.001914 -0.002519  0.041551  0.022777
BRDQ 14AUG04 2014.5900 56873 1804 1  -67.7   2015  0.810932  -2029254 -0.540219  3807  0.527322  0.0000 0.000557 0.000486 0.001905  0.036343  0.033048  0.024204
BRDQ 14AUG05 2014.5927 56874 1804 2  -67.7   2015  0.811238  -2029254 -0.539324  3807  0.526877  0.0000 0.000557 0.000482 0.001921  0.008746  0.021085  0.018215
BRDQ 14AUG06 2014.5955 56875 1804 3  -67.7   2015  0.807926  -2029254 -0.536391  3807  0.521240  0.0000 0.000560 0.000478 0.001904  0.015549  0.013105  0.035989
BRDQ 14AUG07 2014.5982 56876 1804 4  -67.7   2015  0.808119  -2029254 -0.537647  3807  0.528789  0.0000 0.000560 0.000490 0.001934  0.014782  0.056008  0.034213
BRDQ 14AUG08 2014.6010 56877 1804 5  -67.7   2015  0.808988  -2029254 -0.539397  3807  0.519821  0.0000 0.000556 0.000482 0.001897  0.024781  0.043070  0.026700
BRDQ 14AUG09 2014.6037 56878 1804 6  -67.7   2015  0.810478  -2029254 -0.540107  3807  0.520676  0.0000 0.000558 0.000484 0.001904  0.034474  0.034802  0.017298
BRDQ 14AUG10 2014.6064 56879 1805 0  -67.7   2015  0.809988  -2029254 -0.535176  3807  0.515645  0.0000 0.000556 0.000482 0.001882  0.030838  0.028164  0.024524
BRDQ 14AUG11 2014.6092 56880 1805 1  -67.7   2015  0.809000  -2029254 -0.539012  3807  0.521291  0.0000 0.000548 0.000477 0.001855  0.021343  0.013498  0.021680
BRDQ 14AUG12 2014.6119 56881 1805 2  -67.7   2015  0.810340  -2029254 -0.539859  3807  0.520561  0.0000 0.000557 0.000494 0.001913  0.014061  0.025262  0.003105
BRDQ 14AUG13 2014.6146 56882 1805 3  -67.7   2015  0.812443  -2029254 -0.538666  3807  0.524389  0.0000 0.000559 0.000481 0.001891  0.026735  0.032600  0.037181
BRDQ 14AUG14 2014.6174 56883 1805 4  -67.7   2015  0.811907  -2029254 -0.539128  3807  0.521829  0.0000 0.000575 0.000491 0.001921  0.022267 -0.010182  0.035949
BRDQ 14AUG15 2014.6201 56884 1805 5  -67.7   2015  0.810516  -2029254 -0.539427  3807  0.524212  0.0000 0.000556 0.000483 0.001888  0.017550  0.032283  0.040360
BRDQ 14AUG16 2014.6229 56885 1805 6  -67.7   2015  0.809420  -2029254 -0.536428  3807  0.522292  0.0000 0.000558 0.000481 0.001875  0.020855  0.011691  0.044281
BRDQ 14AUG17 2014.6256 56886 1806 0  -67.7   2015  0.811504  -2029254 -0.537440  3807  0.524390  0.0000 0.000561 0.000480 0.001889  0.032635  0.012861  0.024057
BRDQ 14AUG18 2014.6283 56887 1806 1  -67.7   2015  0.810076  -2029254 -0.537365  3807  0.515051  0.0000 0.000557 0.000478 0.001876  0.011021 -0.003720  0.034854
BRDQ 14AUG19 2014.6311 56888 1806 2  -67.7   2015  0.811408  -2029254 -0.541204  3807  0.519668  0.0000 0.000560 0.000476 0.001866  0.016015  0.011201  0.045215
BRDQ 14AUG20 2014.6338 56889 1806 3  -67.7   2015  0.811242  -2029254 -0.538829  3807  0.524147  0.0000 0.000575 0.000494 0.001939  0.039024  0.046441  0.022809
BRDQ 14AUG21 2014.6366 56890 1806 4  -67.7   2015  0.809908  -2029254 -0.537153  3807  0.534304  0.0000 0.000561 0.000484 0.001883  0.019068  0.023129  0.010930
BRDQ 14AUG22 2014.6393 56891 1806 5  -67.7   2015  0.809239  -2029254 -0.535430  3807  0.523564  0.0000 0.000566 0.000484 0.001893  0.033520 -0.005103  0.018793
BRDQ 14AUG23 2014.6420 56892 1806 6  -67.7   2015  0.808844  -2029254 -0.536353  3807  0.526930  0.0000 0.000565 0.000481 0.001892  0.034930  0.005794  0.022818
BRDQ 14AUG24 2014.6448 56893 1807 0  -67.7   2015  0.809311  -2029254 -0.538244  3807  0.530291  0.0000 0.000559 0.000483 0.001878  0.006340  0.001787  0.017153
BRDQ 14AUG25 2014.6475 56894 1807 1  -67.7   2015  0.810082  -2029254 -0.539185  3807  0.525355  0.0000 0.000557 0.000478 0.001881  0.025372  0.036751  0.029227
BRDQ 14AUG26 2014.6502 56895 1807 2  -67.7   2015  0.806374  -2029254 -0.536805  3807  0.526030  0.0000 0.000559 0.000479 0.001872  0.029677  0.020266  0.025843
BRDQ 14AUG27 2014.6530 56896 1807 3  -67.7   2015  0.809662  -2029254 -0.538424  3807  0.530763  0.0000 0.000559 0.000478 0.001883  0.034964  0.022264  0.038374
BRDQ 14AUG28 2014.6557 56897 1807 4  -67.7   2015  0.809868  -2029254 -0.536125  3807  0.529909  0.0000 0.000562 0.000479 0.001884  0.034613  0.005792  0.054822
BRDQ 14AUG29 2014.6585 56898 1807 5  -67.7   2015  0.810735  -2029254 -0.541244  3807  0.518638  0.0000 0.000556 0.000478 0.001866  0.013707  0.008202  0.027798
BRDQ 14AUG30 2014.6612 56899 1807 6  -67.7   2015  0.811072  -2029254 -0.539769  3807  0.517527  0.0000 0.000579 0.000488 0.001905  0.030983  0.020774  0.043384
BRDQ 14AUG31 2014.6639 56900 1808 0  -67.7   2015  0.808887  -2029254 -0.538082  3807  0.526647  0.0000 0.000562 0.000480 0.001884  0.039974  0.024905  0.037156
BRDQ 14SEP01 2014.6667 56901 1808 1  -67.7   2015  0.810743  -2029254 -0.541123  3807  0.524981  0.0000 0.000555 0.000477 0.001856  0.018620  0.021740  0.038183
BRDQ 14SEP02 2014.6694 56902 1808 2  -67.7   2015  0.808979  -2029254 -0.540291  3807  0.522371  0.0000 0.000559 0.000480 0.001859  0.014735  0.016492  0.034142
BRDQ 14SEP03 2014.6721 56903 1808 3  -67.7   2015  0.811263  -2029254 -0.538866  3807  0.520232  0.0000 0.000560 0.000475 0.001867  0.001597  0.020867  0.048998
BRDQ 14SEP04 2014.6749 56904 1808 4  -67.7   2015  0.809095  -2029254 -0.537974  3807  0.529421  0.0000 0.001187 0.001115 0.004804 -0.023812 -0.043541  0.124183
BRDQ 14SEP05 2014.6776 56905 1808 5  -67.7   2015  0.810696  -2029254 -0.535483  3807  0.533722  0.0000 0.000557 0.000480 0.001852 -0.006133 -0.007911  0.012807
BRDQ 14SEP06 2014.6804 56906 1808 6  -67.7   2015  0.808795  -2029254 -0.540101  3807  0.523965  0.0000 0.000565 0.000482 0.001883  0.010846  0.036133  0.005181
BRDQ 14SEP07 2014.6831 56907 1809 0  -67.7   2015  0.806882  -2029254 -0.536774  3807  0.520706  0.0000 0.000559 0.000481 0.001847  0.013196  0.034766  0.028866
BRDQ 14SEP08 2014.6858 56908 1809 1  -67.7   2015  0.808199  -2029254 -0.539632  3807  0.527881  0.0000 0.000562 0.000480 0.001855  0.008209  0.001800  0.022905
BRDQ 14SEP09 2014.6886 56909 1809 2  -67.7   2015  0.809530  -2029254 -0.538230  3807  0.526007  0.0000 0.000554 0.000479 0.001833  0.009325  0.021795  0.019399
BRDQ 14SEP10 2014.6913 56910 1809 3  -67.7   2015  0.810739  -2029254 -0.538210  3807  0.528681  0.0000 0.000551 0.000472 0.001814  0.002862  0.025122  0.040819
BRDQ 14SEP11 2014.6940 56911 1809 4  -67.7   2015  0.807201  -2029254 -0.540581  3807  0.535861  0.0000 0.000562 0.000479 0.001850  0.006135  0.022887  0.025710
BRDQ 14SEP12 2014.6968 56912 1809 5  -67.7   2015  0.807074  -2029254 -0.541555  3807  0.526257  0.0000 0.000569 0.000476 0.001849  0.007646  0.010843  0.051638
BRDQ 14SEP13 2014.6995 56913 1809 6  -67.7   2015  0.808174  -2029254 -0.539405  3807  0.515435  0.0000 0.000558 0.000473 0.001835  0.023544  0.040794  0.050573
BRDQ 14SEP14 2014.7023 56914 1810 0  -67.7   2015  0.809685  -2029254 -0.538245  3807  0.519802  0.0000 0.000585 0.000484 0.001897  0.023007  0.062857  0.072420
BRDQ 14SEP15 2014.7050 56915 1810 1  -67.7   2015  0.812070  -2029254 -0.538350  3807  0.528828  0.0000 0.000568 0.000486 0.001864  0.015967  0.016138  0.027825
BRDQ 14SEP16 2014.7077 56916 1810 2  -67.7   2015  0.806030  -2029254 -0.539729  3807  0.526805  0.0000 0.000570 0.000481 0.001833  0.030253  0.032508  0.040569
BRDQ 14SEP17 2014.7105 56917 1810 3  -67.7   2015  0.809462  -2029254 -0.539021  3807  0.530752  0.0000 0.000569 0.000481 0.001839  0.020946  0.031941  0.028111
BRDQ 14SEP18 2014.7132 56918 1810 4  -67.7   2015  0.810941  -2029254 -0.538856  3807  0.525563  0.0000 0.000594 0.000484 0.001917  0.010764  0.017767  0.054543
BRDQ 14SEP19 2014.7159 56919 1810 5  -67.7   2015  0.811430  -2029254 -0.540253  3807  0.524858  0.0000 0.000608 0.000505 0.001931  0.002198  0.016800  0.041389
BRDQ 14SEP20 2014.7187 56920 1810 6  -67.7   2015  0.812342  -2029254 -0.538011  3807  0.529236  0.0000 0.000584 0.000487 0.001879  0.009722  0.021668  0.039779
BRDQ 14SEP21 2014.7214 56921 1811 0  -67.7   2015  0.812800  -2029254 -0.537763  3807  0.531452  0.0000 0.000573 0.000490 0.001880  0.020079  0.051647  0.063122
BRDQ 14SEP22 2014.7242 56922 1811 1  -67.7   2015  0.809521  -2029254 -0.539807  3807  0.523609  0.0000 0.000558 0.000479 0.001833  0.007269  0.031839  0.056197
BRDQ 14SEP23 2014.7269 56923 1811 2  -67.7   2015  0.809094  -2029254 -0.538388  3807  0.526802  0.0000 0.000567 0.000484 0.001877  0.014089  0.015809  0.065657
BRDQ 14SEP24 2014.7296 56924 1811 3  -67.7   2015  0.811723  -2029254 -0.536892  3807  0.525675  0.0000 0.000578 0.000492 0.001913  0.015252  0.034679  0.043655
BRDQ 14SEP25 2014.7324 56925 1811 4  -67.7   2015  0.810945  -2029254 -0.537849  3807  0.530505  0.0000 0.000549 0.000475 0.001837  0.036693  0.044746  0.068921
BRDQ 14SEP26 2014.7351 56926 1811 5  -67.7   2015  0.809259  -2029254 -0.539926  3807  0.519147  0.0000 0.000568 0.000486 0.001859  0.014924  0.030288  0.070896
BRDQ 14SEP27 2014.7379 56927 1811 6  -67.7   2015  0.811481  -2029254 -0.539883  3807  0.533154  0.0000 0.000580 0.000494 0.001893  0.015827  0.040265  0.053506
BRDQ 14SEP28 2014.7406 56928 1812 0  -67.7   2015  0.809355  -2029254 -0.540621  3807  0.524822  0.0000 0.000590 0.000500 0.001949 -0.013833  0.016919  0.061406
BRDQ 14SEP29 2014.7433 56929 1812 1  -67.7   2015  0.811743  -2029254 -0.540025  3807  0.524995  0.0000 0.000577 0.000492 0.001865 -0.018033  0.018747  0.054707
BRDQ 14SEP30 2014.7461 56930 1812 2  -67.7   2015  0.813582  -2029254 -0.542046  3807  0.524805  0.0000 0.000580 0.000498 0.001905  0.004960  0.002311  0.052688
BRDQ 14OCT01 2014.7488 56931 1812 3  -67.7   2015  0.814396  -2029254 -0.540636  3807  0.522238  0.0000 0.000543 0.000472 0.001815 -0.002028  0.006158  0.051854
BRDQ 14OCT02 2014.7515 56932 1812 4  -67.7   2015  0.810822  -2029254 -0.539719  3807  0.528088  0.0000 0.000586 0.000503 0.001949  0.029406  0.072214  0.057999
BRDQ 14OCT03 2014.7543 56933 1812 5  -67.7   2015  0.810381  -2029254 -0.538656  3807  0.524490  0.0000 0.000590 0.000511 0.001929  0.044400  0.028943  0.045037
BRDQ 14OCT04 2014.7570 56934 1812 6  -67.7   2015  0.809400  -2029254 -0.537200  3807  0.523892  0.0000 0.000584 0.000505 0.001942 -0.007718  0.023428  0.066050
BRDQ 14OCT05 2014.7598 56935 1813 0  -67.7   2015  0.809664  -2029254 -0.536671  3807  0.530314  0.0000 0.000542 0.000482 0.001847 -0.007807  0.019543  0.030074
BRDQ 14OCT06 2014.7625 56936 1813 1  -67.7   2015  0.808006  -2029254 -0.539971  3807  0.527029  0.0000 0.000552 0.000478 0.001863  0.007695  0.035470  0.043318
BRDQ 14OCT07 2014.7652 56937 1813 2  -67.7   2015  0.808819  -2029254 -0.541927  3807  0.525764  0.0000 0.000567 0.000483 0.001899  0.006038  0.027126  0.035991
BRDQ 14OCT08 2014.7680 56938 1813 3  -67.7   2015  0.808422  -2029254 -0.540591  3807  0.527797  0.0000 0.000563 0.000486 0.001898  0.009678  0.045835  0.055549
BRDQ 14OCT09 2014.7707 56939 1813 4  -67.7   2015  0.807163  -2029254 -0.539834  3807  0.524620  0.0000 0.000596 0.000507 0.001951  0.020319  0.016411  0.059380
BRDQ 14OCT10 2014.7734 56940 1813 5  -67.7   2015  0.808575  -2029254 -0.544389  3807  0.525513  0.0000 0.000564 0.000486 0.001913  0.009344  0.039661  0.030486
BRDQ 14OCT11 2014.7762 56941 1813 6  -67.7   2015  0.809834  -2029254 -0.539205  3807  0.524649  0.0000 0.000546 0.000473 0.001861  0.005306  0.015495  0.060821
BRDQ 14OCT12 2014.7789 56942 1814 0  -67.7   2015  0.807755  -2029254 -0.538132  3807  0.521954  0.0000 0.000547 0.000474 0.001870  0.020041  0.028584  0.059524
BRDQ 14OCT13 2014.7817 56943 1814 1  -67.7   2015  0.811100  -2029254 -0.540711  3807  0.520603  0.0000 0.000559 0.000499 0.001919 -0.019126  0.002725  0.054804
BRDQ 14OCT14 2014.7844 56944 1814 2  -67.7   2015  0.810909  -2029254 -0.538892  3807  0.524783  0.0000 0.000542 0.000477 0.001867 -0.008772  0.009596  0.050394
BRDQ 14OCT15 2014.7871 56945 1814 3  -67.7   2015  0.811517  -2029254 -0.536200  3807  0.531945  0.0000 0.000545 0.000483 0.001872  0.002449 -0.004937  0.044956
BRDQ 14OCT16 2014.7899 56946 1814 4  -67.7   2015  0.807151  -2029254 -0.535312  3807  0.529624  0.0000 0.000571 0.000491 0.001949 -0.013092  0.008142  0.041237
BRDQ 14OCT17 2014.7926 56947 1814 5  -67.7   2015  0.805603  -2029254 -0.536297  3807  0.526125  0.0000 0.000556 0.000488 0.001904 -0.016951  0.017898  0.070397
BRDQ 14OCT18 2014.7953 56948 1814 6  -67.7   2015  0.806722  -2029254 -0.538819  3807  0.526449  0.0000 0.000576 0.000508 0.002007  0.009247  0.010530  0.039464
BRDQ 14OCT19 2014.7981 56949 1815 0  -67.7   2015  0.810609  -2029254 -0.538770  3807  0.531163  0.0000 0.000592 0.000521 0.002029  0.008332  0.030406  0.025126
BRDQ 14OCT20 2014.8008 56950 1815 1  -67.7   2015  0.804100  -2029254 -0.536269  3807  0.526744  0.0000 0.000610 0.000533 0.002090  0.021601  0.008710  0.064665
BRDQ 14OCT21 2014.8036 56951 1815 2  -67.7   2015  0.809101  -2029254 -0.538115  3807  0.519284  0.0000 0.000542 0.000482 0.001870 -0.020512  0.014327  0.046434
BRDQ 14OCT22 2014.8063 56952 1815 3  -67.7   2015  0.807038  -2029254 -0.539535  3807  0.527358  0.0000 0.000554 0.000493 0.001909  0.011859  0.030204  0.048200
BRDQ 14OCT23 2014.8090 56953 1815 4  -67.7   2015  0.808481  -2029254 -0.536696  3807  0.534714  0.0000 0.000576 0.000508 0.001984 -0.022999 -0.004846  0.048341
BRDQ 14OCT24 2014.8118 56954 1815 5  -67.7   2015  0.808848  -2029254 -0.538910  3807  0.529204  0.0000 0.000629 0.000557 0.002095 -0.040012 -0.038021  0.001112
BRDQ 14OCT25 2014.8145 56955 1815 6  -67.7   2015  0.810104  -2029254 -0.537853  3807  0.527640  0.0000 0.000605 0.000532 0.002120 -0.006295  0.015285  0.038520
BRDQ 14OCT26 2014.8172 56956 1816 0  -67.7   2015  0.809457  -2029254 -0.535483  3807  0.533092  0.0000 0.000589 0.000529 0.002042 -0.018077  0.010745  0.029243
BRDQ 14OCT27 2014.8200 56957 1816 1  -67.7   2015  0.809201  -2029254 -0.534945  3807  0.532664  0.0000 0.000569 0.000509 0.002004  0.030571  0.028853  0.051901
BRDQ 14OCT28 2014.8227 56958 1816 2  -67.7   2015  0.809563  -2029254 -0.534208  3807  0.535190  0.0000 0.000551 0.000493 0.001923  0.012069 -0.001169  0.042695
BRDQ 14OCT29 2014.8255 56959 1816 3  -67.7   2015  0.805864  -2029254 -0.532180  3807  0.533485  0.0000 0.000554 0.000496 0.001973  0.013218  0.025135  0.072714
BRDQ 14OCT30 2014.8282 56960 1816 4  -67.7   2015  0.808107  -2029254 -0.532896  3807  0.535211  0.0000 0.000566 0.000507 0.002001 -0.021696 -0.012245  0.064655
BRDQ 14OCT31 2014.8309 56961 1816 5  -67.7   2015  0.807459  -2029254 -0.535819  3807  0.533361  0.0000 0.000529 0.000479 0.001883 -0.006971  0.005968  0.050151
