site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BURI 07DEC07 2007.9316 54441 1456 5  155.9   -122 -0.843449  -8789945 -0.231026  2006  0.281677  0.0000 0.000519 0.000568 0.002881 -0.011412 -0.005879 -0.405496
BURI 07DEC08 2007.9343 54442 1456 6  155.9   -122 -0.843245  -8789945 -0.231439  2006  0.274794  0.0000 0.000466 0.000531 0.002683  0.017925  0.003701 -0.427197
BURI 07DEC09 2007.9370 54443 1457 0  155.9   -122 -0.841068  -8789945 -0.231432  2006  0.275063  0.0000 0.000484 0.000551 0.002746 -0.035878  0.034654 -0.365856
BURI 07DEC10 2007.9398 54444 1457 1  155.9   -122 -0.844202  -8789945 -0.231897  2006  0.280048  0.0000 0.000526 0.000622 0.003147  0.005123  0.072945 -0.382452
BURI 07DEC11 2007.9425 54445 1457 2  155.9   -122 -0.843960  -8789945 -0.231844  2006  0.280698  0.0000 0.000612 0.000673 0.003169 -0.050027  0.036652 -0.390504
BURI 07DEC12 2007.9452 54446 1457 3  155.9   -122 -0.844647  -8789945 -0.233062  2006  0.284458  0.0000 0.000636 0.000692 0.003413 -0.024519  0.066799 -0.425159
BURI 07DEC13 2007.9480 54447 1457 4  155.9   -122 -0.841932  -8789945 -0.234222  2006  0.283641  0.0000 0.000542 0.000599 0.002969 -0.001100  0.003408 -0.396836
BURI 07DEC14 2007.9507 54448 1457 5  155.9   -122 -0.841795  -8789945 -0.234084  2006  0.280207  0.0000 0.000561 0.000607 0.002987 -0.095725  0.106544 -0.432579
BURI 07DEC15 2007.9535 54449 1457 6  155.9   -122 -0.842233  -8789945 -0.233717  2006  0.282266  0.0000 0.000461 0.000506 0.002575  0.008686  0.004104 -0.405407
BURI 07DEC16 2007.9562 54450 1458 0  155.9   -122 -0.842944  -8789945 -0.233661  2006  0.284084  0.0000 0.000493 0.000577 0.002785 -0.029167  0.061322 -0.422306
BURI 07DEC17 2007.9589 54451 1458 1  155.9   -122 -0.842421  -8789945 -0.232539  2006  0.282039  0.0000 0.000554 0.000625 0.002934 -0.061764 -0.091178 -0.298215
BURI 07DEC18 2007.9617 54452 1458 2  155.9   -122 -0.843579  -8789945 -0.233156  2006  0.275124  0.0000 0.000608 0.000716 0.003488  0.037181  0.011784 -0.447313
BURI 07DEC19 2007.9644 54453 1458 3  155.9   -122 -0.842514  -8789945 -0.230536  2006  0.273305  0.0000 0.000489 0.000575 0.002864  0.009450  0.049542 -0.385120
BURI 07DEC20 2007.9671 54454 1458 4  155.9   -122 -0.841082  -8789945 -0.234475  2006  0.277359  0.0000 0.000560 0.000600 0.003126 -0.030068 -0.034929 -0.361621
BURI 07DEC21 2007.9699 54455 1458 5  155.9   -122 -0.842597  -8789945 -0.234965  2006  0.280542  0.0000 0.000515 0.000587 0.002928 -0.039090 -0.011429 -0.329092
BURI 07DEC22 2007.9726 54456 1458 6  155.9   -122 -0.841278  -8789945 -0.234022  2006  0.279275  0.0000 0.000504 0.000567 0.002811 -0.026356 -0.029726 -0.330873
BURI 07DEC23 2007.9754 54457 1459 0  155.9   -122 -0.838871  -8789945 -0.233866  2006  0.281319  0.0000 0.000483 0.000550 0.002768 -0.006727 -0.006252 -0.374541
BURI 07DEC24 2007.9781 54458 1459 1  155.9   -122 -0.841992  -8789945 -0.234567  2006  0.278733  0.0000 0.000443 0.000495 0.002526 -0.014075  0.014749 -0.375709
BURI 07DEC25 2007.9808 54459 1459 2  155.9   -122 -0.842104  -8789945 -0.233364  2006  0.281249  0.0000 0.000449 0.000493 0.002558 -0.008145 -0.019373 -0.401536
BURI 07DEC26 2007.9836 54460 1459 3  155.9   -122 -0.842601  -8789945 -0.233305  2006  0.281265  0.0000 0.000484 0.000535 0.002636 -0.030856  0.002769 -0.360599
BURI 07DEC27 2007.9863 54461 1459 4  155.9   -122 -0.841245  -8789945 -0.235184  2006  0.282468  0.0000 0.000477 0.000545 0.002750  0.045624 -0.012719 -0.379507
BURI 07DEC28 2007.9890 54462 1459 5  155.9   -122 -0.842910  -8789945 -0.234916  2006  0.280790  0.0000 0.000451 0.000514 0.002630 -0.003216  0.031206 -0.409436
BURI 07DEC29 2007.9918 54463 1459 6  155.9   -122 -0.843795  -8789945 -0.233539  2006  0.274425  0.0000 0.000454 0.000513 0.002646 -0.021435  0.045325 -0.401283
BURI 07DEC30 2007.9945 54464 1460 0  155.9   -122 -0.843971  -8789945 -0.231955  2006  0.281263  0.0000 0.000471 0.000538 0.002735  0.009745  0.014106 -0.433205
BURI 07DEC31 2007.9973 54465 1460 1  155.9   -122 -0.841139  -8789945 -0.232183  2006  0.286393  0.0000 0.000503 0.000561 0.002738 -0.076249  0.027659 -0.345852
BURI 08JAN01 2008.0000 54466 1460 2  155.9   -122 -0.843647  -8789945 -0.234129  2006  0.281122  0.0000 0.000449 0.000500 0.002541 -0.011153  0.017812 -0.424445
BURI 08JAN02 2008.0027 54467 1460 3  155.9   -122 -0.839278  -8789945 -0.233748  2006  0.281108  0.0000 0.000455 0.000498 0.002565 -0.018042 -0.023509 -0.401130
BURI 08JAN03 2008.0055 54468 1460 4  155.9   -122 -0.844878  -8789945 -0.232357  2006  0.284474  0.0000 0.000439 0.000497 0.002504  0.009598  0.010899 -0.444897
BURI 08JAN04 2008.0082 54469 1460 5  155.9   -122 -0.843604  -8789945 -0.235035  2006  0.280071  0.0000 0.000438 0.000487 0.002494 -0.025697  0.035375 -0.396952
BURI 08JAN05 2008.0110 54470 1460 6  155.9   -122 -0.845089  -8789945 -0.238102  2006  0.277285  0.0000 0.000709 0.000839 0.003744 -0.034794  0.001853 -0.274355
BURI 08JAN06 2008.0137 54471 1461 0  155.9   -122 -0.840617  -8789945 -0.238912  2006  0.284343  0.0000 0.000632 0.000678 0.003216 -0.143028  0.039535 -0.373205
BURI 08JAN07 2008.0164 54472 1461 1  155.9   -122 -0.843434  -8789945 -0.236064  2006  0.288265  0.0000 0.000589 0.000640 0.003207 -0.081367  0.129333 -0.459715
BURI 08JAN08 2008.0192 54473 1461 2  155.9   -122 -0.842812  -8789945 -0.234122  2006  0.284721  0.0000 0.000584 0.000637 0.003093 -0.016347  0.065973 -0.380561
BURI 08JAN09 2008.0219 54474 1461 3  155.9   -122 -0.844444  -8789945 -0.235427  2006  0.283968  0.0000 0.000529 0.000563 0.002889 -0.048551  0.047357 -0.376418
BURI 08JAN10 2008.0246 54475 1461 4  155.9   -122 -0.842078  -8789945 -0.234936  2006  0.285744  0.0000 0.000509 0.000562 0.002816 -0.022222  0.041237 -0.408716
BURI 08JAN11 2008.0274 54476 1461 5  155.9   -122 -0.842623  -8789945 -0.233271  2006  0.286199  0.0000 0.000474 0.000528 0.002645  0.006173  0.036230 -0.336424
BURI 08JAN12 2008.0301 54477 1461 6  155.9   -122 -0.845254  -8789945 -0.235304  2006  0.287270  0.0000 0.000491 0.000545 0.002665 -0.041323  0.025278 -0.374044
BURI 08JAN13 2008.0329 54478 1462 0  155.9   -122 -0.842712  -8789945 -0.234731  2006  0.279246  0.0000 0.000497 0.000561 0.002828 -0.014523  0.000739 -0.398567
BURI 08JAN14 2008.0356 54479 1462 1  155.9   -122 -0.842223  -8789945 -0.234194  2006  0.284816  0.0000 0.000570 0.000639 0.003122 -0.051526  0.043812 -0.434937
BURI 08JAN15 2008.0383 54480 1462 2  155.9   -122 -0.841665  -8789945 -0.232192  2006  0.277559  0.0000 0.000500 0.000545 0.002771 -0.017412  0.018076 -0.392044
BURI 08JAN16 2008.0411 54481 1462 3  155.9   -122 -0.841836  -8789945 -0.231100  2006  0.284801  0.0000 0.000559 0.000623 0.003101  0.013635 -0.015301 -0.340154
BURI 08JAN17 2008.0438 54482 1462 4  155.9   -122 -0.841228  -8789945 -0.233569  2006  0.287274  0.0000 0.000543 0.000597 0.003007 -0.059825  0.021140 -0.434888
BURI 08JAN18 2008.0465 54483 1462 5  155.9   -122 -0.843732  -8789945 -0.233542  2006  0.291605  0.0000 0.000506 0.000552 0.002878 -0.021455  0.010490 -0.371629
BURI 08JAN19 2008.0493 54484 1462 6  155.9   -122 -0.840921  -8789945 -0.233909  2006  0.293206  0.0000 0.000547 0.000600 0.003022  0.005903  0.018996 -0.395769
BURI 08JAN20 2008.0520 54485 1463 0  155.9   -122 -0.841736  -8789945 -0.233871  2006  0.280166  0.0000 0.000480 0.000544 0.002734 -0.009265 -0.006784 -0.359679
BURI 08JAN21 2008.0548 54486 1463 1  155.9   -122 -0.840848  -8789945 -0.234211  2006  0.277107  0.0000 0.000490 0.000534 0.002718 -0.037469  0.002008 -0.384300
BURI 08JAN22 2008.0575 54487 1463 2  155.9   -122 -0.841433  -8789945 -0.233953  2006  0.282870  0.0000 0.000458 0.000507 0.002611  0.008421  0.019219 -0.404353
BURI 08JAN23 2008.0602 54488 1463 3  155.9   -122 -0.841429  -8789945 -0.234691  2006  0.281326  0.0000 0.000490 0.000574 0.002812 -0.033553 -0.004142 -0.426177
BURI 08JAN24 2008.0630 54489 1463 4  155.9   -122 -0.841890  -8789945 -0.236270  2006  0.284846  0.0000 0.000470 0.000542 0.002706  0.005419 -0.011488 -0.339710
BURI 08JAN25 2008.0657 54490 1463 5  155.9   -122 -0.841067  -8789945 -0.234640  2006  0.281085  0.0000 0.000509 0.000577 0.002977  0.003125 -0.026911 -0.468099
BURI 08JAN26 2008.0684 54491 1463 6  155.9   -122 -0.840682  -8789945 -0.234233  2006  0.274125  0.0000 0.000456 0.000509 0.002623 -0.001943  0.038948 -0.401464
BURI 08JAN27 2008.0712 54492 1464 0  155.9   -122 -0.840871  -8789945 -0.233293  2006  0.276029  0.0000 0.000494 0.000548 0.002761 -0.040080  0.021055 -0.376977
BURI 08JAN28 2008.0739 54493 1464 1  155.9   -122 -0.840983  -8789945 -0.234601  2006  0.279786  0.0000 0.000467 0.000534 0.002763 -0.025782  0.003788 -0.402305
BURI 08JAN29 2008.0767 54494 1464 2  155.9   -122 -0.841416  -8789945 -0.234733  2006  0.283763  0.0000 0.000492 0.000533 0.002703  0.052914  0.024259 -0.386820
BURI 08JAN30 2008.0794 54495 1464 3  155.9   -122 -0.839221  -8789945 -0.235806  2006  0.284578  0.0000 0.000470 0.000512 0.002634  0.014495  0.027191 -0.414343
BURI 08JAN31 2008.0821 54496 1464 4  155.9   -122 -0.838576  -8789945 -0.235925  2006  0.281703  0.0000 0.000527 0.000563 0.002960 -0.034954  0.032060 -0.452337
