site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CA05 10JUN12 2010.4449 55359 1587 6    9.1   1569  0.066022   4344957  0.874306    94  0.716188  0.0000 0.000583 0.000678 0.002221 -0.005804  0.092162 -0.134339
CA05 10JUN13 2010.4476 55360 1588 0    9.1   1569  0.066538   4344957  0.874724    94  0.702377  0.0000 0.000581 0.000681 0.002220  0.000703  0.060021 -0.139485
CA05 10JUN14 2010.4504 55361 1588 1    9.1   1569  0.064664   4344957  0.877490    94  0.709765  0.0000 0.000578 0.000680 0.002205  0.011968  0.032708 -0.128169
CA05 10JUN15 2010.4531 55362 1588 2    9.1   1569  0.067434   4344957  0.877031    94  0.715725  0.0000 0.000578 0.000676 0.002202  0.010992  0.035833 -0.131255
CA05 10JUN16 2010.4559 55363 1588 3    9.1   1569  0.066029   4344957  0.874651    94  0.713574  0.0000 0.000583 0.000686 0.002232  0.014528  0.041929 -0.134318
CA05 10JUN17 2010.4586 55364 1588 4    9.1   1569  0.066854   4344957  0.873702    94  0.709435  0.0000 0.000594 0.000688 0.002254 -0.008638  0.092791 -0.123220
CA05 10JUN18 2010.4613 55365 1588 5    9.1   1569  0.068066   4344957  0.873281    94  0.718133  0.0000 0.000589 0.000689 0.002244  0.001920  0.091503 -0.113788
CA05 10JUN19 2010.4641 55366 1588 6    9.1   1569  0.067699   4344957  0.876498    94  0.712244  0.0000 0.000576 0.000683 0.002209  0.002875  0.056444 -0.128522
CA05 10JUN20 2010.4668 55367 1589 0    9.1   1569  0.064975   4344957  0.876707    94  0.713242  0.0000 0.000576 0.000676 0.002196 -0.002538  0.038597 -0.135321
CA05 10JUN21 2010.4695 55368 1589 1    9.1   1569  0.065946   4344957  0.875817    94  0.702954  0.0000 0.000617 0.000722 0.002365  0.014959  0.045598 -0.133537
CA05 10JUN22 2010.4723 55369 1589 2    9.1   1569  0.066630   4344957  0.874981    94  0.701327  0.0000 0.000572 0.000672 0.002195  0.012794  0.048684 -0.153166
CA05 10JUN23 2010.4750 55370 1589 3    9.1   1569  0.064626   4344957  0.876837    94  0.699970  0.0000 0.000577 0.000677 0.002216  0.003112  0.057040 -0.145749
CA05 10JUN24 2010.4778 55371 1589 4    9.1   1569  0.066739   4344957  0.873111    94  0.706730  0.0000 0.000585 0.000707 0.002281 -0.008237  0.057603 -0.127826
CA05 10JUN25 2010.4805 55372 1589 5    9.1   1569  0.064656   4344957  0.874086    94  0.707287  0.0000 0.000581 0.000711 0.002282  0.002142  0.034859 -0.124684
CA05 10JUN26 2010.4832 55373 1589 6    9.1   1569  0.066507   4344957  0.876611    94  0.710114  0.0000 0.000579 0.000678 0.002240  0.010429  0.040066 -0.143178
CA05 10JUN27 2010.4860 55374 1590 0    9.1   1569  0.065501   4344957  0.876822    94  0.706832  0.0000 0.000581 0.000680 0.002244  0.017531  0.051806 -0.149915
