site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COA3 12JAN23 2012.0602 55949 1672 1 -106.9   3924  0.137169   4340257  0.830519  2463  0.490816  0.0000 0.000487 0.000606 0.001874  0.065793  0.052106 -0.036118
COA3 12JAN24 2012.0630 55950 1672 2 -106.9   3924  0.133405   4340257  0.823894  2463  0.480853  0.0000 0.000484 0.000602 0.001844  0.064731  0.048987 -0.013736
COA3 12JAN25 2012.0657 55951 1672 3 -106.9   3924  0.129580   4340257  0.823319  2463  0.479210  0.0000 0.000469 0.000585 0.001814  0.076541  0.052924 -0.001248
COA3 12JAN26 2012.0684 55952 1672 4 -106.9   3924  0.130921   4340257  0.821414  2463  0.479682  0.0000 0.000469 0.000586 0.001812  0.077703  0.034543  0.004299
COA3 12JAN27 2012.0712 55953 1672 5 -106.9   3924  0.132154   4340257  0.820613  2463  0.478373  0.0000 0.000468 0.000585 0.001812  0.070354  0.047719 -0.000256
COA3 12JAN28 2012.0739 55954 1672 6 -106.9   3924  0.135313   4340257  0.818336  2463  0.466374  0.0000 0.000463 0.000579 0.001779  0.064667  0.051103 -0.019468
COA3 12JAN29 2012.0767 55955 1673 0 -106.9   3924  0.131449   4340257  0.817512  2463  0.465928  0.0000 0.000465 0.000584 0.001792  0.072944  0.039381 -0.005621
COA3 12JAN30 2012.0794 55956 1673 1 -106.9   3924  0.132818   4340257  0.818122  2463  0.474669  0.0000 0.000466 0.000586 0.001803  0.081331  0.045277  0.003789
COA3 12JAN31 2012.0821 55957 1673 2 -106.9   3924  0.132904   4340257  0.822567  2463  0.467604  0.0000 0.000465 0.000583 0.001794  0.082819  0.048456  0.004353
COA3 12FEB01 2012.0849 55958 1673 3 -106.9   3924  0.134629   4340257  0.820972  2463  0.463598  0.0000 0.000465 0.000581 0.001793  0.069370  0.048561  0.006851
COA3 12FEB02 2012.0876 55959 1673 4 -106.9   3924  0.133060   4340257  0.824881  2463  0.467631  0.0000 0.000463 0.000580 0.001782  0.063241  0.063795 -0.006923
COA3 12FEB03 2012.0903 55960 1673 5 -106.9   3924  0.133874   4340257  0.824118  2463  0.464471  0.0000 0.000464 0.000581 0.001778  0.069041  0.045468 -0.014267
COA3 12FEB04 2012.0931 55961 1673 6 -106.9   3924  0.134786   4340257  0.826113  2463  0.462385  0.0000 0.000464 0.000581 0.001785  0.078218  0.040422 -0.007212
COA3 12FEB05 2012.0958 55962 1674 0 -106.9   3924  0.135779   4340257  0.827340  2463  0.463482  0.0000 0.000468 0.000584 0.001803  0.072696  0.048814 -0.003304
COA3 12FEB06 2012.0986 55963 1674 1 -106.9   3924  0.130862   4340257  0.828251  2463  0.464789  0.0000 0.000467 0.000584 0.001804  0.073860  0.047121  0.013902
COA3 12FEB07 2012.1013 55964 1674 2 -106.9   3924  0.133473   4340257  0.829690  2463  0.469846  0.0000 0.000475 0.000597 0.001844  0.097389  0.031289  0.013674
COA3 12FEB08 2012.1040 55965 1674 3 -106.9   3924  0.132526   4340257  0.827034  2463  0.470000  0.0000 0.000464 0.000582 0.001794  0.063763  0.054759 -0.008182
COA3 12FEB09 2012.1068 55966 1674 4 -106.9   3924  0.130251   4340257  0.826358  2463  0.462105  0.0000 0.000488 0.000601 0.001871  0.084909  0.045778 -0.017927
COA3 12FEB10 2012.1095 55967 1674 5 -106.9   3924  0.129046   4340257  0.827796  2463  0.463446  0.0000 0.000487 0.000594 0.001847  0.079682  0.029049 -0.016131
COA3 12FEB11 2012.1123 55968 1674 6 -106.9   3924  0.131699   4340257  0.825766  2463  0.462611  0.0000 0.000486 0.000595 0.001844  0.084901  0.045042 -0.014834
COA3 12FEB12 2012.1150 55969 1675 0 -106.9   3924  0.130769   4340257  0.824044  2463  0.464212  0.0000 0.000481 0.000593 0.001839  0.082626  0.041651  0.001343
COA3 12FEB13 2012.1177 55970 1675 1 -106.9   3924  0.136656   4340257  0.828603  2463  0.482085  0.0000 0.000482 0.000594 0.001828  0.083130  0.045119 -0.018495
COA3 12FEB14 2012.1205 55971 1675 2 -106.9   3924  0.133283   4340257  0.825336  2463  0.472995  0.0000 0.000484 0.000596 0.001829  0.076737  0.039677 -0.030796
COA3 12FEB15 2012.1232 55972 1675 3 -106.9   3924  0.133006   4340257  0.826747  2463  0.466781  0.0000 0.000483 0.000594 0.001824  0.076214  0.045781 -0.038068
COA3 12FEB16 2012.1259 55973 1675 4 -106.9   3924  0.133301   4340257  0.826476  2463  0.466554  0.0000 0.000487 0.000594 0.001841  0.080601  0.062300 -0.015197
COA3 12FEB17 2012.1287 55974 1675 5 -106.9   3924  0.132898   4340257  0.826600  2463  0.462552  0.0000 0.000485 0.000594 0.001832  0.081785  0.041464 -0.013521
COA3 12FEB18 2012.1314 55975 1675 6 -106.9   3924  0.133820   4340257  0.828220  2463  0.461447  0.0000 0.000481 0.000590 0.001821  0.083030  0.040717 -0.006636
COA3 12FEB19 2012.1342 55976 1676 0 -106.9   3924  0.130072   4340257  0.823181  2463  0.466018  0.0000 0.000481 0.000588 0.001809  0.080460  0.040607 -0.018490
COA3 12FEB20 2012.1369 55977 1676 1 -106.9   3924  0.133344   4340257  0.826019  2463  0.466662  0.0000 0.000486 0.000594 0.001829  0.071157  0.044357 -0.034429
