site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COCF 17JUN10 2017.4401 57914 1952 6 -105.3    180  0.263178   4378437  0.364876  2467  0.388692  0.0000 0.000900 0.001081 0.003195 -0.077082  0.030267 -0.067335
COCF 17JUN11 2017.4428 57915 1953 0 -105.3    180  0.259922   4378437  0.360981  2467  0.389023  0.0000 0.000465 0.000586 0.001749 -0.020596  0.001008 -0.057280
COCF 17JUN12 2017.4456 57916 1953 1 -105.3    180  0.261847   4378437  0.362319  2467  0.377795  0.0000 0.000464 0.000587 0.001742 -0.016939 -0.006782 -0.051762
COCF 17JUN13 2017.4483 57917 1953 2 -105.3    180  0.260654   4378437  0.361625  2467  0.391176  0.0000 0.000464 0.000583 0.001742 -0.027390 -0.007922 -0.073222
COCF 17JUN14 2017.4511 57918 1953 3 -105.3    180  0.261125   4378437  0.359123  2467  0.394542  0.0000 0.000464 0.000581 0.001742 -0.027737 -0.007146 -0.071602
COCF 17JUN15 2017.4538 57919 1953 4 -105.3    180  0.261053   4378437  0.360423  2467  0.393880  0.0000 0.000471 0.000593 0.001755 -0.022848 -0.020336 -0.066812
COCF 17JUN16 2017.4565 57920 1953 5 -105.3    180  0.261284   4378437  0.364637  2467  0.397955  0.0000 0.000474 0.000596 0.001775 -0.026592  0.006501 -0.076644
COCF 17JUN17 2017.4593 57921 1953 6 -105.3    180  0.255344   4378437  0.360355  2467  0.387182  0.0000 0.000462 0.000584 0.001733 -0.028423 -0.008579 -0.063642
COCF 17JUN18 2017.4620 57922 1954 0 -105.3    180  0.259279   4378437  0.363212  2467  0.388644  0.0000 0.000462 0.000581 0.001738 -0.025895  0.002585 -0.070753
COCF 17JUN19 2017.4648 57923 1954 1 -105.3    180  0.260936   4378437  0.362296  2467  0.383973  0.0000 0.000463 0.000583 0.001754 -0.027909 -0.007578 -0.080806
COCF 17JUN20 2017.4675 57924 1954 2 -105.3    180  0.259416   4378437  0.361571  2467  0.391240  0.0000 0.000466 0.000585 0.001751 -0.023854 -0.010104 -0.062284
COCF 17JUN21 2017.4702 57925 1954 3 -105.3    180  0.262469   4378437  0.364638  2467  0.398052  0.0000 0.000469 0.000586 0.001766 -0.040558  0.018025 -0.075459
COCF 17JUN22 2017.4730 57926 1954 4 -105.3    180  0.261668   4378437  0.360026  2467  0.391243  0.0000 0.000482 0.000598 0.001788 -0.035248 -0.004427 -0.076459
COCF 17JUN23 2017.4757 57927 1954 5 -105.3    180  0.257627   4378437  0.362595  2467  0.382002  0.0000 0.000462 0.000582 0.001737 -0.029070 -0.016779 -0.070095
COCF 17JUN24 2017.4784 57928 1954 6 -105.3    180  0.261010   4378437  0.362662  2467  0.379875  0.0000 0.000461 0.000582 0.001735 -0.031172 -0.018540 -0.074757
COCF 17JUN25 2017.4812 57929 1955 0 -105.3    180  0.259586   4378437  0.362098  2467  0.383353  0.0000 0.000463 0.000585 0.001746 -0.028405 -0.023876 -0.055112
COCF 17JUN26 2017.4839 57930 1955 1 -105.3    180  0.261922   4378437  0.361280  2467  0.382777  0.0000 0.000471 0.000587 0.001763 -0.015850 -0.017321 -0.064690
COCF 17JUN27 2017.4867 57931 1955 2 -105.3    180  0.258405   4378437  0.359957  2467  0.388709  0.0000 0.000464 0.000584 0.001745 -0.031959 -0.008600 -0.071002
COCF 17JUN28 2017.4894 57932 1955 3 -105.3    180  0.262916   4378437  0.360152  2467  0.389705  0.0000 0.000466 0.000586 0.001750 -0.035976  0.001577 -0.072300
COCF 17JUN29 2017.4921 57933 1955 4 -105.3    180  0.261454   4378437  0.358520  2467  0.390816  0.0000 0.000464 0.000586 0.001744 -0.024690  0.001940 -0.062664
COCF 17JUN30 2017.4949 57934 1955 5 -105.3    180  0.257917   4378437  0.360309  2467  0.379526  0.0000 0.000468 0.000594 0.001791 -0.020819  0.003243 -0.052498
COCF 17JUL01 2017.4976 57935 1955 6 -105.3    180  0.261986   4378437  0.362846  2467  0.385497  0.0000 0.000467 0.000589 0.001762 -0.032405  0.004724 -0.068614
COCF 17JUL02 2017.5003 57936 1956 0 -105.3    180  0.259838   4378437  0.361688  2467  0.383590  0.0000 0.000466 0.000587 0.001757 -0.029519  0.003417 -0.062493
COCF 17JUL03 2017.5031 57937 1956 1 -105.3    180  0.259077   4378437  0.360172  2467  0.388850  0.0000 0.000464 0.000587 0.001750 -0.019718 -0.005406 -0.052247
COCF 17JUL04 2017.5058 57938 1956 2 -105.3    180  0.259613   4378437  0.357691  2467  0.383519  0.0000 0.000466 0.000588 0.001757 -0.034005 -0.005344 -0.060956
COCF 17JUL05 2017.5086 57939 1956 3 -105.3    180  0.260505   4378437  0.361529  2467  0.380855  0.0000 0.000463 0.000586 0.001750 -0.025856  0.002954 -0.057736
COCF 17JUL06 2017.5113 57940 1956 4 -105.3    180  0.260245   4378437  0.359816  2467  0.387337  0.0000 0.000471 0.000603 0.001793  0.008897 -0.022258 -0.047226
COCF 17JUL07 2017.5140 57941 1956 5 -105.3    180  0.259496   4378437  0.358389  2467  0.385480  0.0000 0.000474 0.000609 0.001806 -0.004056 -0.014169 -0.050926
COCF 17JUL08 2017.5168 57942 1956 6 -105.3    180  0.258023   4378437  0.357638  2467  0.386287  0.0000 0.000468 0.000591 0.001784 -0.027063  0.015194 -0.059994
COCF 17JUL09 2017.5195 57943 1957 0 -105.3    180  0.258672   4378437  0.358978  2467  0.383284  0.0000 0.000463 0.000588 0.001751 -0.028271 -0.007236 -0.056246
COCF 17JUL10 2017.5222 57944 1957 1 -105.3    180  0.260669   4378437  0.361988  2467  0.391537  0.0000 0.000467 0.000590 0.001770 -0.027951  0.002260 -0.044628
COCF 17JUL11 2017.5250 57945 1957 2 -105.3    180  0.258408   4378437  0.361835  2467  0.393181  0.0000 0.000476 0.000610 0.001825 -0.060340  0.014370 -0.063435
