site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COEZ 18AUG30 2018.6612 58360 2016 4 -105.0   1355  0.503589   4442919  0.263475  1501  0.887799  0.0000 0.000462 0.000580 0.001786  0.019434 -0.033310 -0.121570
COEZ 18AUG31 2018.6639 58361 2016 5 -105.0   1355  0.505761   4442919  0.264670  1501  0.882587  0.0000 0.000456 0.000575 0.001741  0.005867 -0.004526 -0.100992
COEZ 18SEP01 2018.6667 58362 2016 6 -105.0   1355  0.505025   4442919  0.263428  1501  0.888370  0.0000 0.000464 0.000580 0.001761  0.012513 -0.024224 -0.119728
COEZ 18SEP02 2018.6694 58363 2017 0 -105.0   1355  0.506095   4442919  0.259835  1501  0.893070  0.0000 0.000458 0.000578 0.001753 -0.001641 -0.012776 -0.113323
COEZ 18SEP08 2018.6858 58369 2017 6 -105.0   1355  0.506787   4442919  0.264591  1501  0.890014  0.0000 0.000459 0.000576 0.001755 -0.002795 -0.014026 -0.100966
COEZ 18SEP09 2018.6886 58370 2018 0 -105.0   1355  0.507068   4442919  0.262987  1501  0.890069  0.0000 0.000462 0.000576 0.001769  0.006953 -0.023433 -0.122297
COEZ 18SEP10 2018.6913 58371 2018 1 -105.0   1355  0.506545   4442919  0.262617  1501  0.888784  0.0000 0.000462 0.000582 0.001761  0.008662 -0.011330 -0.103287
COEZ 18SEP11 2018.6940 58372 2018 2 -105.0   1355  0.506455   4442919  0.263320  1501  0.892613  0.0000 0.000470 0.000587 0.001760  0.005174 -0.012139 -0.117227
COEZ 18SEP14 2018.7023 58375 2018 5 -105.0   1355  0.505960   4442919  0.264175  1501  0.890013  0.0000 0.000474 0.000584 0.001796  0.009232 -0.017103 -0.094512
COEZ 18SEP15 2018.7050 58376 2018 6 -105.0   1355  0.503671   4442919  0.263697  1501  0.889844  0.0000 0.000463 0.000578 0.001774  0.003912 -0.011565 -0.118773
COEZ 18SEP16 2018.7077 58377 2019 0 -105.0   1355  0.505713   4442919  0.263931  1501  0.892370  0.0000 0.000462 0.000578 0.001771  0.013414 -0.016604 -0.114222
COEZ 18SEP17 2018.7105 58378 2019 1 -105.0   1355  0.504642   4442919  0.265357  1501  0.888778  0.0000 0.000459 0.000578 0.001754 -0.011912  0.005704 -0.109510
COEZ 18SEP19 2018.7159 58380 2019 3 -105.0   1355  0.506217   4442919  0.262996  1501  0.896633  0.0000 0.000457 0.000576 0.001742 -0.005315 -0.011713 -0.114091
COEZ 18SEP20 2018.7187 58381 2019 4 -105.0   1355  0.509753   4442919  0.262483  1501  0.893064  0.0000 0.000464 0.000584 0.001787 -0.013871  0.007064 -0.104175
COEZ 18SEP21 2018.7214 58382 2019 5 -105.0   1355  0.502782   4442919  0.263315  1501  0.877666  0.0000 0.000461 0.000581 0.001776  0.004926 -0.004317 -0.127557
COEZ 18SEP22 2018.7242 58383 2019 6 -105.0   1355  0.506911   4442919  0.263315  1501  0.880490  0.0000 0.000460 0.000581 0.001768 -0.007337 -0.007549 -0.123111
COEZ 18SEP23 2018.7269 58384 2020 0 -105.0   1355  0.506131   4442919  0.264042  1501  0.883235  0.0000 0.000460 0.000578 0.001755 -0.004569 -0.002208 -0.104320
COEZ 18SEP24 2018.7296 58385 2020 1 -105.0   1355  0.507259   4442919  0.264734  1501  0.886871  0.0000 0.000461 0.000579 0.001772  0.003937 -0.018711 -0.122651
COEZ 18SEP25 2018.7324 58386 2020 2 -105.0   1355  0.510851   4442919  0.262503  1501  0.886361  0.0000 0.000460 0.000580 0.001763 -0.006876 -0.004121 -0.104992
COEZ 18SEP26 2018.7351 58387 2020 3 -105.0   1355  0.508243   4442919  0.259546  1501  0.878705  0.0000 0.000464 0.000577 0.001757  0.002502 -0.008785 -0.133108
COEZ 18SEP27 2018.7379 58388 2020 4 -105.0   1355  0.506883   4442919  0.261584  1501  0.883180  0.0000 0.000457 0.000574 0.001732  0.009991 -0.022329 -0.121792
COEZ 18SEP28 2018.7406 58389 2020 5 -105.0   1355  0.508125   4442919  0.259908  1501  0.879737  0.0000 0.000460 0.000576 0.001744 -0.004689 -0.013108 -0.130975
COEZ 18SEP29 2018.7433 58390 2020 6 -105.0   1355  0.509632   4442919  0.262133  1501  0.880168  0.0000 0.000460 0.000573 0.001743  0.003826 -0.005814 -0.116878
COEZ 18SEP30 2018.7461 58391 2021 0 -105.0   1355  0.506687   4442919  0.261769  1501  0.882996  0.0000 0.000460 0.000582 0.001757 -0.008808 -0.001369 -0.100265
COEZ 18OCT01 2018.7488 58392 2021 1 -105.0   1355  0.509207   4442919  0.261694  1501  0.889724  0.0000 0.000461 0.000573 0.001753  0.002994 -0.001170 -0.117395
COEZ 18OCT02 2018.7515 58393 2021 2 -105.0   1355  0.507133   4442919  0.261546  1501  0.890156  0.0000 0.000464 0.000575 0.001764  0.013834 -0.014054 -0.135129
COEZ 18OCT03 2018.7543 58394 2021 3 -105.0   1355  0.504550   4442919  0.261197  1501  0.887363  0.0000 0.000460 0.000574 0.001753  0.001745 -0.018298 -0.123031
COEZ 18OCT04 2018.7570 58395 2021 4 -105.0   1355  0.505167   4442919  0.261348  1501  0.882648  0.0000 0.000468 0.000592 0.001782 -0.028340  0.002649 -0.117341
COEZ 18OCT05 2018.7598 58396 2021 5 -105.0   1355  0.506616   4442919  0.260419  1501  0.888442  0.0000 0.000460 0.000577 0.001734  0.003252 -0.027859 -0.113930
COEZ 18OCT06 2018.7625 58397 2021 6 -105.0   1355  0.510195   4442919  0.261888  1501  0.882458  0.0000 0.000461 0.000576 0.001740 -0.023913 -0.011126 -0.126841
COEZ 18OCT07 2018.7652 58398 2022 0 -105.0   1355  0.509024   4442919  0.260966  1501  0.882828  0.0000 0.000478 0.000588 0.001809  0.005227 -0.027191 -0.157405
COEZ 18OCT08 2018.7680 58399 2022 1 -105.0   1355  0.510422   4442919  0.262036  1501  0.880026  0.0000 0.000458 0.000575 0.001750 -0.000280 -0.012885 -0.122487
COEZ 18OCT09 2018.7707 58400 2022 2 -105.0   1355  0.508835   4442919  0.259374  1501  0.879865  0.0000 0.000460 0.000572 0.001740  0.000928 -0.018087 -0.114327
COEZ 18OCT10 2018.7734 58401 2022 3 -105.0   1355  0.509463   4442919  0.260234  1501  0.879554  0.0000 0.000462 0.000576 0.001742 -0.003018 -0.011252 -0.108640
COEZ 18OCT11 2018.7762 58402 2022 4 -105.0   1355  0.508521   4442919  0.257122  1501  0.883461  0.0000 0.000464 0.000579 0.001758 -0.008309 -0.030871 -0.114205
COEZ 18OCT12 2018.7789 58403 2022 5 -105.0   1355  0.507201   4442919  0.259325  1501  0.882083  0.0000 0.000458 0.000575 0.001730 -0.006184 -0.013711 -0.120066
COEZ 18OCT13 2018.7817 58404 2022 6 -105.0   1355  0.509223   4442919  0.260170  1501  0.882931  0.0000 0.000461 0.000587 0.001777 -0.003709 -0.019346 -0.119931
COEZ 18OCT14 2018.7844 58405 2023 0 -105.0   1355  0.512716   4442919  0.258866  1501  0.878233  0.0000 0.000460 0.000573 0.001742  0.003521 -0.017693 -0.119838
COEZ 18OCT15 2018.7871 58406 2023 1 -105.0   1355  0.513167   4442919  0.258606  1501  0.873734  0.0000 0.000461 0.000576 0.001756  0.004292 -0.013804 -0.100500
COEZ 18OCT16 2018.7899 58407 2023 2 -105.0   1355  0.509903   4442919  0.259624  1501  0.874730  0.0000 0.000468 0.000591 0.001797  0.010626  0.003144 -0.104130
COEZ 18OCT17 2018.7926 58408 2023 3 -105.0   1355  0.509898   4442919  0.260422  1501  0.879410  0.0000 0.000467 0.000596 0.001773  0.008066 -0.010307 -0.110717
COEZ 18OCT18 2018.7953 58409 2023 4 -105.0   1355  0.509207   4442919  0.261211  1501  0.874543  0.0000 0.000458 0.000577 0.001735 -0.013155 -0.008011 -0.113771
COEZ 18OCT19 2018.7981 58410 2023 5 -105.0   1355  0.510319   4442919  0.261259  1501  0.881676  0.0000 0.000463 0.000591 0.001770  0.016176  0.008989 -0.100458
COEZ 18OCT20 2018.8008 58411 2023 6 -105.0   1355  0.508211   4442919  0.261202  1501  0.884121  0.0000 0.000463 0.000586 0.001761  0.020588 -0.005888 -0.087783
COEZ 18OCT21 2018.8036 58412 2024 0 -105.0   1355  0.510107   4442919  0.260957  1501  0.879763  0.0000 0.000458 0.000573 0.001732 -0.000909 -0.004215 -0.117744
COEZ 18OCT22 2018.8063 58413 2024 1 -105.0   1355  0.506394   4442919  0.260893  1501  0.883698  0.0000 0.000477 0.000606 0.001820 -0.007416  0.016164 -0.121642
COEZ 18OCT23 2018.8090 58414 2024 2 -105.0   1355  0.509583   4442919  0.260711  1501  0.884207  0.0000 0.000472 0.000593 0.001802 -0.001174  0.009357 -0.120865
COEZ 18OCT24 2018.8118 58415 2024 3 -105.0   1355  0.508538   4442919  0.260196  1501  0.884492  0.0000 0.000494 0.000609 0.001866 -0.029538  0.006110 -0.140695
COEZ 18OCT25 2018.8145 58416 2024 4 -105.0   1355  0.509393   4442919  0.260632  1501  0.884761  0.0000 0.000455 0.000568 0.001719 -0.009712 -0.003106 -0.101824
