site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COUL 07JUL12 2007.5264 54293 1435 4    1.5   3314  0.447015   5391198  0.025708   186  0.926110  0.0000 0.000964 0.001414 0.003871  0.025139  0.068123 -0.148928
COUL 07JUL13 2007.5291 54294 1435 5    1.5   3314  0.448133   5391198  0.027288   186  0.929082  0.0000 0.000542 0.000730 0.002182  0.016640 -0.009032 -0.060198
COUL 07JUL14 2007.5318 54295 1435 6    1.5   3314  0.450154   5391198  0.029096   186  0.935581  0.0000 0.000541 0.000725 0.002159  0.008480 -0.000570 -0.054041
COUL 07JUL15 2007.5346 54296 1436 0    1.5   3314  0.448358   5391198  0.024532   186  0.932255  0.0000 0.000542 0.000725 0.002161  0.005490  0.000718 -0.053010
COUL 07JUL16 2007.5373 54297 1436 1    1.5   3314  0.446494   5391198  0.026476   186  0.940474  0.0000 0.000547 0.000726 0.002156 -0.009214 -0.003839 -0.043555
COUL 07JUL17 2007.5400 54298 1436 2    1.5   3314  0.446304   5391198  0.028171   186  0.926398  0.0000 0.000544 0.000729 0.002174  0.007143  0.000793 -0.051602
COUL 07JUL18 2007.5428 54299 1436 3    1.5   3314  0.447271   5391198  0.026214   186  0.927987  0.0000 0.000544 0.000729 0.002184  0.004913 -0.006926 -0.031923
COUL 07JUL19 2007.5455 54300 1436 4    1.5   3314  0.447163   5391198  0.027713   186  0.932174  0.0000 0.000539 0.000722 0.002159  0.010707 -0.012061 -0.060716
COUL 07JUL20 2007.5483 54301 1436 5    1.5   3314  0.447180   5391198  0.028996   186  0.919878  0.0000 0.000542 0.000719 0.002151 -0.000566 -0.001049 -0.053120
COUL 07JUL21 2007.5510 54302 1436 6    1.5   3314  0.448110   5391198  0.026882   186  0.927906  0.0000 0.000547 0.000725 0.002165  0.014734 -0.008555 -0.051063
COUL 07JUL22 2007.5537 54303 1437 0    1.5   3314  0.447076   5391198  0.026922   186  0.928297  0.0000 0.000547 0.000729 0.002166  0.004217  0.005248 -0.035609
COUL 07JUL23 2007.5565 54304 1437 1    1.5   3314  0.446127   5391198  0.027504   186  0.935390  0.0000 0.000545 0.000728 0.002173  0.015507 -0.007766 -0.038065
COUL 07JUL24 2007.5592 54305 1437 2    1.5   3314  0.445691   5391198  0.027632   186  0.927707  0.0000 0.000544 0.000727 0.002165  0.020751 -0.027523 -0.049966
COUL 07JUL25 2007.5619 54306 1437 3    1.5   3314  0.445607   5391198  0.026996   186  0.927617  0.0000 0.000542 0.000725 0.002168  0.018249 -0.017332 -0.051378
COUL 07JUL26 2007.5647 54307 1437 4    1.5   3314  0.446165   5391198  0.027758   186  0.933478  0.0000 0.000542 0.000719 0.002155  0.014306 -0.008459 -0.051888
COUL 07JUL27 2007.5674 54308 1437 5    1.5   3314  0.448705   5391198  0.027067   186  0.935992  0.0000 0.000540 0.000719 0.002146  0.007354  0.007612 -0.048890
COUL 07JUL28 2007.5702 54309 1437 6    1.5   3314  0.445746   5391198  0.026157   186  0.928749  0.0000 0.000540 0.000721 0.002148  0.010451 -0.003169 -0.040088
COUL 07JUL29 2007.5729 54310 1438 0    1.5   3314  0.444643   5391198  0.026992   186  0.931465  0.0000 0.000542 0.000724 0.002160  0.007674 -0.010077 -0.035440
COUL 07JUL30 2007.5756 54311 1438 1    1.5   3314  0.445316   5391198  0.027403   186  0.923174  0.0000 0.000543 0.000724 0.002166  0.006038 -0.011150 -0.052500
COUL 07JUL31 2007.5784 54312 1438 2    1.5   3314  0.446965   5391198  0.026661   186  0.929437  0.0000 0.000542 0.000720 0.002153  0.017010 -0.000724 -0.040836
COUL 07AUG01 2007.5811 54313 1438 3    1.5   3314  0.444978   5391198  0.027865   186  0.929998  0.0000 0.000539 0.000722 0.002143  0.018422 -0.007056 -0.045184
COUL 07AUG02 2007.5838 54314 1438 4    1.5   3314  0.447000   5391198  0.027175   186  0.933703  0.0000 0.000545 0.000723 0.002175  0.004150  0.002580 -0.047106
COUL 07AUG03 2007.5866 54315 1438 5    1.5   3314  0.446414   5391198  0.026347   186  0.931162  0.0000 0.000544 0.000726 0.002162  0.008480  0.007276 -0.046611
COUL 07AUG04 2007.5893 54316 1438 6    1.5   3314  0.446773   5391198  0.027505   186  0.932322  0.0000 0.000544 0.000719 0.002148  0.005768 -0.000567 -0.046525
COUL 07AUG05 2007.5921 54317 1439 0    1.5   3314  0.448936   5391198  0.028525   186  0.931944  0.0000 0.000543 0.000723 0.002148  0.006856 -0.006550 -0.064135
COUL 07AUG06 2007.5948 54318 1439 1    1.5   3314  0.447540   5391198  0.026767   186  0.933255  0.0000 0.000549 0.000731 0.002180  0.001516  0.001640 -0.054921
COUL 07AUG07 2007.5975 54319 1439 2    1.5   3314  0.447171   5391198  0.027383   186  0.928850  0.0000 0.000552 0.000726 0.002184 -0.004717  0.007354 -0.043805
COUL 07AUG08 2007.6003 54320 1439 3    1.5   3314  0.450537   5391198  0.028420   186  0.947131  0.0000 0.000552 0.000723 0.002189  0.018448 -0.030330 -0.062462
COUL 07AUG09 2007.6030 54321 1439 4    1.5   3314  0.447066   5391198  0.029516   186  0.933205  0.0000 0.000544 0.000722 0.002156  0.006546  0.010239 -0.040308
COUL 07AUG10 2007.6057 54322 1439 5    1.5   3314  0.448264   5391198  0.028504   186  0.933252  0.0000 0.000543 0.000724 0.002151  0.018285 -0.012770 -0.053669
COUL 07AUG11 2007.6085 54323 1439 6    1.5   3314  0.447875   5391198  0.026904   186  0.930232  0.0000 0.000544 0.000725 0.002165  0.005427  0.008544 -0.068636
COUL 07AUG12 2007.6112 54324 1440 0    1.5   3314  0.447717   5391198  0.028241   186  0.925692  0.0000 0.000547 0.000724 0.002180  0.018695 -0.017801 -0.062858
COUL 07AUG13 2007.6140 54325 1440 1    1.5   3314  0.449801   5391198  0.027202   186  0.931589  0.0000 0.000540 0.000722 0.002148  0.006281  0.002162 -0.050633
COUL 07AUG14 2007.6167 54326 1440 2    1.5   3314  0.448482   5391198  0.027576   186  0.933201  0.0000 0.000579 0.000789 0.002308  0.017056  0.010698 -0.072371
COUL 07AUG15 2007.6194 54327 1440 3    1.5   3314  0.450091   5391198  0.026198   186  0.942801  0.0000 0.000581 0.000789 0.002322  0.012049  0.016219 -0.056850
COUL 07AUG16 2007.6222 54328 1440 4    1.5   3314  0.448411   5391198  0.026759   186  0.929037  0.0000 0.000562 0.000751 0.002263  0.017094 -0.015967 -0.036160
COUL 07AUG17 2007.6249 54329 1440 5    1.5   3314  0.448707   5391198  0.027199   186  0.928343  0.0000 0.000565 0.000759 0.002295  0.032766 -0.032021 -0.035933
COUL 07AUG18 2007.6277 54330 1440 6    1.5   3314  0.449290   5391198  0.027597   186  0.932899  0.0000 0.000571 0.000761 0.002311 -0.013207 -0.016807 -0.037183
COUL 07AUG19 2007.6304 54331 1441 0    1.5   3314  0.449530   5391198  0.028928   186  0.925356  0.0000 0.000575 0.000765 0.002317 -0.034070 -0.015089 -0.026691
COUL 07AUG20 2007.6331 54332 1441 1    1.5   3314  0.448548   5391198  0.028511   186  0.927181  0.0000 0.000556 0.000741 0.002219 -0.002783 -0.011132 -0.024569
COUL 07AUG21 2007.6359 54333 1441 2    1.5   3314  0.448474   5391198  0.028235   186  0.929791  0.0000 0.000561 0.000747 0.002243  0.011101 -0.014013 -0.035562
COUL 07AUG22 2007.6386 54334 1441 3    1.5   3314  0.449096   5391198  0.029232   186  0.927290  0.0000 0.000561 0.000740 0.002239  0.003246 -0.014039 -0.035746
COUL 07AUG23 2007.6413 54335 1441 4    1.5   3314  0.449124   5391198  0.026371   186  0.935302  0.0000 0.000550 0.000730 0.002190  0.029415 -0.029195 -0.050142
COUL 07AUG24 2007.6441 54336 1441 5    1.5   3314  0.448692   5391198  0.026559   186  0.931820  0.0000 0.000563 0.000775 0.002285  0.028097 -0.012334 -0.023604
COUL 07AUG25 2007.6468 54337 1441 6    1.5   3314  0.451085   5391198  0.027765   186  0.920302  0.0000 0.000557 0.000763 0.002248  0.013570 -0.007417 -0.041086
COUL 07AUG26 2007.6496 54338 1442 0    1.5   3314  0.452550   5391198  0.031541   186  0.925742  0.0000 0.000567 0.000777 0.002280  0.006399 -0.022255 -0.038389
COUL 07AUG27 2007.6523 54339 1442 1    1.5   3314  0.449677   5391198  0.028917   186  0.930685  0.0000 0.000570 0.000778 0.002294  0.006434 -0.016659 -0.050479
COUL 07AUG28 2007.6550 54340 1442 2    1.5   3314  0.450335   5391198  0.025886   186  0.927867  0.0000 0.000556 0.000759 0.002229  0.010832 -0.019033 -0.050834
COUL 07AUG29 2007.6578 54341 1442 3    1.5   3314  0.448693   5391198  0.028234   186  0.926951  0.0000 0.000552 0.000761 0.002238  0.007183 -0.022938 -0.038918
COUL 07AUG30 2007.6605 54342 1442 4    1.5   3314  0.447694   5391198  0.027918   186  0.927276  0.0000 0.000556 0.000764 0.002250  0.012004 -0.027384 -0.041193
COUL 07AUG31 2007.6632 54343 1442 5    1.5   3314  0.449759   5391198  0.027853   186  0.928751  0.0000 0.000556 0.000770 0.002251  0.025730 -0.017370 -0.037100
COUL 07SEP01 2007.6660 54344 1442 6    1.5   3314  0.450196   5391198  0.028481   186  0.926998  0.0000 0.000560 0.000772 0.002248  0.022849 -0.031977 -0.028521
COUL 07SEP02 2007.6687 54345 1443 0    1.5   3314  0.450236   5391198  0.028477   186  0.926144  0.0000 0.000558 0.000767 0.002247  0.010701 -0.021324 -0.043538
COUL 07SEP03 2007.6715 54346 1443 1    1.5   3314  0.449512   5391198  0.029160   186  0.926585  0.0000 0.000559 0.000764 0.002238  0.010741 -0.021315 -0.057136
COUL 07SEP04 2007.6742 54347 1443 2    1.5   3314  0.449619   5391198  0.031002   186  0.926153  0.0000 0.000558 0.000771 0.002256  0.011266 -0.021884 -0.038398
COUL 07SEP05 2007.6769 54348 1443 3    1.5   3314  0.448249   5391198  0.029904   186  0.926129  0.0000 0.000557 0.000768 0.002252  0.011396 -0.010324 -0.052462
COUL 07SEP06 2007.6797 54349 1443 4    1.5   3314  0.448826   5391198  0.028014   186  0.930376  0.0000 0.000554 0.000759 0.002228  0.015130 -0.016180 -0.037322
COUL 07SEP07 2007.6824 54350 1443 5    1.5   3314  0.451682   5391198  0.028538   186  0.930290  0.0000 0.000557 0.000761 0.002227  0.015629 -0.005207 -0.039724
COUL 07SEP08 2007.6851 54351 1443 6    1.5   3314  0.449955   5391198  0.029407   186  0.927075  0.0000 0.000568 0.000775 0.002280 -0.004378 -0.004775 -0.045079
COUL 07SEP09 2007.6879 54352 1444 0    1.5   3314  0.451680   5391198  0.028855   186  0.926033  0.0000 0.000569 0.000783 0.002289 -0.013504 -0.008687 -0.027249
COUL 07SEP10 2007.6906 54353 1444 1    1.5   3314  0.450414   5391198  0.030882   186  0.930700  0.0000 0.000557 0.000768 0.002239  0.009410 -0.017806 -0.036138
COUL 07SEP11 2007.6934 54354 1444 2    1.5   3314  0.449983   5391198  0.032058   186  0.930034  0.0000 0.000559 0.000774 0.002263  0.020876 -0.033241 -0.037726
COUL 07SEP12 2007.6961 54355 1444 3    1.5   3314  0.449738   5391198  0.031235   186  0.929291  0.0000 0.000639 0.000870 0.002549  0.000988 -0.065697 -0.071666
COUL 07SEP13 2007.6988 54356 1444 4    1.5   3314  0.450242   5391198  0.032004   186  0.927710  0.0000 0.000784 0.001139 0.003241  0.071432  0.026470 -0.010628
COUL 07SEP14 2007.7016 54357 1444 5    1.5   3314  0.449621   5391198  0.030086   186  0.928461  0.0000 0.000560 0.000766 0.002244  0.000455 -0.013957 -0.029935
COUL 07SEP15 2007.7043 54358 1444 6    1.5   3314  0.450094   5391198  0.029673   186  0.928533  0.0000 0.000588 0.000798 0.002320  0.013967  0.004173 -0.034662
COUL 07SEP16 2007.7070 54359 1445 0    1.5   3314  0.452079   5391198  0.030478   186  0.931656  0.0000 0.000558 0.000769 0.002238  0.011935 -0.006146 -0.032831
COUL 07SEP17 2007.7098 54360 1445 1    1.5   3314  0.450654   5391198  0.028564   186  0.935929  0.0000 0.000556 0.000771 0.002253  0.024713 -0.020126 -0.047180
COUL 07SEP18 2007.7125 54361 1445 2    1.5   3314  0.449790   5391198  0.029682   186  0.932209  0.0000 0.000552 0.000752 0.002195  0.016505 -0.011057 -0.036772
COUL 07SEP19 2007.7153 54362 1445 3    1.5   3314  0.450595   5391198  0.029888   186  0.925014  0.0000 0.000546 0.000740 0.002164  0.016921  0.006552 -0.012494
COUL 07SEP20 2007.7180 54363 1445 4    1.5   3314  0.452064   5391198  0.030616   186  0.928046  0.0000 0.000549 0.000729 0.002159  0.002185  0.003566 -0.048100
COUL 07SEP21 2007.7207 54364 1445 5    1.5   3314  0.451770   5391198  0.031273   186  0.924500  0.0000 0.000547 0.000728 0.002154  0.009566  0.016071 -0.048806
