site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CROY 16AUG16 2016.6242 57616 1910 2  145.3     -6 -0.209383  -4186879 -0.018406   122  0.420881  0.0700 0.000574 0.000674 0.002283  0.028904 -0.067822  0.128574
CROY 16AUG17 2016.6270 57617 1910 3  145.3     -6 -0.207060  -4186879 -0.019363   122  0.427925  0.0700 0.000550 0.000671 0.002218  0.014420 -0.059234  0.152892
CROY 16AUG18 2016.6297 57618 1910 4  145.3     -6 -0.208896  -4186879 -0.021881   122  0.433041  0.0700 0.000565 0.000685 0.002253  0.037205 -0.062778  0.155148
CROY 16AUG19 2016.6324 57619 1910 5  145.3     -6 -0.209034  -4186879 -0.019331   122  0.425313  0.0700 0.000563 0.000688 0.002253  0.013270 -0.052082  0.165050
CROY 16AUG20 2016.6352 57620 1910 6  145.3     -6 -0.209812  -4186879 -0.016401   122  0.427501  0.0700 0.000552 0.000667 0.002212  0.022946 -0.054651  0.132996
CROY 16AUG21 2016.6379 57621 1911 0  145.3     -6 -0.208016  -4186879 -0.018967   122  0.425131  0.0700 0.000552 0.000670 0.002226  0.021020 -0.053115  0.150629
CROY 16AUG22 2016.6407 57622 1911 1  145.3     -6 -0.210331  -4186879 -0.019137   122  0.433315  0.0700 0.000574 0.000695 0.002311  0.016231 -0.038063  0.166104
CROY 16AUG23 2016.6434 57623 1911 2  145.3     -6 -0.207648  -4186879 -0.018208   122  0.424935  0.0700 0.000624 0.000749 0.002476  0.024302 -0.017464  0.164651
CROY 16AUG24 2016.6461 57624 1911 3  145.3     -6 -0.207323  -4186879 -0.019460   122  0.427676  0.0700 0.000624 0.000742 0.002451  0.023801 -0.022257  0.149824
CROY 16AUG25 2016.6489 57625 1911 4  145.3     -6 -0.209093  -4186879 -0.020645   122  0.433389  0.0700 0.000730 0.000870 0.002915 -0.014421 -0.007627  0.164822
CROY 16AUG26 2016.6516 57626 1911 5  145.3     -6 -0.209423  -4186879 -0.017118   122  0.432752  0.0700 0.000780 0.000944 0.003131 -0.021132 -0.009697  0.200494
CROY 16AUG27 2016.6543 57627 1911 6  145.3     -6 -0.208055  -4186879 -0.017369   122  0.445530  0.0700 0.000811 0.001014 0.003262 -0.030944 -0.009575  0.228474
CROY 16AUG28 2016.6571 57628 1912 0  145.3     -6 -0.207680  -4186879 -0.010946   122  0.451723  0.0700 0.001681 0.001976 0.006916 -0.027106  0.148893  0.207134
CROY 16AUG30 2016.6626 57630 1912 2  145.3     -6 -0.208215  -4186879 -0.016771   122  0.435217  0.0700 0.000555 0.000668 0.002224  0.011418 -0.074719  0.145064
CROY 16AUG31 2016.6653 57631 1912 3  145.3     -6 -0.207810  -4186879 -0.013738   122  0.437907  0.0700 0.000551 0.000670 0.002210 -0.001613 -0.059413  0.139151
CROY 16SEP01 2016.6680 57632 1912 4  145.3     -6 -0.207071  -4186879 -0.018565   122  0.430640  0.0700 0.000546 0.000664 0.002189  0.023740 -0.040194  0.137419
CROY 16SEP02 2016.6708 57633 1912 5  145.3     -6 -0.209870  -4186879 -0.018229   122  0.437849  0.0700 0.000571 0.000687 0.002291  0.015568 -0.073942  0.150392
CROY 16SEP03 2016.6735 57634 1912 6  145.3     -6 -0.206524  -4186879 -0.016627   122  0.424687  0.0700 0.000555 0.000668 0.002215  0.019249 -0.059370  0.142523
CROY 16SEP04 2016.6762 57635 1913 0  145.3     -6 -0.206587  -4186879 -0.016231   122  0.427750  0.0700 0.000582 0.000695 0.002306 -0.002075 -0.067595  0.148671
CROY 16SEP05 2016.6790 57636 1913 1  145.3     -6 -0.206759  -4186879 -0.019267   122  0.428028  0.0700 0.000587 0.000695 0.002304  0.006331 -0.055479  0.139176
CROY 16SEP06 2016.6817 57637 1913 2  145.3     -6 -0.208860  -4186879 -0.016783   122  0.428168  0.0700 0.000598 0.000703 0.002332  0.018816 -0.034775  0.122620
CROY 16SEP07 2016.6845 57638 1913 3  145.3     -6 -0.206034  -4186879 -0.016395   122  0.434579  0.0700 0.000639 0.000786 0.002549  0.052545 -0.057333  0.133571
CROY 16SEP08 2016.6872 57639 1913 4  145.3     -6 -0.206647  -4186879 -0.017917   122  0.436660  0.0700 0.000581 0.000702 0.002363  0.020257 -0.069429  0.139321
CROY 16SEP09 2016.6899 57640 1913 5  145.3     -6 -0.206149  -4186879 -0.016518   122  0.421756  0.0700 0.000564 0.000684 0.002278 -0.003461 -0.069411  0.138213
CROY 16SEP10 2016.6927 57641 1913 6  145.3     -6 -0.207916  -4186879 -0.017262   122  0.427908  0.0700 0.000555 0.000671 0.002243  0.012736 -0.070385  0.137922
CROY 16SEP11 2016.6954 57642 1914 0  145.3     -6 -0.205800  -4186879 -0.016023   122  0.420257  0.0700 0.000549 0.000669 0.002218  0.020070 -0.054203  0.137011
CROY 16SEP12 2016.6982 57643 1914 1  145.3     -6 -0.207648  -4186879 -0.014251   122  0.425938  0.0700 0.000555 0.000673 0.002245  0.011406 -0.069877  0.130684
CROY 16SEP13 2016.7009 57644 1914 2  145.3     -6 -0.207319  -4186879 -0.017593   122  0.430846  0.0700 0.000619 0.000731 0.002490  0.007531 -0.056886  0.164233
CROY 16SEP14 2016.7036 57645 1914 3  145.3     -6 -0.206218  -4186879 -0.017486   122  0.433436  0.0700 0.000568 0.000672 0.002265  0.004895 -0.081047  0.147045
CROY 16SEP15 2016.7064 57646 1914 4  145.3     -6 -0.208795  -4186879 -0.019175   122  0.421343  0.0700 0.000563 0.000683 0.002294 -0.016627 -0.076756  0.170810
CROY 16SEP16 2016.7091 57647 1914 5  145.3     -6 -0.208318  -4186879 -0.018244   122  0.434988  0.0700 0.000561 0.000687 0.002282 -0.008140 -0.070393  0.158497
CROY 16SEP17 2016.7118 57648 1914 6  145.3     -6 -0.207246  -4186879 -0.016937   122  0.433026  0.0700 0.000548 0.000667 0.002201  0.021219 -0.043791  0.150385
CROY 16SEP18 2016.7146 57649 1915 0  145.3     -6 -0.206186  -4186879 -0.016879   122  0.426198  0.0700 0.000547 0.000663 0.002196  0.010251 -0.056205  0.153912
CROY 16SEP19 2016.7173 57650 1915 1  145.3     -6 -0.205648  -4186879 -0.017491   122  0.428697  0.0700 0.000554 0.000661 0.002209  0.022349 -0.047751  0.154010
CROY 16SEP20 2016.7201 57651 1915 2  145.3     -6 -0.207769  -4186879 -0.016718   122  0.434854  0.0700 0.000560 0.000679 0.002267  0.004006 -0.042667  0.172626
CROY 16SEP21 2016.7228 57652 1915 3  145.3     -6 -0.206706  -4186879 -0.018756   122  0.422585  0.0700 0.000551 0.000672 0.002234  0.014895 -0.063328  0.158329
CROY 16SEP22 2016.7255 57653 1915 4  145.3     -6 -0.207118  -4186879 -0.014860   122  0.431811  0.0700 0.000573 0.000680 0.002292  0.014185 -0.072047  0.149232
CROY 16SEP23 2016.7283 57654 1915 5  145.3     -6 -0.208385  -4186879 -0.016574   122  0.430878  0.0700 0.000588 0.000698 0.002326  0.032094 -0.062770  0.137157
CROY 16SEP24 2016.7310 57655 1915 6  145.3     -6 -0.206569  -4186879 -0.016522   122  0.429962  0.0700 0.000553 0.000667 0.002224  0.012547 -0.069678  0.153688
CROY 16SEP25 2016.7337 57656 1916 0  145.3     -6 -0.204147  -4186879 -0.016067   122  0.423216  0.0700 0.000568 0.000679 0.002267  0.024493 -0.052997  0.133203
CROY 16SEP26 2016.7365 57657 1916 1  145.3     -6 -0.206119  -4186879 -0.016637   122  0.426649  0.0700 0.000559 0.000678 0.002250  0.009371 -0.060785  0.161129
CROY 16SEP27 2016.7392 57658 1916 2  145.3     -6 -0.203377  -4186879 -0.017478   122  0.422304  0.0700 0.000567 0.000689 0.002296  0.006581 -0.051373  0.165238
CROY 16SEP28 2016.7420 57659 1916 3  145.3     -6 -0.206349  -4186879 -0.019360   122  0.436404  0.0700 0.000554 0.000680 0.002258 -0.007844 -0.073549  0.158213
CROY 16SEP29 2016.7447 57660 1916 4  145.3     -6 -0.204852  -4186879 -0.017011   122  0.426196  0.0700 0.000554 0.000666 0.002237  0.012286 -0.067076  0.142587
CROY 16SEP30 2016.7474 57661 1916 5  145.3     -6 -0.205964  -4186879 -0.017003   122  0.432151  0.0700 0.000561 0.000681 0.002232  0.013188 -0.039982  0.150853
CROY 16OCT01 2016.7502 57662 1916 6  145.3     -6 -0.205919  -4186879 -0.015134   122  0.427744  0.0700 0.000568 0.000679 0.002273  0.025140 -0.059253  0.148699
CROY 16OCT02 2016.7529 57663 1917 0  145.3     -6 -0.206545  -4186879 -0.013531   122  0.437607  0.0700 0.000552 0.000670 0.002222  0.014062 -0.054776  0.166811
CROY 16OCT03 2016.7556 57664 1917 1  145.3     -6 -0.207785  -4186879 -0.012893   122  0.424248  0.0700 0.000554 0.000673 0.002223  0.016600 -0.058387  0.149256
CROY 16OCT04 2016.7584 57665 1917 2  145.3     -6 -0.207902  -4186879 -0.010404   122  0.426263  0.0700 0.000582 0.000696 0.002295  0.018452 -0.031202  0.126843
CROY 16OCT05 2016.7611 57666 1917 3  145.3     -6 -0.206839  -4186879 -0.013017   122  0.426776  0.0700 0.000547 0.000661 0.002187  0.009033 -0.040986  0.146154
CROY 16OCT06 2016.7639 57667 1917 4  145.3     -6 -0.207464  -4186879 -0.015942   122  0.423100  0.0700 0.000573 0.000684 0.002294  0.009636 -0.063205  0.140380
CROY 16OCT07 2016.7666 57668 1917 5  145.3     -6 -0.205798  -4186879 -0.015364   122  0.427896  0.0700 0.000556 0.000664 0.002195  0.020401 -0.039359  0.129190
CROY 16OCT08 2016.7693 57669 1917 6  145.3     -6 -0.204081  -4186879 -0.012817   122  0.427558  0.0700 0.000551 0.000670 0.002214  0.021119 -0.063396  0.136902
CROY 16OCT09 2016.7721 57670 1918 0  145.3     -6 -0.205508  -4186879 -0.011476   122  0.426090  0.0700 0.000554 0.000671 0.002223  0.016665 -0.062622  0.138492
CROY 16OCT10 2016.7748 57671 1918 1  145.3     -6 -0.207591  -4186879 -0.011229   122  0.425425  0.0700 0.000550 0.000668 0.002203  0.022257 -0.043120  0.142157
CROY 16OCT11 2016.7775 57672 1918 2  145.3     -6 -0.205819  -4186879 -0.010082   122  0.426046  0.0700 0.000578 0.000690 0.002280  0.035174 -0.000144  0.156498
CROY 16OCT12 2016.7803 57673 1918 3  145.3     -6 -0.201678  -4186879 -0.014991   122  0.426429  0.0700 0.000559 0.000674 0.002241  0.002039 -0.063041  0.143853
CROY 16OCT13 2016.7830 57674 1918 4  145.3     -6 -0.203119  -4186879 -0.014631   122  0.425424  0.0700 0.000554 0.000669 0.002208  0.020754 -0.026256  0.136903
CROY 16OCT14 2016.7858 57675 1918 5  145.3     -6 -0.207151  -4186879 -0.011813   122  0.432290  0.0700 0.000559 0.000678 0.002246  0.009943 -0.051076  0.145573
CROY 16OCT15 2016.7885 57676 1918 6  145.3     -6 -0.208659  -4186879 -0.010446   122  0.436301  0.0700 0.000549 0.000667 0.002181  0.021285 -0.057123  0.121639
CROY 16OCT16 2016.7912 57677 1919 0  145.3     -6 -0.207266  -4186879 -0.013078   122  0.432165  0.0700 0.000554 0.000667 0.002215  0.014182 -0.052512  0.142675
CROY 16OCT17 2016.7940 57678 1919 1  145.3     -6 -0.205808  -4186879 -0.013752   122  0.420423  0.0700 0.000562 0.000669 0.002223  0.023953 -0.055840  0.126326
CROY 16OCT18 2016.7967 57679 1919 2  145.3     -6 -0.202295  -4186879 -0.012059   122  0.417675  0.0700 0.000619 0.000757 0.002451  0.020598 -0.013646  0.109995
CROY 16OCT19 2016.7995 57680 1919 3  145.3     -6 -0.205879  -4186879 -0.010281   122  0.423908  0.0700 0.000675 0.000828 0.002717  0.021565 -0.088831  0.152275
CROY 16OCT20 2016.8022 57681 1919 4  145.3     -6 -0.207465  -4186879 -0.011795   122  0.430290  0.0700 0.000548 0.000666 0.002184  0.023083 -0.047122  0.117944
CROY 16OCT21 2016.8049 57682 1919 5  145.3     -6 -0.208453  -4186879 -0.010870   122  0.426571  0.0700 0.000551 0.000666 0.002210 -0.003257 -0.075398  0.140232
CROY 16OCT22 2016.8077 57683 1919 6  145.3     -6 -0.203781  -4186879 -0.008345   122  0.415924  0.0700 0.000551 0.000667 0.002203  0.008215 -0.053690  0.148484
CROY 16OCT23 2016.8104 57684 1920 0  145.3     -6 -0.202024  -4186879 -0.011054   122  0.422872  0.0700 0.000554 0.000668 0.002215  0.014822 -0.057152  0.136453
CROY 16OCT24 2016.8131 57685 1920 1  145.3     -6 -0.204256  -4186879 -0.007202   122  0.428156  0.0700 0.000550 0.000671 0.002220  0.005450 -0.048475  0.142071
CROY 16OCT25 2016.8159 57686 1920 2  145.3     -6 -0.206150  -4186879 -0.008088   122  0.426157  0.0700 0.000675 0.000790 0.002615 -0.003139 -0.051849  0.133686
CROY 16OCT26 2016.8186 57687 1920 3  145.3     -6 -0.203981  -4186879 -0.007437   122  0.428299  0.0700 0.000570 0.000697 0.002266  0.026944 -0.069506  0.121743
CROY 16OCT27 2016.8214 57688 1920 4  145.3     -6 -0.206774  -4186879 -0.007740   122  0.432627  0.0700 0.000567 0.000690 0.002265  0.030757 -0.056119  0.117950
CROY 16OCT28 2016.8241 57689 1920 5  145.3     -6 -0.203134  -4186879 -0.008550   122  0.429775  0.0700 0.000562 0.000670 0.002237  0.015952 -0.082366  0.144127
CROY 16OCT29 2016.8268 57690 1920 6  145.3     -6 -0.203148  -4186879 -0.008843   122  0.436482  0.0700 0.000556 0.000669 0.002223  0.020260 -0.077276  0.145774
CROY 16OCT30 2016.8296 57691 1921 0  145.3     -6 -0.202287  -4186879 -0.009773   122  0.420059  0.0700 0.000555 0.000671 0.002235 -0.001026 -0.077097  0.146810
CROY 16OCT31 2016.8323 57692 1921 1  145.3     -6 -0.204223  -4186879 -0.008868   122  0.425220  0.0700 0.000552 0.000669 0.002227 -0.001626 -0.083033  0.140980
CROY 16NOV01 2016.8350 57693 1921 2  145.3     -6 -0.204544  -4186879 -0.006944   122  0.427795  0.0700 0.000626 0.000734 0.002446  0.002231 -0.064357  0.108015
CROY 16NOV02 2016.8378 57694 1921 3  145.3     -6 -0.206067  -4186879 -0.008291   122  0.432801  0.0700 0.000591 0.000732 0.002414 -0.015648 -0.082352  0.158578
CROY 16NOV03 2016.8405 57695 1921 4  145.3     -6 -0.203495  -4186879 -0.008415   122  0.433028  0.0700 0.000560 0.000684 0.002284  0.006768 -0.056122  0.150018
CROY 16NOV04 2016.8433 57696 1921 5  145.3     -6 -0.202662  -4186879 -0.008183   122  0.429300  0.0700 0.000563 0.000687 0.002291 -0.005793 -0.059505  0.144005
CROY 16NOV05 2016.8460 57697 1921 6  145.3     -6 -0.204157  -4186879 -0.010026   122  0.424260  0.0700 0.000560 0.000668 0.002249  0.001382 -0.075499  0.147425
CROY 16NOV06 2016.8487 57698 1922 0  145.3     -6 -0.202918  -4186879 -0.009431   122  0.429191  0.0700 0.000555 0.000666 0.002218 -0.003582 -0.076462  0.142684
CROY 16NOV07 2016.8515 57699 1922 1  145.3     -6 -0.204089  -4186879 -0.006952   122  0.429337  0.0700 0.000550 0.000668 0.002201  0.019367 -0.052450  0.124308
CROY 16NOV08 2016.8542 57700 1922 2  145.3     -6 -0.205681  -4186879 -0.005420   122  0.428443  0.0700 0.000554 0.000661 0.002185  0.022985 -0.056843  0.136014
CROY 16NOV09 2016.8569 57701 1922 3  145.3     -6 -0.204390  -4186879 -0.007970   122  0.426484  0.0700 0.000554 0.000670 0.002224  0.006855 -0.065983  0.148864
CROY 16NOV10 2016.8597 57702 1922 4  145.3     -6 -0.200870  -4186879 -0.011168   122  0.423265  0.0700 0.000577 0.000703 0.002339  0.009852 -0.058274  0.152329
CROY 16NOV11 2016.8624 57703 1922 5  145.3     -6 -0.202882  -4186879 -0.003350   122  0.427777  0.0700 0.000570 0.000679 0.002283 -0.004811 -0.084025  0.138834
CROY 16NOV12 2016.8652 57704 1922 6  145.3     -6 -0.206099  -4186879 -0.004086   122  0.436580  0.0700 0.000579 0.000687 0.002296  0.014042 -0.048794  0.113292
CROY 16NOV13 2016.8679 57705 1923 0  145.3     -6 -0.208034  -4186879 -0.002758   122  0.432739  0.0700 0.000612 0.000739 0.002478 -0.002470 -0.129537  0.136548
CROY 16NOV14 2016.8706 57706 1923 1  145.3     -6 -0.204205  -4186879 -0.008431   122  0.425684  0.0700 0.000554 0.000669 0.002228  0.010146 -0.055716  0.144122
CROY 16NOV15 2016.8734 57707 1923 2  145.3     -6 -0.203618  -4186879 -0.006021   122  0.426750  0.0700 0.000553 0.000668 0.002215  0.013706 -0.062087  0.131089
CROY 16NOV16 2016.8761 57708 1923 3  145.3     -6 -0.201223  -4186879 -0.005372   122  0.425002  0.0700 0.000552 0.000665 0.002206  0.016077 -0.057142  0.128892
CROY 16NOV17 2016.8789 57709 1923 4  145.3     -6 -0.202688  -4186879 -0.003088   122  0.431912  0.0700 0.000549 0.000660 0.002200  0.001725 -0.062452  0.148263
CROY 16NOV18 2016.8816 57710 1923 5  145.3     -6 -0.201761  -4186879 -0.004415   122  0.428397  0.0700 0.000551 0.000664 0.002204 -0.003235 -0.073172  0.137294
CROY 16NOV19 2016.8843 57711 1923 6  145.3     -6 -0.199414  -4186879 -0.003727   122  0.432581  0.0700 0.000553 0.000667 0.002221  0.005673 -0.075872  0.131530
CROY 16NOV20 2016.8871 57712 1924 0  145.3     -6 -0.202024  -4186879 -0.000519   122  0.434838  0.0700 0.000551 0.000672 0.002224  0.000469 -0.074226  0.157476
CROY 16NOV21 2016.8898 57713 1924 1  145.3     -6 -0.203607  -4186879 -0.004592   122  0.439174  0.0700 0.000567 0.000703 0.002323  0.020996 -0.055459  0.127797
CROY 16NOV22 2016.8925 57714 1924 2  145.3     -6 -0.202256  -4186879 -0.002686   122  0.427847  0.0700 0.000556 0.000666 0.002231  0.001673 -0.067594  0.159032
CROY 16NOV23 2016.8953 57715 1924 3  145.3     -6 -0.201408  -4186879 -0.004169   122  0.420408  0.0700 0.000563 0.000675 0.002245  0.034103 -0.040461  0.138452
CROY 16NOV24 2016.8980 57716 1924 4  145.3     -6 -0.202307  -4186879 -0.005418   122  0.426158  0.0700 0.000558 0.000676 0.002240  0.006517 -0.072182  0.132425
CROY 16NOV25 2016.9008 57717 1924 5  145.3     -6 -0.202204  -4186879 -0.005787   122  0.428230  0.0700 0.000556 0.000671 0.002234  0.007140 -0.067075  0.148951
CROY 16NOV26 2016.9035 57718 1924 6  145.3     -6 -0.201481  -4186879 -0.002650   122  0.426053  0.0700 0.000586 0.000693 0.002323  0.025424 -0.060981  0.157117
CROY 16NOV27 2016.9062 57719 1925 0  145.3     -6 -0.203350  -4186879 -0.004123   122  0.430464  0.0700 0.000552 0.000663 0.002205  0.019639 -0.047505  0.140280
CROY 16NOV28 2016.9090 57720 1925 1  145.3     -6 -0.203101  -4186879 -0.004597   122  0.435162  0.0700 0.000553 0.000669 0.002220  0.006323 -0.063595  0.145356
CROY 16NOV29 2016.9117 57721 1925 2  145.3     -6 -0.201235  -4186879 -0.003415   122  0.430998  0.0700 0.000553 0.000669 0.002212 -0.000587 -0.069609  0.132189
CROY 16NOV30 2016.9144 57722 1925 3  145.3     -6 -0.200216  -4186879 -0.004302   122  0.421761  0.0700 0.000558 0.000670 0.002222  0.016778 -0.073258  0.110464
CROY 16DEC01 2016.9172 57723 1925 4  145.3     -6 -0.203134  -4186879 -0.003948   122  0.425514  0.0700 0.000563 0.000679 0.002258  0.008203 -0.069370  0.147456
