site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CRRL 10MAR17 2010.2067 55272 1575 3  -68.4   4110  0.481498  -4002490 -0.106338  1225  0.918974  0.0000 0.001006 0.001185 0.004062 -0.040097  0.035285  0.149455
CRRL 10MAR18 2010.2094 55273 1575 4  -68.4   4110  0.479883  -4002490 -0.107632  1225  0.933335  0.0000 0.000597 0.000680 0.002345  0.014932 -0.004174  0.093624
CRRL 10MAR19 2010.2122 55274 1575 5  -68.4   4110  0.480875  -4002490 -0.106227  1225  0.933403  0.0000 0.000588 0.000669 0.002302  0.013222  0.016989  0.118267
CRRL 10MAR20 2010.2149 55275 1575 6  -68.4   4110  0.479491  -4002490 -0.105109  1225  0.926643  0.0000 0.000588 0.000677 0.002312  0.015559  0.009029  0.101691
CRRL 10MAR21 2010.2177 55276 1576 0  -68.4   4110  0.478894  -4002490 -0.105908  1225  0.933002  0.0000 0.000588 0.000670 0.002294  0.014088  0.023102  0.091348
CRRL 10MAR22 2010.2204 55277 1576 1  -68.4   4110  0.479256  -4002490 -0.105645  1225  0.937971  0.0000 0.000583 0.000667 0.002279  0.016912  0.028069  0.087889
CRRL 10MAR23 2010.2231 55278 1576 2  -68.4   4110  0.479957  -4002490 -0.107547  1225  0.932550  0.0000 0.000587 0.000668 0.002294  0.005595  0.006301  0.103534
CRRL 10MAR24 2010.2259 55279 1576 3  -68.4   4110  0.479283  -4002490 -0.105772  1225  0.927273  0.0000 0.000599 0.000683 0.002373  0.036724  0.044061  0.104332
CRRL 10MAR25 2010.2286 55280 1576 4  -68.4   4110  0.478213  -4002490 -0.104813  1225  0.930224  0.0000 0.000599 0.000681 0.002352  0.030971  0.046203  0.114638
CRRL 10MAR26 2010.2313 55281 1576 5  -68.4   4110  0.474783  -4002490 -0.108690  1225  0.928989  0.0000 0.000597 0.000680 0.002343  0.030324  0.043048  0.118705
CRRL 10MAR27 2010.2341 55282 1576 6  -68.4   4110  0.474997  -4002490 -0.105716  1225  0.921750  0.0000 0.000601 0.000689 0.002373  0.023803  0.051738  0.090504
CRRL 10MAR28 2010.2368 55283 1577 0  -68.4   4110  0.475932  -4002490 -0.107860  1225  0.931806  0.0000 0.000598 0.000686 0.002358  0.031237  0.035715  0.094922
CRRL 10MAR29 2010.2396 55284 1577 1  -68.4   4110  0.476625  -4002490 -0.105692  1225  0.933788  0.0000 0.000595 0.000692 0.002369  0.026840  0.042132  0.086943
CRRL 10MAR30 2010.2423 55285 1577 2  -68.4   4110  0.475866  -4002490 -0.108294  1225  0.929585  0.0000 0.000636 0.000708 0.002466  0.022107  0.070793  0.094210
CRRL 10MAR31 2010.2450 55286 1577 3  -68.4   4110  0.475502  -4002490 -0.107529  1225  0.935551  0.0000 0.000596 0.000687 0.002358  0.027634  0.040156  0.101582
CRRL 10APR01 2010.2478 55287 1577 4  -68.4   4110  0.470956  -4002490 -0.107103  1225  0.929530  0.0000 0.000601 0.000687 0.002367  0.026831  0.036599  0.088541
CRRL 10APR02 2010.2505 55288 1577 5  -68.4   4110  0.474979  -4002490 -0.106061  1225  0.928558  0.0000 0.000611 0.000709 0.002455  0.048788  0.036028  0.117558
CRRL 10APR03 2010.2533 55289 1577 6  -68.4   4110  0.474580  -4002490 -0.107089  1225  0.921344  0.0000 0.000597 0.000691 0.002380  0.026743  0.047788  0.111083
CRRL 10APR04 2010.2560 55290 1578 0  -68.4   4110  0.474815  -4002490 -0.106609  1225  0.922545  0.0000 0.000597 0.000694 0.002381  0.019083  0.058540  0.093756
CRRL 10APR05 2010.2587 55291 1578 1  -68.4   4110  0.473334  -4002490 -0.104748  1225  0.928713  0.0000 0.000595 0.000686 0.002371  0.024552  0.065420  0.109783
CRRL 10APR06 2010.2615 55292 1578 2  -68.4   4110  0.470953  -4002490 -0.108653  1225  0.926758  0.0000 0.000600 0.000693 0.002390  0.033738  0.058760  0.099686
CRRL 10APR07 2010.2642 55293 1578 3  -68.4   4110  0.470436  -4002490 -0.105188  1225  0.924270  0.0000 0.000602 0.000695 0.002396  0.027364  0.052067  0.112491
CRRL 10APR08 2010.2669 55294 1578 4  -68.4   4110  0.471051  -4002490 -0.103954  1225  0.926975  0.0000 0.000600 0.000692 0.002394  0.020099  0.044011  0.130916
CRRL 10APR09 2010.2697 55295 1578 5  -68.4   4110  0.471165  -4002490 -0.104098  1225  0.924700  0.0000 0.000621 0.000703 0.002442  0.021767  0.037810  0.121803
CRRL 10APR10 2010.2724 55296 1578 6  -68.4   4110  0.471069  -4002490 -0.105906  1225  0.929041  0.0000 0.000617 0.000703 0.002435  0.024196  0.041803  0.112113
CRRL 10APR11 2010.2752 55297 1579 0  -68.4   4110  0.470876  -4002490 -0.104574  1225  0.921439  0.0000 0.000603 0.000687 0.002376  0.022467  0.041754  0.103443
CRRL 10APR12 2010.2779 55298 1579 1  -68.4   4110  0.468438  -4002490 -0.102399  1225  0.922510  0.0000 0.000605 0.000714 0.002430  0.022476  0.049906  0.084484
CRRL 10APR13 2010.2806 55299 1579 2  -68.4   4110  0.467862  -4002490 -0.109645  1225  0.911102  0.0000 0.000594 0.000683 0.002337  0.005208  0.030467  0.109691
CRRL 10APR14 2010.2834 55300 1579 3  -68.4   4110  0.468528  -4002490 -0.105320  1225  0.921986  0.0000 0.000615 0.000698 0.002399 -0.011641  0.020189  0.135899
CRRL 10APR15 2010.2861 55301 1579 4  -68.4   4110  0.468419  -4002490 -0.105015  1225  0.924992  0.0000 0.000614 0.000700 0.002399 -0.007090  0.024777  0.109015
CRRL 10APR16 2010.2888 55302 1579 5  -68.4   4110  0.466668  -4002490 -0.106398  1225  0.921694  0.0000 0.000591 0.000676 0.002324  0.006512  0.038364  0.118860
