site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CUCS 16JAN14 2016.0356 57401 1879 4  115.9   -496 -0.533208  -3542289 -0.430713    23  0.779824  0.0000 0.000550 0.000627 0.002047  0.078461  0.053386  0.143397
CUCS 16JAN15 2016.0383 57402 1879 5  115.9   -496 -0.533871  -3542289 -0.430714    23  0.768830  0.0000 0.000469 0.000553 0.001858  0.048056  0.047810  0.162608
CUCS 16JAN16 2016.0411 57403 1879 6  115.9   -496 -0.536540  -3542289 -0.433700    23  0.775557  0.0000 0.000463 0.000534 0.001776  0.060690  0.059653  0.141151
CUCS 16JAN17 2016.0438 57404 1880 0  115.9   -496 -0.534466  -3542289 -0.431764    23  0.775002  0.0000 0.000462 0.000533 0.001774  0.051898  0.047475  0.124111
CUCS 16JAN18 2016.0465 57405 1880 1  115.9   -496 -0.535070  -3542289 -0.431238    23  0.762118  0.0000 0.000463 0.000535 0.001779  0.050269  0.041534  0.121341
CUCS 16JAN19 2016.0493 57406 1880 2  115.9   -496 -0.535842  -3542289 -0.427338    23  0.761465  0.0000 0.000464 0.000537 0.001800  0.055841  0.046524  0.138075
CUCS 16JAN20 2016.0520 57407 1880 3  115.9   -496 -0.537590  -3542289 -0.428546    23  0.775637  0.0000 0.000466 0.000536 0.001799  0.057985  0.053324  0.141805
CUCS 16JAN21 2016.0548 57408 1880 4  115.9   -496 -0.536774  -3542289 -0.429175    23  0.776344  0.0000 0.000469 0.000536 0.001813  0.059322  0.057239  0.159764
CUCS 16JAN22 2016.0575 57409 1880 5  115.9   -496 -0.537270  -3542289 -0.430260    23  0.774924  0.0000 0.000465 0.000533 0.001784  0.050044  0.039453  0.144798
CUCS 16JAN23 2016.0602 57410 1880 6  115.9   -496 -0.537315  -3542289 -0.429522    23  0.776459  0.0000 0.000463 0.000535 0.001772  0.055125  0.045346  0.115068
CUCS 16JAN24 2016.0630 57411 1881 0  115.9   -496 -0.539589  -3542289 -0.431201    23  0.777695  0.0000 0.000463 0.000535 0.001779  0.046097  0.041110  0.122849
CUCS 16JAN25 2016.0657 57412 1881 1  115.9   -496 -0.534039  -3542289 -0.429123    23  0.772811  0.0000 0.000479 0.000543 0.001848  0.038735  0.047310  0.123845
CUCS 16JAN26 2016.0684 57413 1881 2  115.9   -496 -0.538710  -3542289 -0.429155    23  0.781064  0.0000 0.000476 0.000541 0.001835  0.045432  0.045082  0.134185
CUCS 16JAN27 2016.0712 57414 1881 3  115.9   -496 -0.535785  -3542289 -0.429209    23  0.784328  0.0000 0.000477 0.000540 0.001820  0.035678  0.044726  0.122566
CUCS 16JAN28 2016.0739 57415 1881 4  115.9   -496 -0.534771  -3542289 -0.429748    23  0.789664  0.0000 0.000473 0.000537 0.001801  0.032731  0.038350  0.110573
CUCS 16JAN29 2016.0767 57416 1881 5  115.9   -496 -0.536820  -3542289 -0.429034    23  0.785358  0.0000 0.000487 0.000546 0.001835  0.026025  0.039961  0.089632
CUCS 16JAN30 2016.0794 57417 1881 6  115.9   -496 -0.535292  -3542289 -0.426888    23  0.785073  0.0000 0.000475 0.000540 0.001831  0.032854  0.031674  0.118665
CUCS 16JAN31 2016.0821 57418 1882 0  115.9   -496 -0.538044  -3542289 -0.425913    23  0.780830  0.0000 0.000476 0.000542 0.001839  0.050022  0.054090  0.134545
CUCS 16FEB01 2016.0849 57419 1882 1  115.9   -496 -0.535810  -3542289 -0.427249    23  0.772905  0.0000 0.000477 0.000539 0.001826  0.038533  0.038172  0.131488
CUCS 16FEB02 2016.0876 57420 1882 2  115.9   -496 -0.533955  -3542289 -0.428668    23  0.775445  0.0000 0.000475 0.000539 0.001808  0.031866  0.031675  0.121460
CUCS 16FEB03 2016.0903 57421 1882 3  115.9   -496 -0.537121  -3542289 -0.425201    23  0.781206  0.0000 0.000473 0.000539 0.001805  0.029759  0.038931  0.107437
CUCS 16FEB04 2016.0931 57422 1882 4  115.9   -496 -0.534550  -3542289 -0.427040    23  0.787814  0.0000 0.000474 0.000539 0.001810  0.027349  0.029073  0.112606
CUCS 16FEB05 2016.0958 57423 1882 5  115.9   -496 -0.536437  -3542289 -0.424945    23  0.785020  0.0000 0.000479 0.000544 0.001843  0.038070  0.036520  0.127665
CUCS 16FEB06 2016.0986 57424 1882 6  115.9   -496 -0.536332  -3542289 -0.424842    23  0.784358  0.0000 0.000476 0.000539 0.001814  0.046985  0.049651  0.123504
CUCS 16FEB07 2016.1013 57425 1883 0  115.9   -496 -0.534372  -3542289 -0.425901    23  0.788468  0.0000 0.000478 0.000542 0.001822  0.034877  0.038827  0.114314
CUCS 16FEB08 2016.1040 57426 1883 1  115.9   -496 -0.533049  -3542289 -0.428510    23  0.784223  0.0000 0.000474 0.000541 0.001804  0.035715  0.037075  0.106308
CUCS 16FEB09 2016.1068 57427 1883 2  115.9   -496 -0.535794  -3542289 -0.420343    23  0.782232  0.0000 0.000475 0.000539 0.001803  0.029646  0.034347  0.118169
CUCS 16FEB10 2016.1095 57428 1883 3  115.9   -496 -0.535440  -3542289 -0.422006    23  0.786960  0.0000 0.000474 0.000539 0.001806  0.036347  0.026460  0.119311
CUCS 16FEB11 2016.1123 57429 1883 4  115.9   -496 -0.533883  -3542289 -0.425803    23  0.785421  0.0000 0.000479 0.000542 0.001827  0.039628  0.038706  0.136733
CUCS 16FEB12 2016.1150 57430 1883 5  115.9   -496 -0.534538  -3542289 -0.426322    23  0.782848  0.0000 0.000475 0.000538 0.001802  0.040328  0.040850  0.125143
CUCS 16FEB15 2016.1232 57433 1884 1  115.9   -496 -0.534098  -3542289 -0.427109    23  0.782437  0.0000 0.000476 0.000542 0.001808  0.033689  0.017959  0.116518
CUCS 16FEB16 2016.1259 57434 1884 2  115.9   -496 -0.538443  -3542289 -0.423368    23  0.784859  0.0000 0.000480 0.000542 0.001823  0.038134  0.032856  0.121453
CUCS 16FEB20 2016.1369 57438 1884 6  115.9   -496 -0.535821  -3542289 -0.422232    23  0.776615  0.0000 0.000500 0.000572 0.001967 -0.007663 -0.005242  0.140281
CUCS 16FEB21 2016.1396 57439 1885 0  115.9   -496 -0.535462  -3542289 -0.424673    23  0.773105  0.0000 0.000476 0.000541 0.001807  0.032083  0.029939  0.117543
CUCS 16FEB22 2016.1424 57440 1885 1  115.9   -496 -0.534349  -3542289 -0.424184    23  0.772778  0.0000 0.000477 0.000541 0.001806  0.038449  0.031746  0.123360
CUCS 16FEB23 2016.1451 57441 1885 2  115.9   -496 -0.535608  -3542289 -0.425015    23  0.773826  0.0000 0.000476 0.000542 0.001810  0.035679  0.034533  0.140642
CUCS 16FEB24 2016.1478 57442 1885 3  115.9   -496 -0.534863  -3542289 -0.424514    23  0.774070  0.0000 0.000476 0.000543 0.001813  0.033599  0.021974  0.132711
CUCS 16FEB25 2016.1506 57443 1885 4  115.9   -496 -0.532260  -3542289 -0.423195    23  0.770728  0.0000 0.000476 0.000544 0.001827  0.033477  0.038714  0.126053
CUCS 16FEB26 2016.1533 57444 1885 5  115.9   -496 -0.536916  -3542289 -0.423642    23  0.779142  0.0000 0.000483 0.000556 0.001857  0.036533  0.023155  0.134282
CUCS 16FEB27 2016.1561 57445 1885 6  115.9   -496 -0.533083  -3542289 -0.423363    23  0.777436  0.0000 0.000473 0.000542 0.001806  0.033427  0.027467  0.113946
CUCS 16FEB28 2016.1588 57446 1886 0  115.9   -496 -0.535608  -3542289 -0.421897    23  0.771243  0.0000 0.000479 0.000554 0.001871  0.049785  0.036597  0.136732
