site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
DLND 05JAN14 2005.0376 53384 1305 5  -81.3   3584  0.449209   3215516  0.727656    -1 -0.262926  0.0000 0.000620 0.000640 0.002578 -0.015677 -0.010266 -0.184882
DLND 05JAN15 2005.0404 53385 1305 6  -81.3   3584  0.450797   3215516  0.728742    -1 -0.276142  0.0000 0.000602 0.000635 0.002535 -0.005398  0.002535 -0.161853
DLND 05JAN16 2005.0431 53386 1306 0  -81.3   3584  0.450972   3215516  0.729624    -1 -0.273623  0.0000 0.000617 0.000643 0.002597 -0.032175  0.038126 -0.190739
DLND 05JAN17 2005.0459 53387 1306 1  -81.3   3584  0.448783   3215516  0.730097    -1 -0.274669  0.0000 0.000612 0.000634 0.002555 -0.025821  0.017228 -0.183128
DLND 05JAN18 2005.0486 53388 1306 2  -81.3   3584  0.449721   3215516  0.729165    -1 -0.274941  0.0000 0.000629 0.000645 0.002641  0.003041  0.004359 -0.182550
DLND 05JAN19 2005.0513 53389 1306 3  -81.3   3584  0.450132   3215516  0.729726    -1 -0.276263  0.0000 0.000622 0.000647 0.002636  0.014221  0.000051 -0.157382
DLND 05JAN20 2005.0541 53390 1306 4  -81.3   3584  0.450567   3215516  0.729980    -1 -0.268552  0.0000 0.000625 0.000655 0.002609 -0.009915  0.022481 -0.182135
DLND 05JAN21 2005.0568 53391 1306 5  -81.3   3584  0.451312   3215516  0.729520    -1 -0.267633  0.0000 0.000614 0.000640 0.002578 -0.021527  0.019214 -0.165505
DLND 05JAN22 2005.0595 53392 1306 6  -81.3   3584  0.451994   3215516  0.728051    -1 -0.268923  0.0000 0.000622 0.000643 0.002621 -0.037894  0.044572 -0.188018
DLND 05JAN23 2005.0623 53393 1307 0  -81.3   3584  0.451862   3215516  0.726771    -1 -0.266484  0.0000 0.000616 0.000641 0.002596 -0.029312  0.038691 -0.184618
DLND 05JAN25 2005.0678 53395 1307 2  -81.3   3584  0.451879   3215516  0.728938    -1 -0.265712  0.0000 0.000604 0.000637 0.002542 -0.010601  0.008069 -0.153272
DLND 05JAN26 2005.0705 53396 1307 3  -81.3   3584  0.449862   3215516  0.726157    -1 -0.258618  0.0000 0.000818 0.000879 0.003523  0.095099  0.010461 -0.131471
