site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
DP5A 09FEB14 2009.1225 54876 1518 6  -88.2   3544  0.994939   4650478  0.485347   221  0.405297  0.0000 0.000568 0.000685 0.002245  0.034055 -0.025105 -0.089868
DP5A 09FEB15 2009.1253 54877 1519 0  -88.2   3544  0.994968   4650478  0.484095   221  0.398893  0.0000 0.000560 0.000679 0.002197  0.025854 -0.016359 -0.105569
DP5A 09FEB16 2009.1280 54878 1519 1  -88.2   3544  0.996210   4650478  0.484428   221  0.397362  0.0000 0.000568 0.000687 0.002242  0.022972 -0.008809 -0.101615
DP5A 09FEB18 2009.1335 54880 1519 3  -88.2   3544  0.995401   4650478  0.484394   221  0.409027  0.0000 0.000565 0.000678 0.002205  0.039976 -0.011163 -0.109339
DP5A 09FEB19 2009.1362 54881 1519 4  -88.2   3544  0.994002   4650478  0.482875   221  0.400698  0.0000 0.000567 0.000682 0.002211  0.045473 -0.042087 -0.105210
DP5A 09FEB20 2009.1389 54882 1519 5  -88.2   3544  0.994674   4650478  0.483793   221  0.398541  0.0000 0.000570 0.000689 0.002250  0.025178 -0.024243 -0.117108
DP5A 09FEB21 2009.1417 54883 1519 6  -88.2   3544  0.996212   4650478  0.484702   221  0.401347  0.0000 0.000561 0.000683 0.002198  0.029617 -0.001601 -0.085445
DP5A 09FEB22 2009.1444 54884 1520 0  -88.2   3544  0.995424   4650478  0.485044   221  0.396497  0.0000 0.000566 0.000686 0.002218  0.018703  0.001012 -0.086286
DP5A 09FEB23 2009.1472 54885 1520 1  -88.2   3544  0.994874   4650478  0.485873   221  0.394410  0.0000 0.000587 0.000699 0.002298  0.019627  0.029833 -0.131701
DP5A 09FEB24 2009.1499 54886 1520 2  -88.2   3544  0.997133   4650478  0.483807   221  0.402875  0.0000 0.000583 0.000699 0.002284  0.021943 -0.014440 -0.112823
DP5A 09FEB25 2009.1526 54887 1520 3  -88.2   3544  0.998463   4650478  0.483244   221  0.408784  0.0000 0.000570 0.000692 0.002259  0.016554 -0.002986 -0.115101
DP5A 09FEB26 2009.1554 54888 1520 4  -88.2   3544  0.997173   4650478  0.484947   221  0.404928  0.0000 0.000575 0.000704 0.002269  0.017395 -0.008384 -0.114222
DP5A 09FEB27 2009.1581 54889 1520 5  -88.2   3544  0.995426   4650478  0.484310   221  0.399618  0.0000 0.000573 0.000699 0.002257  0.002559  0.011426 -0.101506
DP5A 09FEB28 2009.1608 54890 1520 6  -88.2   3544  0.996106   4650478  0.485271   221  0.397451  0.0000 0.000568 0.000685 0.002246  0.023170  0.012869 -0.082426
DP5A 09MAR01 2009.1636 54891 1521 0  -88.2   3544  0.996328   4650478  0.485702   221  0.391654  0.0000 0.000564 0.000683 0.002221  0.030492 -0.006847 -0.100982
DP5A 09MAR02 2009.1663 54892 1521 1  -88.2   3544  0.997566   4650478  0.485712   221  0.391623  0.0000 0.000563 0.000682 0.002217  0.013629  0.006221 -0.094968
DP5A 09MAR03 2009.1691 54893 1521 2  -88.2   3544  0.996555   4650478  0.483842   221  0.398055  0.0000 0.000587 0.000703 0.002337  0.039122 -0.008529 -0.134039
DP5A 09MAR04 2009.1718 54894 1521 3  -88.2   3544  0.996964   4650478  0.483943   221  0.401181  0.0000 0.000564 0.000684 0.002212  0.020730  0.000478 -0.102862
DP5A 09MAR05 2009.1745 54895 1521 4  -88.2   3544  0.997201   4650478  0.482701   221  0.406268  0.0000 0.000564 0.000685 0.002230  0.011629  0.023721 -0.094064
