site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ECFS 01AUG16 2001.6235 52137 1127 4 -117.4  -1084 -0.589352   3724582  0.722745   801  0.410335  0.0083 0.000556 0.000641 0.002227 -0.076004  0.126728 -0.182060
ECFS 01AUG17 2001.6263 52138 1127 5 -117.4  -1084 -0.587789   3724582  0.723037   801  0.395925  0.0083 0.000556 0.000642 0.002204 -0.064876  0.103573 -0.173229
ECFS 01AUG18 2001.6290 52139 1127 6 -117.4  -1084 -0.590402   3724582  0.722795   801  0.397831  0.0083 0.000575 0.000684 0.002311 -0.001918  0.054496 -0.139515
ECFS 01AUG19 2001.6318 52140 1128 0 -117.4  -1084 -0.590727   3724582  0.723932   801  0.400903  0.0083 0.000551 0.000646 0.002188 -0.070691  0.119186 -0.167378
ECFS 01AUG20 2001.6345 52141 1128 1 -117.4  -1084 -0.591176   3724582  0.721628   801  0.403755  0.0083 0.000571 0.000683 0.002284 -0.104713  0.123656 -0.186944
ECFS 01AUG21 2001.6372 52142 1128 2 -117.4  -1084 -0.589483   3724582  0.722679   801  0.402110  0.0083 0.000593 0.000702 0.002312 -0.117928  0.123398 -0.136590
ECFS 01AUG22 2001.6400 52143 1128 3 -117.4  -1084 -0.589910   3724582  0.722316   801  0.403341  0.0083 0.000547 0.000635 0.002146 -0.070497  0.101505 -0.141158
ECFS 01AUG23 2001.6427 52144 1128 4 -117.4  -1084 -0.589012   3724582  0.722916   801  0.392246  0.0083 0.000542 0.000644 0.002147 -0.056781  0.044443 -0.161617
ECFS 01AUG24 2001.6454 52145 1128 5 -117.4  -1084 -0.591624   3724582  0.721856   801  0.396648  0.0083 0.000543 0.000638 0.002058 -0.077667  0.066949 -0.127539
ECFS 01AUG25 2001.6482 52146 1128 6 -117.4  -1084 -0.592086   3724582  0.723324   801  0.397559  0.0083 0.000540 0.000650 0.002158 -0.044688  0.080612 -0.178070
ECFS 01AUG26 2001.6509 52147 1129 0 -117.4  -1084 -0.591534   3724582  0.721596   801  0.396223  0.0083 0.000549 0.000641 0.002106 -0.060936  0.051825 -0.154337
ECFS 01AUG27 2001.6537 52148 1129 1 -117.4  -1084 -0.592382   3724582  0.723767   801  0.402584  0.0083 0.000532 0.000633 0.002086 -0.055590  0.042781 -0.150678
ECFS 01AUG28 2001.6564 52149 1129 2 -117.4  -1084 -0.592310   3724582  0.721408   801  0.401632  0.0083 0.000553 0.000656 0.002166 -0.051356  0.057125 -0.128641
ECFS 01AUG29 2001.6591 52150 1129 3 -117.4  -1084 -0.590092   3724582  0.722868   801  0.392566  0.0083 0.000542 0.000647 0.002150 -0.068941  0.090586 -0.184058
ECFS 01AUG30 2001.6619 52151 1129 4 -117.4  -1084 -0.591028   3724582  0.722444   801  0.393836  0.0083 0.000543 0.000648 0.002129 -0.041477  0.040714 -0.161069
ECFS 01AUG31 2001.6646 52152 1129 5 -117.4  -1084 -0.593140   3724582  0.723497   801  0.392875  0.0083 0.000580 0.000723 0.002382 -0.127504  0.096981 -0.164487
ECFS 01SEP01 2001.6674 52153 1129 6 -117.4  -1084 -0.591165   3724582  0.721749   801  0.394823  0.0083 0.000541 0.000644 0.002144 -0.054809  0.072960 -0.190513
