site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
EDFF 09JAN01 2009.0021 54832 1512 4  -86.9   3634  0.461833   3793381  0.468139   269  0.534606  0.0000 0.000498 0.000548 0.001821  0.042696  0.004404 -0.140275
EDFF 09JAN02 2009.0048 54833 1512 5  -86.9   3634  0.461476   3793381  0.469173   269  0.540692  0.0000 0.000503 0.000554 0.001842  0.052011 -0.000141 -0.136357
EDFF 09JAN03 2009.0075 54834 1512 6  -86.9   3634  0.463439   3793381  0.466793   269  0.539718  0.0000 0.000502 0.000555 0.001848  0.057520 -0.004777 -0.117175
EDFF 09JAN04 2009.0103 54835 1513 0  -86.9   3634  0.459886   3793381  0.468847   269  0.529021  0.0000 0.000499 0.000550 0.001840  0.066295 -0.015148 -0.142503
EDFF 09JAN05 2009.0130 54836 1513 1  -86.9   3634  0.462728   3793381  0.468948   269  0.541833  0.0000 0.000501 0.000552 0.001851  0.052690  0.001253 -0.137664
EDFF 09JAN06 2009.0157 54837 1513 2  -86.9   3634  0.459008   3793381  0.470839   269  0.555607  0.0000 0.000511 0.000552 0.001873  0.052157  0.016158 -0.137261
EDFF 09JAN07 2009.0185 54838 1513 3  -86.9   3634  0.458969   3793381  0.470880   269  0.533368  0.0000 0.000504 0.000552 0.001857  0.043452  0.019834 -0.147247
EDFF 09JAN08 2009.0212 54839 1513 4  -86.9   3634  0.459558   3793381  0.468646   269  0.529439  0.0000 0.000506 0.000564 0.001870  0.060445  0.002430 -0.135393
EDFF 09JAN09 2009.0240 54840 1513 5  -86.9   3634  0.460523   3793381  0.468939   269  0.538918  0.0000 0.000504 0.000559 0.001832  0.055377 -0.010706 -0.121830
EDFF 09JAN10 2009.0267 54841 1513 6  -86.9   3634  0.459727   3793381  0.469800   269  0.534698  0.0000 0.000499 0.000547 0.001825  0.053398 -0.006228 -0.149011
EDFF 09JAN11 2009.0294 54842 1514 0  -86.9   3634  0.460262   3793381  0.470646   269  0.529744  0.0000 0.000497 0.000545 0.001796  0.041810  0.008810 -0.135732
EDFF 09FEB06 2009.1006 54868 1517 5  -86.9   3634  0.459931   3793381  0.468698   269  0.536938  0.0000 0.000495 0.000545 0.001807  0.050026  0.000718 -0.110310
EDFF 09FEB07 2009.1034 54869 1517 6  -86.9   3634  0.459983   3793381  0.469061   269  0.536704  0.0000 0.000497 0.000545 0.001811  0.057557 -0.009411 -0.115924
EDFF 09FEB08 2009.1061 54870 1518 0  -86.9   3634  0.458177   3793381  0.467891   269  0.538227  0.0000 0.000494 0.000545 0.001805  0.057289 -0.010164 -0.116978
EDFF 09FEB09 2009.1088 54871 1518 1  -86.9   3634  0.458494   3793381  0.468498   269  0.539092  0.0000 0.000498 0.000545 0.001810  0.039323  0.010307 -0.116030
EDFF 09FEB10 2009.1116 54872 1518 2  -86.9   3634  0.459606   3793381  0.469519   269  0.537580  0.0000 0.000498 0.000547 0.001821  0.040226 -0.002465 -0.114350
EDFF 09FEB11 2009.1143 54873 1518 3  -86.9   3634  0.460238   3793381  0.468619   269  0.535988  0.0000 0.000509 0.000563 0.001884  0.049274  0.013268 -0.099054
EDFF 09FEB12 2009.1170 54874 1518 4  -86.9   3634  0.457975   3793381  0.468523   269  0.540885  0.0000 0.000499 0.000560 0.001834  0.052310 -0.001626 -0.096389
EDFF 09FEB13 2009.1198 54875 1518 5  -86.9   3634  0.457595   3793381  0.469386   269  0.540448  0.0000 0.000494 0.000544 0.001813  0.053174 -0.003394 -0.111069
EDFF 09FEB14 2009.1225 54876 1518 6  -86.9   3634  0.457987   3793381  0.469646   269  0.541877  0.0000 0.000492 0.000542 0.001801  0.040720  0.005127 -0.113825
EDFF 09FEB16 2009.1280 54878 1519 1  -86.9   3634  0.460344   3793381  0.469254   269  0.536919  0.0000 0.000813 0.000992 0.003145  0.040140 -0.091545 -0.189687
EDFF 09FEB17 2009.1307 54879 1519 2  -86.9   3634  0.460605   3793381  0.469842   269  0.533922  0.0000 0.000506 0.000553 0.001858  0.058314 -0.006981 -0.133365
EDFF 09FEB18 2009.1335 54880 1519 3  -86.9   3634  0.458037   3793381  0.465930   269  0.550568  0.0000 0.000499 0.000547 0.001846  0.052960 -0.008787 -0.138561
EDFF 09FEB19 2009.1362 54881 1519 4  -86.9   3634  0.457044   3793381  0.466889   269  0.533962  0.0000 0.000491 0.000544 0.001794  0.050393 -0.006115 -0.125603
EDFF 09FEB20 2009.1389 54882 1519 5  -86.9   3634  0.458401   3793381  0.468357   269  0.526708  0.0000 0.000492 0.000541 0.001800  0.040183  0.009715 -0.117005
EDFF 09FEB21 2009.1417 54883 1519 6  -86.9   3634  0.460236   3793381  0.469410   269  0.532414  0.0000 0.000495 0.000546 0.001807  0.032223  0.008247 -0.120750
EDFF 09FEB22 2009.1444 54884 1520 0  -86.9   3634  0.460451   3793381  0.468577   269  0.524941  0.0000 0.000494 0.000544 0.001805  0.032733  0.005209 -0.118787
EDFF 09FEB23 2009.1472 54885 1520 1  -86.9   3634  0.459381   3793381  0.469942   269  0.527606  0.0000 0.000505 0.000552 0.001827  0.038888  0.004089 -0.135530
EDFF 09FEB24 2009.1499 54886 1520 2  -86.9   3634  0.460105   3793381  0.468341   269  0.533611  0.0000 0.000502 0.000553 0.001823  0.045568  0.001752 -0.140616
EDFF 09FEB25 2009.1526 54887 1520 3  -86.9   3634  0.461422   3793381  0.467508   269  0.532729  0.0000 0.000491 0.000545 0.001791  0.041020  0.014977 -0.125387
EDFF 09FEB26 2009.1554 54888 1520 4  -86.9   3634  0.458800   3793381  0.468162   269  0.534528  0.0000 0.000508 0.000559 0.001853  0.040039 -0.006699 -0.138584
EDFF 09FEB27 2009.1581 54889 1520 5  -86.9   3634  0.460855   3793381  0.468670   269  0.538569  0.0000 0.000504 0.000560 0.001847  0.031738  0.003452 -0.131808
EDFF 09FEB28 2009.1608 54890 1520 6  -86.9   3634  0.461045   3793381  0.470025   269  0.539606  0.0000 0.000495 0.000548 0.001810  0.039675  0.017221 -0.114962
EDFF 09MAR01 2009.1636 54891 1521 0  -86.9   3634  0.459286   3793381  0.468950   269  0.520169  0.0000 0.000493 0.000547 0.001796  0.033511  0.009801 -0.135359
EDFF 09MAR02 2009.1663 54892 1521 1  -86.9   3634  0.459224   3793381  0.469627   269  0.523670  0.0000 0.000492 0.000546 0.001803  0.047506  0.011158 -0.131207
EDFF 09MAR03 2009.1691 54893 1521 2  -86.9   3634  0.458557   3793381  0.469290   269  0.524872  0.0000 0.000505 0.000554 0.001867  0.064942 -0.005004 -0.116548
EDFF 09MAR04 2009.1718 54894 1521 3  -86.9   3634  0.458655   3793381  0.468406   269  0.530192  0.0000 0.000492 0.000544 0.001801  0.038152  0.001734 -0.121718
EDFF 09MAR05 2009.1745 54895 1521 4  -86.9   3634  0.458906   3793381  0.468119   269  0.536328  0.0000 0.000491 0.000547 0.001798  0.029039  0.010253 -0.106645
EDFF 09MAR06 2009.1773 54896 1521 5  -86.9   3634  0.458854   3793381  0.468286   269  0.541028  0.0000 0.000497 0.000562 0.001885  0.051545 -0.017889 -0.118701
EDFF 09MAR07 2009.1800 54897 1521 6  -86.9   3634  0.457999   3793381  0.467885   269  0.539823  0.0000 0.000492 0.000549 0.001799  0.046262  0.004249 -0.126318
EDFF 09MAR08 2009.1828 54898 1522 0  -86.9   3634  0.458774   3793381  0.466001   269  0.541106  0.0000 0.000494 0.000546 0.001813  0.044085 -0.003206 -0.134948
EDFF 09MAR09 2009.1855 54899 1522 1  -86.9   3634  0.458125   3793381  0.469707   269  0.540416  0.0000 0.000494 0.000549 0.001807  0.039726 -0.001015 -0.125367
EDFF 09MAR11 2009.1910 54901 1522 3  -86.9   3634  0.457310   3793381  0.467228   269  0.541101  0.0000 0.000493 0.000550 0.001805  0.040826  0.022775 -0.120523
EDFF 09MAR13 2009.1964 54903 1522 5  -86.9   3634  0.458257   3793381  0.469230   269  0.534227  0.0000 0.000493 0.000550 0.001813  0.043857  0.009632 -0.126655
EDFF 09MAR15 2009.2019 54905 1523 0  -86.9   3634  0.460363   3793381  0.470024   269  0.544517  0.0000 0.000494 0.000548 0.001817  0.034818  0.028949 -0.116239
EDFF 09MAR16 2009.2047 54906 1523 1  -86.9   3634  0.461507   3793381  0.468403   269  0.542384  0.0000 0.000495 0.000552 0.001823  0.038159  0.005004 -0.125312
EDFF 09MAR17 2009.2074 54907 1523 2  -86.9   3634  0.458410   3793381  0.468071   269  0.534651  0.0000 0.000491 0.000547 0.001816  0.042827 -0.003283 -0.126752
EDFF 09MAR18 2009.2101 54908 1523 3  -86.9   3634  0.456779   3793381  0.469161   269  0.532201  0.0000 0.000486 0.000548 0.001791  0.041434  0.005020 -0.123028
EDFF 09MAR19 2009.2129 54909 1523 4  -86.9   3634  0.457254   3793381  0.468722   269  0.531935  0.0000 0.000489 0.000545 0.001798  0.040355  0.004758 -0.129057
EDFF 09MAR20 2009.2156 54910 1523 5  -86.9   3634  0.457909   3793381  0.468391   269  0.529425  0.0000 0.000489 0.000544 0.001790  0.037887  0.001749 -0.116807
EDFF 09MAR21 2009.2183 54911 1523 6  -86.9   3634  0.456839   3793381  0.468092   269  0.530205  0.0000 0.000490 0.000545 0.001799  0.048483 -0.006202 -0.125102
EDFF 09MAR22 2009.2211 54912 1524 0  -86.9   3634  0.457682   3793381  0.468413   269  0.528942  0.0000 0.000494 0.000547 0.001811  0.052296  0.004138 -0.137473
EDFF 09MAR23 2009.2238 54913 1524 1  -86.9   3634  0.457852   3793381  0.469661   269  0.534655  0.0000 0.000489 0.000548 0.001802  0.047237  0.001310 -0.124259
EDFF 09MAR24 2009.2266 54914 1524 2  -86.9   3634  0.457746   3793381  0.468419   269  0.532779  0.0000 0.000488 0.000549 0.001790  0.044763  0.004555 -0.119882
EDFF 09MAR25 2009.2293 54915 1524 3  -86.9   3634  0.457685   3793381  0.467265   269  0.536827  0.0000 0.000494 0.000549 0.001813  0.044784  0.010003 -0.117531
EDFF 09MAR26 2009.2320 54916 1524 4  -86.9   3634  0.458788   3793381  0.467603   269  0.537960  0.0000 0.000496 0.000551 0.001827  0.053330 -0.023104 -0.126445
EDFF 09MAR27 2009.2348 54917 1524 5  -86.9   3634  0.456788   3793381  0.469231   269  0.534786  0.0000 0.000499 0.000555 0.001835  0.055228 -0.013329 -0.143726
EDFF 09MAR28 2009.2375 54918 1524 6  -86.9   3634  0.457377   3793381  0.470954   269  0.543638  0.0000 0.000505 0.000562 0.001863  0.040239  0.016113 -0.149147
EDFF 09MAR29 2009.2402 54919 1525 0  -86.9   3634  0.456016   3793381  0.468276   269  0.528377  0.0000 0.000497 0.000555 0.001832  0.046947 -0.002871 -0.132305
EDFF 09MAR30 2009.2430 54920 1525 1  -86.9   3634  0.457157   3793381  0.467641   269  0.533202  0.0000 0.000498 0.000553 0.001834  0.045290 -0.002492 -0.143145
EDFF 09MAR31 2009.2457 54921 1525 2  -86.9   3634  0.457061   3793381  0.466662   269  0.535342  0.0000 0.000502 0.000554 0.001847  0.047851 -0.011929 -0.153172
EDFF 09APR01 2009.2485 54922 1525 3  -86.9   3634  0.456198   3793381  0.469042   269  0.538162  0.0000 0.000499 0.000553 0.001834  0.050374 -0.006971 -0.144915
EDFF 09APR02 2009.2512 54923 1525 4  -86.9   3634  0.454621   3793381  0.468222   269  0.529868  0.0000 0.000523 0.000561 0.001910  0.054259  0.020612 -0.134338
EDFF 09APR03 2009.2539 54924 1525 5  -86.9   3634  0.456596   3793381  0.465909   269  0.531870  0.0000 0.000554 0.000611 0.001999 -0.016136  0.030872 -0.119316
EDFF 09APR04 2009.2567 54925 1525 6  -86.9   3634  0.455535   3793381  0.468890   269  0.537828  0.0000 0.000498 0.000555 0.001832  0.045383 -0.000370 -0.141061
EDFF 09APR05 2009.2594 54926 1526 0  -86.9   3634  0.457495   3793381  0.467645   269  0.539092  0.0000 0.000500 0.000550 0.001830  0.042256 -0.011587 -0.138361
EDFF 09APR06 2009.2621 54927 1526 1  -86.9   3634  0.456458   3793381  0.468029   269  0.528401  0.0000 0.000501 0.000554 0.001840  0.047055 -0.022481 -0.133125
EDFF 09APR07 2009.2649 54928 1526 2  -86.9   3634  0.456898   3793381  0.468559   269  0.520816  0.0000 0.000497 0.000550 0.001817  0.052157 -0.023863 -0.144126
EDFF 09APR08 2009.2676 54929 1526 3  -86.9   3634  0.455157   3793381  0.468934   269  0.528182  0.0000 0.000501 0.000552 0.001836  0.049307  0.005001 -0.147432
EDFF 09APR09 2009.2704 54930 1526 4  -86.9   3634  0.455573   3793381  0.469040   269  0.539700  0.0000 0.000500 0.000553 0.001838  0.047507 -0.012048 -0.134837
EDFF 09APR10 2009.2731 54931 1526 5  -86.9   3634  0.458562   3793381  0.469315   269  0.524775  0.0000 0.000538 0.000596 0.002027  0.046412 -0.006860 -0.134714
EDFF 09APR11 2009.2758 54932 1526 6  -86.9   3634  0.456799   3793381  0.470588   269  0.528346  0.0000 0.000498 0.000551 0.001815  0.050205 -0.017106 -0.135805
EDFF 09APR12 2009.2786 54933 1527 0  -86.9   3634  0.456589   3793381  0.470683   269  0.532708  0.0000 0.000501 0.000554 0.001834  0.052129 -0.023481 -0.131162
EDFF 09APR13 2009.2813 54934 1527 1  -86.9   3634  0.455988   3793381  0.470286   269  0.531340  0.0000 0.000503 0.000554 0.001847  0.054945  0.000347 -0.138828
EDFF 09APR14 2009.2841 54935 1527 2  -86.9   3634  0.457417   3793381  0.467998   269  0.532299  0.0000 0.000501 0.000554 0.001836  0.053073  0.009848 -0.139755
EDFF 09APR15 2009.2868 54936 1527 3  -86.9   3634  0.457261   3793381  0.468437   269  0.528655  0.0000 0.000504 0.000556 0.001853  0.041980  0.001020 -0.136606
EDFF 09APR16 2009.2895 54937 1527 4  -86.9   3634  0.456366   3793381  0.470142   269  0.531186  0.0000 0.000500 0.000553 0.001817  0.040269 -0.003520 -0.125877
EDFF 09APR17 2009.2923 54938 1527 5  -86.9   3634  0.456216   3793381  0.470742   269  0.528172  0.0000 0.000500 0.000553 0.001828  0.039353 -0.006427 -0.131239
EDFF 09APR18 2009.2950 54939 1527 6  -86.9   3634  0.457332   3793381  0.470061   269  0.528658  0.0000 0.000501 0.000554 0.001848  0.040232 -0.003262 -0.143007
EDFF 09APR19 2009.2977 54940 1528 0  -86.9   3634  0.456026   3793381  0.469964   269  0.531205  0.0000 0.000501 0.000554 0.001854  0.047291 -0.009619 -0.142419
EDFF 09APR20 2009.3005 54941 1528 1  -86.9   3634  0.456693   3793381  0.470290   269  0.530136  0.0000 0.000504 0.000564 0.001852  0.044783 -0.005700 -0.129954
EDFF 09APR21 2009.3032 54942 1528 2  -86.9   3634  0.455421   3793381  0.469771   269  0.528037  0.0000 0.000503 0.000557 0.001843  0.039463  0.005214 -0.133889
EDFF 09APR22 2009.3060 54943 1528 3  -86.9   3634  0.456738   3793381  0.470331   269  0.526938  0.0000 0.000499 0.000556 0.001828  0.038276  0.005040 -0.128974
EDFF 09APR23 2009.3087 54944 1528 4  -86.9   3634  0.455972   3793381  0.470206   269  0.534206  0.0000 0.000503 0.000555 0.001841  0.036601 -0.009315 -0.139754
EDFF 09MAY22 2009.3881 54973 1532 5  -86.9   3634  0.454598   3793381  0.469939   269  0.532936  0.0000 0.000499 0.000551 0.001811  0.030399  0.011145 -0.138647
EDFF 09MAY23 2009.3908 54974 1532 6  -86.9   3634  0.454902   3793381  0.470055   269  0.537196  0.0000 0.000497 0.000548 0.001799  0.029845  0.018528 -0.133778
EDFF 09MAY24 2009.3936 54975 1533 0  -86.9   3634  0.458739   3793381  0.471037   269  0.546396  0.0000 0.000501 0.000555 0.001833  0.039073  0.012162 -0.126697
EDFF 09MAY25 2009.3963 54976 1533 1  -86.9   3634  0.455615   3793381  0.467573   269  0.534312  0.0000 0.000504 0.000558 0.001842  0.035281  0.014474 -0.128093
EDFF 09MAY26 2009.3990 54977 1533 2  -86.9   3634  0.455574   3793381  0.470471   269  0.538607  0.0000 0.000504 0.000558 0.001843  0.017135  0.038056 -0.149690
EDFF 09MAY27 2009.4018 54978 1533 3  -86.9   3634  0.455198   3793381  0.469615   269  0.532902  0.0000 0.000500 0.000553 0.001804  0.028473  0.027138 -0.141158
EDFF 09MAY28 2009.4045 54979 1533 4  -86.9   3634  0.453781   3793381  0.466998   269  0.533412  0.0000 0.000501 0.000552 0.001815  0.024077  0.020551 -0.142013
EDFF 09MAY29 2009.4073 54980 1533 5  -86.9   3634  0.454157   3793381  0.468490   269  0.531288  0.0000 0.000498 0.000552 0.001805  0.025852  0.029803 -0.130308
EDFF 09MAY30 2009.4100 54981 1533 6  -86.9   3634  0.453367   3793381  0.469328   269  0.529877  0.0000 0.000498 0.000556 0.001811  0.024727  0.021602 -0.130145
EDFF 09MAY31 2009.4127 54982 1534 0  -86.9   3634  0.452069   3793381  0.469908   269  0.531022  0.0000 0.000502 0.000557 0.001830  0.016714  0.027899 -0.143556
