site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
EDSS 10JAN29 2010.0780 55225 1568 5  -89.1  -3288 -0.482439   3507938  0.444917    63  0.991382  0.0000 0.000511 0.000548 0.001876 -0.003876  0.030293 -0.111683
EDSS 10JAN30 2010.0808 55226 1568 6  -89.1  -3288 -0.482332   3507938  0.444275    63  0.987103  0.0000 0.000509 0.000548 0.001886  0.013740  0.015711 -0.114752
EDSS 10JAN31 2010.0835 55227 1569 0  -89.1  -3288 -0.482071   3507938  0.444179    63  0.988063  0.0000 0.000506 0.000545 0.001872  0.011793 -0.000774 -0.114940
EDSS 10FEB01 2010.0862 55228 1569 1  -89.1  -3288 -0.482452   3507938  0.443743    63  1.000032  0.0000 0.000508 0.000541 0.001883  0.003199  0.001748 -0.137333
EDSS 10FEB02 2010.0890 55229 1569 2  -89.1  -3288 -0.482130   3507938  0.442866    63  0.992654  0.0000 0.000528 0.000554 0.001927  0.033024  0.015632 -0.088926
EDSS 10FEB03 2010.0917 55230 1569 3  -89.1  -3288 -0.481371   3507938  0.442559    63  0.994158  0.0000 0.000503 0.000544 0.001836  0.002695  0.028333 -0.103369
EDSS 10FEB04 2010.0945 55231 1569 4  -89.1  -3288 -0.481746   3507938  0.441540    63  1.008265  0.0000 0.000513 0.000559 0.001935 -0.011801  0.030230 -0.121371
EDSS 10FEB05 2010.0972 55232 1569 5  -89.1  -3288 -0.481984   3507938  0.440558    63  0.998239  0.0000 0.000514 0.000557 0.001937 -0.008396  0.024657 -0.137274
EDSS 10FEB06 2010.0999 55233 1569 6  -89.1  -3288 -0.483294   3507938  0.442299    63  0.985458  0.0000 0.000502 0.000537 0.001815 -0.003525  0.029267 -0.134319
EDSS 10FEB07 2010.1027 55234 1570 0  -89.1  -3288 -0.482372   3507938  0.442118    63  0.987729  0.0000 0.000502 0.000541 0.001848  0.006926  0.017071 -0.127640
EDSS 10FEB08 2010.1054 55235 1570 1  -89.1  -3288 -0.480084   3507938  0.441603    63  0.985579  0.0000 0.000506 0.000548 0.001842  0.022540  0.017711 -0.109414
EDSS 10FEB09 2010.1081 55236 1570 2  -89.1  -3288 -0.481449   3507938  0.441361    63  0.994794  0.0000 0.000513 0.000552 0.001895  0.035400  0.008322 -0.113584
EDSS 10FEB10 2010.1109 55237 1570 3  -89.1  -3288 -0.482491   3507938  0.442749    63  0.989492  0.0000 0.000517 0.000554 0.001901  0.048655  0.010324 -0.125571
EDSS 10FEB11 2010.1136 55238 1570 4  -89.1  -3288 -0.481925   3507938  0.443941    63  0.991625  0.0000 0.000504 0.000541 0.001825 -0.003679  0.035690 -0.132454
EDSS 10FEB12 2010.1164 55239 1570 5  -89.1  -3288 -0.481506   3507938  0.438447    63  0.986994  0.0000 0.000507 0.000542 0.001842  0.014796  0.036662 -0.126486
EDSS 10FEB13 2010.1191 55240 1570 6  -89.1  -3288 -0.480909   3507938  0.442230    63  0.983157  0.0000 0.000503 0.000538 0.001834  0.012968  0.011762 -0.129780
EDSS 10FEB14 2010.1218 55241 1571 0  -89.1  -3288 -0.480990   3507938  0.440941    63  0.984019  0.0000 0.000508 0.000542 0.001843  0.008585  0.047843 -0.111927
EDSS 10FEB15 2010.1246 55242 1571 1  -89.1  -3288 -0.482237   3507938  0.438804    63  0.985026  0.0000 0.000512 0.000544 0.001861  0.018089  0.011695 -0.127308
EDSS 10FEB16 2010.1273 55243 1571 2  -89.1  -3288 -0.481301   3507938  0.443053    63  0.979775  0.0000 0.000535 0.000553 0.001886  0.018443  0.025525 -0.124614
EDSS 10FEB17 2010.1300 55244 1571 3  -89.1  -3288 -0.481398   3507938  0.442040    63  0.982485  0.0000 0.000524 0.000548 0.001870  0.016230  0.014667 -0.131675
EDSS 10FEB18 2010.1328 55245 1571 4  -89.1  -3288 -0.481737   3507938  0.442350    63  0.983829  0.0000 0.000527 0.000547 0.001879  0.012010  0.026655 -0.128381
EDSS 10FEB19 2010.1355 55246 1571 5  -89.1  -3288 -0.480932   3507938  0.442789    63  0.986560  0.0000 0.000528 0.000551 0.001895  0.015088  0.040065 -0.124738
EDSS 10FEB20 2010.1383 55247 1571 6  -89.1  -3288 -0.481731   3507938  0.443400    63  0.991342  0.0000 0.000507 0.000545 0.001828 -0.001735  0.054117 -0.106428
EDSS 10FEB21 2010.1410 55248 1572 0  -89.1  -3288 -0.480451   3507938  0.445520    63  0.990347  0.0000 0.000510 0.000543 0.001856 -0.002952  0.049548 -0.116616
EDSS 10FEB22 2010.1437 55249 1572 1  -89.1  -3288 -0.481593   3507938  0.445195    63  0.985882  0.0000 0.000540 0.000558 0.001926  0.001990  0.060481 -0.148353
EDSS 10FEB23 2010.1465 55250 1572 2  -89.1  -3288 -0.481351   3507938  0.442907    63  0.992270  0.0000 0.000538 0.000556 0.001921  0.003261  0.051701 -0.142559
EDSS 10FEB24 2010.1492 55251 1572 3  -89.1  -3288 -0.482067   3507938  0.443788    63  0.983066  0.0000 0.000523 0.000545 0.001877  0.011057  0.044680 -0.126710
EDSS 10FEB25 2010.1520 55252 1572 4  -89.1  -3288 -0.480945   3507938  0.443512    63  0.982607  0.0000 0.000505 0.000540 0.001833  0.004203  0.021597 -0.111724
EDSS 10FEB26 2010.1547 55253 1572 5  -89.1  -3288 -0.481662   3507938  0.443031    63  0.982259  0.0000 0.000506 0.000542 0.001838  0.001082  0.037646 -0.110730
EDSS 10FEB27 2010.1574 55254 1572 6  -89.1  -3288 -0.482635   3507938  0.445558    63  0.984098  0.0000 0.000511 0.000539 0.001845  0.015286  0.028635 -0.109079
EDSS 10FEB28 2010.1602 55255 1573 0  -89.1  -3288 -0.481921   3507938  0.446155    63  0.986358  0.0000 0.000503 0.000537 0.001819  0.005485  0.033579 -0.111250
EDSS 10MAR01 2010.1629 55256 1573 1  -89.1  -3288 -0.481910   3507938  0.446781    63  0.994192  0.0000 0.000507 0.000539 0.001824  0.012435  0.024327 -0.115932
EDSS 10MAR02 2010.1656 55257 1573 2  -89.1  -3288 -0.482733   3507938  0.445919    63  0.986076  0.0000 0.000515 0.000540 0.001832  0.005146  0.004796 -0.120040
EDSS 10MAR03 2010.1684 55258 1573 3  -89.1  -3288 -0.481672   3507938  0.445511    63  0.985570  0.0000 0.000510 0.000543 0.001848 -0.004707  0.048417 -0.110350
EDSS 10MAR04 2010.1711 55259 1573 4  -89.1  -3288 -0.482213   3507938  0.445278    63  0.985089  0.0000 0.000510 0.000540 0.001842  0.011346  0.012029 -0.120480
