site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FFT2 12APR04 2012.2574 56021 1682 3  -61.1   3949  0.284901   1614893  0.310399   -31 -0.051981  0.0000 0.000568 0.000469 0.002093 -0.046413 -0.106473 -0.122539
FFT2 12APR05 2012.2601 56022 1682 4  -61.1   3949  0.279751   1614893  0.307940   -31 -0.056277  0.0000 0.000572 0.000470 0.002038 -0.060993 -0.098859 -0.095925
FFT2 12APR06 2012.2628 56023 1682 5  -61.1   3949  0.281504   1614893  0.308689   -31 -0.045858  0.0000 0.000563 0.000472 0.001999 -0.052801 -0.069283 -0.100632
FFT2 12APR07 2012.2656 56024 1682 6  -61.1   3949  0.287348   1614893  0.303182   -31 -0.037655  0.0000 0.000570 0.000472 0.002027 -0.057074 -0.070951 -0.122990
FFT2 12APR08 2012.2683 56025 1683 0  -61.1   3949  0.279746   1614893  0.310167   -31 -0.048320  0.0000 0.000552 0.000464 0.001961 -0.060748 -0.043078 -0.097846
FFT2 12APR09 2012.2710 56026 1683 1  -61.1   3949  0.287516   1614893  0.307380   -31 -0.058573  0.0000 0.000577 0.000466 0.002036 -0.028396 -0.116241 -0.134198
FFT2 12APR10 2012.2738 56027 1683 2  -61.1   3949  0.287694   1614893  0.307449   -31 -0.050155  0.0000 0.000558 0.000466 0.002037 -0.054416 -0.054191 -0.143827
FFT2 12APR11 2012.2765 56028 1683 3  -61.1   3949  0.278369   1614893  0.309671   -31 -0.043317  0.0000 0.000566 0.000470 0.002028 -0.036178 -0.097721 -0.105326
FFT2 12APR12 2012.2793 56029 1683 4  -61.1   3949  0.283941   1614893  0.309051   -31 -0.055239  0.0000 0.000574 0.000480 0.002106 -0.047130 -0.092214 -0.130529
FFT2 12APR13 2012.2820 56030 1683 5  -61.1   3949  0.288331   1614893  0.313941   -31 -0.061088  0.0000 0.000571 0.000485 0.002078 -0.067499 -0.040106 -0.069940
FFT2 12APR14 2012.2847 56031 1683 6  -61.1   3949  0.283338   1614893  0.308386   -31 -0.046065  0.0000 0.000571 0.000471 0.002019 -0.033778 -0.075911 -0.121037
FFT2 12APR15 2012.2875 56032 1684 0  -61.1   3949  0.286368   1614893  0.305882   -31 -0.047596  0.0000 0.000560 0.000470 0.002037 -0.039495 -0.055994 -0.146088
FFT2 12APR16 2012.2902 56033 1684 1  -61.1   3949  0.286599   1614893  0.306592   -31 -0.053282  0.0000 0.000567 0.000473 0.002067 -0.047833 -0.090148 -0.132928
FFT2 12APR17 2012.2930 56034 1684 2  -61.1   3949  0.281779   1614893  0.310587   -31 -0.024089  0.0000 0.000555 0.000470 0.002025 -0.075513 -0.051667 -0.130729
FFT2 12APR18 2012.2957 56035 1684 3  -61.1   3949  0.282678   1614893  0.310355   -31 -0.052680  0.0000 0.000569 0.000468 0.002032 -0.034459 -0.095853 -0.143016
FFT2 12APR19 2012.2984 56036 1684 4  -61.1   3949  0.281903   1614893  0.303601   -31 -0.035441  0.0000 0.000565 0.000467 0.002025 -0.047678 -0.084742 -0.119237
FFT2 12APR20 2012.3012 56037 1684 5  -61.1   3949  0.286788   1614893  0.309846   -31 -0.049263  0.0000 0.000561 0.000468 0.002035 -0.052150 -0.109064 -0.112535
FFT2 12APR21 2012.3039 56038 1684 6  -61.1   3949  0.287048   1614893  0.306380   -31 -0.038487  0.0000 0.000563 0.000481 0.002110 -0.054440 -0.063419 -0.164956
