site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FINS 14NOV24 2014.8966 56985 1820 1   20.0  -2700 -0.018138   6679600  0.548579    53  0.353240  0.0000 0.000630 0.000823 0.002464  0.016240 -0.025251  0.203715
FINS 14NOV25 2014.8994 56986 1820 2   20.0  -2700 -0.016167   6679600  0.549872    53  0.349746  0.0000 0.000446 0.000600 0.001792  0.021126  0.023655  0.232687
FINS 14NOV26 2014.9021 56987 1820 3   20.0  -2700 -0.017281   6679600  0.548335    53  0.346040  0.0000 0.000462 0.000616 0.001840  0.026600  0.012298  0.226243
FINS 14NOV27 2014.9049 56988 1820 4   20.0  -2700 -0.015980   6679600  0.549488    53  0.347521  0.0000 0.000448 0.000609 0.001825  0.018675  0.009069  0.250776
FINS 14NOV28 2014.9076 56989 1820 5   20.0  -2700 -0.015197   6679600  0.550671    53  0.354477  0.0000 0.000441 0.000594 0.001761  0.008740  0.004558  0.239354
FINS 14NOV29 2014.9103 56990 1820 6   20.0  -2700 -0.015662   6679600  0.553085    53  0.351448  0.0000 0.000438 0.000588 0.001768  0.005906  0.006963  0.242504
FINS 14NOV30 2014.9131 56991 1821 0   20.0  -2700 -0.016610   6679600  0.550849    53  0.351310  0.0000 0.000439 0.000594 0.001747  0.003854  0.022064  0.197939
FINS 14DEC01 2014.9158 56992 1821 1   20.0  -2700 -0.013267   6679600  0.550163    53  0.352560  0.0000 0.000440 0.000587 0.001737  0.022843  0.014148  0.204915
FINS 14DEC02 2014.9185 56993 1821 2   20.0  -2700 -0.015601   6679600  0.552318    53  0.361979  0.0000 0.000455 0.000612 0.001816  0.012420  0.019830  0.226424
FINS 14DEC03 2014.9213 56994 1821 3   20.0  -2700 -0.015614   6679600  0.550559    53  0.356936  0.0000 0.000442 0.000595 0.001767  0.018644  0.005054  0.219592
FINS 14DEC04 2014.9240 56995 1821 4   20.0  -2700 -0.013420   6679600  0.551230    53  0.357859  0.0000 0.000454 0.000606 0.001773  0.005884  0.011379  0.214637
FINS 14DEC05 2014.9268 56996 1821 5   20.0  -2700 -0.015982   6679600  0.551888    53  0.361271  0.0000 0.000438 0.000582 0.001753  0.009343  0.011269  0.229844
FINS 14DEC06 2014.9295 56997 1821 6   20.0  -2700 -0.014796   6679600  0.550404    53  0.360868  0.0000 0.000439 0.000588 0.001759  0.024192  0.023809  0.232533
FINS 14DEC07 2014.9322 56998 1822 0   20.0  -2700 -0.013661   6679600  0.548473    53  0.355414  0.0000 0.000442 0.000596 0.001754  0.018074  0.013103  0.200882
FINS 14DEC08 2014.9350 56999 1822 1   20.0  -2700 -0.013210   6679600  0.549803    53  0.350589  0.0000 0.000441 0.000592 0.001726  0.032981  0.007922  0.210451
FINS 14DEC09 2014.9377 57000 1822 2   20.0  -2700 -0.014056   6679600  0.550538    53  0.348736  0.0000 0.000431 0.000576 0.001691  0.014774  0.000492  0.210968
FINS 14DEC10 2014.9405 57001 1822 3   20.0  -2700 -0.013071   6679600  0.550282    53  0.351170  0.0000 0.000431 0.000581 0.001713  0.015751 -0.001252  0.227813
FINS 14DEC11 2014.9432 57002 1822 4   20.0  -2700 -0.010274   6679600  0.553540    53  0.345447  0.0000 0.000441 0.000585 0.001701  0.017388  0.003490  0.198473
FINS 14DEC12 2014.9459 57003 1822 5   20.0  -2700 -0.013537   6679600  0.551862    53  0.343518  0.0000 0.000432 0.000590 0.001720  0.019544  0.009354  0.189203
FINS 14DEC13 2014.9487 57004 1822 6   20.0  -2700 -0.015028   6679600  0.551778    53  0.342072  0.0000 0.000430 0.000582 0.001704  0.021043  0.008634  0.210553
FINS 14DEC14 2014.9514 57005 1823 0   20.0  -2700 -0.014112   6679600  0.552786    53  0.345324  0.0000 0.000425 0.000581 0.001686  0.017128  0.010068  0.212893
FINS 14DEC15 2014.9541 57006 1823 1   20.0  -2700 -0.016206   6679600  0.551570    53  0.347208  0.0000 0.000433 0.000583 0.001712  0.022008  0.011122  0.193606
FINS 14DEC16 2014.9569 57007 1823 2   20.0  -2700 -0.012566   6679600  0.551685    53  0.345268  0.0000 0.000435 0.000581 0.001730  0.018748  0.023959  0.229227
FINS 14DEC17 2014.9596 57008 1823 3   20.0  -2700 -0.011844   6679600  0.551725    53  0.348012  0.0000 0.000434 0.000579 0.001731  0.011020  0.017736  0.233250
FINS 14DEC18 2014.9624 57009 1823 4   20.0  -2700 -0.012435   6679600  0.551843    53  0.343080  0.0000 0.000429 0.000576 0.001690  0.008921  0.002612  0.207720
FINS 14DEC19 2014.9651 57010 1823 5   20.0  -2700 -0.014088   6679600  0.550088    53  0.342152  0.0000 0.000432 0.000588 0.001716  0.019511  0.022384  0.213610
FINS 14DEC20 2014.9678 57011 1823 6   20.0  -2700 -0.015143   6679600  0.551106    53  0.340821  0.0000 0.000426 0.000578 0.001688  0.011063  0.018420  0.225667
FINS 14DEC21 2014.9706 57012 1824 0   20.0  -2700 -0.015846   6679600  0.552310    53  0.344208  0.0000 0.000435 0.000589 0.001714  0.024663 -0.010504  0.176166
FINS 14DEC22 2014.9733 57013 1824 1   20.0  -2700 -0.017141   6679600  0.555209    53  0.337868  0.0000 0.000434 0.000593 0.001704  0.029258  0.019345  0.185515
FINS 14DEC23 2014.9760 57014 1824 2   20.0  -2700 -0.017060   6679600  0.552329    53  0.340471  0.0000 0.000432 0.000584 0.001708  0.020506  0.013940  0.179409
FINS 14DEC24 2014.9788 57015 1824 3   20.0  -2700 -0.015712   6679600  0.552506    53  0.334826  0.0000 0.000438 0.000594 0.001767  0.031120 -0.007823  0.168456
FINS 14DEC25 2014.9815 57016 1824 4   20.0  -2700 -0.018586   6679600  0.551654    53  0.336502  0.0000 0.000442 0.000605 0.001736  0.011495  0.005866  0.198797
FINS 14DEC26 2014.9843 57017 1824 5   20.0  -2700 -0.015010   6679600  0.552844    53  0.335010  0.0000 0.000437 0.000593 0.001696  0.051909  0.016446  0.149435
FINS 14DEC27 2014.9870 57018 1824 6   20.0  -2700 -0.014466   6679600  0.550976    53  0.331009  0.0000 0.000427 0.000567 0.001658  0.012194  0.023614  0.201980
FINS 14DEC28 2014.9897 57019 1825 0   20.0  -2700 -0.016609   6679600  0.552576    53  0.332551  0.0000 0.000427 0.000572 0.001667  0.006933  0.029647  0.214477
FINS 14DEC29 2014.9925 57020 1825 1   20.0  -2700 -0.015064   6679600  0.551566    53  0.340570  0.0000 0.000432 0.000587 0.001715  0.009400  0.011151  0.183165
FINS 14DEC30 2014.9952 57021 1825 2   20.0  -2700 -0.014538   6679600  0.548282    53  0.353384  0.0000 0.000441 0.000595 0.001720  0.031746  0.014039  0.189070
FINS 14DEC31 2014.9979 57022 1825 3   20.0  -2700 -0.014035   6679600  0.551455    53  0.358744  0.0000 0.000425 0.000575 0.001682  0.018740  0.031548  0.223035
FINS 15JAN01 2015.0007 57023 1825 4   20.0  -2700 -0.015420   6679600  0.548630    53  0.352561  0.0000 0.000430 0.000576 0.001678  0.014656  0.014870  0.195842
FINS 15JAN02 2015.0034 57024 1825 5   20.0  -2700 -0.015636   6679600  0.550351    53  0.351839  0.0000 0.000435 0.000585 0.001734  0.004334  0.015261  0.186778
FINS 15JAN03 2015.0062 57025 1825 6   20.0  -2700 -0.015984   6679600  0.548612    53  0.352135  0.0000 0.000428 0.000585 0.001702  0.018639  0.008640  0.204229
FINS 15JAN04 2015.0089 57026 1826 0   20.0  -2700 -0.016034   6679600  0.550877    53  0.347603  0.0000 0.000447 0.000603 0.001814  0.013949  0.012217  0.201254
FINS 15JAN05 2015.0116 57027 1826 1   20.0  -2700 -0.015574   6679600  0.549407    53  0.345070  0.0000 0.000433 0.000589 0.001714  0.018890  0.019056  0.207756
FINS 15JAN06 2015.0144 57028 1826 2   20.0  -2700 -0.014160   6679600  0.549529    53  0.346721  0.0000 0.000432 0.000587 0.001718  0.007944  0.018251  0.224863
FINS 15JAN07 2015.0171 57029 1826 3   20.0  -2700 -0.015260   6679600  0.550928    53  0.345257  0.0000 0.000448 0.000614 0.001799  0.002524  0.008061  0.219830
FINS 15JAN08 2015.0198 57030 1826 4   20.0  -2700 -0.013440   6679600  0.551071    53  0.345453  0.0000 0.000432 0.000588 0.001711  0.014522  0.017445  0.216735
FINS 15JAN09 2015.0226 57031 1826 5   20.0  -2700 -0.014455   6679600  0.550005    53  0.342135  0.0000 0.000441 0.000595 0.001751  0.008656  0.016657  0.208910
FINS 15JAN10 2015.0253 57032 1826 6   20.0  -2700 -0.013746   6679600  0.551799    53  0.341482  0.0000 0.000432 0.000584 0.001713  0.020708  0.026907  0.225158
FINS 15JAN11 2015.0281 57033 1827 0   20.0  -2700 -0.015356   6679600  0.551063    53  0.338839  0.0000 0.000436 0.000593 0.001740  0.016842  0.018995  0.222595
FINS 15JAN12 2015.0308 57034 1827 1   20.0  -2700 -0.015070   6679600  0.552055    53  0.342362  0.0000 0.000436 0.000590 0.001742  0.013986  0.026986  0.234521
FINS 15JAN13 2015.0335 57035 1827 2   20.0  -2700 -0.013464   6679600  0.551775    53  0.338245  0.0000 0.000448 0.000611 0.001788  0.006549 -0.002010  0.211688
FINS 15JAN14 2015.0363 57036 1827 3   20.0  -2700 -0.014788   6679600  0.550222    53  0.339642  0.0000 0.000432 0.000584 0.001725  0.010188  0.023984  0.231942
FINS 15JAN15 2015.0390 57037 1827 4   20.0  -2700 -0.012596   6679600  0.551085    53  0.340754  0.0000 0.000431 0.000583 0.001726  0.015974  0.037048  0.235109
FINS 15JAN16 2015.0418 57038 1827 5   20.0  -2700 -0.011937   6679600  0.550543    53  0.343743  0.0000 0.000448 0.000594 0.001738 -0.000285  0.019112  0.218251
FINS 15JAN17 2015.0445 57039 1827 6   20.0  -2700 -0.014272   6679600  0.550683    53  0.344591  0.0000 0.000450 0.000603 0.001774  0.004286  0.015066  0.234007
FINS 15JAN18 2015.0472 57040 1828 0   20.0  -2700 -0.012847   6679600  0.549948    53  0.336125  0.0000 0.000436 0.000598 0.001787 -0.002433  0.025788  0.234209
FINS 15JAN19 2015.0500 57041 1828 1   20.0  -2700 -0.013692   6679600  0.551025    53  0.337704  0.0000 0.000454 0.000607 0.001781 -0.007168  0.000935  0.219356
FINS 15JAN20 2015.0527 57042 1828 2   20.0  -2700 -0.014430   6679600  0.552995    53  0.338448  0.0000 0.000446 0.000594 0.001738  0.008541  0.022010  0.222299
FINS 15JAN21 2015.0554 57043 1828 3   20.0  -2700 -0.014217   6679600  0.555690    53  0.343216  0.0000 0.000434 0.000588 0.001727  0.011073  0.025886  0.218806
FINS 15JAN22 2015.0582 57044 1828 4   20.0  -2700 -0.014071   6679600  0.551041    53  0.346425  0.0000 0.000440 0.000599 0.001770 -0.009744  0.008943  0.241233
FINS 15JAN23 2015.0609 57045 1828 5   20.0  -2700 -0.013241   6679600  0.552472    53  0.340125  0.0000 0.000460 0.000614 0.001793  0.007294  0.019775  0.225615
FINS 15JAN24 2015.0637 57046 1828 6   20.0  -2700 -0.010523   6679600  0.551711    53  0.346107  0.0000 0.000436 0.000591 0.001767  0.008181  0.025251  0.237474
FINS 15JAN25 2015.0664 57047 1829 0   20.0  -2700 -0.011785   6679600  0.551190    53  0.345290  0.0000 0.000430 0.000584 0.001727  0.016580  0.033542  0.232581
FINS 15JAN26 2015.0691 57048 1829 1   20.0  -2700 -0.012255   6679600  0.553700    53  0.350698  0.0000 0.000433 0.000591 0.001745  0.004397  0.037100  0.212956
FINS 15JAN27 2015.0719 57049 1829 2   20.0  -2700 -0.012770   6679600  0.550769    53  0.347545  0.0000 0.000449 0.000599 0.001769 -0.000391  0.016337  0.202870
FINS 15JAN28 2015.0746 57050 1829 3   20.0  -2700 -0.012790   6679600  0.553083    53  0.346243  0.0000 0.000435 0.000598 0.001760  0.014765  0.025455  0.237796
FINS 15JAN29 2015.0773 57051 1829 4   20.0  -2700 -0.013556   6679600  0.554628    53  0.346411  0.0000 0.000452 0.000608 0.001796  0.008650  0.028624  0.214227
FINS 15JAN30 2015.0801 57052 1829 5   20.0  -2700 -0.012205   6679600  0.554455    53  0.345878  0.0000 0.000457 0.000625 0.001821 -0.000682  0.017210  0.212709
FINS 15JAN31 2015.0828 57053 1829 6   20.0  -2700 -0.014650   6679600  0.554839    53  0.359505  0.0000 0.000439 0.000600 0.001796  0.008443  0.018600  0.224743
FINS 15FEB01 2015.0856 57054 1830 0   20.0  -2700 -0.015390   6679600  0.552511    53  0.350967  0.0000 0.000442 0.000601 0.001788  0.001672  0.023027  0.189060
FINS 15FEB02 2015.0883 57055 1830 1   20.0  -2700 -0.015077   6679600  0.552956    53  0.349001  0.0000 0.000440 0.000604 0.001762  0.017628  0.020334  0.214655
FINS 15FEB03 2015.0910 57056 1830 2   20.0  -2700 -0.015378   6679600  0.550969    53  0.344858  0.0000 0.000439 0.000593 0.001770  0.004046  0.009833  0.239227
FINS 15FEB04 2015.0938 57057 1830 3   20.0  -2700 -0.014352   6679600  0.552712    53  0.341528  0.0000 0.000433 0.000590 0.001748 -0.010951  0.023738  0.244690
FINS 15FEB05 2015.0965 57058 1830 4   20.0  -2700 -0.009751   6679600  0.550413    53  0.343561  0.0000 0.000444 0.000602 0.001812  0.012276  0.035149  0.250939
FINS 15FEB06 2015.0992 57059 1830 5   20.0  -2700 -0.012509   6679600  0.552488    53  0.350664  0.0000 0.000443 0.000606 0.001806  0.003735  0.041308  0.251973
FINS 15FEB07 2015.1020 57060 1830 6   20.0  -2700 -0.015642   6679600  0.553066    53  0.350184  0.0000 0.000435 0.000588 0.001740  0.004174  0.023153  0.221040
FINS 15FEB08 2015.1047 57061 1831 0   20.0  -2700 -0.016146   6679600  0.551009    53  0.351737  0.0000 0.000440 0.000592 0.001751  0.003578  0.006316  0.225169
FINS 15FEB09 2015.1075 57062 1831 1   20.0  -2700 -0.012960   6679600  0.551988    53  0.359070  0.0000 0.000437 0.000593 0.001745  0.000374  0.022528  0.243550
FINS 15FEB10 2015.1102 57063 1831 2   20.0  -2700 -0.013140   6679600  0.552015    53  0.360774  0.0000 0.000446 0.000603 0.001772  0.005311  0.024422  0.236131
FINS 15FEB11 2015.1129 57064 1831 3   20.0  -2700 -0.012778   6679600  0.549628    53  0.355731  0.0000 0.000441 0.000601 0.001794 -0.011761  0.026440  0.249079
FINS 15FEB12 2015.1157 57065 1831 4   20.0  -2700 -0.012604   6679600  0.549959    53  0.350129  0.0000 0.000437 0.000587 0.001746  0.000557  0.023751  0.225908
FINS 15FEB13 2015.1184 57066 1831 5   20.0  -2700 -0.010885   6679600  0.552916    53  0.342788  0.0000 0.000436 0.000590 0.001755  0.003460  0.030616  0.245668
FINS 15FEB14 2015.1211 57067 1831 6   20.0  -2700 -0.010486   6679600  0.553180    53  0.347289  0.0000 0.000435 0.000586 0.001728 -0.010046  0.018699  0.229274
FINS 15FEB15 2015.1239 57068 1832 0   20.0  -2700 -0.011543   6679600  0.554100    53  0.350391  0.0000 0.000438 0.000589 0.001737  0.007250  0.029853  0.231887
FINS 15FEB16 2015.1266 57069 1832 1   20.0  -2700 -0.011110   6679600  0.556299    53  0.352631  0.0000 0.000435 0.000583 0.001743  0.003513  0.030073  0.240212
FINS 15FEB17 2015.1294 57070 1832 2   20.0  -2700 -0.010876   6679600  0.552455    53  0.348822  0.0000 0.000444 0.000613 0.001790  0.017246  0.007055  0.184820
FINS 15FEB18 2015.1321 57071 1832 3   20.0  -2700 -0.011294   6679600  0.553089    53  0.354613  0.0000 0.000437 0.000587 0.001751 -0.002864  0.023327  0.211721
FINS 15FEB19 2015.1348 57072 1832 4   20.0  -2700 -0.010351   6679600  0.552529    53  0.359260  0.0000 0.000442 0.000600 0.001779  0.005456  0.024710  0.224074
FINS 15FEB20 2015.1376 57073 1832 5   20.0  -2700 -0.013151   6679600  0.552935    53  0.355489  0.0000 0.000437 0.000586 0.001742 -0.003698  0.018703  0.224814
FINS 15FEB21 2015.1403 57074 1832 6   20.0  -2700 -0.011477   6679600  0.553555    53  0.352745  0.0000 0.000441 0.000599 0.001797  0.007301  0.020467  0.246220
FINS 15FEB22 2015.1431 57075 1833 0   20.0  -2700 -0.012518   6679600  0.553559    53  0.342988  0.0000 0.000433 0.000585 0.001737  0.006616  0.038037  0.239420
FINS 15FEB23 2015.1458 57076 1833 1   20.0  -2700 -0.010439   6679600  0.554312    53  0.352988  0.0000 0.000440 0.000587 0.001750  0.000901  0.028992  0.226431
FINS 15FEB24 2015.1485 57077 1833 2   20.0  -2700 -0.012118   6679600  0.554327    53  0.352591  0.0000 0.000440 0.000587 0.001761  0.005141  0.022102  0.231020
FINS 15FEB25 2015.1513 57078 1833 3   20.0  -2700 -0.012853   6679600  0.553052    53  0.342591  0.0000 0.000432 0.000579 0.001726 -0.010341  0.009035  0.238760
FINS 15FEB26 2015.1540 57079 1833 4   20.0  -2700 -0.011467   6679600  0.551124    53  0.347913  0.0000 0.000432 0.000587 0.001757  0.001449  0.018544  0.257627
FINS 15FEB27 2015.1567 57080 1833 5   20.0  -2700 -0.011725   6679600  0.551317    53  0.356299  0.0000 0.000433 0.000583 0.001738 -0.005671  0.021290  0.238296
FINS 15FEB28 2015.1595 57081 1833 6   20.0  -2700 -0.009684   6679600  0.552588    53  0.355444  0.0000 0.000438 0.000592 0.001771  0.004939  0.027187  0.223981
FINS 15MAR01 2015.1622 57082 1834 0   20.0  -2700 -0.010643   6679600  0.553344    53  0.357803  0.0000 0.000437 0.000595 0.001765 -0.005570  0.013291  0.197269
FINS 15MAR02 2015.1650 57083 1834 1   20.0  -2700 -0.012667   6679600  0.554755    53  0.356813  0.0000 0.000438 0.000595 0.001784 -0.007168 -0.004111  0.206201
FINS 15MAR03 2015.1677 57084 1834 2   20.0  -2700 -0.011298   6679600  0.555926    53  0.351846  0.0000 0.000437 0.000587 0.001751 -0.000612  0.008587  0.232595
FINS 15MAR04 2015.1704 57085 1834 3   20.0  -2700 -0.011969   6679600  0.553927    53  0.347126  0.0000 0.000432 0.000586 0.001737 -0.010763  0.018026  0.247142
FINS 15MAR05 2015.1732 57086 1834 4   20.0  -2700 -0.009801   6679600  0.552622    53  0.347680  0.0000 0.000449 0.000593 0.001743 -0.017776  0.018099  0.208842
FINS 15MAR06 2015.1759 57087 1834 5   20.0  -2700 -0.008303   6679600  0.551640    53  0.346857  0.0000 0.000434 0.000589 0.001744 -0.000619  0.023683  0.227160
FINS 15MAR07 2015.1786 57088 1834 6   20.0  -2700 -0.011040   6679600  0.551512    53  0.357799  0.0000 0.000439 0.000588 0.001753 -0.018681  0.012376  0.218177
FINS 15MAR08 2015.1814 57089 1835 0   20.0  -2700 -0.010926   6679600  0.553367    53  0.365102  0.0000 0.000436 0.000582 0.001754 -0.014475  0.007695  0.247682
FINS 15MAR09 2015.1841 57090 1835 1   20.0  -2700 -0.011348   6679600  0.552560    53  0.351390  0.0000 0.000433 0.000589 0.001764 -0.008797  0.028686  0.263945
FINS 15MAR10 2015.1869 57091 1835 2   20.0  -2700 -0.012228   6679600  0.551462    53  0.348808  0.0000 0.000434 0.000581 0.001724 -0.012423  0.004565  0.220616
FINS 15MAR11 2015.1896 57092 1835 3   20.0  -2700 -0.012683   6679600  0.553056    53  0.349738  0.0000 0.000436 0.000582 0.001731 -0.002664  0.011858  0.222671
FINS 15MAR12 2015.1923 57093 1835 4   20.0  -2700 -0.010264   6679600  0.553145    53  0.350509  0.0000 0.000448 0.000604 0.001839 -0.003404  0.017874  0.241234
FINS 15MAR13 2015.1951 57094 1835 5   20.0  -2700 -0.010863   6679600  0.552791    53  0.353925  0.0000 0.000438 0.000591 0.001772 -0.009626  0.014907  0.240479
FINS 15MAR14 2015.1978 57095 1835 6   20.0  -2700 -0.009919   6679600  0.554820    53  0.352318  0.0000 0.000432 0.000585 0.001761 -0.005806  0.028333  0.254508
FINS 15MAR15 2015.2005 57096 1836 0   20.0  -2700 -0.010936   6679600  0.553394    53  0.348914  0.0000 0.000434 0.000587 0.001741 -0.011866  0.023155  0.239059
