site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FUN3 03JUN16 2003.4552 52806 1223 1   25.2   3408  0.243992   5030621  0.001619  1252  0.586681  0.3110 0.000803 0.001110 0.003315 -0.014083 -0.022017 -0.117324
FUN3 03JUN17 2003.4579 52807 1223 2   25.2   3408  0.243183   5030621  0.003488  1252  0.576334  0.3110 0.000592 0.000800 0.002443 -0.002258 -0.021023 -0.148054
FUN3 03JUN18 2003.4606 52808 1223 3   25.2   3408  0.241768   5030621  0.002866  1252  0.575207  0.3110 0.000583 0.000781 0.002375 -0.040390  0.011594 -0.141928
FUN3 03JUN19 2003.4634 52809 1223 4   25.2   3408  0.242510   5030621  0.001218  1252  0.584557  0.3110 0.000588 0.000785 0.002398 -0.058699  0.020581 -0.129637
FUN3 03JUN20 2003.4661 52810 1223 5   25.2   3408  0.242031   5030621  0.003432  1252  0.583840  0.3110 0.000588 0.000779 0.002400 -0.029303 -0.000499 -0.141533
FUN3 03JUN21 2003.4689 52811 1223 6   25.2   3408  0.243860   5030621  0.004297  1252  0.579172  0.3110 0.000872 0.001063 0.003513  0.008832 -0.054943 -0.117912
FUN3 05JUN20 2005.4675 53541 1328 1   25.2   3408  0.268064   5030621  0.031180  1252  0.523575  0.2055 0.000704 0.000945 0.002729  0.033679 -0.050129 -0.119071
FUN3 05JUN21 2005.4702 53542 1328 2   25.2   3408  0.269635   5030621  0.031712  1252  0.516810  0.2055 0.000553 0.000695 0.002142  0.018413 -0.052881 -0.131869
FUN3 05JUN22 2005.4730 53543 1328 3   25.2   3408  0.269648   5030621  0.028730  1252  0.522623  0.2055 0.000541 0.000690 0.002113  0.002098 -0.044970 -0.118009
FUN3 05JUN23 2005.4757 53544 1328 4   25.2   3408  0.268179   5030621  0.029066  1252  0.528152  0.2055 0.000541 0.000694 0.002098  0.019638 -0.008642 -0.146727
FUN3 05JUN24 2005.4784 53545 1328 5   25.2   3408  0.269744   5030621  0.032306  1252  0.528488  0.2055 0.000533 0.000684 0.002071  0.006875 -0.019328 -0.117815
FUN3 07JUN19 2007.4634 54270 1432 2   25.2   3408  0.317131   5030621  0.057396  1252  0.537030  0.2085 0.000560 0.000723 0.002241 -0.064641  0.020753 -0.206990
FUN3 07JUN20 2007.4661 54271 1432 3   25.2   3408  0.317789   5030621  0.060031  1252  0.531423  0.2085 0.000556 0.000711 0.002197 -0.069801 -0.009454 -0.198189
FUN3 07JUN21 2007.4689 54272 1432 4   25.2   3408  0.313672   5030621  0.058916  1252  0.529940  0.2085 0.000555 0.000705 0.002230 -0.047262 -0.022808 -0.208973
FUN3 07JUN22 2007.4716 54273 1432 5   25.2   3408  0.316336   5030621  0.060264  1252  0.538011  0.2085 0.000561 0.000711 0.002231 -0.060997 -0.007682 -0.207414
