site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
G022 09JAN02 2009.0048 54833 1512 5  132.4  -1317 -0.199190   3878132  0.066750   306  0.628608  0.0000 0.000518 0.000630 0.002097 -0.005229  0.094949 -0.139971
G022 09JAN03 2009.0075 54834 1512 6  132.4  -1317 -0.200070   3878132  0.068436   306  0.625546  0.0000 0.000523 0.000629 0.002124 -0.002020  0.089409 -0.141992
G022 09JAN04 2009.0103 54835 1513 0  132.4  -1317 -0.199131   3878132  0.068624   306  0.625955  0.0000 0.000512 0.000619 0.002072 -0.015548  0.121220 -0.139636
G022 09JAN05 2009.0130 54836 1513 1  132.4  -1317 -0.199948   3878132  0.068962   306  0.618046  0.0000 0.000516 0.000626 0.002097 -0.007659  0.120296 -0.139477
G022 09JAN06 2009.0157 54837 1513 2  132.4  -1317 -0.201788   3878132  0.069026   306  0.616533  0.0000 0.000517 0.000631 0.002100 -0.003778  0.118895 -0.128669
G022 09JAN07 2009.0185 54838 1513 3  132.4  -1317 -0.200431   3878132  0.069766   306  0.615032  0.0000 0.000514 0.000632 0.002105  0.001764  0.117974 -0.130112
G022 09JAN08 2009.0212 54839 1513 4  132.4  -1317 -0.199535   3878132  0.067351   306  0.614018  0.0000 0.000529 0.000636 0.002128  0.034976  0.087293 -0.137096
G022 09JAN09 2009.0240 54840 1513 5  132.4  -1317 -0.200123   3878132  0.067097   306  0.615949  0.0000 0.000530 0.000635 0.002139  0.040290  0.075537 -0.137539
G022 09JAN10 2009.0267 54841 1513 6  132.4  -1317 -0.198955   3878132  0.065926   306  0.612220  0.0000 0.000511 0.000621 0.002086 -0.017367  0.128343 -0.132852
G022 09JAN11 2009.0294 54842 1514 0  132.4  -1317 -0.199008   3878132  0.067182   306  0.619652  0.0000 0.000517 0.000629 0.002110 -0.000951  0.121637 -0.151235
G022 09JAN12 2009.0322 54843 1514 1  132.4  -1317 -0.196425   3878132  0.069077   306  0.615575  0.0000 0.000512 0.000629 0.002100  0.003815  0.119309 -0.134362
G022 09JAN13 2009.0349 54844 1514 2  132.4  -1317 -0.196179   3878132  0.065765   306  0.620611  0.0000 0.000505 0.000622 0.002061 -0.018279  0.127887 -0.117526
G022 09JAN14 2009.0376 54845 1514 3  132.4  -1317 -0.197203   3878132  0.067914   306  0.621843  0.0000 0.000514 0.000624 0.002105 -0.009213  0.124282 -0.137040
G022 09JAN15 2009.0404 54846 1514 4  132.4  -1317 -0.198895   3878132  0.065142   306  0.617661  0.0000 0.000505 0.000620 0.002068 -0.014773  0.135768 -0.127507
