site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GHFW 07JAN01 2007.0007 54101 1408 1  -90.4   1408  0.658971   4229892  0.243878    99  0.496399  0.0000 0.000512 0.000608 0.001928 -0.016458  0.047891 -0.181717
GHFW 07JAN02 2007.0034 54102 1408 2  -90.4   1408  0.659306   4229892  0.243087    99  0.500929  0.0000 0.000512 0.000608 0.001919 -0.017416  0.029794 -0.189943
GHFW 07JAN03 2007.0062 54103 1408 3  -90.4   1408  0.660115   4229892  0.242311    99  0.507857  0.0000 0.000510 0.000607 0.001928 -0.021332  0.054228 -0.190863
GHFW 07JAN04 2007.0089 54104 1408 4  -90.4   1408  0.659707   4229892  0.244677    99  0.520301  0.0000 0.000508 0.000605 0.001905 -0.011992  0.035243 -0.174958
GHFW 07JAN05 2007.0116 54105 1408 5  -90.4   1408  0.659141   4229892  0.242695    99  0.515169  0.0000 0.000507 0.000607 0.001904 -0.029606  0.067440 -0.178712
GHFW 07JAN06 2007.0144 54106 1408 6  -90.4   1408  0.659363   4229892  0.243629    99  0.509717  0.0000 0.000507 0.000604 0.001910 -0.030835  0.065949 -0.207550
GHFW 07JAN07 2007.0171 54107 1409 0  -90.4   1408  0.658125   4229892  0.244392    99  0.502860  0.0000 0.000512 0.000619 0.001948 -0.017430  0.076350 -0.201728
GHFW 07JAN08 2007.0198 54108 1409 1  -90.4   1408  0.657404   4229892  0.244041    99  0.496624  0.0000 0.000508 0.000618 0.001918 -0.014193  0.047664 -0.178590
GHFW 07JAN09 2007.0226 54109 1409 2  -90.4   1408  0.659228   4229892  0.244630    99  0.490863  0.0000 0.000506 0.000613 0.001907 -0.007529  0.044843 -0.158008
GHFW 07JAN10 2007.0253 54110 1409 3  -90.4   1408  0.659756   4229892  0.244911    99  0.502783  0.0000 0.000515 0.000605 0.001942 -0.030102  0.075498 -0.163952
GHFW 07JAN11 2007.0281 54111 1409 4  -90.4   1408  0.659894   4229892  0.247290    99  0.503708  0.0000 0.000523 0.000619 0.001951 -0.010750  0.057836 -0.172158
GHFW 07JAN12 2007.0308 54112 1409 5  -90.4   1408  0.657170   4229892  0.245084    99  0.511140  0.0000 0.000496 0.000599 0.001890 -0.003414  0.027099 -0.169883
GHFW 07JAN13 2007.0335 54113 1409 6  -90.4   1408  0.658237   4229892  0.244760    99  0.508294  0.0000 0.000493 0.000598 0.001906 -0.011289  0.053250 -0.175516
GHFW 07JAN14 2007.0363 54114 1410 0  -90.4   1408  0.658197   4229892  0.246042    99  0.501203  0.0000 0.000501 0.000603 0.001916 -0.008472  0.043266 -0.162253
GHFW 07JAN15 2007.0390 54115 1410 1  -90.4   1408  0.658226   4229892  0.245772    99  0.499975  0.0000 0.000486 0.000590 0.001849 -0.027728  0.046971 -0.162891
GHFW 07JAN16 2007.0418 54116 1410 2  -90.4   1408  0.658917   4229892  0.245429    99  0.490524  0.0000 0.000505 0.000601 0.001927  0.006957  0.046238 -0.182137
GHFW 07JAN17 2007.0445 54117 1410 3  -90.4   1408  0.658879   4229892  0.244837    99  0.488668  0.0000 0.000493 0.000592 0.001884 -0.011014  0.041987 -0.186836
GHFW 07JAN18 2007.0472 54118 1410 4  -90.4   1408  0.659404   4229892  0.245105    99  0.495929  0.0000 0.000503 0.000612 0.001939 -0.007062  0.067109 -0.162615
GHFW 07JAN19 2007.0500 54119 1410 5  -90.4   1408  0.658271   4229892  0.244973    99  0.495588  0.0000 0.000517 0.000599 0.001924  0.003806  0.050994 -0.140874
GHFW 07JAN20 2007.0527 54120 1410 6  -90.4   1408  0.659102   4229892  0.245039    99  0.497599  0.0000 0.000512 0.000598 0.001908 -0.006710  0.024397 -0.120911
GHFW 07JAN21 2007.0554 54121 1411 0  -90.4   1408  0.660756   4229892  0.242549    99  0.479645  0.0000 0.000539 0.000670 0.002214 -0.025370  0.057767 -0.213175
GHFW 07JAN22 2007.0582 54122 1411 1  -90.4   1408  0.657795   4229892  0.244243    99  0.493317  0.0000 0.000487 0.000595 0.001849 -0.011955  0.045489 -0.161267
GHFW 07JAN23 2007.0609 54123 1411 2  -90.4   1408  0.657857   4229892  0.246155    99  0.498614  0.0000 0.000492 0.000594 0.001890 -0.013443  0.073510 -0.158069
GHFW 07JAN24 2007.0637 54124 1411 3  -90.4   1408  0.657650   4229892  0.243283    99  0.495163  0.0000 0.000494 0.000603 0.001916 -0.008562  0.063799 -0.178632
GHFW 07JAN25 2007.0664 54125 1411 4  -90.4   1408  0.656704   4229892  0.244852    99  0.495018  0.0000 0.000506 0.000609 0.001947  0.028395  0.044562 -0.159087
GHFW 07JAN26 2007.0691 54126 1411 5  -90.4   1408  0.658701   4229892  0.244542    99  0.503207  0.0000 0.000491 0.000599 0.001893 -0.003884  0.055612 -0.161322
GHFW 07JAN27 2007.0719 54127 1411 6  -90.4   1408  0.656976   4229892  0.243546    99  0.506054  0.0000 0.000495 0.000597 0.001892 -0.008174  0.058347 -0.151705
GHFW 07JAN28 2007.0746 54128 1412 0  -90.4   1408  0.657756   4229892  0.243196    99  0.488606  0.0000 0.000500 0.000599 0.001936 -0.005847  0.072924 -0.166049
GHFW 07JAN29 2007.0773 54129 1412 1  -90.4   1408  0.658334   4229892  0.242772    99  0.493135  0.0000 0.000516 0.000615 0.002035  0.016276  0.042026 -0.212388
GHFW 07JAN30 2007.0801 54130 1412 2  -90.4   1408  0.656999   4229892  0.242791    99  0.489650  0.0000 0.000499 0.000596 0.001910  0.002398  0.073880 -0.150071
GHFW 07JAN31 2007.0828 54131 1412 3  -90.4   1408  0.657500   4229892  0.244063    99  0.494879  0.0000 0.000495 0.000597 0.001903  0.014884  0.059829 -0.168338
GHFW 07FEB01 2007.0856 54132 1412 4  -90.4   1408  0.657120   4229892  0.243572    99  0.493765  0.0000 0.000511 0.000617 0.001994  0.015660  0.052568 -0.179721
GHFW 07FEB02 2007.0883 54133 1412 5  -90.4   1408  0.656649   4229892  0.244468    99  0.494127  0.0000 0.000506 0.000609 0.001961  0.004436  0.062416 -0.160742
GHFW 07FEB03 2007.0910 54134 1412 6  -90.4   1408  0.656516   4229892  0.243526    99  0.487835  0.0000 0.000504 0.000608 0.001932  0.016500  0.062211 -0.152118
GHFW 07FEB04 2007.0938 54135 1413 0  -90.4   1408  0.657768   4229892  0.243153    99  0.491436  0.0000 0.000501 0.000593 0.001911  0.001015  0.057355 -0.176374
GHFW 07FEB05 2007.0965 54136 1413 1  -90.4   1408  0.655495   4229892  0.245183    99  0.492396  0.0000 0.000495 0.000591 0.001892  0.009368  0.056396 -0.187147
GHFW 07FEB06 2007.0992 54137 1413 2  -90.4   1408  0.655877   4229892  0.244029    99  0.497042  0.0000 0.000499 0.000596 0.001907  0.010584  0.054575 -0.158626
GHFW 07FEB07 2007.1020 54138 1413 3  -90.4   1408  0.656028   4229892  0.245268    99  0.502236  0.0000 0.000501 0.000600 0.001918  0.020621  0.042742 -0.181099
GHFW 07FEB08 2007.1047 54139 1413 4  -90.4   1408  0.654503   4229892  0.242820    99  0.499222  0.0000 0.000510 0.000613 0.001970  0.016512  0.047641 -0.177848
GHFW 07FEB09 2007.1075 54140 1413 5  -90.4   1408  0.656859   4229892  0.243267    99  0.505640  0.0000 0.000503 0.000610 0.001945  0.012077  0.032436 -0.187257
GHFW 07FEB10 2007.1102 54141 1413 6  -90.4   1408  0.655980   4229892  0.244122    99  0.497748  0.0000 0.000497 0.000594 0.001908  0.011746  0.024472 -0.202520
GHFW 07FEB11 2007.1129 54142 1414 0  -90.4   1408  0.655642   4229892  0.244137    99  0.503063  0.0000 0.000500 0.000599 0.001912  0.018750  0.033204 -0.164912
GHFW 07FEB12 2007.1157 54143 1414 1  -90.4   1408  0.657119   4229892  0.241898    99  0.501338  0.0000 0.000497 0.000600 0.001912  0.024592  0.041687 -0.166808
GHFW 07FEB13 2007.1184 54144 1414 2  -90.4   1408  0.656666   4229892  0.245963    99  0.502703  0.0000 0.000494 0.000593 0.001861  0.012279  0.018634 -0.174052
GHFW 07FEB14 2007.1211 54145 1414 3  -90.4   1408  0.654839   4229892  0.244567    99  0.491896  0.0000 0.000500 0.000596 0.001896  0.026468  0.051390 -0.152462
GHFW 07FEB15 2007.1239 54146 1414 4  -90.4   1408  0.656016   4229892  0.243317    99  0.492130  0.0000 0.000499 0.000593 0.001895  0.018335  0.053906 -0.173697
GHFW 07FEB16 2007.1266 54147 1414 5  -90.4   1408  0.655893   4229892  0.241486    99  0.492162  0.0000 0.000502 0.000594 0.001903  0.023385  0.056422 -0.171855
GHFW 07FEB17 2007.1294 54148 1414 6  -90.4   1408  0.654740   4229892  0.242335    99  0.495113  0.0000 0.000499 0.000591 0.001873  0.024757  0.034150 -0.155388
GHFW 07FEB18 2007.1321 54149 1415 0  -90.4   1408  0.656394   4229892  0.243399    99  0.493052  0.0000 0.000502 0.000600 0.001924  0.014793  0.058847 -0.163333
GHFW 07FEB19 2007.1348 54150 1415 1  -90.4   1408  0.656437   4229892  0.244667    99  0.502262  0.0000 0.000501 0.000596 0.001896  0.009840  0.048065 -0.176797
GHFW 07FEB20 2007.1376 54151 1415 2  -90.4   1408  0.656049   4229892  0.243582    99  0.509106  0.0000 0.000495 0.000591 0.001881  0.009923  0.022730 -0.185887
GHFW 07FEB21 2007.1403 54152 1415 3  -90.4   1408  0.656662   4229892  0.244684    99  0.504961  0.0000 0.000498 0.000589 0.001871  0.016707  0.038614 -0.168395
GHFW 07FEB22 2007.1431 54153 1415 4  -90.4   1408  0.655447   4229892  0.242707    99  0.510929  0.0000 0.000496 0.000591 0.001866  0.038041  0.030127 -0.154349
GHFW 07FEB23 2007.1458 54154 1415 5  -90.4   1408  0.657924   4229892  0.243459    99  0.506696  0.0000 0.000492 0.000593 0.001869  0.039648  0.027047 -0.136889
GHFW 07FEB24 2007.1485 54155 1415 6  -90.4   1408  0.659760   4229892  0.244447    99  0.511093  0.0000 0.000488 0.000594 0.001854  0.020823  0.029767 -0.165847
GHFW 07FEB25 2007.1513 54156 1416 0  -90.4   1408  0.655720   4229892  0.244981    99  0.504564  0.0000 0.000503 0.000604 0.001902  0.021565  0.010063 -0.170128
GHFW 07FEB26 2007.1540 54157 1416 1  -90.4   1408  0.655678   4229892  0.244415    99  0.505307  0.0000 0.000485 0.000585 0.001822  0.032355  0.001092 -0.161363
GHFW 07FEB27 2007.1567 54158 1416 2  -90.4   1408  0.658136   4229892  0.244417    99  0.498418  0.0000 0.000497 0.000595 0.001865  0.034512  0.023345 -0.150913
GHFW 07FEB28 2007.1595 54159 1416 3  -90.4   1408  0.657294   4229892  0.244415    99  0.504783  0.0000 0.000491 0.000593 0.001862  0.030638  0.011188 -0.148967
GHFW 07MAR01 2007.1622 54160 1416 4  -90.4   1408  0.653746   4229892  0.246158    99  0.498071  0.0000 0.000511 0.000617 0.001949  0.003148  0.061730 -0.155511
GHFW 07MAR02 2007.1650 54161 1416 5  -90.4   1408  0.656423   4229892  0.244926    99  0.501757  0.0000 0.000509 0.000614 0.001917  0.018705  0.035417 -0.149718
GHFW 07MAR03 2007.1677 54162 1416 6  -90.4   1408  0.654317   4229892  0.241755    99  0.495668  0.0000 0.000499 0.000603 0.001877  0.028441  0.008029 -0.181406
GHFW 07MAR04 2007.1704 54163 1417 0  -90.4   1408  0.655893   4229892  0.242778    99  0.496893  0.0000 0.000500 0.000604 0.001888  0.033248  0.033319 -0.180555
GHFW 07MAR05 2007.1732 54164 1417 1  -90.4   1408  0.656501   4229892  0.244643    99  0.500470  0.0000 0.000499 0.000605 0.001873  0.037004 -0.002904 -0.165918
GHFW 07MAR06 2007.1759 54165 1417 2  -90.4   1408  0.656289   4229892  0.244369    99  0.496225  0.0000 0.000501 0.000606 0.001883  0.026326  0.025239 -0.165784
GHFW 07MAR07 2007.1786 54166 1417 3  -90.4   1408  0.656044   4229892  0.245786    99  0.502311  0.0000 0.000498 0.000606 0.001870  0.028631  0.019194 -0.157699
GHFW 07MAR08 2007.1814 54167 1417 4  -90.4   1408  0.657357   4229892  0.244835    99  0.502510  0.0000 0.000496 0.000606 0.001872  0.035813  0.011674 -0.163743
GHFW 07MAR09 2007.1841 54168 1417 5  -90.4   1408  0.656180   4229892  0.242415    99  0.502707  0.0000 0.000513 0.000624 0.001949  0.014660  0.030885 -0.163298
GHFW 07MAR10 2007.1869 54169 1417 6  -90.4   1408  0.655868   4229892  0.244329    99  0.505722  0.0000 0.000513 0.000617 0.001945  0.034503  0.031497 -0.157870
GHFW 07MAR11 2007.1896 54170 1418 0  -90.4   1408  0.656441   4229892  0.242030    99  0.502023  0.0000 0.000510 0.000606 0.001931  0.031769  0.041610 -0.149844
GHFW 07MAR12 2007.1923 54171 1418 1  -90.4   1408  0.655977   4229892  0.243014    99  0.510521  0.0000 0.000506 0.000606 0.001913  0.031356  0.024639 -0.156295
GHFW 07MAR13 2007.1951 54172 1418 2  -90.4   1408  0.656964   4229892  0.241824    99  0.505793  0.0000 0.000503 0.000599 0.001933  0.041873  0.037882 -0.158573
GHFW 07MAR14 2007.1978 54173 1418 3  -90.4   1408  0.656504   4229892  0.242215    99  0.515241  0.0000 0.000501 0.000593 0.001908  0.056639  0.025943 -0.147883
GHFW 07MAR15 2007.2005 54174 1418 4  -90.4   1408  0.657051   4229892  0.243789    99  0.504438  0.0000 0.000502 0.000605 0.001936  0.015658  0.032806 -0.165317
GHFW 07MAR16 2007.2033 54175 1418 5  -90.4   1408  0.654898   4229892  0.243116    99  0.497340  0.0000 0.000502 0.000602 0.001910  0.019092  0.041507 -0.142107
GHFW 07MAR17 2007.2060 54176 1418 6  -90.4   1408  0.656084   4229892  0.241613    99  0.496927  0.0000 0.000492 0.000596 0.001871  0.044321  0.007199 -0.154004
GHFW 07MAR18 2007.2088 54177 1419 0  -90.4   1408  0.656138   4229892  0.243438    99  0.495922  0.0000 0.000498 0.000596 0.001892  0.050183  0.010701 -0.171371
GHFW 07MAR19 2007.2115 54178 1419 1  -90.4   1408  0.655301   4229892  0.242880    99  0.501676  0.0000 0.000493 0.000597 0.001876  0.051687  0.011313 -0.160578
GHFW 07MAR20 2007.2142 54179 1419 2  -90.4   1408  0.653793   4229892  0.242870    99  0.510394  0.0000 0.000507 0.000603 0.001914  0.077449 -0.010672 -0.133833
GHFW 07MAR21 2007.2170 54180 1419 3  -90.4   1408  0.657606   4229892  0.242741    99  0.506758  0.0000 0.000510 0.000606 0.001924  0.071927  0.021371 -0.152389
GHFW 07MAR22 2007.2197 54181 1419 4  -90.4   1408  0.655472   4229892  0.243127    99  0.514211  0.0000 0.000497 0.000597 0.001881  0.047566  0.008445 -0.133799
GHFW 07MAR23 2007.2225 54182 1419 5  -90.4   1408  0.657797   4229892  0.243527    99  0.514554  0.0000 0.000496 0.000596 0.001874  0.044656  0.008709 -0.152745
GHFW 07MAR24 2007.2252 54183 1419 6  -90.4   1408  0.658076   4229892  0.243851    99  0.516433  0.0000 0.000491 0.000594 0.001855  0.056749 -0.003594 -0.154697
GHFW 07MAR25 2007.2279 54184 1420 0  -90.4   1408  0.657794   4229892  0.242630    99  0.512190  0.0000 0.000493 0.000594 0.001864  0.056210 -0.003824 -0.165673
GHFW 07MAR26 2007.2307 54185 1420 1  -90.4   1408  0.655811   4229892  0.243022    99  0.510999  0.0000 0.000491 0.000596 0.001874  0.049497  0.003272 -0.146166
GHFW 07MAR27 2007.2334 54186 1420 2  -90.4   1408  0.656169   4229892  0.245874    99  0.503665  0.0000 0.000518 0.000629 0.002013  0.057172  0.039803 -0.181815
GHFW 07MAR28 2007.2361 54187 1420 3  -90.4   1408  0.656036   4229892  0.245071    99  0.509018  0.0000 0.000499 0.000610 0.001905  0.050955  0.013473 -0.155115
GHFW 07MAR29 2007.2389 54188 1420 4  -90.4   1408  0.655239   4229892  0.244970    99  0.499443  0.0000 0.000496 0.000596 0.001888  0.058029  0.002163 -0.148589
GHFW 07MAR30 2007.2416 54189 1420 5  -90.4   1408  0.659674   4229892  0.243902    99  0.503185  0.0000 0.000495 0.000597 0.001898  0.046837 -0.021739 -0.175028
GHFW 07MAR31 2007.2444 54190 1420 6  -90.4   1408  0.655622   4229892  0.243735    99  0.515149  0.0000 0.000505 0.000600 0.001932  0.062336 -0.033465 -0.175584
GHFW 07APR01 2007.2471 54191 1421 0  -90.4   1408  0.655406   4229892  0.245065    99  0.496792  0.0000 0.000494 0.000588 0.001876  0.042562  0.012533 -0.149386
GHFW 07APR02 2007.2498 54192 1421 1  -90.4   1408  0.655133   4229892  0.244414    99  0.503207  0.0000 0.000496 0.000593 0.001882  0.046800 -0.002811 -0.157996
GHFW 07APR03 2007.2526 54193 1421 2  -90.4   1408  0.656293   4229892  0.244718    99  0.504376  0.0000 0.000493 0.000595 0.001888  0.041686  0.009661 -0.155960
GHFW 07APR04 2007.2553 54194 1421 3  -90.4   1408  0.655153   4229892  0.245532    99  0.494011  0.0000 0.000492 0.000594 0.001875  0.044785 -0.025379 -0.176498
GHFW 07APR05 2007.2580 54195 1421 4  -90.4   1408  0.652750   4229892  0.245828    99  0.494697  0.0000 0.000493 0.000593 0.001870  0.044126 -0.019252 -0.175103
GHFW 07APR06 2007.2608 54196 1421 5  -90.4   1408  0.655628   4229892  0.245001    99  0.490425  0.0000 0.000493 0.000608 0.001914  0.029365 -0.011153 -0.180133
GHFW 07APR07 2007.2635 54197 1421 6  -90.4   1408  0.654029   4229892  0.245373    99  0.483979  0.0000 0.000492 0.000595 0.001876  0.028913  0.001773 -0.168481
GHFW 07APR08 2007.2663 54198 1422 0  -90.4   1408  0.654439   4229892  0.244623    99  0.484854  0.0000 0.000491 0.000595 0.001876  0.054867  0.003615 -0.169034
GHFW 07APR09 2007.2690 54199 1422 1  -90.4   1408  0.656044   4229892  0.244161    99  0.489464  0.0000 0.000494 0.000597 0.001879  0.069451 -0.032846 -0.174433
GHFW 07APR10 2007.2717 54200 1422 2  -90.4   1408  0.655249   4229892  0.244414    99  0.499819  0.0000 0.000502 0.000599 0.001927  0.056563 -0.010813 -0.147670
GHFW 07APR11 2007.2745 54201 1422 3  -90.4   1408  0.654910   4229892  0.244228    99  0.496999  0.0000 0.000495 0.000595 0.001896  0.060004 -0.025000 -0.191301
GHFW 07APR12 2007.2772 54202 1422 4  -90.4   1408  0.654444   4229892  0.243359    99  0.500647  0.0000 0.000487 0.000587 0.001846  0.041212  0.002698 -0.158133
GHFW 07APR13 2007.2799 54203 1422 5  -90.4   1408  0.655350   4229892  0.244625    99  0.493840  0.0000 0.000492 0.000593 0.001874  0.061150 -0.037616 -0.166151
GHFW 07APR14 2007.2827 54204 1422 6  -90.4   1408  0.653425   4229892  0.243065    99  0.490227  0.0000 0.000494 0.000590 0.001871  0.050858 -0.022134 -0.157905
GHFW 07APR15 2007.2854 54205 1423 0  -90.4   1408  0.653609   4229892  0.243139    99  0.493572  0.0000 0.000492 0.000592 0.001850  0.057855 -0.043434 -0.155116
GHFW 07APR16 2007.2882 54206 1423 1  -90.4   1408  0.654496   4229892  0.243766    99  0.500241  0.0000 0.000492 0.000589 0.001872  0.043251 -0.000692 -0.166452
GHFW 07APR17 2007.2909 54207 1423 2  -90.4   1408  0.653887   4229892  0.244490    99  0.497445  0.0000 0.000492 0.000588 0.001864  0.056615 -0.006435 -0.164442
GHFW 07APR18 2007.2936 54208 1423 3  -90.4   1408  0.653308   4229892  0.245038    99  0.505655  0.0000 0.000495 0.000594 0.001878  0.062660 -0.024888 -0.161692
GHFW 07APR19 2007.2964 54209 1423 4  -90.4   1408  0.654661   4229892  0.244138    99  0.502143  0.0000 0.000493 0.000591 0.001877  0.061962 -0.028943 -0.190977
GHFW 07APR20 2007.2991 54210 1423 5  -90.4   1408  0.655861   4229892  0.244006    99  0.499004  0.0000 0.000491 0.000593 0.001878  0.047659 -0.016162 -0.178047
GHFW 07APR21 2007.3018 54211 1423 6  -90.4   1408  0.654495   4229892  0.243610    99  0.504572  0.0000 0.000493 0.000592 0.001871  0.053189 -0.012462 -0.176807
GHFW 07APR22 2007.3046 54212 1424 0  -90.4   1408  0.655367   4229892  0.242986    99  0.502642  0.0000 0.000494 0.000594 0.001879  0.050091  0.006666 -0.173031
GHFW 07APR23 2007.3073 54213 1424 1  -90.4   1408  0.654577   4229892  0.244222    99  0.503526  0.0000 0.000506 0.000599 0.001903  0.037163  0.002640 -0.133617
GHFW 07APR24 2007.3101 54214 1424 2  -90.4   1408  0.655798   4229892  0.242685    99  0.509889  0.0000 0.000506 0.000603 0.001920  0.040752 -0.005002 -0.145569
GHFW 07APR25 2007.3128 54215 1424 3  -90.4   1408  0.654491   4229892  0.242607    99  0.504992  0.0000 0.000503 0.000598 0.001912  0.031637  0.011677 -0.171069
GHFW 07APR26 2007.3155 54216 1424 4  -90.4   1408  0.653786   4229892  0.244390    99  0.492298  0.0000 0.000496 0.000589 0.001873  0.058695 -0.017361 -0.169552
GHFW 07APR27 2007.3183 54217 1424 5  -90.4   1408  0.654617   4229892  0.243658    99  0.499955  0.0000 0.000492 0.000590 0.001866  0.049832 -0.008566 -0.160666
GHFW 07APR28 2007.3210 54218 1424 6  -90.4   1408  0.652355   4229892  0.244706    99  0.495589  0.0000 0.000494 0.000592 0.001875  0.056754 -0.001205 -0.171750
GHFW 07APR29 2007.3238 54219 1425 0  -90.4   1408  0.654441   4229892  0.244095    99  0.501116  0.0000 0.000495 0.000589 0.001878  0.060863 -0.026858 -0.168638
GHFW 07APR30 2007.3265 54220 1425 1  -90.4   1408  0.654024   4229892  0.241673    99  0.504057  0.0000 0.000492 0.000592 0.001865  0.071274 -0.031752 -0.177185
GHFW 07MAY01 2007.3292 54221 1425 2  -90.4   1408  0.654524   4229892  0.243405    99  0.508567  0.0000 0.000496 0.000591 0.001888  0.051132 -0.020402 -0.187317
GHFW 07MAY02 2007.3320 54222 1425 3  -90.4   1408  0.651056   4229892  0.243191    99  0.507151  0.0000 0.000512 0.000603 0.001930  0.058764 -0.037585 -0.145246
GHFW 07MAY03 2007.3347 54223 1425 4  -90.4   1408  0.655507   4229892  0.245401    99  0.495816  0.0000 0.000512 0.000603 0.001927  0.058753 -0.023876 -0.158338
