site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GMAS 02OCT09 2002.7707 52556 1187 3  -15.6  -3378 -0.190234   3072375  0.505281   195  0.423758  0.0000 0.000910 0.000917 0.003982  0.048466 -0.068056 -0.094119
GMAS 02OCT10 2002.7734 52557 1187 4  -15.6  -3378 -0.191505   3072375  0.507883   195  0.428217  0.0000 0.000910 0.000901 0.003974  0.033824 -0.081027 -0.111952
GMAS 02OCT11 2002.7762 52558 1187 5  -15.6  -3378 -0.192096   3072375  0.507183   195  0.426679  0.0000 0.000980 0.000967 0.004303  0.035774 -0.109747 -0.088800
GMAS 02OCT12 2002.7789 52559 1187 6  -15.6  -3378 -0.192500   3072375  0.505437   195  0.431586  0.0000 0.000919 0.000906 0.003971  0.043479 -0.047057 -0.118892
GMAS 02OCT13 2002.7817 52560 1188 0  -15.6  -3378 -0.190862   3072375  0.506587   195  0.428527  0.0000 0.000938 0.000939 0.004161  0.042601 -0.087573 -0.098427
GMAS 02OCT14 2002.7844 52561 1188 1  -15.6  -3378 -0.190651   3072375  0.505457   195  0.425396  0.0000 0.000927 0.000940 0.004087  0.049503 -0.068450 -0.090039
GMAS 02OCT15 2002.7871 52562 1188 2  -15.6  -3378 -0.192002   3072375  0.503656   195  0.414527  0.0000 0.000905 0.000950 0.004068  0.013736 -0.050046 -0.153467
GMAS 02OCT16 2002.7899 52563 1188 3  -15.6  -3378 -0.190316   3072375  0.504946   195  0.421724  0.0000 0.000926 0.000973 0.004273  0.060380 -0.162510 -0.180671
GMAS 02OCT17 2002.7926 52564 1188 4  -15.6  -3378 -0.194698   3072375  0.505993   195  0.425554  0.0000 0.000932 0.000946 0.004228  0.041334 -0.112355 -0.119029
GMAS 02OCT18 2002.7953 52565 1188 5  -15.6  -3378 -0.191951   3072375  0.506477   195  0.428661  0.0000 0.000891 0.000936 0.004091  0.020192 -0.052178 -0.121392
GMAS 02OCT19 2002.7981 52566 1188 6  -15.6  -3378 -0.191158   3072375  0.509022   195  0.420768  0.0000 0.000886 0.000921 0.003991  0.043299 -0.020712 -0.083877
GMAS 02OCT20 2002.8008 52567 1189 0  -15.6  -3378 -0.192636   3072375  0.507971   195  0.425847  0.0000 0.000931 0.000945 0.004115  0.030082 -0.059976 -0.058229
GMAS 02OCT21 2002.8036 52568 1189 1  -15.6  -3378 -0.189455   3072375  0.506958   195  0.420544  0.0000 0.000909 0.000947 0.004132  0.049256 -0.085435 -0.081318
GMAS 02OCT22 2002.8063 52569 1189 2  -15.6  -3378 -0.192067   3072375  0.509057   195  0.419204  0.0000 0.000895 0.000956 0.004175  0.019122 -0.087781 -0.046825
GMAS 02OCT23 2002.8090 52570 1189 3  -15.6  -3378 -0.190344   3072375  0.511038   195  0.430108  0.0000 0.000894 0.000893 0.003989  0.026013 -0.088488 -0.100432
GMAS 02OCT24 2002.8118 52571 1189 4  -15.6  -3378 -0.194039   3072375  0.509311   195  0.442324  0.0000 0.000886 0.000877 0.003898  0.039546 -0.030483 -0.102291
GMAS 02OCT25 2002.8145 52572 1189 5  -15.6  -3378 -0.193431   3072375  0.505594   195  0.426901  0.0000 0.000908 0.000946 0.004116  0.015727 -0.023093 -0.085684
GMAS 02OCT26 2002.8172 52573 1189 6  -15.6  -3378 -0.191267   3072375  0.508570   195  0.417010  0.0000 0.000892 0.000921 0.004053  0.032800 -0.032595 -0.121017
GMAS 02OCT27 2002.8200 52574 1190 0  -15.6  -3378 -0.190943   3072375  0.507402   195  0.417570  0.0000 0.000891 0.000891 0.003906  0.018315 -0.030722 -0.098365
