site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GRNR 97AUG29 1997.6591 50689  920 5 -149.0   1066  0.197884   7081545  0.395589   596  0.107681  0.0000 0.000771 0.001052 0.003418  0.135859  0.022430  0.135960
GRNR 97AUG30 1997.6619 50690  920 6 -149.0   1066  0.200562   7081545  0.379209   596  0.065146  0.0000 0.000867 0.001217 0.003986  0.027094  0.042526  0.202135
GRNR 97AUG31 1997.6646 50691  921 0 -149.0   1066  0.202709   7081545  0.381775   596  0.081347  0.0000 0.000836 0.001156 0.003987  0.007926  0.025936  0.112510
GRNR 97SEP01 1997.6674 50692  921 1 -149.0   1066  0.200498   7081545  0.385725   596  0.100809  0.0000 0.000579 0.000806 0.002610  0.036217  0.011636  0.269871
GRNR 97SEP02 1997.6701 50693  921 2 -149.0   1066  0.201575   7081545  0.395610   596  0.103639  0.0000 0.000673 0.000925 0.003129  0.005001  0.008263  0.230027
GRNR 97SEP03 1997.6728 50694  921 3 -149.0   1066  0.199005   7081545  0.391561   596  0.110675  0.0000 0.000726 0.000990 0.003325  0.043145 -0.006170  0.239468
GRNR 97SEP04 1997.6756 50695  921 4 -149.0   1066  0.202996   7081545  0.390935   596  0.096489  0.0000 0.000763 0.001046 0.003477  0.042591 -0.036370  0.224571
GRNR 97SEP05 1997.6783 50696  921 5 -149.0   1066  0.200904   7081545  0.392193   596  0.102281  0.0000 0.000712 0.001002 0.003376  0.034453  0.059030  0.288348
GRNR 97SEP06 1997.6810 50697  921 6 -149.0   1066  0.200530   7081545  0.394428   596  0.106885  0.0000 0.000806 0.001118 0.003754  0.058697  0.011951  0.202993
GRNR 97SEP09 1997.6893 50700  922 2 -149.0   1066  0.201979   7081545  0.382569   596  0.090034  0.0000 0.000914 0.001311 0.004225  0.087833 -0.045725  0.215440
GRNR 97SEP10 1997.6920 50701  922 3 -149.0   1066  0.200305   7081545  0.389937   596  0.103341  0.0000 0.000785 0.001085 0.003430  0.018176 -0.048008  0.115972
GRNR 97SEP11 1997.6947 50702  922 4 -149.0   1066  0.198708   7081545  0.392715   596  0.096335  0.0000 0.000748 0.001073 0.003412  0.060230  0.035161  0.253189
GRNR 97SEP12 1997.6975 50703  922 5 -149.0   1066  0.200977   7081545  0.396230   596  0.098774  0.0000 0.000766 0.001082 0.003597  0.043469  0.112091  0.239265
GRNR 97SEP16 1997.7084 50707  923 2 -149.0   1066  0.199103   7081545  0.395058   596  0.108787  0.0000 0.000785 0.001139 0.003629  0.036748  0.019881  0.277626
