site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GUAV 08FEB27 2008.1561 54523 1468 3  -72.6  -4688 -0.258166    284536  0.458117   221  0.781649  0.0000 0.000988 0.000778 0.003503  0.051678  0.056733  0.095469
GUAV 08FEB28 2008.1588 54524 1468 4  -72.6  -4688 -0.251726    284536  0.457854   221  0.793940  0.0000 0.000641 0.000486 0.002123  0.011671  0.076320  0.098767
GUAV 08FEB29 2008.1615 54525 1468 5  -72.6  -4688 -0.254352    284536  0.458188   221  0.792862  0.0000 0.000624 0.000475 0.002048 -0.021073  0.064067  0.049446
GUAV 08MAR01 2008.1643 54526 1468 6  -72.6  -4688 -0.253242    284536  0.459720   221  0.785145  0.0000 0.000640 0.000485 0.002077  0.010760  0.100176  0.037609
GUAV 08MAR02 2008.1670 54527 1469 0  -72.6  -4688 -0.252466    284536  0.461423   221  0.795334  0.0000 0.000668 0.000502 0.002198 -0.009617  0.053297  0.103593
GUAV 08MAR03 2008.1697 54528 1469 1  -72.6  -4688 -0.255081    284536  0.460857   221  0.799767  0.0000 0.000638 0.000470 0.002071 -0.003336  0.109228  0.038528
GUAV 08MAR04 2008.1725 54529 1469 2  -72.6  -4688 -0.254221    284536  0.460176   221  0.802341  0.0000 0.000642 0.000487 0.002075 -0.018945  0.091310  0.059352
GUAV 08MAR05 2008.1752 54530 1469 3  -72.6  -4688 -0.253294    284536  0.461168   221  0.802966  0.0000 0.000654 0.000488 0.002140 -0.007218  0.100883  0.094560
GUAV 08MAR06 2008.1780 54531 1469 4  -72.6  -4688 -0.254311    284536  0.460076   221  0.790890  0.0000 0.000636 0.000476 0.002072 -0.000463  0.117426  0.059878
GUAV 08MAR07 2008.1807 54532 1469 5  -72.6  -4688 -0.253316    284536  0.462785   221  0.800616  0.0000 0.000647 0.000480 0.002057 -0.007584  0.085920  0.084071
GUAV 08MAR08 2008.1834 54533 1469 6  -72.6  -4688 -0.254894    284536  0.460165   221  0.791506  0.0000 0.000649 0.000481 0.002113 -0.009134  0.119526  0.081098
GUAV 08MAR09 2008.1862 54534 1470 0  -72.6  -4688 -0.252199    284536  0.459410   221  0.792394  0.0000 0.000645 0.000489 0.002148 -0.000034  0.079133  0.104971
