site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HASZ 05APR01 2005.2485 53461 1316 5  -85.3   2853  0.388213   4719334  0.879945   251  0.257138  0.0000 0.000594 0.000748 0.002375 -0.005635  0.011607 -0.115796
HASZ 05APR02 2005.2512 53462 1316 6  -85.3   2853  0.390796   4719334  0.879539   251  0.258683  0.0000 0.000585 0.000738 0.002323  0.005774  0.007637 -0.111806
HASZ 05APR03 2005.2539 53463 1317 0  -85.3   2853  0.390270   4719334  0.879294   251  0.253456  0.0000 0.000609 0.000748 0.002384 -0.020623  0.006230 -0.084336
HASZ 05APR04 2005.2567 53464 1317 1  -85.3   2853  0.390353   4719334  0.880249   251  0.259668  0.0000 0.000614 0.000753 0.002437 -0.017843 -0.011776 -0.080783
HASZ 05APR05 2005.2594 53465 1317 2  -85.3   2853  0.390498   4719334  0.879198   251  0.263788  0.0000 0.000606 0.000740 0.002363 -0.033487 -0.000954 -0.132825
HASZ 05APR06 2005.2621 53466 1317 3  -85.3   2853  0.389591   4719334  0.879497   251  0.261540  0.0000 0.000597 0.000740 0.002345 -0.015652  0.023241 -0.128359
HASZ 05APR07 2005.2649 53467 1317 4  -85.3   2853  0.390308   4719334  0.878297   251  0.262864  0.0000 0.000593 0.000743 0.002327 -0.013407  0.008590 -0.126130
HASZ 05APR08 2005.2676 53468 1317 5  -85.3   2853  0.389676   4719334  0.879261   251  0.254853  0.0000 0.000592 0.000750 0.002346 -0.025651  0.014032 -0.105432
HASZ 05APR09 2005.2704 53469 1317 6  -85.3   2853  0.391314   4719334  0.878920   251  0.258472  0.0000 0.000599 0.000745 0.002349 -0.019819 -0.002185 -0.110960
HASZ 05APR10 2005.2731 53470 1318 0  -85.3   2853  0.390766   4719334  0.880655   251  0.263185  0.0000 0.000712 0.000895 0.002836 -0.026736  0.003824 -0.139010
HASZ 05APR12 2005.2786 53472 1318 2  -85.3   2853  0.389444   4719334  0.878860   251  0.262413  0.0000 0.000602 0.000743 0.002380 -0.017472  0.012307 -0.135594
HASZ 05APR13 2005.2813 53473 1318 3  -85.3   2853  0.389128   4719334  0.879633   251  0.254994  0.0000 0.000608 0.000747 0.002391 -0.030726 -0.008231 -0.128266
HASZ 05APR14 2005.2841 53474 1318 4  -85.3   2853  0.388287   4719334  0.880332   251  0.251601  0.0000 0.000608 0.000755 0.002423 -0.032232  0.031595 -0.114864
HASZ 05APR15 2005.2868 53475 1318 5  -85.3   2853  0.390444   4719334  0.878753   251  0.251655  0.0000 0.000617 0.000761 0.002467  0.003536  0.006523 -0.109740
HASZ 05APR16 2005.2895 53476 1318 6  -85.3   2853  0.388552   4719334  0.879271   251  0.254850  0.0000 0.000608 0.000757 0.002429 -0.005803  0.014717 -0.123175
HASZ 05APR17 2005.2923 53477 1319 0  -85.3   2853  0.390212   4719334  0.879072   251  0.256582  0.0000 0.000589 0.000741 0.002348  0.012916  0.003407 -0.130180
HASZ 05APR18 2005.2950 53478 1319 1  -85.3   2853  0.390602   4719334  0.876754   251  0.259148  0.0000 0.000609 0.000767 0.002462  0.021264 -0.005788 -0.112929
HASZ 05APR19 2005.2977 53479 1319 2  -85.3   2853  0.390661   4719334  0.877814   251  0.265350  0.0000 0.000595 0.000748 0.002381  0.014408 -0.004726 -0.133776
HASZ 05APR20 2005.3005 53480 1319 3  -85.3   2853  0.389625   4719334  0.877236   251  0.257105  0.0000 0.000591 0.000740 0.002351  0.000672  0.006947 -0.117998
HASZ 05APR21 2005.3032 53481 1319 4  -85.3   2853  0.388803   4719334  0.879962   251  0.259007  0.0000 0.000607 0.000763 0.002446  0.004361 -0.002542 -0.128921
HASZ 05APR22 2005.3060 53482 1319 5  -85.3   2853  0.388322   4719334  0.881804   251  0.260869  0.0000 0.000585 0.000738 0.002332  0.006640  0.009292 -0.126685
HASZ 05APR23 2005.3087 53483 1319 6  -85.3   2853  0.388162   4719334  0.880796   251  0.257646  0.0000 0.000594 0.000743 0.002390  0.017054  0.013558 -0.139601
HASZ 05APR24 2005.3114 53484 1320 0  -85.3   2853  0.390000   4719334  0.880134   251  0.258581  0.0000 0.000589 0.000741 0.002347  0.006755  0.009978 -0.149996
HASZ 05APR25 2005.3142 53485 1320 1  -85.3   2853  0.389659   4719334  0.879850   251  0.264398  0.0000 0.000585 0.000739 0.002322  0.005310 -0.010945 -0.117411
HASZ 05APR26 2005.3169 53486 1320 2  -85.3   2853  0.390572   4719334  0.878774   251  0.260625  0.0000 0.000586 0.000744 0.002357  0.002765 -0.004857 -0.135915
HASZ 05APR27 2005.3196 53487 1320 3  -85.3   2853  0.389231   4719334  0.879610   251  0.257706  0.0000 0.000589 0.000735 0.002336  0.001921 -0.006577 -0.132709
HASZ 05APR28 2005.3224 53488 1320 4  -85.3   2853  0.389306   4719334  0.880370   251  0.257391  0.0000 0.000607 0.000756 0.002417  0.016931  0.006562 -0.133115
HASZ 05APR29 2005.3251 53489 1320 5  -85.3   2853  0.390451   4719334  0.881656   251  0.252855  0.0000 0.000589 0.000744 0.002348  0.006272  0.007501 -0.136051
HASZ 05APR30 2005.3279 53490 1320 6  -85.3   2853  0.388437   4719334  0.879055   251  0.258334  0.0000 0.000587 0.000741 0.002336  0.012248  0.005149 -0.114411
HASZ 05MAY01 2005.3306 53491 1321 0  -85.3   2853  0.388585   4719334  0.878677   251  0.253167  0.0000 0.000591 0.000742 0.002358 -0.005660  0.010835 -0.141425
HASZ 05MAY02 2005.3333 53492 1321 1  -85.3   2853  0.388488   4719334  0.877043   251  0.250137  0.0000 0.000600 0.000756 0.002402  0.013938 -0.008025 -0.130868
HASZ 05MAY03 2005.3361 53493 1321 2  -85.3   2853  0.388812   4719334  0.877843   251  0.252853  0.0000 0.000617 0.000788 0.002481  0.012569 -0.028529 -0.145892
HASZ 05MAY04 2005.3388 53494 1321 3  -85.3   2853  0.389179   4719334  0.880161   251  0.250758  0.0000 0.000588 0.000736 0.002336  0.017921 -0.005657 -0.129465
