site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HAYW 02OCT02 2002.7515 52549 1186 3  -82.9  -2271 -0.145357   3933006  0.337930   807  0.997283  0.0000 0.000682 0.000780 0.002758 -0.015755  0.101086 -0.171329
HAYW 02OCT05 2002.7598 52552 1186 6  -82.9  -2271 -0.143659   3933006  0.342004   807  1.009184  0.0000 0.000656 0.000730 0.002639 -0.034859  0.121096 -0.158488
HAYW 02OCT08 2002.7680 52555 1187 2  -82.9  -2271 -0.145941   3933006  0.340275   807  0.997065  0.0000 0.000744 0.000864 0.003122 -0.076425  0.128251 -0.155940
HAYW 02OCT12 2002.7789 52559 1187 6  -82.9  -2271 -0.144408   3933006  0.341947   807  0.991839  0.0000 0.000668 0.000746 0.002720 -0.062660  0.132532 -0.158462
HAYW 02OCT13 2002.7817 52560 1188 0  -82.9  -2271 -0.146060   3933006  0.343136   807  1.003224  0.0000 0.000652 0.000734 0.002662 -0.063730  0.112434 -0.150110
HAYW 02OCT14 2002.7844 52561 1188 1  -82.9  -2271 -0.144466   3933006  0.343951   807  1.000276  0.0000 0.000663 0.000737 0.002712 -0.047395  0.072877 -0.167292
HAYW 02OCT15 2002.7871 52562 1188 2  -82.9  -2271 -0.145487   3933006  0.340932   807  1.000759  0.0000 0.000701 0.000757 0.002864  0.004321  0.104623 -0.161714
HAYW 02OCT16 2002.7899 52563 1188 3  -82.9  -2271 -0.144867   3933006  0.341981   807  0.997505  0.0000 0.000680 0.000752 0.002716  0.030987  0.060359 -0.133545
HAYW 02OCT17 2002.7926 52564 1188 4  -82.9  -2271 -0.145698   3933006  0.340000   807  1.002003  0.0000 0.000710 0.000819 0.002942 -0.004176  0.068663 -0.173134
HAYW 02OCT18 2002.7953 52565 1188 5  -82.9  -2271 -0.143617   3933006  0.341183   807  0.992685  0.0000 0.000663 0.000740 0.002691 -0.015189  0.079614 -0.156467
HAYW 02OCT19 2002.7981 52566 1188 6  -82.9  -2271 -0.142854   3933006  0.341217   807  1.005949  0.0000 0.000651 0.000736 0.002648 -0.010649  0.063809 -0.156276
HAYW 02OCT20 2002.8008 52567 1189 0  -82.9  -2271 -0.143287   3933006  0.340057   807  1.002192  0.0000 0.000681 0.000770 0.002805 -0.041337  0.100970 -0.168731
HAYW 02OCT21 2002.8036 52568 1189 1  -82.9  -2271 -0.145654   3933006  0.341698   807  1.007003  0.0000 0.000806 0.000928 0.003395 -0.069780  0.143336 -0.207561
HAYW 02OCT22 2002.8063 52569 1189 2  -82.9  -2271 -0.146727   3933006  0.341639   807  0.988900  0.0000 0.000647 0.000725 0.002632 -0.026566  0.082748 -0.173767
HAYW 02OCT23 2002.8090 52570 1189 3  -82.9  -2271 -0.146900   3933006  0.342022   807  0.993977  0.0000 0.000646 0.000717 0.002599 -0.031125  0.084224 -0.152937
HAYW 02OCT24 2002.8118 52571 1189 4  -82.9  -2271 -0.144958   3933006  0.343750   807  0.995144  0.0000 0.000657 0.000729 0.002666 -0.015740  0.040599 -0.176458
HAYW 02OCT25 2002.8145 52572 1189 5  -82.9  -2271 -0.145934   3933006  0.341159   807  1.003820  0.0000 0.000665 0.000746 0.002737  0.006033  0.073098 -0.177447
HAYW 02OCT26 2002.8172 52573 1189 6  -82.9  -2271 -0.143596   3933006  0.342906   807  1.005787  0.0000 0.000653 0.000735 0.002687 -0.015898  0.088414 -0.187731
HAYW 02OCT28 2002.8227 52575 1190 1  -82.9  -2271 -0.146136   3933006  0.342780   807  1.008826  0.0000 0.000673 0.000753 0.002792 -0.041931  0.072235 -0.178154
HAYW 02OCT29 2002.8255 52576 1190 2  -82.9  -2271 -0.141726   3933006  0.342417   807  1.008712  0.0000 0.000651 0.000723 0.002622 -0.034496  0.067915 -0.142982
HAYW 02OCT30 2002.8282 52577 1190 3  -82.9  -2271 -0.145625   3933006  0.338890   807  1.017413  0.0000 0.000646 0.000720 0.002618 -0.035385  0.069051 -0.147815
HAYW 02OCT31 2002.8309 52578 1190 4  -82.9  -2271 -0.146469   3933006  0.341435   807  1.006022  0.0000 0.000644 0.000723 0.002591 -0.012074  0.033122 -0.154279
HAYW 02NOV01 2002.8337 52579 1190 5  -82.9  -2271 -0.145108   3933006  0.342159   807  0.991102  0.0000 0.000643 0.000717 0.002613 -0.036650  0.077978 -0.176355
HAYW 02NOV02 2002.8364 52580 1190 6  -82.9  -2271 -0.143559   3933006  0.340652   807  0.997024  0.0000 0.000654 0.000734 0.002674 -0.052484  0.093531 -0.159466
HAYW 02NOV03 2002.8392 52581 1191 0  -82.9  -2271 -0.147159   3933006  0.338564   807  0.994798  0.0000 0.000671 0.000758 0.002785 -0.049051  0.081857 -0.150605
HAYW 02NOV04 2002.8419 52582 1191 1  -82.9  -2271 -0.146745   3933006  0.342496   807  1.006730  0.0000 0.000645 0.000723 0.002608 -0.050778  0.070330 -0.129750
