site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HENA 09JAN01 2009.0021 54832 1512 4   -3.4   1354  0.691932   4483777  0.350044   663  0.504464  0.0000 0.000491 0.000630 0.001853 -0.026726  0.054724 -0.184175
HENA 09JAN02 2009.0048 54833 1512 5   -3.4   1354  0.692665   4483777  0.350061   663  0.507845  0.0000 0.000499 0.000637 0.001904 -0.004870  0.032619 -0.198792
HENA 09JAN03 2009.0075 54834 1512 6   -3.4   1354  0.691056   4483777  0.350630   663  0.506893  0.0000 0.000492 0.000622 0.001842 -0.030359  0.056250 -0.181114
HENA 09JAN04 2009.0103 54835 1513 0   -3.4   1354  0.692780   4483777  0.350377   663  0.502681  0.0000 0.000501 0.000631 0.001890  0.003340  0.038028 -0.182621
HENA 09JAN05 2009.0130 54836 1513 1   -3.4   1354  0.691937   4483777  0.350442   663  0.503047  0.0000 0.000485 0.000618 0.001804 -0.031088  0.076623 -0.175612
HENA 09JAN06 2009.0157 54837 1513 2   -3.4   1354  0.691743   4483777  0.351348   663  0.504526  0.0000 0.000496 0.000631 0.001866 -0.000049  0.028751 -0.177813
HENA 09JAN07 2009.0185 54838 1513 3   -3.4   1354  0.692887   4483777  0.351503   663  0.501378  0.0000 0.000493 0.000625 0.001857 -0.002885  0.035044 -0.196616
HENA 09JAN08 2009.0212 54839 1513 4   -3.4   1354  0.692818   4483777  0.351058   663  0.494707  0.0000 0.000515 0.000638 0.001951 -0.035773  0.059573 -0.164596
HENA 09JAN09 2009.0240 54840 1513 5   -3.4   1354  0.692963   4483777  0.351364   663  0.498985  0.0000 0.000512 0.000645 0.001955 -0.037386  0.067690 -0.188284
HENA 09JAN10 2009.0267 54841 1513 6   -3.4   1354  0.693887   4483777  0.350225   663  0.498611  0.0000 0.000494 0.000628 0.001837 -0.000023  0.032283 -0.164521
HENA 09JAN11 2009.0294 54842 1514 0   -3.4   1354  0.692173   4483777  0.351774   663  0.500127  0.0000 0.000492 0.000628 0.001855  0.002483  0.031282 -0.172441
HENA 09JAN12 2009.0322 54843 1514 1   -3.4   1354  0.692979   4483777  0.352067   663  0.508055  0.0000 0.000494 0.000621 0.001860 -0.007300  0.039822 -0.176700
HENA 09JAN15 2009.0404 54846 1514 4   -3.4   1354  0.691864   4483777  0.352293   663  0.507331  0.0000 0.000500 0.000634 0.001919  0.001092  0.012190 -0.191213
HENA 09JAN16 2009.0431 54847 1514 5   -3.4   1354  0.691128   4483777  0.351434   663  0.503532  0.0000 0.000500 0.000626 0.001877 -0.002258  0.041651 -0.162312
HENA 09JAN17 2009.0459 54848 1514 6   -3.4   1354  0.691042   4483777  0.352651   663  0.507424  0.0000 0.000492 0.000628 0.001852 -0.018666  0.019080 -0.145895
HENA 09JAN18 2009.0486 54849 1515 0   -3.4   1354  0.691179   4483777  0.351890   663  0.510069  0.0000 0.000492 0.000624 0.001842 -0.005496  0.023758 -0.163965
HENA 09JAN22 2009.0595 54853 1515 4   -3.4   1354  0.690270   4483777  0.351365   663  0.513313  0.0000 0.000494 0.000630 0.001868  0.017308  0.028094 -0.191076
HENA 09JAN23 2009.0623 54854 1515 5   -3.4   1354  0.691914   4483777  0.348597   663  0.530765  0.0000 0.000492 0.000626 0.001849 -0.012237  0.028814 -0.182229
HENA 09JAN24 2009.0650 54855 1515 6   -3.4   1354  0.691970   4483777  0.352451   663  0.513263  0.0000 0.000496 0.000621 0.001859 -0.012248  0.009586 -0.173549
HENA 09JAN25 2009.0678 54856 1516 0   -3.4   1354  0.690809   4483777  0.352566   663  0.508791  0.0000 0.000494 0.000623 0.001866  0.004284  0.027620 -0.197068
HENA 09JAN26 2009.0705 54857 1516 1   -3.4   1354  0.690911   4483777  0.353866   663  0.504089  0.0000 0.000495 0.000627 0.001889  0.025563 -0.010701 -0.193012
HENA 09JAN27 2009.0732 54858 1516 2   -3.4   1354  0.692353   4483777  0.353507   663  0.506183  0.0000 0.000489 0.000619 0.001827 -0.007060  0.011473 -0.157655
HENA 09JAN28 2009.0760 54859 1516 3   -3.4   1354  0.691505   4483777  0.351861   663  0.500735  0.0000 0.000492 0.000621 0.001839 -0.012833  0.030945 -0.161649
HENA 09JAN29 2009.0787 54860 1516 4   -3.4   1354  0.693191   4483777  0.351712   663  0.501533  0.0000 0.000492 0.000621 0.001856 -0.001492  0.015773 -0.162839
HENA 09JAN30 2009.0815 54861 1516 5   -3.4   1354  0.692503   4483777  0.352628   663  0.509455  0.0000 0.000496 0.000630 0.001917  0.008723  0.015290 -0.187447
HENA 09JAN31 2009.0842 54862 1516 6   -3.4   1354  0.694099   4483777  0.351967   663  0.504274  0.0000 0.000491 0.000626 0.001883  0.008528  0.024124 -0.206759
HENA 09FEB01 2009.0869 54863 1517 0   -3.4   1354  0.692623   4483777  0.352741   663  0.505450  0.0000 0.000497 0.000632 0.001903  0.013343  0.016651 -0.193351
HENA 09FEB02 2009.0897 54864 1517 1   -3.4   1354  0.693781   4483777  0.352507   663  0.503103  0.0000 0.000490 0.000622 0.001860  0.004938  0.015890 -0.204331
HENA 09FEB03 2009.0924 54865 1517 2   -3.4   1354  0.691217   4483777  0.351825   663  0.498162  0.0000 0.000492 0.000626 0.001862  0.008407  0.040043 -0.187344
HENA 09FEB04 2009.0951 54866 1517 3   -3.4   1354  0.692630   4483777  0.349184   663  0.502601  0.0000 0.000495 0.000626 0.001877 -0.008743  0.023426 -0.188963
HENA 09FEB05 2009.0979 54867 1517 4   -3.4   1354  0.690921   4483777  0.353426   663  0.503274  0.0000 0.000492 0.000624 0.001877  0.007320  0.009389 -0.197397
HENA 09FEB06 2009.1006 54868 1517 5   -3.4   1354  0.690991   4483777  0.352129   663  0.503165  0.0000 0.000493 0.000626 0.001846  0.001776  0.018981 -0.180902
