site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
HUEH 02JUN07 2002.4312 52432 1169 5  -91.5   -289 -0.102228   1694192  0.105079  1878  0.181169  0.0000 0.000660 0.000540 0.002191 -0.017179 -0.006263 -0.076497
HUEH 02JUN08 2002.4339 52433 1169 6  -91.5   -289 -0.103384   1694192  0.103055  1878  0.178806  0.0000 0.000616 0.000492 0.002047 -0.026005  0.002796 -0.109490
HUEH 02JUN09 2002.4367 52434 1170 0  -91.5   -289 -0.100796   1694192  0.101473  1878  0.176767  0.0000 0.000618 0.000496 0.002032 -0.041063  0.009331 -0.098314
HUEH 02JUN10 2002.4394 52435 1170 1  -91.5   -289 -0.105949   1694192  0.104425  1878  0.186581  0.0000 0.000602 0.000495 0.002034 -0.041592  0.008378 -0.100088
HUEH 02JUN11 2002.4422 52436 1170 2  -91.5   -289 -0.105779   1694192  0.108416  1878  0.170775  0.0000 0.000611 0.000502 0.002083 -0.041612 -0.009409 -0.101392
HUEH 02JUN12 2002.4449 52437 1170 3  -91.5   -289 -0.101416   1694192  0.103449  1878  0.173932  0.0000 0.000601 0.000500 0.002107 -0.050106  0.040972 -0.099009
HUEH 02JUN13 2002.4476 52438 1170 4  -91.5   -289 -0.100799   1694192  0.103879  1878  0.180399  0.0000 0.000618 0.000503 0.002144 -0.042403  0.026057 -0.113041
HUEH 02JUN14 2002.4504 52439 1170 5  -91.5   -289 -0.102464   1694192  0.109736  1878  0.177100  0.0000 0.000617 0.000522 0.002271 -0.070267  0.096398 -0.094351
HUEH 02JUN15 2002.4531 52440 1170 6  -91.5   -289 -0.103119   1694192  0.103121  1878  0.187358  0.0000 0.000600 0.000494 0.002059 -0.057676  0.034160 -0.100222
HUEH 02JUN16 2002.4559 52441 1171 0  -91.5   -289 -0.100808   1694192  0.103324  1878  0.160773  0.0000 0.000609 0.000497 0.002098 -0.052052  0.047986 -0.111015
HUEH 02JUN17 2002.4586 52442 1171 1  -91.5   -289 -0.101921   1694192  0.109350  1878  0.170386  0.0000 0.000594 0.000492 0.002031 -0.027575  0.029221 -0.094297
HUEH 02JUN18 2002.4613 52443 1171 2  -91.5   -289 -0.098390   1694192  0.107016  1878  0.177863  0.0000 0.000597 0.000493 0.002065 -0.019794  0.000549 -0.092627
HUEH 02JUN19 2002.4641 52444 1171 3  -91.5   -289 -0.105020   1694192  0.103972  1878  0.165480  0.0000 0.000605 0.000506 0.002098 -0.057203  0.048086 -0.101243
HUEH 02JUN20 2002.4668 52445 1171 4  -91.5   -289 -0.101112   1694192  0.105299  1878  0.172970  0.0000 0.000616 0.000510 0.002116 -0.039025  0.008613 -0.104609
HUEH 02JUN21 2002.4695 52446 1171 5  -91.5   -289 -0.103183   1694192  0.103777  1878  0.172655  0.0000 0.000604 0.000509 0.002142 -0.052495  0.024577 -0.118528
HUEH 02JUN22 2002.4723 52447 1171 6  -91.5   -289 -0.100577   1694192  0.105270  1878  0.164992  0.0000 0.000630 0.000503 0.002190 -0.048969  0.070189 -0.130166
HUEH 02JUN23 2002.4750 52448 1172 0  -91.5   -289 -0.102261   1694192  0.105127  1878  0.154988  0.0000 0.000587 0.000477 0.001980 -0.020658  0.005982 -0.094611
HUEH 02JUN24 2002.4778 52449 1172 1  -91.5   -289 -0.100070   1694192  0.105389  1878  0.179548  0.0000 0.000607 0.000491 0.002027 -0.007005 -0.006196 -0.094939
HUEH 02JUN25 2002.4805 52450 1172 2  -91.5   -289 -0.101969   1694192  0.104081  1878  0.176866  0.0000 0.000588 0.000490 0.001994  0.013799  0.000827 -0.085509
HUEH 02JUN26 2002.4832 52451 1172 3  -91.5   -289 -0.102613   1694192  0.108053  1878  0.173604  0.0000 0.000604 0.000510 0.002101 -0.010973  0.017741 -0.111364
HUEH 02JUN27 2002.4860 52452 1172 4  -91.5   -289 -0.103704   1694192  0.105652  1878  0.175197  0.0000 0.000633 0.000521 0.002239 -0.076795  0.077468 -0.131807
HUEH 02JUN28 2002.4887 52453 1172 5  -91.5   -289 -0.101140   1694192  0.104723  1878  0.175060  0.0000 0.000605 0.000496 0.002061 -0.055325  0.050798 -0.110451
HUEH 02JUN29 2002.4914 52454 1172 6  -91.5   -289 -0.101041   1694192  0.105590  1878  0.167267  0.0000 0.000589 0.000497 0.002019 -0.029428  0.034260 -0.086825
HUEH 02JUN30 2002.4942 52455 1173 0  -91.5   -289 -0.099944   1694192  0.105419  1878  0.166166  0.0000 0.000631 0.000539 0.002315 -0.019511  0.035688 -0.108981
HUEH 02JUL01 2002.4969 52456 1173 1  -91.5   -289 -0.105110   1694192  0.104852  1878  0.166251  0.0000 0.000603 0.000496 0.002059 -0.055362  0.049201 -0.085799
HUEH 02JUL02 2002.4997 52457 1173 2  -91.5   -289 -0.104409   1694192  0.107774  1878  0.164349  0.0000 0.000599 0.000494 0.002071 -0.042890 -0.002801 -0.093545
HUEH 02JUL03 2002.5024 52458 1173 3  -91.5   -289 -0.102630   1694192  0.104672  1878  0.166606  0.0000 0.000599 0.000504 0.002139 -0.051898  0.072658 -0.092337
HUEH 02JUL04 2002.5051 52459 1173 4  -91.5   -289 -0.102033   1694192  0.107252  1878  0.170791  0.0000 0.000593 0.000496 0.002063 -0.049110  0.036615 -0.080949
HUEH 02JUL05 2002.5079 52460 1173 5  -91.5   -289 -0.100040   1694192  0.103924  1878  0.172197  0.0000 0.000604 0.000498 0.002066 -0.041466  0.024395 -0.080959
HUEH 02JUL06 2002.5106 52461 1173 6  -91.5   -289 -0.100571   1694192  0.105260  1878  0.169838  0.0000 0.000593 0.000493 0.002065 -0.016836  0.024600 -0.074583
HUEH 02JUL07 2002.5133 52462 1174 0  -91.5   -289 -0.100161   1694192  0.105431  1878  0.159366  0.0000 0.000592 0.000481 0.001996 -0.004915 -0.024452 -0.068086
HUEH 02JUL08 2002.5161 52463 1174 1  -91.5   -289 -0.101932   1694192  0.105210  1878  0.165256  0.0000 0.000588 0.000481 0.002025 -0.012037  0.002398 -0.087677
HUEH 02JUL09 2002.5188 52464 1174 2  -91.5   -289 -0.100363   1694192  0.106411  1878  0.167761  0.0000 0.000618 0.000509 0.002191 -0.038884  0.072463 -0.073935
HUEH 02JUL10 2002.5216 52465 1174 3  -91.5   -289 -0.102164   1694192  0.106435  1878  0.178935  0.0000 0.000600 0.000487 0.002011 -0.003025  0.016954 -0.056006
HUEH 02JUL11 2002.5243 52466 1174 4  -91.5   -289 -0.101219   1694192  0.108104  1878  0.169151  0.0000 0.000596 0.000489 0.002034 -0.014187  0.043209 -0.077369
HUEH 02JUL12 2002.5270 52467 1174 5  -91.5   -289 -0.100962   1694192  0.108439  1878  0.186122  0.0000 0.000603 0.000492 0.002044  0.024513 -0.040664 -0.064278
HUEH 02JUL13 2002.5298 52468 1174 6  -91.5   -289 -0.102937   1694192  0.104547  1878  0.171566  0.0000 0.000591 0.000480 0.002011 -0.014556  0.006066 -0.087878
HUEH 02JUL14 2002.5325 52469 1175 0  -91.5   -289 -0.100523   1694192  0.104817  1878  0.177053  0.0000 0.000582 0.000479 0.001966 -0.022888  0.006954 -0.073866
HUEH 02JUL15 2002.5352 52470 1175 1  -91.5   -289 -0.101628   1694192  0.105372  1878  0.152222  0.0000 0.000614 0.000506 0.002194 -0.030455  0.050712 -0.060675
HUEH 02JUL16 2002.5380 52471 1175 2  -91.5   -289 -0.103617   1694192  0.106248  1878  0.166358  0.0000 0.000589 0.000479 0.001980 -0.034960  0.026655 -0.081226
HUEH 02JUL17 2002.5407 52472 1175 3  -91.5   -289 -0.102357   1694192  0.104465  1878  0.167638  0.0000 0.000594 0.000490 0.002104 -0.017558  0.037616 -0.105344
HUEH 02JUL18 2002.5435 52473 1175 4  -91.5   -289 -0.102468   1694192  0.108258  1878  0.166317  0.0000 0.000702 0.000560 0.002339  0.006853 -0.055825 -0.086721
HUEH 02JUL19 2002.5462 52474 1175 5  -91.5   -289 -0.103079   1694192  0.105334  1878  0.172639  0.0000 0.000620 0.000501 0.002088  0.000430 -0.006396 -0.070240
HUEH 02JUL20 2002.5489 52475 1175 6  -91.5   -289 -0.101760   1694192  0.106504  1878  0.171335  0.0000 0.000591 0.000480 0.002003 -0.016068 -0.005334 -0.064156
HUEH 02JUL21 2002.5517 52476 1176 0  -91.5   -289 -0.101020   1694192  0.107058  1878  0.174705  0.0000 0.000586 0.000484 0.002027 -0.015220  0.017958 -0.084002
HUEH 02JUL22 2002.5544 52477 1176 1  -91.5   -289 -0.103892   1694192  0.106392  1878  0.161711  0.0000 0.000583 0.000480 0.001973 -0.006388 -0.013872 -0.088610
HUEH 02JUL23 2002.5572 52478 1176 2  -91.5   -289 -0.099437   1694192  0.103890  1878  0.167389  0.0000 0.000594 0.000487 0.002045 -0.003101  0.010980 -0.110924
HUEH 02JUL24 2002.5599 52479 1176 3  -91.5   -289 -0.102149   1694192  0.106759  1878  0.169362  0.0000 0.000590 0.000490 0.002020 -0.003151  0.010691 -0.084743
HUEH 02JUL25 2002.5626 52480 1176 4  -91.5   -289 -0.101999   1694192  0.106591  1878  0.163589  0.0000 0.000578 0.000473 0.001924 -0.002208 -0.015879 -0.084557
HUEH 02JUL26 2002.5654 52481 1176 5  -91.5   -289 -0.101660   1694192  0.105870  1878  0.160853  0.0000 0.000588 0.000487 0.002035 -0.029599  0.024151 -0.080799
HUEH 02JUL27 2002.5681 52482 1176 6  -91.5   -289 -0.103021   1694192  0.105716  1878  0.166996  0.0000 0.000592 0.000485 0.002037 -0.013597  0.006701 -0.059021
HUEH 02JUL28 2002.5708 52483 1177 0  -91.5   -289 -0.102904   1694192  0.104395  1878  0.160862  0.0000 0.000598 0.000492 0.002066 -0.025827  0.007782 -0.093270
HUEH 02JUL29 2002.5736 52484 1177 1  -91.5   -289 -0.102917   1694192  0.104964  1878  0.170755  0.0000 0.000585 0.000486 0.002004 -0.032673  0.008351 -0.101280
HUEH 02JUL30 2002.5763 52485 1177 2  -91.5   -289 -0.101748   1694192  0.107770  1878  0.169786  0.0000 0.000594 0.000487 0.002097 -0.033439  0.036256 -0.113834
HUEH 02JUL31 2002.5791 52486 1177 3  -91.5   -289 -0.103504   1694192  0.105303  1878  0.169231  0.0000 0.000578 0.000476 0.001954 -0.017736 -0.007616 -0.088445
HUEH 02AUG01 2002.5818 52487 1177 4  -91.5   -289 -0.104453   1694192  0.107444  1878  0.164520  0.0000 0.000590 0.000481 0.002039 -0.019840  0.025772 -0.091374
HUEH 02AUG02 2002.5845 52488 1177 5  -91.5   -289 -0.105513   1694192  0.103846  1878  0.163914  0.0000 0.000610 0.000510 0.002076 -0.022866  0.052100 -0.044043
HUEH 02AUG03 2002.5873 52489 1177 6  -91.5   -289 -0.104151   1694192  0.105998  1878  0.157179  0.0000 0.000611 0.000502 0.002044  0.036596 -0.043957 -0.085181
HUEH 02AUG04 2002.5900 52490 1178 0  -91.5   -289 -0.101661   1694192  0.107976  1878  0.158574  0.0000 0.000590 0.000490 0.002096 -0.014302  0.027274 -0.071006
HUEH 02AUG05 2002.5927 52491 1178 1  -91.5   -289 -0.103467   1694192  0.107344  1878  0.157151  0.0000 0.000584 0.000482 0.002030 -0.002985 -0.001334 -0.072230
HUEH 02AUG06 2002.5955 52492 1178 2  -91.5   -289 -0.100141   1694192  0.109241  1878  0.168891  0.0000 0.000581 0.000478 0.001978 -0.009711 -0.019112 -0.074064
HUEH 02AUG07 2002.5982 52493 1178 3  -91.5   -289 -0.100383   1694192  0.108401  1878  0.164274  0.0000 0.000616 0.000512 0.002097  0.002190 -0.015162 -0.072515
HUEH 02AUG08 2002.6010 52494 1178 4  -91.5   -289 -0.104224   1694192  0.105558  1878  0.166046  0.0000 0.000586 0.000478 0.001984 -0.023335 -0.001138 -0.093080
HUEH 02AUG09 2002.6037 52495 1178 5  -91.5   -289 -0.104095   1694192  0.106673  1878  0.167280  0.0000 0.000578 0.000480 0.001961 -0.017962  0.000194 -0.070134
HUEH 02AUG10 2002.6064 52496 1178 6  -91.5   -289 -0.102323   1694192  0.103288  1878  0.164621  0.0000 0.000580 0.000479 0.001960 -0.019069 -0.027313 -0.064270
HUEH 02AUG11 2002.6092 52497 1179 0  -91.5   -289 -0.103240   1694192  0.104060  1878  0.165239  0.0000 0.000590 0.000490 0.002001 -0.014691 -0.010082 -0.062680
HUEH 02AUG12 2002.6119 52498 1179 1  -91.5   -289 -0.103696   1694192  0.106100  1878  0.159901  0.0000 0.000585 0.000489 0.002038 -0.024512  0.020977 -0.050992
HUEH 02AUG13 2002.6146 52499 1179 2  -91.5   -289 -0.100904   1694192  0.109213  1878  0.157239  0.0000 0.000589 0.000508 0.002109 -0.047201  0.030935 -0.048540
HUEH 02AUG14 2002.6174 52500 1179 3  -91.5   -289 -0.104234   1694192  0.107571  1878  0.160545  0.0000 0.000586 0.000488 0.002029 -0.041309  0.004353 -0.071448
HUEH 02AUG15 2002.6201 52501 1179 4  -91.5   -289 -0.101552   1694192  0.108679  1878  0.156221  0.0000 0.000584 0.000486 0.002012 -0.039699  0.007291 -0.058525
HUEH 02AUG16 2002.6229 52502 1179 5  -91.5   -289 -0.102376   1694192  0.106200  1878  0.156260  0.0000 0.000582 0.000503 0.002057 -0.037764 -0.009831 -0.023621
HUEH 02AUG17 2002.6256 52503 1179 6  -91.5   -289 -0.102236   1694192  0.106237  1878  0.151770  0.0000 0.000594 0.000513 0.002111 -0.036252  0.049539 -0.040811
HUEH 02AUG18 2002.6283 52504 1180 0  -91.5   -289 -0.101597   1694192  0.103940  1878  0.169885  0.0000 0.000606 0.000505 0.002119 -0.051951  0.050465 -0.042391
HUEH 02AUG19 2002.6311 52505 1180 1  -91.5   -289 -0.104268   1694192  0.106736  1878  0.169106  0.0000 0.000599 0.000506 0.002086 -0.024853  0.001589 -0.055617
HUEH 02AUG20 2002.6338 52506 1180 2  -91.5   -289 -0.101561   1694192  0.109220  1878  0.165639  0.0000 0.000589 0.000487 0.001985  0.002470 -0.011075 -0.049740
HUEH 02AUG21 2002.6366 52507 1180 3  -91.5   -289 -0.103895   1694192  0.106197  1878  0.163559  0.0000 0.000589 0.000504 0.002040  0.008496  0.019564 -0.004379
HUEH 02AUG22 2002.6393 52508 1180 4  -91.5   -289 -0.104405   1694192  0.101938  1878  0.180604  0.0000 0.000583 0.000483 0.001960 -0.010068 -0.000163 -0.061045
HUEH 02AUG23 2002.6420 52509 1180 5  -91.5   -289 -0.100642   1694192  0.106043  1878  0.157411  0.0000 0.000585 0.000496 0.002014 -0.041519  0.044307 -0.048277
HUEH 02AUG24 2002.6448 52510 1180 6  -91.5   -289 -0.103485   1694192  0.109158  1878  0.168618  0.0000 0.000595 0.000492 0.002047 -0.045726  0.003216 -0.057245
HUEH 02AUG25 2002.6475 52511 1181 0  -91.5   -289 -0.103317   1694192  0.105916  1878  0.168662  0.0000 0.000598 0.000512 0.002086 -0.046308  0.019992 -0.037515
HUEH 02AUG26 2002.6502 52512 1181 1  -91.5   -289 -0.101595   1694192  0.104692  1878  0.173487  0.0000 0.000590 0.000492 0.002046 -0.024690 -0.006167 -0.071205
HUEH 02AUG27 2002.6530 52513 1181 2  -91.5   -289 -0.102515   1694192  0.106328  1878  0.171184  0.0000 0.000588 0.000496 0.002027 -0.025026  0.019484 -0.061187
HUEH 02AUG28 2002.6557 52514 1181 3  -91.5   -289 -0.104073   1694192  0.105889  1878  0.171614  0.0000 0.000590 0.000494 0.002017 -0.049108  0.040230 -0.044981
HUEH 02AUG29 2002.6585 52515 1181 4  -91.5   -289 -0.104680   1694192  0.105345  1878  0.180298  0.0000 0.000583 0.000480 0.001975 -0.027984 -0.011011 -0.053603
