site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
I041 09JAN02 2009.0048 54833 1512 5  140.3  -2913 -0.344113   3892998  0.300433   127  0.954016  0.0000 0.000483 0.000586 0.001988 -0.008815 -0.068112 -0.195696
I041 09JAN03 2009.0075 54834 1512 6  140.3  -2913 -0.342533   3892998  0.299766   127  0.956082  0.0000 0.000485 0.000584 0.001974 -0.000259 -0.068851 -0.189249
I041 09JAN04 2009.0103 54835 1513 0  140.3  -2913 -0.341877   3892998  0.301539   127  0.959616  0.0000 0.000486 0.000583 0.001981 -0.009062 -0.067979 -0.194853
I041 09JAN05 2009.0130 54836 1513 1  140.3  -2913 -0.343154   3892998  0.300711   127  0.952409  0.0000 0.000482 0.000576 0.001957  0.008849 -0.080087 -0.178577
I041 09JAN06 2009.0157 54837 1513 2  140.3  -2913 -0.344184   3892998  0.301143   127  0.952600  0.0000 0.000485 0.000580 0.001980  0.005132 -0.084472 -0.185637
I041 09JAN07 2009.0185 54838 1513 3  140.3  -2913 -0.341891   3892998  0.300682   127  0.953393  0.0000 0.000485 0.000581 0.001983  0.007332 -0.073558 -0.196123
I041 09JAN08 2009.0212 54839 1513 4  140.3  -2913 -0.341725   3892998  0.298290   127  0.950505  0.0000 0.000497 0.000589 0.002010  0.025820 -0.090111 -0.171686
I041 09JAN09 2009.0240 54840 1513 5  140.3  -2913 -0.342650   3892998  0.299634   127  0.960083  0.0000 0.000502 0.000590 0.002024  0.033240 -0.097638 -0.164123
I041 09JAN10 2009.0267 54841 1513 6  140.3  -2913 -0.343752   3892998  0.302403   127  0.947740  0.0000 0.000486 0.000578 0.001978 -0.002521 -0.075177 -0.185150
I041 09JAN11 2009.0294 54842 1514 0  140.3  -2913 -0.342530   3892998  0.301634   127  0.953013  0.0000 0.000485 0.000576 0.001979 -0.004904 -0.087705 -0.180157
I041 09JAN12 2009.0322 54843 1514 1  140.3  -2913 -0.341396   3892998  0.299980   127  0.952456  0.0000 0.000485 0.000583 0.001983  0.003597 -0.079231 -0.191832
I041 09JAN13 2009.0349 54844 1514 2  140.3  -2913 -0.342753   3892998  0.302834   127  0.950575  0.0000 0.000487 0.000584 0.001995  0.016226 -0.096360 -0.190777
I041 09JAN14 2009.0376 54845 1514 3  140.3  -2913 -0.342372   3892998  0.303369   127  0.958005  0.0000 0.000482 0.000583 0.001970  0.002572 -0.075102 -0.187890
I041 09JAN15 2009.0404 54846 1514 4  140.3  -2913 -0.342566   3892998  0.299742   127  0.958363  0.0000 0.000487 0.000583 0.001985 -0.001390 -0.069850 -0.190389
I041 09JAN16 2009.0431 54847 1514 5  140.3  -2913 -0.341531   3892998  0.302396   127  0.957812  0.0000 0.000487 0.000577 0.001977 -0.002644 -0.068566 -0.180648
I041 09JAN17 2009.0459 54848 1514 6  140.3  -2913 -0.341522   3892998  0.301668   127  0.949925  0.0000 0.000492 0.000584 0.002015  0.000753 -0.078472 -0.190341
I041 09JAN18 2009.0486 54849 1515 0  140.3  -2913 -0.343077   3892998  0.300367   127  0.956649  0.0000 0.000489 0.000586 0.002001  0.009151 -0.083672 -0.184047
I041 09JAN19 2009.0513 54850 1515 1  140.3  -2913 -0.342749   3892998  0.298919   127  0.961633  0.0000 0.000485 0.000581 0.001976  0.000522 -0.083735 -0.181255
I041 09JAN20 2009.0541 54851 1515 2  140.3  -2913 -0.343276   3892998  0.299731   127  0.959973  0.0000 0.000482 0.000578 0.001957  0.002956 -0.083901 -0.169421
I041 09JAN21 2009.0568 54852 1515 3  140.3  -2913 -0.342022   3892998  0.299326   127  0.963681  0.0000 0.000486 0.000579 0.001975  0.006129 -0.082197 -0.184151
I041 09JAN22 2009.0595 54853 1515 4  140.3  -2913 -0.343167   3892998  0.300835   127  0.957051  0.0000 0.000488 0.000582 0.001991  0.007719 -0.067639 -0.192921
I041 09JAN23 2009.0623 54854 1515 5  140.3  -2913 -0.340711   3892998  0.299565   127  0.960434  0.0000 0.000488 0.000582 0.001996  0.007828 -0.078002 -0.185609
I041 09JAN24 2009.0650 54855 1515 6  140.3  -2913 -0.341752   3892998  0.300621   127  0.956498  0.0000 0.000485 0.000585 0.001986 -0.000310 -0.075317 -0.180486
I041 09JAN25 2009.0678 54856 1516 0  140.3  -2913 -0.343981   3892998  0.301844   127  0.952345  0.0000 0.000485 0.000582 0.001981  0.005027 -0.078652 -0.189010
I041 09JAN26 2009.0705 54857 1516 1  140.3  -2913 -0.342609   3892998  0.301048   127  0.957579  0.0000 0.000483 0.000582 0.002019  0.006363 -0.073914 -0.205053
I041 09JAN27 2009.0732 54858 1516 2  140.3  -2913 -0.342704   3892998  0.301499   127  0.954273  0.0000 0.000484 0.000580 0.001975 -0.002391 -0.063978 -0.202141
I041 09JAN28 2009.0760 54859 1516 3  140.3  -2913 -0.341908   3892998  0.300859   127  0.957224  0.0000 0.000488 0.000583 0.001993 -0.004384 -0.075651 -0.199293
I041 09JAN29 2009.0787 54860 1516 4  140.3  -2913 -0.341486   3892998  0.301357   127  0.957827  0.0000 0.000488 0.000587 0.002001  0.000751 -0.066810 -0.200849
I041 09JAN30 2009.0815 54861 1516 5  140.3  -2913 -0.341670   3892998  0.302370   127  0.966887  0.0000 0.000487 0.000588 0.001994 -0.002223 -0.077302 -0.192725
I041 09JAN31 2009.0842 54862 1516 6  140.3  -2913 -0.344327   3892998  0.301204   127  0.965801  0.0000 0.000483 0.000579 0.001974  0.006965 -0.080295 -0.195779
I041 09FEB01 2009.0869 54863 1517 0  140.3  -2913 -0.345609   3892998  0.304043   127  0.957624  0.0000 0.000488 0.000579 0.002002 -0.003164 -0.071601 -0.201419
I041 09FEB02 2009.0897 54864 1517 1  140.3  -2913 -0.343062   3892998  0.302286   127  0.958556  0.0000 0.000489 0.000581 0.001989  0.010851 -0.081079 -0.202663
I041 09FEB03 2009.0924 54865 1517 2  140.3  -2913 -0.343774   3892998  0.299777   127  0.960953  0.0000 0.000487 0.000585 0.001999  0.008474 -0.072500 -0.204450
I041 09FEB04 2009.0951 54866 1517 3  140.3  -2913 -0.343347   3892998  0.299871   127  0.953928  0.0000 0.000486 0.000583 0.001994  0.004418 -0.082973 -0.195755
I041 09FEB05 2009.0979 54867 1517 4  140.3  -2913 -0.343422   3892998  0.302041   127  0.948267  0.0000 0.000487 0.000583 0.002002  0.016479 -0.092762 -0.195151
I041 09FEB06 2009.1006 54868 1517 5  140.3  -2913 -0.342460   3892998  0.301959   127  0.949510  0.0000 0.000486 0.000581 0.001989  0.004759 -0.076272 -0.191129
I041 09FEB07 2009.1034 54869 1517 6  140.3  -2913 -0.345380   3892998  0.303079   127  0.951849  0.0000 0.000487 0.000576 0.001991 -0.001306 -0.081748 -0.200988
I041 09FEB08 2009.1061 54870 1518 0  140.3  -2913 -0.343404   3892998  0.300404   127  0.956565  0.0000 0.000488 0.000578 0.001989  0.014618 -0.096969 -0.187716
I041 09FEB09 2009.1088 54871 1518 1  140.3  -2913 -0.341864   3892998  0.298322   127  0.960461  0.0000 0.000486 0.000583 0.001992  0.008157 -0.089140 -0.196042
I041 09FEB10 2009.1116 54872 1518 2  140.3  -2913 -0.340718   3892998  0.301486   127  0.956932  0.0000 0.000487 0.000584 0.001988  0.008762 -0.094486 -0.192899
