site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
IADS 09APR02 2009.2512 54923 1525 4  -94.0   -660 -0.886917   4601850  0.808201   246  0.436254  0.0000 0.000585 0.000701 0.002268  0.040352  0.022779 -0.110858
IADS 09SEP23 2009.7276 55097 1550 3  -94.0   -660 -0.897604   4601850  0.806042   246  0.430895  0.0000 0.000488 0.000602 0.001790  0.027788  0.023021 -0.082210
IADS 09OCT01 2009.7495 55105 1551 4  -94.0   -660 -0.893422   4601850  0.804733   246  0.439397  0.0000 0.000490 0.000603 0.001814  0.013642  0.049154 -0.052091
IADS 09OCT04 2009.7577 55108 1552 0  -94.0   -660 -0.895109   4601850  0.807947   246  0.428937  0.0000 0.000484 0.000589 0.001763  0.011020  0.038642 -0.080119
IADS 09OCT05 2009.7604 55109 1552 1  -94.0   -660 -0.895351   4601850  0.808142   246  0.427678  0.0000 0.000490 0.000593 0.001786  0.011004  0.050887 -0.084302
IADS 09OCT06 2009.7632 55110 1552 2  -94.0   -660 -0.898414   4601850  0.805239   246  0.432889  0.0000 0.000489 0.000595 0.001795  0.015416  0.045380 -0.061493
IADS 09OCT07 2009.7659 55111 1552 3  -94.0   -660 -0.895980   4601850  0.804346   246  0.425041  0.0000 0.000485 0.000593 0.001780  0.011552  0.049049 -0.046379
IADS 09OCT08 2009.7687 55112 1552 4  -94.0   -660 -0.896504   4601850  0.802627   246  0.437858  0.0000 0.000498 0.000611 0.001862  0.060481  0.032257 -0.048833
IADS 09OCT17 2009.7933 55121 1553 6  -94.0   -660 -0.894864   4601850  0.804404   246  0.423044  0.0000 0.000501 0.000613 0.001842 -0.015348  0.037666 -0.061750
IADS 09OCT18 2009.7960 55122 1554 0  -94.0   -660 -0.894764   4601850  0.801854   246  0.431422  0.0000 0.000496 0.000607 0.001830 -0.018086  0.034429 -0.044364
IADS 09OCT31 2009.8316 55135 1555 6  -94.0   -660 -0.896790   4601850  0.803389   246  0.428534  0.0000 0.000503 0.000608 0.001838 -0.025713  0.054065 -0.077999
IADS 09DEC22 2009.9740 55187 1563 2  -94.0   -660 -0.896856   4601850  0.805618   246  0.424650  0.0000 0.000492 0.000604 0.001811  0.018558  0.026561 -0.034358
IADS 10FEB01 2010.0862 55228 1569 1  -94.0   -660 -0.900427   4601850  0.804728   246  0.431844  0.0000 0.000540 0.000668 0.001997 -0.005113  0.012367 -0.083629
IADS 10FEB02 2010.0890 55229 1569 2  -94.0   -660 -0.900377   4601850  0.804130   246  0.421500  0.0000 0.000505 0.000609 0.001862  0.047536  0.024665 -0.050872
IADS 10FEB03 2010.0917 55230 1569 3  -94.0   -660 -0.899936   4601850  0.804244   246  0.428919  0.0000 0.000507 0.000612 0.001859  0.019987  0.036215 -0.104156
IADS 10FEB04 2010.0945 55231 1569 4  -94.0   -660 -0.900560   4601850  0.804206   246  0.435210  0.0000 0.000493 0.000612 0.001818  0.013068  0.041761 -0.046541
IADS 10FEB05 2010.0972 55232 1569 5  -94.0   -660 -0.900283   4601850  0.804724   246  0.425771  0.0000 0.000497 0.000609 0.001826  0.021503  0.048743 -0.044807
IADS 10FEB06 2010.0999 55233 1569 6  -94.0   -660 -0.901142   4601850  0.803727   246  0.423336  0.0000 0.000487 0.000597 0.001783  0.034228  0.009490 -0.052289
IADS 10FEB07 2010.1027 55234 1570 0  -94.0   -660 -0.900530   4601850  0.803730   246  0.418096  0.0000 0.000487 0.000597 0.001787  0.023970  0.012825 -0.057679
IADS 10FEB08 2010.1054 55235 1570 1  -94.0   -660 -0.899874   4601850  0.804913   246  0.414311  0.0000 0.000491 0.000603 0.001796  0.040665  0.002243 -0.071692
IADS 10FEB09 2010.1081 55236 1570 2  -94.0   -660 -0.901443   4601850  0.804481   246  0.413187  0.0000 0.000489 0.000599 0.001784  0.043008 -0.012196 -0.072321
IADS 10FEB10 2010.1109 55237 1570 3  -94.0   -660 -0.901446   4601850  0.804050   246  0.418246  0.0000 0.000498 0.000607 0.001822  0.074314 -0.012527 -0.071553
IADS 10FEB11 2010.1136 55238 1570 4  -94.0   -660 -0.899879   4601850  0.803062   246  0.416897  0.0000 0.000483 0.000592 0.001767  0.027221  0.011069 -0.035199
IADS 10FEB12 2010.1164 55239 1570 5  -94.0   -660 -0.899040   4601850  0.803303   246  0.418070  0.0000 0.000485 0.000595 0.001790  0.029066  0.007523 -0.041653
IADS 10FEB13 2010.1191 55240 1570 6  -94.0   -660 -0.900048   4601850  0.803903   246  0.421337  0.0000 0.000485 0.000588 0.001755  0.026692 -0.002760 -0.077496
IADS 10FEB14 2010.1218 55241 1571 0  -94.0   -660 -0.901286   4601850  0.804357   246  0.418602  0.0000 0.000489 0.000593 0.001774  0.027807  0.004206 -0.072273
IADS 10FEB15 2010.1246 55242 1571 1  -94.0   -660 -0.900916   4601850  0.802001   246  0.415732  0.0000 0.000488 0.000590 0.001754  0.044201 -0.010851 -0.085129
IADS 10FEB16 2010.1273 55243 1571 2  -94.0   -660 -0.900368   4601850  0.803772   246  0.416900  0.0000 0.000508 0.000601 0.001803  0.044656  0.021136 -0.076585
IADS 10FEB17 2010.1300 55244 1571 3  -94.0   -660 -0.900629   4601850  0.802855   246  0.415895  0.0000 0.000500 0.000606 0.001807  0.031311 -0.000016 -0.064424
IADS 10FEB18 2010.1328 55245 1571 4  -94.0   -660 -0.900033   4601850  0.802817   246  0.418905  0.0000 0.000501 0.000604 0.001803  0.040739 -0.000306 -0.082263
IADS 10FEB19 2010.1355 55246 1571 5  -94.0   -660 -0.900066   4601850  0.803194   246  0.423649  0.0000 0.000506 0.000604 0.001822  0.050459  0.008720 -0.093597
IADS 10FEB20 2010.1383 55247 1571 6  -94.0   -660 -0.899908   4601850  0.804908   246  0.418777  0.0000 0.000484 0.000584 0.001747  0.024320  0.012790 -0.074808
IADS 10FEB21 2010.1410 55248 1572 0  -94.0   -660 -0.900070   4601850  0.804341   246  0.422073  0.0000 0.000487 0.000589 0.001768  0.017801  0.011607 -0.059222
IADS 10FEB22 2010.1437 55249 1572 1  -94.0   -660 -0.901367   4601850  0.804468   246  0.420956  0.0000 0.000518 0.000618 0.001874  0.016710  0.033278 -0.081245
IADS 10FEB23 2010.1465 55250 1572 2  -94.0   -660 -0.899904   4601850  0.803503   246  0.418687  0.0000 0.000518 0.000615 0.001860  0.014203  0.029160 -0.103140
IADS 10FEB24 2010.1492 55251 1572 3  -94.0   -660 -0.901420   4601850  0.805323   246  0.416265  0.0000 0.000507 0.000606 0.001834  0.027391  0.022795 -0.075946
IADS 10FEB25 2010.1520 55252 1572 4  -94.0   -660 -0.900311   4601850  0.803014   246  0.418628  0.0000 0.000491 0.000597 0.001799  0.031108  0.022987 -0.075768
IADS 10FEB26 2010.1547 55253 1572 5  -94.0   -660 -0.900936   4601850  0.803342   246  0.415386  0.0000 0.000486 0.000587 0.001759  0.026951  0.006762 -0.066866
IADS 10FEB27 2010.1574 55254 1572 6  -94.0   -660 -0.902496   4601850  0.804683   246  0.420426  0.0000 0.000488 0.000589 0.001778  0.021125  0.030667 -0.060535
IADS 10FEB28 2010.1602 55255 1573 0  -94.0   -660 -0.901455   4601850  0.805215   246  0.423322  0.0000 0.000485 0.000593 0.001769  0.020468  0.019144 -0.063475
IADS 10MAR01 2010.1629 55256 1573 1  -94.0   -660 -0.900676   4601850  0.805194   246  0.424819  0.0000 0.000485 0.000588 0.001768  0.020853  0.010840 -0.069793
