site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
IAGR 15OCT09 2015.7700 57304 1865 5  -92.7  -2125 -0.487887   4619805  0.721078   271  0.439008  0.0000 0.000799 0.001038 0.002984 -0.051754 -0.038069 -0.144477
IAGR 15OCT10 2015.7728 57305 1865 6  -92.7  -2125 -0.487033   4619805  0.720269   271  0.443489  0.0000 0.000474 0.000564 0.001715 -0.010585 -0.020814 -0.073601
IAGR 15OCT11 2015.7755 57306 1866 0  -92.7  -2125 -0.490771   4619805  0.720015   271  0.449045  0.0000 0.000478 0.000567 0.001735 -0.002910 -0.028150 -0.083540
IAGR 15OCT12 2015.7782 57307 1866 1  -92.7  -2125 -0.491855   4619805  0.719194   271  0.452025  0.0000 0.000475 0.000565 0.001716 -0.014780 -0.016481 -0.074687
IAGR 15OCT13 2015.7810 57308 1866 2  -92.7  -2125 -0.490009   4619805  0.722950   271  0.455976  0.0000 0.000477 0.000571 0.001743 -0.010459 -0.021696 -0.070453
IAGR 15OCT14 2015.7837 57309 1866 3  -92.7  -2125 -0.493416   4619805  0.721624   271  0.448028  0.0000 0.000472 0.000559 0.001700 -0.007915 -0.008920 -0.086416
IAGR 15OCT15 2015.7864 57310 1866 4  -92.7  -2125 -0.491059   4619805  0.723346   271  0.447764  0.0000 0.000473 0.000562 0.001697 -0.016044 -0.005024 -0.070647
IAGR 15OCT16 2015.7892 57311 1866 5  -92.7  -2125 -0.489877   4619805  0.722758   271  0.433992  0.0000 0.000474 0.000562 0.001708 -0.011134 -0.013376 -0.067947
IAGR 15OCT17 2015.7919 57312 1866 6  -92.7  -2125 -0.490423   4619805  0.721966   271  0.435620  0.0000 0.000469 0.000557 0.001680 -0.018581  0.013880 -0.067505
IAGR 15OCT18 2015.7947 57313 1867 0  -92.7  -2125 -0.490607   4619805  0.718828   271  0.445462  0.0000 0.000470 0.000560 0.001686 -0.026448  0.009536 -0.068530
IAGR 15OCT19 2015.7974 57314 1867 1  -92.7  -2125 -0.489066   4619805  0.721521   271  0.458703  0.0000 0.000474 0.000561 0.001707 -0.003630 -0.017881 -0.075174
IAGR 15OCT20 2015.8001 57315 1867 2  -92.7  -2125 -0.489710   4619805  0.721202   271  0.447848  0.0000 0.000477 0.000573 0.001730 -0.031742 -0.005033 -0.094972
IAGR 15OCT21 2015.8029 57316 1867 3  -92.7  -2125 -0.489370   4619805  0.723455   271  0.447170  0.0000 0.000471 0.000561 0.001686 -0.018298 -0.016312 -0.070252
IAGR 15OCT22 2015.8056 57317 1867 4  -92.7  -2125 -0.489033   4619805  0.723055   271  0.453466  0.0000 0.000469 0.000556 0.001682 -0.020656 -0.003399 -0.075294
IAGR 15OCT23 2015.8084 57318 1867 5  -92.7  -2125 -0.491037   4619805  0.720282   271  0.449212  0.0000 0.000473 0.000563 0.001699 -0.022935 -0.009905 -0.073675
IAGR 15OCT24 2015.8111 57319 1867 6  -92.7  -2125 -0.488872   4619805  0.722023   271  0.439937  0.0000 0.000470 0.000558 0.001694 -0.022366 -0.012542 -0.074994
IAGR 15OCT25 2015.8138 57320 1868 0  -92.7  -2125 -0.490938   4619805  0.721506   271  0.442531  0.0000 0.000473 0.000567 0.001713 -0.023520  0.009331 -0.052462
IAGR 15OCT26 2015.8166 57321 1868 1  -92.7  -2125 -0.489684   4619805  0.722113   271  0.443627  0.0000 0.000471 0.000561 0.001694 -0.012088 -0.010782 -0.080641
IAGR 15OCT27 2015.8193 57322 1868 2  -92.7  -2125 -0.491241   4619805  0.720745   271  0.442561  0.0000 0.000475 0.000563 0.001703 -0.009686 -0.026122 -0.081262
IAGR 15OCT28 2015.8220 57323 1868 3  -92.7  -2125 -0.491038   4619805  0.722317   271  0.444682  0.0000 0.000485 0.000575 0.001744 -0.006843  0.010181 -0.038497
IAGR 15OCT29 2015.8248 57324 1868 4  -92.7  -2125 -0.493810   4619805  0.719145   271  0.445208  0.0000 0.000470 0.000561 0.001699 -0.014010 -0.002091 -0.075976
IAGR 15OCT30 2015.8275 57325 1868 5  -92.7  -2125 -0.490160   4619805  0.719719   271  0.449956  0.0000 0.000474 0.000570 0.001713 -0.009829 -0.004719 -0.078419
IAGR 15OCT31 2015.8303 57326 1868 6  -92.7  -2125 -0.489598   4619805  0.718420   271  0.445483  0.0000 0.000469 0.000560 0.001692 -0.015838 -0.004734 -0.079057
IAGR 15NOV01 2015.8330 57327 1869 0  -92.7  -2125 -0.492276   4619805  0.720495   271  0.446475  0.0000 0.000471 0.000561 0.001695 -0.021180 -0.005531 -0.084761
IAGR 15NOV02 2015.8357 57328 1869 1  -92.7  -2125 -0.491080   4619805  0.722708   271  0.449148  0.0000 0.000471 0.000566 0.001699 -0.021843 -0.004995 -0.083560
IAGR 15NOV03 2015.8385 57329 1869 2  -92.7  -2125 -0.490073   4619805  0.722705   271  0.446556  0.0000 0.000491 0.000578 0.001769 -0.024292  0.019411 -0.101969
IAGR 15NOV04 2015.8412 57330 1869 3  -92.7  -2125 -0.490365   4619805  0.720650   271  0.448285  0.0000 0.000485 0.000571 0.001743 -0.016679  0.003411 -0.084937
IAGR 15NOV05 2015.8439 57331 1869 4  -92.7  -2125 -0.491687   4619805  0.719631   271  0.450189  0.0000 0.000485 0.000571 0.001738 -0.019582  0.007616 -0.088295
IAGR 15NOV06 2015.8467 57332 1869 5  -92.7  -2125 -0.491979   4619805  0.719095   271  0.443871  0.0000 0.000486 0.000569 0.001725 -0.029635  0.023480 -0.086573
IAGR 15NOV07 2015.8494 57333 1869 6  -92.7  -2125 -0.491500   4619805  0.721161   271  0.441378  0.0000 0.000490 0.000574 0.001750 -0.020636 -0.004208 -0.091521
IAGR 15NOV08 2015.8522 57334 1870 0  -92.7  -2125 -0.491932   4619805  0.719898   271  0.443639  0.0000 0.000490 0.000574 0.001748 -0.033494 -0.004180 -0.091831
IAGR 15NOV09 2015.8549 57335 1870 1  -92.7  -2125 -0.491172   4619805  0.719360   271  0.450614  0.0000 0.000494 0.000578 0.001766 -0.025698 -0.005736 -0.069199
IAGR 15NOV10 2015.8576 57336 1870 2  -92.7  -2125 -0.491854   4619805  0.722402   271  0.453905  0.0000 0.000491 0.000574 0.001752 -0.021226 -0.005739 -0.076170
IAGR 15NOV11 2015.8604 57337 1870 3  -92.7  -2125 -0.492433   4619805  0.720840   271  0.449766  0.0000 0.000494 0.000576 0.001752 -0.026047  0.013364 -0.098546
IAGR 15NOV12 2015.8631 57338 1870 4  -92.7  -2125 -0.490090   4619805  0.720513   271  0.444781  0.0000 0.000489 0.000574 0.001759 -0.014498 -0.026693 -0.113124
IAGR 15NOV13 2015.8658 57339 1870 5  -92.7  -2125 -0.492483   4619805  0.721832   271  0.439819  0.0000 0.000490 0.000576 0.001755 -0.010127 -0.019205 -0.112412
IAGR 15NOV14 2015.8686 57340 1870 6  -92.7  -2125 -0.491494   4619805  0.718863   271  0.443697  0.0000 0.000486 0.000573 0.001728 -0.025095 -0.004916 -0.086162
IAGR 15NOV15 2015.8713 57341 1871 0  -92.7  -2125 -0.490578   4619805  0.718962   271  0.447923  0.0000 0.000489 0.000575 0.001746 -0.015588 -0.007406 -0.088487
IAGR 15NOV16 2015.8741 57342 1871 1  -92.7  -2125 -0.492331   4619805  0.717705   271  0.448036  0.0000 0.000490 0.000573 0.001753 -0.013723 -0.011256 -0.102851
IAGR 15NOV17 2015.8768 57343 1871 2  -92.7  -2125 -0.489759   4619805  0.722049   271  0.448533  0.0000 0.000495 0.000590 0.001780 -0.025842 -0.008198 -0.101740
IAGR 15NOV18 2015.8795 57344 1871 3  -92.7  -2125 -0.490324   4619805  0.723535   271  0.453356  0.0000 0.000492 0.000578 0.001769 -0.011180 -0.013453 -0.108575
IAGR 15NOV19 2015.8823 57345 1871 4  -92.7  -2125 -0.493132   4619805  0.722199   271  0.438405  0.0000 0.000490 0.000574 0.001753 -0.020092 -0.020533 -0.102543
IAGR 15NOV20 2015.8850 57346 1871 5  -92.7  -2125 -0.491745   4619805  0.721184   271  0.435612  0.0000 0.000492 0.000577 0.001768 -0.011529 -0.029755 -0.087653
IAGR 15NOV21 2015.8877 57347 1871 6  -92.7  -2125 -0.491641   4619805  0.722455   271  0.428309  0.0000 0.000494 0.000578 0.001776  0.002947 -0.029332 -0.109304
IAGR 15NOV22 2015.8905 57348 1872 0  -92.7  -2125 -0.491944   4619805  0.720709   271  0.434581  0.0000 0.000493 0.000574 0.001776 -0.006520 -0.041957 -0.118413
IAGR 15NOV23 2015.8932 57349 1872 1  -92.7  -2125 -0.490552   4619805  0.721835   271  0.436718  0.0000 0.000487 0.000574 0.001746 -0.020418 -0.000187 -0.108582
IAGR 15NOV24 2015.8960 57350 1872 2  -92.7  -2125 -0.491566   4619805  0.721124   271  0.446536  0.0000 0.000489 0.000575 0.001744 -0.023445 -0.002839 -0.105894
IAGR 15NOV25 2015.8987 57351 1872 3  -92.7  -2125 -0.490516   4619805  0.722484   271  0.442919  0.0000 0.000484 0.000573 0.001722 -0.038424  0.027734 -0.084470
IAGR 15NOV26 2015.9014 57352 1872 4  -92.7  -2125 -0.493310   4619805  0.718815   271  0.444002  0.0000 0.000484 0.000571 0.001723 -0.032052  0.011154 -0.084743
IAGR 15NOV27 2015.9042 57353 1872 5  -92.7  -2125 -0.491524   4619805  0.720539   271  0.444999  0.0000 0.000484 0.000568 0.001715 -0.025733  0.011627 -0.105188
IAGR 15NOV28 2015.9069 57354 1872 6  -92.7  -2125 -0.493320   4619805  0.718968   271  0.442395  0.0000 0.000484 0.000568 0.001725 -0.019870  0.006878 -0.105547
IAGR 15NOV29 2015.9097 57355 1873 0  -92.7  -2125 -0.491992   4619805  0.718995   271  0.441404  0.0000 0.000486 0.000572 0.001738 -0.026099  0.013467 -0.091633
IAGR 15NOV30 2015.9124 57356 1873 1  -92.7  -2125 -0.491658   4619805  0.720503   271  0.447341  0.0000 0.000484 0.000572 0.001727 -0.037962  0.029052 -0.088166
IAGR 15DEC01 2015.9151 57357 1873 2  -92.7  -2125 -0.493067   4619805  0.719590   271  0.434114  0.0000 0.000485 0.000573 0.001739 -0.031440  0.016218 -0.072247
IAGR 15DEC02 2015.9179 57358 1873 3  -92.7  -2125 -0.492654   4619805  0.720539   271  0.435071  0.0000 0.000483 0.000568 0.001717 -0.015729  0.006842 -0.092900
IAGR 15DEC03 2015.9206 57359 1873 4  -92.7  -2125 -0.490767   4619805  0.720672   271  0.442882  0.0000 0.000482 0.000568 0.001718 -0.015075  0.001720 -0.102460
IAGR 15DEC04 2015.9233 57360 1873 5  -92.7  -2125 -0.492509   4619805  0.717921   271  0.443266  0.0000 0.000485 0.000572 0.001728 -0.016724  0.005228 -0.098399
IAGR 15DEC05 2015.9261 57361 1873 6  -92.7  -2125 -0.492647   4619805  0.721642   271  0.439582  0.0000 0.000483 0.000571 0.001721 -0.030231  0.009593 -0.097227
IAGR 15DEC06 2015.9288 57362 1874 0  -92.7  -2125 -0.490918   4619805  0.720995   271  0.437638  0.0000 0.000491 0.000580 0.001741 -0.024219 -0.020491 -0.093880
IAGR 15DEC07 2015.9316 57363 1874 1  -92.7  -2125 -0.492196   4619805  0.718985   271  0.444843  0.0000 0.000495 0.000590 0.001765 -0.033899  0.022092 -0.091405
IAGR 15DEC08 2015.9343 57364 1874 2  -92.7  -2125 -0.491040   4619805  0.719963   271  0.448605  0.0000 0.000497 0.000588 0.001785 -0.003808 -0.008681 -0.131297
IAGR 15DEC09 2015.9370 57365 1874 3  -92.7  -2125 -0.491749   4619805  0.718852   271  0.450023  0.0000 0.000505 0.000590 0.001782 -0.005405  0.008861 -0.136122
IAGR 15DEC10 2015.9398 57366 1874 4  -92.7  -2125 -0.493019   4619805  0.719115   271  0.448529  0.0000 0.000499 0.000594 0.001793 -0.017721 -0.002839 -0.108456
IAGR 15DEC11 2015.9425 57367 1874 5  -92.7  -2125 -0.492455   4619805  0.719885   271  0.459608  0.0000 0.000494 0.000593 0.001772 -0.035276  0.023574 -0.089117
IAGR 15DEC12 2015.9452 57368 1874 6  -92.7  -2125 -0.490800   4619805  0.723286   271  0.454820  0.0000 0.000500 0.000598 0.001756 -0.012330  0.013720 -0.090652
IAGR 15DEC13 2015.9480 57369 1875 0  -92.7  -2125 -0.491231   4619805  0.721616   271  0.454919  0.0000 0.000484 0.000580 0.001720 -0.004985  0.012814 -0.101452
IAGR 15DEC14 2015.9507 57370 1875 1  -92.7  -2125 -0.493524   4619805  0.720961   271  0.458305  0.0000 0.000477 0.000562 0.001683 -0.006866  0.017392 -0.122386
IAGR 15DEC15 2015.9535 57371 1875 2  -92.7  -2125 -0.492226   4619805  0.720670   271  0.447256  0.0000 0.000485 0.000578 0.001743 -0.011885 -0.004008 -0.102745
IAGR 15DEC16 2015.9562 57372 1875 3  -92.7  -2125 -0.492049   4619805  0.721612   271  0.444256  0.0000 0.000488 0.000577 0.001756 -0.027666 -0.012889 -0.097415
IAGR 15DEC17 2015.9589 57373 1875 4  -92.7  -2125 -0.492519   4619805  0.722150   271  0.437929  0.0000 0.000498 0.000582 0.001769 -0.030452 -0.005197 -0.101483
IAGR 15DEC18 2015.9617 57374 1875 5  -92.7  -2125 -0.492070   4619805  0.721145   271  0.434725  0.0000 0.000493 0.000582 0.001749 -0.015283  0.015699 -0.099159
IAGR 15DEC19 2015.9644 57375 1875 6  -92.7  -2125 -0.492012   4619805  0.722002   271  0.447673  0.0000 0.000482 0.000563 0.001712 -0.006359 -0.008927 -0.113417
IAGR 15DEC20 2015.9671 57376 1876 0  -92.7  -2125 -0.492055   4619805  0.720525   271  0.450557  0.0000 0.000487 0.000576 0.001772  0.026203 -0.034171 -0.154859
IAGR 15DEC21 2015.9699 57377 1876 1  -92.7  -2125 -0.491600   4619805  0.721937   271  0.444469  0.0000 0.000483 0.000572 0.001732  0.002671 -0.004785 -0.093648
IAGR 15DEC22 2015.9726 57378 1876 2  -92.7  -2125 -0.493299   4619805  0.717199   271  0.446279  0.0000 0.000481 0.000571 0.001728  0.002697 -0.021144 -0.107011
IAGR 15DEC23 2015.9754 57379 1876 3  -92.7  -2125 -0.491785   4619805  0.719957   271  0.450345  0.0000 0.000478 0.000567 0.001714 -0.004288 -0.010133 -0.096131
IAGR 15DEC24 2015.9781 57380 1876 4  -92.7  -2125 -0.494048   4619805  0.719591   271  0.447985  0.0000 0.000479 0.000566 0.001710  0.003300  0.001829 -0.101842
IAGR 15DEC25 2015.9808 57381 1876 5  -92.7  -2125 -0.491917   4619805  0.720743   271  0.444942  0.0000 0.000477 0.000566 0.001697  0.002943 -0.011054 -0.113331
IAGR 15DEC26 2015.9836 57382 1876 6  -92.7  -2125 -0.493480   4619805  0.723471   271  0.446318  0.0000 0.000478 0.000571 0.001720  0.004567 -0.003056 -0.099973
IAGR 15DEC27 2015.9863 57383 1877 0  -92.7  -2125 -0.494271   4619805  0.722495   271  0.444497  0.0000 0.000478 0.000574 0.001719 -0.004795 -0.006724 -0.090555
IAGR 15DEC28 2015.9890 57384 1877 1  -92.7  -2125 -0.493271   4619805  0.722883   271  0.443268  0.0000 0.000485 0.000573 0.001744  0.013884  0.001484 -0.122100
IAGR 15DEC30 2015.9945 57386 1877 3  -92.7  -2125 -0.493816   4619805  0.721923   271  0.432723  0.0000 0.000688 0.000876 0.002509  0.073619 -0.061707 -0.116366
IAGR 15DEC31 2015.9973 57387 1877 4  -92.7  -2125 -0.494866   4619805  0.720824   271  0.436181  0.0000 0.000475 0.000565 0.001708  0.014425 -0.019036 -0.123806
IAGR 16JAN01 2016.0000 57388 1877 5  -92.7  -2125 -0.495548   4619805  0.721592   271  0.436467  0.0000 0.000479 0.000569 0.001731  0.003110 -0.025368 -0.128292
IAGR 16JAN02 2016.0027 57389 1877 6  -92.7  -2125 -0.494462   4619805  0.722313   271  0.443284  0.0000 0.000494 0.000579 0.001759 -0.005966 -0.015386 -0.108703
IAGR 16JAN03 2016.0055 57390 1878 0  -92.7  -2125 -0.491498   4619805  0.721172   271  0.435497  0.0000 0.000477 0.000570 0.001723 -0.002769 -0.012174 -0.116253
IAGR 16JAN04 2016.0082 57391 1878 1  -92.7  -2125 -0.492920   4619805  0.720710   271  0.434531  0.0000 0.000483 0.000581 0.001753  0.029974 -0.022614 -0.106711
IAGR 16JAN05 2016.0110 57392 1878 2  -92.7  -2125 -0.491461   4619805  0.721266   271  0.438300  0.0000 0.000473 0.000563 0.001686  0.005386 -0.013588 -0.107242
IAGR 16JAN06 2016.0137 57393 1878 3  -92.7  -2125 -0.492786   4619805  0.720670   271  0.443446  0.0000 0.000480 0.000567 0.001719  0.012967 -0.018198 -0.126589
