site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
KINE 07NOV26 2007.9014 54430 1455 1   -1.5  -2303 -0.860016   5782344  0.939754   163  0.445245  0.0000 0.000733 0.001057 0.003026 -0.002788 -0.081686 -0.019275
KINE 07NOV28 2007.9069 54432 1455 3   -1.5  -2303 -0.858709   5782344  0.941976   163  0.446725  0.0000 0.000864 0.001215 0.003501 -0.028184 -0.131122  0.049259
KINE 07NOV29 2007.9097 54433 1455 4   -1.5  -2303 -0.860341   5782344  0.941636   163  0.446107  0.0000 0.000551 0.000777 0.002256  0.000571  0.005430  0.003619
KINE 07NOV30 2007.9124 54434 1455 5   -1.5  -2303 -0.860647   5782344  0.941207   163  0.452982  0.0000 0.000549 0.000756 0.002210 -0.001220  0.021351 -0.025351
KINE 07DEC01 2007.9151 54435 1455 6   -1.5  -2303 -0.860220   5782344  0.940764   163  0.444477  0.0000 0.000553 0.000759 0.002230  0.010173  0.019229 -0.027821
KINE 07DEC02 2007.9179 54436 1456 0   -1.5  -2303 -0.859410   5782344  0.939168   163  0.455652  0.0000 0.000549 0.000766 0.002245  0.008883  0.020311 -0.012395
KINE 07DEC03 2007.9206 54437 1456 1   -1.5  -2303 -0.859280   5782344  0.940178   163  0.449294  0.0000 0.000560 0.000772 0.002288  0.010864  0.012116  0.012271
KINE 07DEC04 2007.9233 54438 1456 2   -1.5  -2303 -0.861515   5782344  0.938938   163  0.448840  0.0000 0.000551 0.000769 0.002244 -0.006814  0.020160 -0.011764
KINE 07DEC06 2007.9288 54440 1456 4   -1.5  -2303 -0.860066   5782344  0.941530   163  0.451147  0.0000 0.000549 0.000750 0.002219  0.011092  0.010304 -0.036668
KINE 07DEC07 2007.9316 54441 1456 5   -1.5  -2303 -0.858699   5782344  0.940060   163  0.446790  0.0000 0.000554 0.000762 0.002257  0.008246  0.021083 -0.028282
KINE 07DEC08 2007.9343 54442 1456 6   -1.5  -2303 -0.858112   5782344  0.941978   163  0.454368  0.0000 0.000545 0.000759 0.002229  0.004569  0.020440  0.014750
KINE 07DEC09 2007.9370 54443 1457 0   -1.5  -2303 -0.859474   5782344  0.940447   163  0.454077  0.0000 0.000548 0.000767 0.002234  0.003489  0.018350  0.004094
KINE 07DEC10 2007.9398 54444 1457 1   -1.5  -2303 -0.857648   5782344  0.940593   163  0.448852  0.0000 0.000552 0.000762 0.002237  0.009974  0.019196 -0.011193
KINE 07DEC11 2007.9425 54445 1457 2   -1.5  -2303 -0.856947   5782344  0.941835   163  0.446956  0.0000 0.000555 0.000763 0.002244  0.001975  0.014533 -0.035968
KINE 07DEC12 2007.9452 54446 1457 3   -1.5  -2303 -0.857147   5782344  0.940987   163  0.450001  0.0000 0.000660 0.000990 0.002697  0.019776 -0.029425  0.029630
KINE 07DEC13 2007.9480 54447 1457 4   -1.5  -2303 -0.858168   5782344  0.943235   163  0.440733  0.0000 0.000558 0.000779 0.002285  0.042535 -0.019269  0.015985
KINE 07DEC14 2007.9507 54448 1457 5   -1.5  -2303 -0.857288   5782344  0.943353   163  0.445541  0.0000 0.000556 0.000777 0.002284  0.022914  0.010064  0.016376
KINE 07DEC15 2007.9535 54449 1457 6   -1.5  -2303 -0.857013   5782344  0.941142   163  0.446295  0.0000 0.000556 0.000776 0.002280  0.016024  0.008092  0.005060
KINE 07DEC16 2007.9562 54450 1458 0   -1.5  -2303 -0.856962   5782344  0.943382   163  0.440440  0.0000 0.000561 0.000778 0.002304  0.006056  0.029597 -0.011808
KINE 07DEC17 2007.9589 54451 1458 1   -1.5  -2303 -0.854768   5782344  0.944234   163  0.441744  0.0000 0.000842 0.001248 0.003356 -0.004092 -0.050247  0.042017
KINE 07DEC18 2007.9617 54452 1458 2   -1.5  -2303 -0.856986   5782344  0.943534   163  0.438887  0.0000 0.000557 0.000770 0.002273  0.024072 -0.007886 -0.004462
KINE 07DEC19 2007.9644 54453 1458 3   -1.5  -2303 -0.856041   5782344  0.944299   163  0.440611  0.0000 0.000550 0.000770 0.002260  0.009758 -0.003122  0.018871
KINE 07DEC20 2007.9671 54454 1458 4   -1.5  -2303 -0.857770   5782344  0.941863   163  0.440621  0.0000 0.000558 0.000787 0.002303  0.017066 -0.006479  0.019484
KINE 07DEC21 2007.9699 54455 1458 5   -1.5  -2303 -0.857718   5782344  0.941985   163  0.440997  0.0000 0.000564 0.000792 0.002343  0.011484  0.004804  0.017740
KINE 07DEC22 2007.9726 54456 1458 6   -1.5  -2303 -0.855898   5782344  0.942221   163  0.442366  0.0000 0.000558 0.000785 0.002308  0.011790  0.009653  0.025083
KINE 07DEC23 2007.9754 54457 1459 0   -1.5  -2303 -0.857612   5782344  0.941835   163  0.441430  0.0000 0.000559 0.000784 0.002319  0.016856 -0.011764  0.025381
KINE 07DEC24 2007.9781 54458 1459 1   -1.5  -2303 -0.857266   5782344  0.942573   163  0.445436  0.0000 0.000551 0.000778 0.002278  0.017611 -0.015582  0.028209
KINE 07DEC25 2007.9808 54459 1459 2   -1.5  -2303 -0.856150   5782344  0.941623   163  0.443506  0.0000 0.000556 0.000788 0.002317  0.008928  0.001239  0.026702
KINE 07DEC26 2007.9836 54460 1459 3   -1.5  -2303 -0.855974   5782344  0.941262   163  0.444879  0.0000 0.000558 0.000786 0.002315  0.016230 -0.015549  0.019564
KINE 07DEC27 2007.9863 54461 1459 4   -1.5  -2303 -0.859205   5782344  0.939537   163  0.446126  0.0000 0.000577 0.000811 0.002393  0.022343 -0.021493 -0.018847
KINE 07DEC28 2007.9890 54462 1459 5   -1.5  -2303 -0.858410   5782344  0.939427   163  0.441182  0.0000 0.000600 0.000841 0.002488  0.033838 -0.005259 -0.021773
KINE 07DEC29 2007.9918 54463 1459 6   -1.5  -2303 -0.857800   5782344  0.942541   163  0.444785  0.0000 0.000570 0.000798 0.002351  0.009819  0.006112 -0.000432
KINE 07DEC30 2007.9945 54464 1460 0   -1.5  -2303 -0.857683   5782344  0.942253   163  0.443606  0.0000 0.000569 0.000796 0.002334  0.022026 -0.003405 -0.000772
KINE 07DEC31 2007.9973 54465 1460 1   -1.5  -2303 -0.857513   5782344  0.942961   163  0.443666  0.0000 0.000551 0.000780 0.002275  0.008899  0.000579  0.017364
KINE 08JAN01 2008.0000 54466 1460 2   -1.5  -2303 -0.858551   5782344  0.941593   163  0.446960  0.0000 0.000553 0.000783 0.002299  0.013632 -0.007494  0.025893
KINE 08JAN02 2008.0027 54467 1460 3   -1.5  -2303 -0.857557   5782344  0.941380   163  0.451617  0.0000 0.000553 0.000790 0.002293 -0.001010 -0.012009  0.008031
KINE 08JAN03 2008.0055 54468 1460 4   -1.5  -2303 -0.858012   5782344  0.942177   163  0.447265  0.0000 0.000546 0.000772 0.002251  0.005652 -0.010251  0.012620
