site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
KSCC 16JUN30 2016.4956 57569 1903 4  -97.2   2616  0.773840   4360938  0.530700   348  0.858678  0.0000 0.000464 0.000572 0.001718 -0.011727 -0.015668 -0.111944
KSCC 16JUL01 2016.4983 57570 1903 5  -97.2   2616  0.774503   4360938  0.527715   348  0.865209  0.0000 0.000466 0.000573 0.001734 -0.008888 -0.018871 -0.132426
KSCC 16JUL02 2016.5010 57571 1903 6  -97.2   2616  0.774683   4360938  0.528400   348  0.861905  0.0000 0.000466 0.000577 0.001735 -0.003508 -0.011232 -0.121229
KSCC 16JUL03 2016.5038 57572 1904 0  -97.2   2616  0.770799   4360938  0.528150   348  0.858107  0.0000 0.000481 0.000589 0.001770 -0.012885  0.006990 -0.127511
KSCC 16JUL04 2016.5065 57573 1904 1  -97.2   2616  0.774816   4360938  0.528262   348  0.858864  0.0000 0.000475 0.000582 0.001743 -0.009589 -0.007029 -0.123676
KSCC 16JUL05 2016.5092 57574 1904 2  -97.2   2616  0.772829   4360938  0.528189   348  0.859062  0.0000 0.000471 0.000577 0.001755 -0.010384 -0.006768 -0.104046
KSCC 16JUL06 2016.5120 57575 1904 3  -97.2   2616  0.772464   4360938  0.530061   348  0.867845  0.0000 0.000468 0.000577 0.001760 -0.013200 -0.035340 -0.112197
KSCC 16JUL07 2016.5147 57576 1904 4  -97.2   2616  0.773678   4360938  0.527722   348  0.864937  0.0000 0.000482 0.000597 0.001811 -0.033139 -0.010552 -0.140697
KSCC 16JUL08 2016.5175 57577 1904 5  -97.2   2616  0.774309   4360938  0.529245   348  0.862967  0.0000 0.000467 0.000588 0.001749 -0.018934 -0.016213 -0.122828
KSCC 16JUL09 2016.5202 57578 1904 6  -97.2   2616  0.773813   4360938  0.528808   348  0.855522  0.0000 0.000466 0.000573 0.001728 -0.020994 -0.019578 -0.127380
KSCC 16JUL10 2016.5229 57579 1905 0  -97.2   2616  0.773052   4360938  0.528512   348  0.857751  0.0000 0.000462 0.000573 0.001720 -0.014864 -0.002672 -0.101375
KSCC 16JUL11 2016.5257 57580 1905 1  -97.2   2616  0.774626   4360938  0.529166   348  0.862903  0.0000 0.000467 0.000576 0.001739 -0.011965 -0.010421 -0.122353
KSCC 16JUL12 2016.5284 57581 1905 2  -97.2   2616  0.771176   4360938  0.529273   348  0.861756  0.0000 0.000479 0.000594 0.001802 -0.029876 -0.011420 -0.110438
KSCC 16JUL13 2016.5311 57582 1905 3  -97.2   2616  0.773022   4360938  0.529902   348  0.859307  0.0000 0.000466 0.000576 0.001747 -0.014181 -0.006503 -0.116675
KSCC 16JUL14 2016.5339 57583 1905 4  -97.2   2616  0.772766   4360938  0.528041   348  0.852847  0.0000 0.000466 0.000572 0.001732 -0.021470 -0.012445 -0.130354
