site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LRIB 10FEB25 2010.1520 55252 1572 4  -66.1   2107  0.608338  -1216427 -0.567713   163  0.616210  0.0000 0.001319 0.001051 0.004850 -0.088660 -0.163512  0.028600
LRIB 10FEB26 2010.1547 55253 1572 5  -66.1   2107  0.602235  -1216427 -0.563838   163  0.598091  0.0000 0.000819 0.000630 0.002799  0.004474  0.092160 -0.020897
LRIB 10FEB27 2010.1574 55254 1572 6  -66.1   2107  0.609082  -1216427 -0.561311   163  0.580283  0.0000 0.000766 0.000618 0.002726 -0.005553  0.033493 -0.056827
LRIB 10FEB28 2010.1602 55255 1573 0  -66.1   2107  0.607128  -1216427 -0.564158   163  0.595347  0.0000 0.000822 0.000672 0.002951 -0.010245  0.006383 -0.032002
LRIB 10MAR01 2010.1629 55256 1573 1  -66.1   2107  0.604996  -1216427 -0.557653   163  0.567258  0.0000 0.002853 0.002257 0.012688 -0.041143  0.189043 -0.169660
LRIB 10MAR12 2010.1930 55267 1574 5  -66.1   2107  0.608248  -1216427 -0.562901   163  0.586831  0.0000 0.000961 0.000864 0.003850  0.029884 -0.007334 -0.125557
LRIB 10MAR13 2010.1958 55268 1574 6  -66.1   2107  0.609939  -1216427 -0.568537   163  0.600687  0.0000 0.001100 0.000917 0.004230 -0.019929 -0.055286  0.132311
LRIB 10MAR14 2010.1985 55269 1575 0  -66.1   2107  0.609906  -1216427 -0.566398   163  0.588884  0.0000 0.001677 0.001222 0.006126 -0.022748  0.070665 -0.021496
LRIB 10MAR15 2010.2012 55270 1575 1  -66.1   2107  0.608894  -1216427 -0.566450   163  0.606804  0.0000 0.000792 0.000618 0.002714 -0.014933  0.051668  0.005831
LRIB 10MAR16 2010.2040 55271 1575 2  -66.1   2107  0.607677  -1216427 -0.566818   163  0.592963  0.0000 0.001078 0.000828 0.003871 -0.085096 -0.132022  0.005452
