site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
LTA1 07OCT19 2007.7974 54392 1449 5  -70.2  -2738 -0.321688  -1991521 -0.797915   682  0.164067  0.0000 0.000726 0.000614 0.002522  0.023304  0.072760  0.050267
LTA1 07OCT20 2007.8001 54393 1449 6  -70.2  -2738 -0.327530  -1991521 -0.794565   682  0.158487  0.0000 0.000810 0.000699 0.002882 -0.022319  0.094255  0.026489
LTA1 07OCT21 2007.8029 54394 1450 0  -70.2  -2738 -0.326885  -1991521 -0.790551   682  0.168344  0.0000 0.000830 0.000739 0.003143 -0.033098  0.038398  0.047584
LTA1 07OCT22 2007.8056 54395 1450 1  -70.2  -2738 -0.326018  -1991521 -0.793559   682  0.156502  0.0000 0.001187 0.000921 0.003694  0.107939  0.137502  0.039338
LTA1 07OCT23 2007.8084 54396 1450 2  -70.2  -2738 -0.323125  -1991521 -0.791385   682  0.163864  0.0000 0.000702 0.000608 0.002536  0.038022  0.084793  0.059529
LTA1 07OCT24 2007.8111 54397 1450 3  -70.2  -2738 -0.325672  -1991521 -0.791145   682  0.159479  0.0000 0.000732 0.000607 0.002577  0.045969  0.088481  0.086321
LTA1 07OCT25 2007.8138 54398 1450 4  -70.2  -2738 -0.328272  -1991521 -0.792745   682  0.163154  0.0000 0.000731 0.000621 0.002666  0.002153  0.040089  0.059311
LTA1 07OCT26 2007.8166 54399 1450 5  -70.2  -2738 -0.325891  -1991521 -0.792766   682  0.170332  0.0000 0.000699 0.000590 0.002537  0.001758  0.006252  0.045164
LTA1 07OCT27 2007.8193 54400 1450 6  -70.2  -2738 -0.322499  -1991521 -0.793521   682  0.161263  0.0000 0.000843 0.000748 0.003252 -0.023297  0.059131  0.063664
LTA1 07OCT28 2007.8220 54401 1451 0  -70.2  -2738 -0.325753  -1991521 -0.794544   682  0.156021  0.0000 0.000742 0.000632 0.002792  0.042970  0.051416  0.065974
LTA1 07OCT30 2007.8275 54403 1451 2  -70.2  -2738 -0.327493  -1991521 -0.791077   682  0.166561  0.0000 0.000736 0.000604 0.002602  0.038614  0.084738  0.040626
LTA1 07OCT31 2007.8303 54404 1451 3  -70.2  -2738 -0.327268  -1991521 -0.792149   682  0.166482  0.0000 0.000700 0.000589 0.002480  0.050928  0.063611  0.057061
LTA1 07NOV01 2007.8330 54405 1451 4  -70.2  -2738 -0.324293  -1991521 -0.794769   682  0.157345  0.0000 0.000966 0.000885 0.004148  0.026919 -0.009302  0.170318
LTA1 07NOV03 2007.8385 54407 1451 6  -70.2  -2738 -0.326367  -1991521 -0.792206   682  0.166779  0.0000 0.000716 0.000615 0.002590  0.051862  0.061942  0.024495
LTA1 07NOV04 2007.8412 54408 1452 0  -70.2  -2738 -0.328379  -1991521 -0.792870   682  0.160421  0.0000 0.000718 0.000604 0.002557  0.020164  0.046851  0.087633
LTA1 07NOV05 2007.8439 54409 1452 1  -70.2  -2738 -0.328215  -1991521 -0.790254   682  0.148854  0.0000 0.000797 0.000669 0.003010  0.038630  0.066023  0.076433
LTA1 07NOV06 2007.8467 54410 1452 2  -70.2  -2738 -0.324208  -1991521 -0.787554   682  0.196626  0.0000 0.002427 0.002143 0.013184 -0.100583  0.030491  0.064060
LTA1 07NOV13 2007.8658 54417 1453 2  -70.2  -2738 -0.327654  -1991521 -0.790370   682  0.165864  0.0000 0.001178 0.000895 0.003814  0.105181  0.017679  0.044628
LTA1 07NOV14 2007.8686 54418 1453 3  -70.2  -2738 -0.327894  -1991521 -0.791043   682  0.168363  0.0000 0.000707 0.000591 0.002525  0.045916  0.046865  0.072053
LTA1 07NOV15 2007.8713 54419 1453 4  -70.2  -2738 -0.327234  -1991521 -0.789325   682  0.147298  0.0000 0.000724 0.000614 0.002630  0.046847  0.062426  0.068635
LTA1 07NOV16 2007.8741 54420 1453 5  -70.2  -2738 -0.322774  -1991521 -0.790882   682  0.184355  0.0000 0.001501 0.001260 0.006942 -0.127504 -0.129883  0.076842
LTA1 07NOV22 2007.8905 54426 1454 4  -70.2  -2738 -0.326301  -1991521 -0.789528   682  0.156602  0.0000 0.000719 0.000589 0.002533  0.050233  0.088014  0.047339
LTA1 07NOV23 2007.8932 54427 1454 5  -70.2  -2738 -0.326547  -1991521 -0.788192   682  0.170304  0.0000 0.000717 0.000604 0.002669  0.012888  0.083682  0.093521
LTA1 07NOV24 2007.8960 54428 1454 6  -70.2  -2738 -0.323271  -1991521 -0.789483   682  0.164354  0.0000 0.001059 0.000871 0.004387  0.037078  0.090598  0.036943
LTA1 07NOV25 2007.8987 54429 1455 0  -70.2  -2738 -0.326754  -1991521 -0.788902   682  0.157341  0.0000 0.000943 0.000780 0.003369  0.105392  0.069257  0.008920
LTA1 07NOV26 2007.9014 54430 1455 1  -70.2  -2738 -0.326313  -1991521 -0.788899   682  0.156706  0.0000 0.000712 0.000588 0.002481  0.057765  0.057982  0.050979
LTA1 07NOV27 2007.9042 54431 1455 2  -70.2  -2738 -0.325302  -1991521 -0.787820   682  0.172898  0.0000 0.000776 0.000631 0.002775  0.052035  0.107925  0.029520
LTA1 07NOV28 2007.9069 54432 1455 3  -70.2  -2738 -0.329152  -1991521 -0.789284   682  0.161714  0.0000 0.000722 0.000595 0.002556  0.049424  0.069306  0.072517
LTA1 07NOV29 2007.9097 54433 1455 4  -70.2  -2738 -0.325974  -1991521 -0.786790   682  0.164980  0.0000 0.000713 0.000591 0.002501  0.039156  0.064322  0.028443
LTA1 07NOV30 2007.9124 54434 1455 5  -70.2  -2738 -0.323108  -1991521 -0.784726   682  0.176409  0.0000 0.001154 0.000943 0.004793  0.021276  0.009563  0.015924
LTA1 07DEC24 2007.9781 54458 1459 1  -70.2  -2738 -0.386725  -1991521 -0.778859   682  0.239250  0.0000 0.003718 0.002325 0.010963 -0.074110 -0.243756  0.049792
LTA1 07DEC25 2007.9808 54459 1459 2  -70.2  -2738 -0.325723  -1991521 -0.785149   682  0.159229  0.0000 0.000693 0.000596 0.002452  0.016846  0.014195 -0.007465
LTA1 07DEC26 2007.9836 54460 1459 3  -70.2  -2738 -0.324776  -1991521 -0.782949   682  0.156799  0.0000 0.000848 0.000688 0.003034  0.011732  0.135705  0.066913
