site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MABR 17JUN23 2017.4757 57927 1954 5  -71.0    506  0.182796   4674976  0.001422    -1 -0.373893  0.0000 0.000476 0.000598 0.001806 -0.006639 -0.087347 -0.138282
MABR 17JUN24 2017.4784 57928 1954 6  -71.0    506  0.184489   4674976  0.005075    -1 -0.362838  0.0000 0.000474 0.000591 0.001786  0.019111 -0.081096 -0.153240
MABR 17JUN25 2017.4812 57929 1955 0  -71.0    506  0.182321   4674976  0.002767    -1 -0.375242  0.0000 0.000475 0.000593 0.001777 -0.012975 -0.050980 -0.126901
MABR 17JUN26 2017.4839 57930 1955 1  -71.0    506  0.182806   4674976  0.004088    -1 -0.388722  0.0000 0.000485 0.000594 0.001807  0.002758 -0.091178 -0.125477
MABR 17JUN27 2017.4867 57931 1955 2  -71.0    506  0.183934   4674976  0.003367    -1 -0.386272  0.0000 0.000490 0.000605 0.001864  0.016090 -0.120721 -0.166147
MABR 17JUN28 2017.4894 57932 1955 3  -71.0    506  0.185554   4674976  0.002815    -1 -0.388076  0.0000 0.000482 0.000592 0.001814  0.003324 -0.116359 -0.138741
MABR 17JUN29 2017.4921 57933 1955 4  -71.0    506  0.186323   4674976  0.003463    -1 -0.380133  0.0000 0.000477 0.000591 0.001789  0.011487 -0.083744 -0.140718
MABR 17JUN30 2017.4949 57934 1955 5  -71.0    506  0.182799   4674976  0.003780    -1 -0.394438  0.0000 0.000489 0.000599 0.001851  0.004722 -0.111020 -0.142546
MABR 17JUL01 2017.4976 57935 1955 6  -71.0    506  0.183340   4674976  0.004398    -1 -0.381464  0.0000 0.000481 0.000598 0.001817  0.012702 -0.107475 -0.149525
MABR 17JUL02 2017.5003 57936 1956 0  -71.0    506  0.186192   4674976  0.002534    -1 -0.373728  0.0000 0.000483 0.000596 0.001847  0.021826 -0.119930 -0.175061
MABR 17JUL03 2017.5031 57937 1956 1  -71.0    506  0.180833   4674976  0.001271    -1 -0.382055  0.0000 0.000485 0.000601 0.001843  0.010198 -0.125987 -0.163543
MABR 17JUL04 2017.5058 57938 1956 2  -71.0    506  0.181667   4674976  0.002633    -1 -0.377059  0.0000 0.000483 0.000594 0.001840  0.027659 -0.140258 -0.152554
MABR 17JUL05 2017.5086 57939 1956 3  -71.0    506  0.183347   4674976  0.005310    -1 -0.381385  0.0000 0.000481 0.000596 0.001847  0.022136 -0.118828 -0.160329
MABR 17JUL06 2017.5113 57940 1956 4  -71.0    506  0.183382   4674976  0.002164    -1 -0.374253  0.0000 0.000499 0.000610 0.001882  0.002895 -0.097877 -0.125381
MABR 17JUL07 2017.5140 57941 1956 5  -71.0    506  0.184847   4674976  0.000789    -1 -0.378702  0.0000 0.000489 0.000602 0.001856 -0.009550 -0.085772 -0.114555
MABR 17JUL08 2017.5168 57942 1956 6  -71.0    506  0.181990   4674976  0.001965    -1 -0.386168  0.0000 0.000487 0.000608 0.001830 -0.004983 -0.086273 -0.168806
MABR 17JUL09 2017.5195 57943 1957 0  -71.0    506  0.182447   4674976  0.001022    -1 -0.385278  0.0000 0.000471 0.000591 0.001767  0.013342 -0.084338 -0.144906
MABR 17JUL10 2017.5222 57944 1957 1  -71.0    506  0.183108   4674976  0.001523    -1 -0.374694  0.0000 0.000475 0.000591 0.001798  0.018966 -0.108916 -0.157376
MABR 17JUL11 2017.5250 57945 1957 2  -71.0    506  0.185070   4674976  0.006364    -1 -0.370450  0.0000 0.000485 0.000610 0.001814 -0.004469 -0.068999 -0.122059
MABR 17JUL12 2017.5277 57946 1957 3  -71.0    506  0.185883   4674976  0.006842    -1 -0.387112  0.0000 0.000495 0.000625 0.001876  0.000202 -0.078406 -0.153153
MABR 17JUL13 2017.5305 57947 1957 4  -71.0    506  0.184166   4674976  0.002657    -1 -0.386161  0.0000 0.000474 0.000602 0.001788  0.003715 -0.072415 -0.148030
MABR 17JUL14 2017.5332 57948 1957 5  -71.0    506  0.184963   4674976  0.005619    -1 -0.375148  0.0000 0.000481 0.000600 0.001797  0.021836 -0.073757 -0.135546
MABR 17JUL15 2017.5359 57949 1957 6  -71.0    506  0.182490   4674976  0.003144    -1 -0.379148  0.0000 0.000472 0.000588 0.001770  0.001195 -0.090577 -0.123458
MABR 17JUL16 2017.5387 57950 1958 0  -71.0    506  0.181748   4674976  0.005250    -1 -0.372159  0.0000 0.000482 0.000600 0.001826  0.019142 -0.121083 -0.131804
MABR 17JUL17 2017.5414 57951 1958 1  -71.0    506  0.183964   4674976  0.006124    -1 -0.372052  0.0000 0.000482 0.000598 0.001839  0.016013 -0.101235 -0.167545
MABR 17JUL18 2017.5441 57952 1958 2  -71.0    506  0.182147   4674976  0.005041    -1 -0.370084  0.0000 0.000491 0.000606 0.001900  0.030265 -0.135911 -0.189146
MABR 17JUL19 2017.5469 57953 1958 3  -71.0    506  0.180266   4674976  0.002065    -1 -0.369619  0.0000 0.000485 0.000609 0.001873  0.012393 -0.108706 -0.159651
MABR 17JUL20 2017.5496 57954 1958 4  -71.0    506  0.179887   4674976  0.001546    -1 -0.373545  0.0000 0.000474 0.000592 0.001801  0.007055 -0.085912 -0.145526
MABR 17JUL21 2017.5524 57955 1958 5  -71.0    506  0.180731   4674976  0.002779    -1 -0.378994  0.0000 0.000475 0.000597 0.001814  0.003054 -0.096078 -0.131490
MABR 17JUL22 2017.5551 57956 1958 6  -71.0    506  0.183107   4674976  0.002358    -1 -0.361975  0.0000 0.000476 0.000599 0.001811  0.006536 -0.092691 -0.135971
MABR 17JUL23 2017.5578 57957 1959 0  -71.0    506  0.181026   4674976  0.001625    -1 -0.377360  0.0000 0.000475 0.000594 0.001790  0.027285 -0.103663 -0.179232
MABR 17JUL24 2017.5606 57958 1959 1  -71.0    506  0.180563   4674976  0.002042    -1 -0.377250  0.0000 0.000475 0.000593 0.001780  0.005099 -0.086408 -0.159035
MABR 17JUL25 2017.5633 57959 1959 2  -71.0    506  0.185531   4674976  0.004524    -1 -0.397286  0.0000 0.000465 0.000588 0.001727  0.013091 -0.044709 -0.146277
MABR 17JUL26 2017.5661 57960 1959 3  -71.0    506  0.182814   4674976  0.004298    -1 -0.383731  0.0000 0.000468 0.000590 0.001763  0.001824 -0.081334 -0.148890
MABR 17JUL27 2017.5688 57961 1959 4  -71.0    506  0.182672   4674976  0.001664    -1 -0.373527  0.0000 0.000475 0.000597 0.001787  0.010885 -0.090968 -0.152319
MABR 17JUL28 2017.5715 57962 1959 5  -71.0    506  0.182261   4674976  0.003339    -1 -0.382271  0.0000 0.000480 0.000606 0.001815 -0.007475 -0.098667 -0.132298
MABR 17JUL29 2017.5743 57963 1959 6  -71.0    506  0.185297   4674976  0.001239    -1 -0.388422  0.0000 0.000476 0.000598 0.001819  0.012176 -0.103343 -0.173788
MABR 17JUL30 2017.5770 57964 1960 0  -71.0    506  0.181194   4674976  0.002943    -1 -0.382181  0.0000 0.000474 0.000595 0.001772  0.017604 -0.079717 -0.154628
MABR 17JUL31 2017.5797 57965 1960 1  -71.0    506  0.181489   4674976  0.001243    -1 -0.382164  0.0000 0.000482 0.000605 0.001805  0.007482 -0.091531 -0.149198
MABR 17AUG01 2017.5825 57966 1960 2  -71.0    506  0.180237   4674976  0.005684    -1 -0.380735  0.0000 0.000478 0.000600 0.001816  0.013933 -0.100204 -0.171703
MABR 17AUG02 2017.5852 57967 1960 3  -71.0    506  0.183016   4674976 -0.001230    -1 -0.370553  0.0000 0.000476 0.000593 0.001801 -0.003728 -0.083100 -0.133945
MABR 17AUG03 2017.5880 57968 1960 4  -71.0    506  0.182674   4674976  0.002018    -1 -0.373410  0.0000 0.000492 0.000617 0.001814 -0.012562 -0.067703 -0.159353
MABR 17AUG04 2017.5907 57969 1960 5  -71.0    506  0.180736   4674976  0.003451    -1 -0.381874  0.0000 0.000494 0.000619 0.001866  0.017966 -0.107956 -0.188343
MABR 17AUG05 2017.5934 57970 1960 6  -71.0    506  0.183472   4674976  0.003620    -1 -0.377147  0.0000 0.000477 0.000594 0.001817  0.016689 -0.100301 -0.160905
MABR 17AUG06 2017.5962 57971 1961 0  -71.0    506  0.185573   4674976  0.005044    -1 -0.387596  0.0000 0.000470 0.000592 0.001767 -0.007376 -0.065850 -0.144141
MABR 17AUG07 2017.5989 57972 1961 1  -71.0    506  0.179290   4674976  0.005261    -1 -0.380899  0.0000 0.000487 0.000608 0.001838  0.011082 -0.103358 -0.151046
MABR 17AUG08 2017.6016 57973 1961 2  -71.0    506  0.180522   4674976  0.003702    -1 -0.381663  0.0000 0.000483 0.000609 0.001831  0.000525 -0.092591 -0.151043
MABR 17AUG09 2017.6044 57974 1961 3  -71.0    506  0.178974   4674976  0.001949    -1 -0.384093  0.0000 0.000479 0.000599 0.001812  0.011937 -0.105329 -0.144397
MABR 17AUG10 2017.6071 57975 1961 4  -71.0    506  0.178408   4674976  0.004268    -1 -0.366690  0.0000 0.000477 0.000597 0.001818  0.015327 -0.106273 -0.156377
MABR 17AUG11 2017.6099 57976 1961 5  -71.0    506  0.181898   4674976  0.003023    -1 -0.375549  0.0000 0.000501 0.000629 0.001899  0.027598 -0.107583 -0.171460
MABR 17AUG12 2017.6126 57977 1961 6  -71.0    506  0.181489   4674976  0.004659    -1 -0.390859  0.0000 0.000474 0.000595 0.001776 -0.008971 -0.065947 -0.115472
MABR 17AUG13 2017.6153 57978 1962 0  -71.0    506  0.181063   4674976  0.001245    -1 -0.383544  0.0000 0.000474 0.000594 0.001787  0.004387 -0.078279 -0.139154
MABR 17AUG14 2017.6181 57979 1962 1  -71.0    506  0.183067   4674976  0.002470    -1 -0.374865  0.0000 0.000500 0.000620 0.001895  0.016915 -0.096998 -0.148882
MABR 17AUG16 2017.6235 57981 1962 3  -71.0    506  0.180893   4674976  0.003374    -1 -0.374512  0.0000 0.000478 0.000601 0.001832  0.017210 -0.108839 -0.154722
MABR 17AUG17 2017.6263 57982 1962 4  -71.0    506  0.178298   4674976  0.003154    -1 -0.362182  0.0000 0.000484 0.000611 0.001893  0.041478 -0.135117 -0.148559
MABR 17AUG18 2017.6290 57983 1962 5  -71.0    506  0.180768   4674976  0.003590    -1 -0.367937  0.0000 0.000505 0.000629 0.001932  0.031235 -0.136935 -0.158570
MABR 17AUG19 2017.6318 57984 1962 6  -71.0    506  0.178937   4674976  0.005264    -1 -0.366109  0.0000 0.000475 0.000594 0.001792 -0.011157 -0.050794 -0.129741
MABR 17AUG20 2017.6345 57985 1963 0  -71.0    506  0.180358   4674976  0.003396    -1 -0.379046  0.0000 0.000477 0.000598 0.001804  0.008885 -0.088693 -0.152280
MABR 17AUG21 2017.6372 57986 1963 1  -71.0    506  0.179436   4674976  0.005005    -1 -0.372398  0.0000 0.000481 0.000604 0.001832  0.023243 -0.092594 -0.155474
MABR 17AUG22 2017.6400 57987 1963 2  -71.0    506  0.177730   4674976  0.002441    -1 -0.374282  0.0000 0.000481 0.000603 0.001834  0.011681 -0.117487 -0.160363
MABR 17AUG23 2017.6427 57988 1963 3  -71.0    506  0.177397   4674976  0.001640    -1 -0.363355  0.0000 0.000488 0.000605 0.001892  0.009647 -0.122816 -0.141267
MABR 17AUG24 2017.6454 57989 1963 4  -71.0    506  0.179688   4674976  0.003183    -1 -0.371618  0.0000 0.000477 0.000598 0.001811  0.020406 -0.117856 -0.137426
MABR 17AUG25 2017.6482 57990 1963 5  -71.0    506  0.178779   4674976  0.003369    -1 -0.381912  0.0000 0.000496 0.000616 0.001890  0.030456 -0.117181 -0.188294
MABR 17AUG26 2017.6509 57991 1963 6  -71.0    506  0.179327   4674976  0.003783    -1 -0.378887  0.0000 0.000480 0.000606 0.001826  0.010216 -0.115850 -0.158553
MABR 17AUG27 2017.6537 57992 1964 0  -71.0    506  0.180081   4674976  0.004717    -1 -0.382349  0.0000 0.000478 0.000599 0.001817  0.036738 -0.117426 -0.184800
MABR 17AUG28 2017.6564 57993 1964 1  -71.0    506  0.179348   4674976  0.005371    -1 -0.381071  0.0000 0.000479 0.000596 0.001834  0.025853 -0.122787 -0.157061
MABR 17AUG29 2017.6591 57994 1964 2  -71.0    506  0.180332   4674976  0.003415    -1 -0.379976  0.0000 0.000478 0.000595 0.001818  0.019352 -0.106515 -0.148505
MABR 17AUG30 2017.6619 57995 1964 3  -71.0    506  0.179723   4674976  0.003619    -1 -0.375291  0.0000 0.000473 0.000595 0.001772 -0.003912 -0.078389 -0.129441
MABR 17AUG31 2017.6646 57996 1964 4  -71.0    506  0.182443   4674976  0.005708    -1 -0.374757  0.0000 0.000491 0.000618 0.001889  0.043385 -0.137973 -0.150457
MABR 17SEP01 2017.6674 57997 1964 5  -71.0    506  0.179854   4674976  0.003975    -1 -0.379390  0.0000 0.000494 0.000620 0.001883  0.036390 -0.120640 -0.145483
MABR 17SEP02 2017.6701 57998 1964 6  -71.0    506  0.179561   4674976  0.001694    -1 -0.371697  0.0000 0.000482 0.000603 0.001866  0.028844 -0.124372 -0.166257
MABR 17SEP03 2017.6728 57999 1965 0  -71.0    506  0.184768   4674976  0.004115    -1 -0.380298  0.0000 0.000475 0.000604 0.001788 -0.015425 -0.049253 -0.123806
MABR 17SEP04 2017.6756 58000 1965 1  -71.0    506  0.181322   4674976  0.002807    -1 -0.385545  0.0000 0.000487 0.000608 0.001818 -0.019936 -0.067070 -0.141359
MABR 17SEP05 2017.6783 58001 1965 2  -71.0    506  0.181059   4674976  0.004118    -1 -0.380975  0.0000 0.000490 0.000619 0.001883  0.010815 -0.116250 -0.172530
MABR 17SEP06 2017.6810 58002 1965 3  -71.0    506  0.181644   4674976  0.005173    -1 -0.384740  0.0000 0.000482 0.000606 0.001860  0.026576 -0.113383 -0.164366
MABR 17SEP07 2017.6838 58003 1965 4  -71.0    506  0.181246   4674976  0.003166    -1 -0.378650  0.0000 0.000478 0.000609 0.001831  0.001536 -0.062892 -0.161016
MABR 17SEP08 2017.6865 58004 1965 5  -71.0    506  0.180789   4674976  0.004018    -1 -0.381598  0.0000 0.000491 0.000608 0.001836  0.006323 -0.091764 -0.130217
MABR 17SEP09 2017.6893 58005 1965 6  -71.0    506  0.179532   4674976  0.003418    -1 -0.388361  0.0000 0.000476 0.000594 0.001785  0.002594 -0.091864 -0.126814
MABR 17SEP10 2017.6920 58006 1966 0  -71.0    506  0.182025   4674976  0.004316    -1 -0.391131  0.0000 0.000479 0.000603 0.001823 -0.000158 -0.102814 -0.142101
MABR 17SEP11 2017.6947 58007 1966 1  -71.0    506  0.182525   4674976  0.002473    -1 -0.382292  0.0000 0.000488 0.000616 0.001853  0.019929 -0.115952 -0.168267
MABR 17SEP12 2017.6975 58008 1966 2  -71.0    506  0.181915   4674976  0.001011    -1 -0.371826  0.0000 0.000489 0.000620 0.001866  0.001629 -0.106996 -0.165215
MABR 17SEP13 2017.7002 58009 1966 3  -71.0    506  0.182232   4674976  0.000524    -1 -0.379083  0.0000 0.000482 0.000608 0.001853  0.008041 -0.115717 -0.158292
MABR 17SEP14 2017.7029 58010 1966 4  -71.0    506  0.180005   4674976  0.001962    -1 -0.378276  0.0000 0.000496 0.000621 0.001920  0.021151 -0.120520 -0.171367
MABR 17SEP15 2017.7057 58011 1966 5  -71.0    506  0.182125   4674976  0.002703    -1 -0.382452  0.0000 0.000482 0.000613 0.001861  0.007283 -0.115611 -0.158105
MABR 17SEP16 2017.7084 58012 1966 6  -71.0    506  0.178793   4674976  0.003574    -1 -0.371928  0.0000 0.000479 0.000602 0.001824 -0.003607 -0.109803 -0.127955
MABR 17SEP17 2017.7112 58013 1967 0  -71.0    506  0.180761   4674976  0.001807    -1 -0.378198  0.0000 0.000482 0.000609 0.001834  0.016728 -0.104104 -0.158382
MABR 17SEP18 2017.7139 58014 1967 1  -71.0    506  0.179456   4674976  0.005313    -1 -0.379622  0.0000 0.000478 0.000594 0.001804  0.020733 -0.107561 -0.149936
MABR 17SEP19 2017.7166 58015 1967 2  -71.0    506  0.181171   4674976  0.005683    -1 -0.378288  0.0000 0.000478 0.000594 0.001797  0.011768 -0.084077 -0.137874
MABR 17SEP20 2017.7194 58016 1967 3  -71.0    506  0.182867   4674976  0.009682    -1 -0.383248  0.0000 0.000476 0.000597 0.001773  0.005996 -0.046725 -0.121136
MABR 17SEP21 2017.7221 58017 1967 4  -71.0    506  0.184578   4674976  0.004177    -1 -0.359122  0.0000 0.000477 0.000600 0.001790 -0.010883 -0.064672 -0.110371
MABR 17SEP22 2017.7248 58018 1967 5  -71.0    506  0.181308   4674976  0.001783    -1 -0.386748  0.0000 0.000469 0.000596 0.001749 -0.002194 -0.050522 -0.127830
MABR 17SEP23 2017.7276 58019 1967 6  -71.0    506  0.182363   4674976  0.006153    -1 -0.376179  0.0000 0.000469 0.000594 0.001757  0.009236 -0.064326 -0.128832
MABR 17SEP24 2017.7303 58020 1968 0  -71.0    506  0.180955   4674976  0.004675    -1 -0.375212  0.0000 0.000468 0.000593 0.001757  0.004586 -0.074380 -0.124442
MABR 17SEP25 2017.7331 58021 1968 1  -71.0    506  0.180627   4674976  0.004801    -1 -0.371789  0.0000 0.000485 0.000602 0.001864  0.034262 -0.143764 -0.155432
MABR 17SEP26 2017.7358 58022 1968 2  -71.0    506  0.181149   4674976  0.002755    -1 -0.374146  0.0000 0.000490 0.000613 0.001860  0.015807 -0.113145 -0.131022
MABR 17SEP27 2017.7385 58023 1968 3  -71.0    506  0.180787   4674976  0.007530    -1 -0.372507  0.0000 0.000479 0.000608 0.001835  0.030994 -0.103619 -0.166780
MABR 17SEP28 2017.7413 58024 1968 4  -71.0    506  0.181167   4674976  0.002571    -1 -0.369460  0.0000 0.000491 0.000616 0.001893  0.018051 -0.113748 -0.152292
MABR 17SEP29 2017.7440 58025 1968 5  -71.0    506  0.181796   4674976  0.004212    -1 -0.380060  0.0000 0.000472 0.000597 0.001793  0.018844 -0.093646 -0.136783
MABR 17SEP30 2017.7467 58026 1968 6  -71.0    506  0.181530   4674976  0.004982    -1 -0.387946  0.0000 0.000474 0.000594 0.001770  0.012061 -0.077897 -0.137879
MABR 17OCT01 2017.7495 58027 1969 0  -71.0    506  0.181679   4674976  0.006274    -1 -0.381631  0.0000 0.000466 0.000591 0.001736 -0.005929 -0.066545 -0.104918
MABR 17OCT02 2017.7522 58028 1969 1  -71.0    506  0.182861   4674976  0.006805    -1 -0.384913  0.0000 0.000476 0.000597 0.001787  0.010260 -0.100305 -0.125785
MABR 17OCT03 2017.7550 58029 1969 2  -71.0    506  0.181196   4674976  0.004754    -1 -0.379658  0.0000 0.000480 0.000600 0.001814  0.004272 -0.094940 -0.137748
MABR 17OCT04 2017.7577 58030 1969 3  -71.0    506  0.179875   4674976  0.001957    -1 -0.380382  0.0000 0.000494 0.000623 0.001880 -0.015799 -0.103947 -0.105886
MABR 17OCT05 2017.7604 58031 1969 4  -71.0    506  0.178745   4674976  0.002750    -1 -0.386227  0.0000 0.000480 0.000603 0.001841  0.028063 -0.123408 -0.138593
MABR 17OCT06 2017.7632 58032 1969 5  -71.0    506  0.180749   4674976  0.005390    -1 -0.381457  0.0000 0.000482 0.000608 0.001846  0.017297 -0.099100 -0.148913
MABR 17OCT07 2017.7659 58033 1969 6  -71.0    506  0.181365   4674976  0.005004    -1 -0.379103  0.0000 0.000471 0.000598 0.001795  0.005310 -0.082436 -0.128931
MABR 17OCT08 2017.7687 58034 1970 0  -71.0    506  0.182480   4674976  0.003483    -1 -0.374579  0.0000 0.000474 0.000596 0.001783  0.006342 -0.079618 -0.123469
MABR 17OCT09 2017.7714 58035 1970 1  -71.0    506  0.182176   4674976  0.006389    -1 -0.376182  0.0000 0.000474 0.000604 0.001751 -0.007724 -0.039624 -0.128223
MABR 17OCT10 2017.7741 58036 1970 2  -71.0    506  0.181776   4674976  0.004752    -1 -0.368635  0.0000 0.000467 0.000592 0.001754  0.000369 -0.062364 -0.106959
MABR 17OCT11 2017.7769 58037 1970 3  -71.0    506  0.181093   4674976  0.005790    -1 -0.377966  0.0000 0.000480 0.000605 0.001795 -0.003656 -0.077174 -0.126584
MABR 17OCT12 2017.7796 58038 1970 4  -71.0    506  0.182128   4674976  0.004108    -1 -0.382164  0.0000 0.000478 0.000612 0.001861 -0.002343 -0.081530 -0.164585
MABR 17OCT13 2017.7823 58039 1970 5  -71.0    506  0.180869   4674976  0.002749    -1 -0.375385  0.0000 0.000472 0.000598 0.001785  0.008449 -0.078144 -0.131235
MABR 17OCT14 2017.7851 58040 1970 6  -71.0    506  0.179953   4674976  0.002505    -1 -0.369505  0.0000 0.000472 0.000601 0.001787  0.023935 -0.083741 -0.159161
MABR 17OCT15 2017.7878 58041 1971 0  -71.0    506  0.179558   4674976  0.002338    -1 -0.382805  0.0000 0.000476 0.000601 0.001808  0.000943 -0.082936 -0.126985
MABR 17OCT16 2017.7906 58042 1971 1  -71.0    506  0.180589   4674976  0.002282    -1 -0.371236  0.0000 0.000478 0.000601 0.001819  0.029941 -0.102210 -0.141201
MABR 17OCT17 2017.7933 58043 1971 2  -71.0    506  0.182624   4674976  0.004341    -1 -0.389332  0.0000 0.000475 0.000600 0.001805  0.006227 -0.093020 -0.141204
MABR 17OCT18 2017.7960 58044 1971 3  -71.0    506  0.181231   4674976  0.005055    -1 -0.380557  0.0000 0.000481 0.000614 0.001835  0.014279 -0.101195 -0.162834
MABR 17OCT21 2017.8042 58047 1971 6  -71.0    506  0.180695   4674976  0.004267    -1 -0.373876  0.0000 0.000477 0.000601 0.001822  0.014426 -0.107248 -0.142610
MABR 17OCT22 2017.8070 58048 1972 0  -71.0    506  0.181750   4674976  0.005789    -1 -0.376486  0.0000 0.000473 0.000601 0.001797  0.004432 -0.088795 -0.142362
MABR 17OCT23 2017.8097 58049 1972 1  -71.0    506  0.182362   4674976  0.005973    -1 -0.370486  0.0000 0.000477 0.000602 0.001812  0.012365 -0.109295 -0.147909
MABR 17OCT24 2017.8125 58050 1972 2  -71.0    506  0.184010   4674976  0.004004    -1 -0.369832  0.0000 0.000481 0.000610 0.001849  0.003781 -0.105165 -0.145777
MABR 17OCT26 2017.8179 58052 1972 4  -71.0    506  0.183192   4674976  0.004705    -1 -0.383366  0.0000 0.000465 0.000590 0.001722 -0.007636 -0.029122 -0.101974
MABR 17OCT27 2017.8207 58053 1972 5  -71.0    506  0.181732   4674976  0.005990    -1 -0.379668  0.0000 0.000479 0.000593 0.001759  0.014651 -0.061708 -0.101211
MABR 17OCT28 2017.8234 58054 1972 6  -71.0    506  0.181183   4674976  0.006780    -1 -0.378600  0.0000 0.000471 0.000597 0.001777  0.004666 -0.085381 -0.129012
MABR 17OCT29 2017.8261 58055 1973 0  -71.0    506  0.182207   4674976  0.005716    -1 -0.378303  0.0000 0.000479 0.000604 0.001837  0.006914 -0.130634 -0.130960
MABR 17OCT30 2017.8289 58056 1973 1  -71.0    506  0.183037   4674976  0.006244    -1 -0.383104  0.0000 0.000466 0.000589 0.001743  0.007829 -0.049785 -0.132843
MABR 17OCT31 2017.8316 58057 1973 2  -71.0    506  0.180284   4674976  0.004191    -1 -0.373431  0.0000 0.000469 0.000592 0.001756  0.000946 -0.071484 -0.103105
MABR 17NOV01 2017.8344 58058 1973 3  -71.0    506  0.180486   4674976  0.006626    -1 -0.382788  0.0000 0.000473 0.000601 0.001800  0.010466 -0.075088 -0.139672
MABR 17NOV02 2017.8371 58059 1973 4  -71.0    506  0.181351   4674976  0.003776    -1 -0.382365  0.0000 0.000490 0.000625 0.001853  0.010826 -0.096323 -0.158426
