site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MAVL 04MAY17 2004.3751 53142 1271 1  168.1   1426  0.969609  -5025677 -0.354455   592  0.438299  0.0550 0.000678 0.000964 0.003807  0.043131  0.055729  0.487370
MAVL 04MAY18 2004.3778 53143 1271 2  168.1   1426  0.970641  -5025677 -0.353748   592  0.441988  0.0550 0.000572 0.000800 0.003233  0.025748 -0.007120  0.495383
MAVL 04MAY19 2004.3806 53144 1271 3  168.1   1426  0.971296  -5025677 -0.353859   592  0.452065  0.0550 0.000572 0.000787 0.003205 -0.027472 -0.019319  0.473361
MAVL 04MAY20 2004.3833 53145 1271 4  168.1   1426  0.967744  -5025677 -0.351290   592  0.451881  0.0550 0.000573 0.000793 0.003203 -0.018247 -0.014561  0.475358
MAVL 04MAY21 2004.3860 53146 1271 5  168.1   1426  0.967565  -5025677 -0.354635   592  0.428002  0.0550 0.000574 0.000811 0.003224 -0.004276 -0.011671  0.475731
MAVL 04MAY22 2004.3888 53147 1271 6  168.1   1426  0.968813  -5025677 -0.353230   592  0.428911  0.0550 0.000566 0.000786 0.003188  0.000025 -0.011758  0.491459
MAVL 04MAY23 2004.3915 53148 1272 0  168.1   1426  0.968488  -5025677 -0.351694   592  0.438334  0.0550 0.000568 0.000788 0.003190 -0.015834 -0.012210  0.491025
MAVL 04MAY24 2004.3943 53149 1272 1  168.1   1426  0.969462  -5025677 -0.350034   592  0.437833  0.0550 0.000575 0.000809 0.003227  0.002455 -0.018746  0.479842
MAVL 04MAY25 2004.3970 53150 1272 2  168.1   1426  0.969772  -5025677 -0.353941   592  0.443950  0.0550 0.000573 0.000813 0.003264  0.003026 -0.021448  0.490575
MAVL 04MAY26 2004.3997 53151 1272 3  168.1   1426  0.969478  -5025677 -0.353873   592  0.443956  0.0550 0.000566 0.000785 0.003189 -0.008257 -0.015236  0.496249
MAVL 04MAY27 2004.4025 53152 1272 4  168.1   1426  0.968538  -5025677 -0.352730   592  0.456605  0.0550 0.000581 0.000797 0.003264  0.002826 -0.010183  0.485075
MAVL 04MAY28 2004.4052 53153 1272 5  168.1   1426  0.968391  -5025677 -0.354252   592  0.440289  0.0550 0.000577 0.000797 0.003233 -0.003473 -0.014151  0.488043
MAVL 04MAY29 2004.4079 53154 1272 6  168.1   1426  0.964283  -5025677 -0.351498   592  0.439362  0.0550 0.000563 0.000790 0.003188 -0.018872 -0.017300  0.499348
MAVL 04MAY30 2004.4107 53155 1273 0  168.1   1426  0.965125  -5025677 -0.350804   592  0.438195  0.0550 0.000561 0.000778 0.003171 -0.001317 -0.018548  0.491396
MAVL 04MAY31 2004.4134 53156 1273 1  168.1   1426  0.964216  -5025677 -0.353587   592  0.449314  0.0550 0.000565 0.000791 0.003191  0.000965 -0.011975  0.494844
MAVL 04JUN01 2004.4162 53157 1273 2  168.1   1426  0.961803  -5025677 -0.349646   592  0.434864  0.0550 0.000567 0.000785 0.003193  0.008892 -0.017707  0.490412
MAVL 04JUN02 2004.4189 53158 1273 3  168.1   1426  0.965670  -5025677 -0.350528   592  0.454804  0.0550 0.000564 0.000792 0.003192 -0.000656 -0.010237  0.497074
MAVL 04JUN03 2004.4216 53159 1273 4  168.1   1426  0.965564  -5025677 -0.350407   592  0.446870  0.0550 0.000565 0.000795 0.003188 -0.010076 -0.022500  0.497058
