site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MIBL 18MAY07 2018.3463 58245 2000 1  -83.3  -3298 -0.744932   4719116  0.239946   265  0.513995  0.0000 0.000914 0.001088 0.003325 -0.162938  0.105055 -0.121883
MIBL 18MAY08 2018.3491 58246 2000 2  -83.3  -3298 -0.742926   4719116  0.240219   265  0.512758  0.0000 0.000463 0.000591 0.001783  0.010126 -0.026419 -0.129112
MIBL 18MAY09 2018.3518 58247 2000 3  -83.3  -3298 -0.742582   4719116  0.241346   265  0.508078  0.0000 0.000464 0.000589 0.001774  0.014599 -0.029328 -0.126886
MIBL 18MAY10 2018.3546 58248 2000 4  -83.3  -3298 -0.740821   4719116  0.244378   265  0.517861  0.0000 0.000461 0.000591 0.001761  0.010678 -0.016477 -0.119550
MIBL 18MAY11 2018.3573 58249 2000 5  -83.3  -3298 -0.741088   4719116  0.244823   265  0.516659  0.0000 0.000461 0.000586 0.001757  0.004186 -0.012826 -0.113165
MIBL 18MAY12 2018.3600 58250 2000 6  -83.3  -3298 -0.742929   4719116  0.240980   265  0.521655  0.0000 0.000461 0.000589 0.001767  0.003369  0.001877 -0.103301
MIBL 18MAY13 2018.3628 58251 2001 0  -83.3  -3298 -0.743534   4719116  0.243568   265  0.519195  0.0000 0.000469 0.000603 0.001797 -0.002145 -0.001633 -0.113417
MIBL 18MAY14 2018.3655 58252 2001 1  -83.3  -3298 -0.742962   4719116  0.244200   265  0.521819  0.0000 0.000464 0.000592 0.001774  0.010575 -0.035915 -0.129093
MIBL 18MAY15 2018.3682 58253 2001 2  -83.3  -3298 -0.741566   4719116  0.244480   265  0.509559  0.0000 0.000463 0.000591 0.001775  0.009278 -0.028487 -0.131347
MIBL 18MAY16 2018.3710 58254 2001 3  -83.3  -3298 -0.741974   4719116  0.243825   265  0.515677  0.0000 0.000456 0.000583 0.001733 -0.000655 -0.010153 -0.105776
MIBL 18MAY17 2018.3737 58255 2001 4  -83.3  -3298 -0.743438   4719116  0.242916   265  0.519623  0.0000 0.000463 0.000594 0.001788  0.004111 -0.015080 -0.117575
MIBL 18MAY18 2018.3765 58256 2001 5  -83.3  -3298 -0.743578   4719116  0.243445   265  0.519055  0.0000 0.000473 0.000587 0.001801  0.000079 -0.000653 -0.084505
MIBL 18MAY19 2018.3792 58257 2001 6  -83.3  -3298 -0.742876   4719116  0.244289   265  0.518899  0.0000 0.000463 0.000590 0.001777  0.012798 -0.020899 -0.125184
MIBL 18MAY20 2018.3819 58258 2002 0  -83.3  -3298 -0.743225   4719116  0.244733   265  0.509968  0.0000 0.000465 0.000590 0.001770  0.002596 -0.007871 -0.120249
MIBL 18MAY21 2018.3847 58259 2002 1  -83.3  -3298 -0.743297   4719116  0.241872   265  0.510002  0.0000 0.000460 0.000589 0.001745  0.009151 -0.029614 -0.116367
MIBL 18MAY22 2018.3874 58260 2002 2  -83.3  -3298 -0.742265   4719116  0.240436   265  0.512063  0.0000 0.000463 0.000591 0.001771  0.000583 -0.012733 -0.127151
MIBL 18MAY23 2018.3901 58261 2002 3  -83.3  -3298 -0.743726   4719116  0.242675   265  0.516991  0.0000 0.000464 0.000588 0.001772  0.021030 -0.032589 -0.126211
MIBL 18MAY24 2018.3929 58262 2002 4  -83.3  -3298 -0.741514   4719116  0.243807   265  0.515844  0.0000 0.000466 0.000592 0.001791  0.014807 -0.007981 -0.116013
MIBL 18MAY25 2018.3956 58263 2002 5  -83.3  -3298 -0.743407   4719116  0.244946   265  0.518915  0.0000 0.000469 0.000590 0.001805  0.005683 -0.005088 -0.130378
MIBL 18MAY26 2018.3984 58264 2002 6  -83.3  -3298 -0.740604   4719116  0.244519   265  0.520464  0.0000 0.000469 0.000588 0.001764  0.012419 -0.000681 -0.119812
MIBL 18MAY27 2018.4011 58265 2003 0  -83.3  -3298 -0.742444   4719116  0.241140   265  0.521686  0.0000 0.000462 0.000588 0.001764  0.007502 -0.012806 -0.112545
MIBL 18MAY28 2018.4038 58266 2003 1  -83.3  -3298 -0.744449   4719116  0.239285   265  0.516248  0.0000 0.000462 0.000586 0.001758  0.008949 -0.022366 -0.115534
MIBL 18MAY29 2018.4066 58267 2003 2  -83.3  -3298 -0.744608   4719116  0.240115   265  0.516691  0.0000 0.000465 0.000588 0.001776  0.019656 -0.020715 -0.117536
MIBL 18MAY30 2018.4093 58268 2003 3  -83.3  -3298 -0.744246   4719116  0.239565   265  0.514105  0.0000 0.000478 0.000601 0.001818  0.009595 -0.024346 -0.129190
MIBL 18MAY31 2018.4120 58269 2003 4  -83.3  -3298 -0.745891   4719116  0.242450   265  0.510728  0.0000 0.000467 0.000590 0.001795  0.009963 -0.005573 -0.128183
MIBL 18JUN01 2018.4148 58270 2003 5  -83.3  -3298 -0.747513   4719116  0.242176   265  0.522061  0.0000 0.000464 0.000586 0.001770  0.004430 -0.014147 -0.114997
MIBL 18JUN02 2018.4175 58271 2003 6  -83.3  -3298 -0.746880   4719116  0.240786   265  0.515476  0.0000 0.000464 0.000587 0.001768  0.014023 -0.023742 -0.106296
MIBL 18JUN03 2018.4203 58272 2004 0  -83.3  -3298 -0.744257   4719116  0.242331   265  0.517770  0.0000 0.000470 0.000590 0.001796  0.017414 -0.031669 -0.126617
MIBL 18JUN04 2018.4230 58273 2004 1  -83.3  -3298 -0.744318   4719116  0.240939   265  0.509957  0.0000 0.000464 0.000585 0.001770  0.013837 -0.018694 -0.107802
MIBL 18JUN05 2018.4257 58274 2004 2  -83.3  -3298 -0.742617   4719116  0.242657   265  0.508781  0.0000 0.000472 0.000593 0.001812 -0.000521 -0.005745 -0.133619
MIBL 18JUN06 2018.4285 58275 2004 3  -83.3  -3298 -0.745753   4719116  0.241786   265  0.513733  0.0000 0.000460 0.000584 0.001740  0.016879 -0.024301 -0.111152
MIBL 18JUN07 2018.4312 58276 2004 4  -83.3  -3298 -0.745533   4719116  0.241959   265  0.518674  0.0000 0.000458 0.000586 0.001750  0.008578 -0.024736 -0.095557
MIBL 18JUN08 2018.4339 58277 2004 5  -83.3  -3298 -0.744677   4719116  0.239829   265  0.515394  0.0000 0.000464 0.000586 0.001770  0.005479 -0.011971 -0.113678
MIBL 18JUN09 2018.4367 58278 2004 6  -83.3  -3298 -0.743462   4719116  0.241910   265  0.513181  0.0000 0.000460 0.000585 0.001754  0.002845 -0.009483 -0.116807
MIBL 18JUN10 2018.4394 58279 2005 0  -83.3  -3298 -0.744511   4719116  0.242044   265  0.504048  0.0000 0.000461 0.000584 0.001758 -0.007870 -0.008623 -0.099154
MIBL 18JUN11 2018.4422 58280 2005 1  -83.3  -3298 -0.745607   4719116  0.243461   265  0.506907  0.0000 0.000461 0.000583 0.001738  0.003472 -0.010361 -0.107599
MIBL 18JUN12 2018.4449 58281 2005 2  -83.3  -3298 -0.746968   4719116  0.241873   265  0.510491  0.0000 0.000458 0.000583 0.001737  0.012050 -0.024826 -0.096238
MIBL 18JUN13 2018.4476 58282 2005 3  -83.3  -3298 -0.746062   4719116  0.239061   265  0.522360  0.0000 0.000467 0.000588 0.001763  0.018853 -0.032833 -0.098781
MIBL 18JUN14 2018.4504 58283 2005 4  -83.3  -3298 -0.746324   4719116  0.241802   265  0.517717  0.0000 0.000465 0.000587 0.001759  0.020779 -0.031704 -0.104945
MIBL 18JUN15 2018.4531 58284 2005 5  -83.3  -3298 -0.745134   4719116  0.243789   265  0.513609  0.0000 0.000465 0.000586 0.001755  0.014541 -0.029775 -0.111086
MIBL 18JUN16 2018.4559 58285 2005 6  -83.3  -3298 -0.744491   4719116  0.242680   265  0.520303  0.0000 0.000465 0.000584 0.001735  0.020684 -0.030196 -0.108314
MIBL 18JUN17 2018.4586 58286 2006 0  -83.3  -3298 -0.746240   4719116  0.242558   265  0.518128  0.0000 0.000469 0.000589 0.001772  0.014833 -0.029423 -0.102382
MIBL 18JUN18 2018.4613 58287 2006 1  -83.3  -3298 -0.748625   4719116  0.242288   265  0.511330  0.0000 0.000473 0.000592 0.001799  0.021485 -0.028218 -0.122051
MIBL 18JUN19 2018.4641 58288 2006 2  -83.3  -3298 -0.748534   4719116  0.240975   265  0.532970  0.0000 0.000466 0.000584 0.001753  0.002603 -0.026245 -0.104269
MIBL 18JUN20 2018.4668 58289 2006 3  -83.3  -3298 -0.746010   4719116  0.243987   265  0.516119  0.0000 0.000463 0.000584 0.001755  0.012432 -0.030997 -0.099066
MIBL 18JUN21 2018.4695 58290 2006 4  -83.3  -3298 -0.745837   4719116  0.242333   265  0.515696  0.0000 0.000465 0.000586 0.001777  0.013067 -0.043209 -0.116319
MIBL 18JUN22 2018.4723 58291 2006 5  -83.3  -3298 -0.745294   4719116  0.242501   265  0.523957  0.0000 0.000472 0.000591 0.001772 -0.009928  0.001363 -0.093659
MIBL 18JUN23 2018.4750 58292 2006 6  -83.3  -3298 -0.744554   4719116  0.238584   265  0.518593  0.0000 0.000466 0.000586 0.001765  0.027651 -0.032576 -0.101502
MIBL 18JUN24 2018.4778 58293 2007 0  -83.3  -3298 -0.745320   4719116  0.240367   265  0.512033  0.0000 0.000463 0.000582 0.001750  0.026246 -0.031996 -0.091609
MIBL 18JUN25 2018.4805 58294 2007 1  -83.3  -3298 -0.744915   4719116  0.239822   265  0.513984  0.0000 0.000465 0.000587 0.001782 -0.001305 -0.009608 -0.110400
MIBL 18JUN26 2018.4832 58295 2007 2  -83.3  -3298 -0.747342   4719116  0.243463   265  0.520526  0.0000 0.000476 0.000601 0.001824  0.032392 -0.043323 -0.110082
MIBL 18JUN27 2018.4860 58296 2007 3  -83.3  -3298 -0.746050   4719116  0.237840   265  0.514177  0.0000 0.000466 0.000590 0.001769  0.012170 -0.023749 -0.112022
MIBL 18JUN28 2018.4887 58297 2007 4  -83.3  -3298 -0.747053   4719116  0.240687   265  0.512770  0.0000 0.000461 0.000582 0.001742  0.010646 -0.017355 -0.103043
MIBL 18JUN29 2018.4914 58298 2007 5  -83.3  -3298 -0.745459   4719116  0.242199   265  0.517650  0.0000 0.000462 0.000583 0.001754  0.021399 -0.021910 -0.103667
MIBL 18JUN30 2018.4942 58299 2007 6  -83.3  -3298 -0.745994   4719116  0.241074   265  0.519026  0.0000 0.000480 0.000599 0.001817  0.018126 -0.020722 -0.121800
MIBL 18JUL01 2018.4969 58300 2008 0  -83.3  -3298 -0.747777   4719116  0.242832   265  0.519742  0.0000 0.000490 0.000611 0.001849 -0.000955 -0.031388 -0.131788
MIBL 18JUL02 2018.4997 58301 2008 1  -83.3  -3298 -0.746958   4719116  0.239591   265  0.510829  0.0000 0.000468 0.000587 0.001771  0.003044 -0.009896 -0.121617
MIBL 18JUL03 2018.5024 58302 2008 2  -83.3  -3298 -0.747801   4719116  0.239339   265  0.507881  0.0000 0.000461 0.000582 0.001731  0.014508 -0.014576 -0.106013
MIBL 18JUL04 2018.5051 58303 2008 3  -83.3  -3298 -0.747637   4719116  0.245360   265  0.517614  0.0000 0.000462 0.000585 0.001752  0.019655 -0.030735 -0.117572
MIBL 18JUL05 2018.5079 58304 2008 4  -83.3  -3298 -0.747843   4719116  0.242385   265  0.516357  0.0000 0.000465 0.000584 0.001758  0.030216 -0.036517 -0.118341
MIBL 18JUL06 2018.5106 58305 2008 5  -83.3  -3298 -0.747337   4719116  0.241121   265  0.512411  0.0000 0.000462 0.000587 0.001759  0.020686 -0.016972 -0.098904
MIBL 18JUL07 2018.5133 58306 2008 6  -83.3  -3298 -0.746382   4719116  0.240428   265  0.511741  0.0000 0.000465 0.000592 0.001779  0.009033 -0.027276 -0.118297
MIBL 18JUL08 2018.5161 58307 2009 0  -83.3  -3298 -0.746640   4719116  0.242198   265  0.512473  0.0000 0.000468 0.000588 0.001744  0.000651 -0.016506 -0.119378
MIBL 18JUL09 2018.5188 58308 2009 1  -83.3  -3298 -0.746738   4719116  0.240347   265  0.515108  0.0000 0.000462 0.000584 0.001740  0.011268 -0.021764 -0.111761
MIBL 18JUL10 2018.5216 58309 2009 2  -83.3  -3298 -0.746390   4719116  0.240720   265  0.516920  0.0000 0.000470 0.000592 0.001796  0.025304 -0.038077 -0.122199
MIBL 18JUL11 2018.5243 58310 2009 3  -83.3  -3298 -0.748305   4719116  0.239599   265  0.512925  0.0000 0.000468 0.000585 0.001763  0.015480 -0.018960 -0.102181
MIBL 18JUL12 2018.5270 58311 2009 4  -83.3  -3298 -0.747144   4719116  0.239264   265  0.511728  0.0000 0.000464 0.000582 0.001752  0.010449 -0.020854 -0.115104
MIBL 18JUL13 2018.5298 58312 2009 5  -83.3  -3298 -0.747785   4719116  0.241448   265  0.518176  0.0000 0.000464 0.000588 0.001749  0.015988 -0.031073 -0.104438
MIBL 18JUL14 2018.5325 58313 2009 6  -83.3  -3298 -0.745471   4719116  0.241145   265  0.519655  0.0000 0.000464 0.000583 0.001742  0.012990 -0.014600 -0.109539
MIBL 18JUL15 2018.5352 58314 2010 0  -83.3  -3298 -0.748190   4719116  0.238612   265  0.516312  0.0000 0.000463 0.000585 0.001754  0.023340 -0.041234 -0.114533
MIBL 18JUL16 2018.5380 58315 2010 1  -83.3  -3298 -0.747671   4719116  0.238248   265  0.517746  0.0000 0.000472 0.000589 0.001813  0.021259 -0.054426 -0.111324
MIBL 18JUL17 2018.5407 58316 2010 2  -83.3  -3298 -0.747213   4719116  0.241941   265  0.514407  0.0000 0.000465 0.000585 0.001776  0.011979 -0.012113 -0.112110
MIBL 18JUL18 2018.5435 58317 2010 3  -83.3  -3298 -0.747162   4719116  0.240953   265  0.505055  0.0000 0.000465 0.000587 0.001752  0.015296 -0.028891 -0.111162
MIBL 18JUL19 2018.5462 58318 2010 4  -83.3  -3298 -0.746900   4719116  0.243259   265  0.507744  0.0000 0.000468 0.000589 0.001777  0.030154 -0.034691 -0.129614
MIBL 18JUL20 2018.5489 58319 2010 5  -83.3  -3298 -0.748630   4719116  0.241379   265  0.518884  0.0000 0.000463 0.000583 0.001747  0.002722 -0.027065 -0.097925
MIBL 18JUL21 2018.5517 58320 2010 6  -83.3  -3298 -0.746718   4719116  0.241089   265  0.518805  0.0000 0.000460 0.000582 0.001735  0.006282 -0.026533 -0.107018
MIBL 18JUL22 2018.5544 58321 2011 0  -83.3  -3298 -0.747169   4719116  0.241627   265  0.515328  0.0000 0.000467 0.000589 0.001794  0.021413 -0.040219 -0.137591
MIBL 18JUL23 2018.5572 58322 2011 1  -83.3  -3298 -0.747086   4719116  0.241092   265  0.519088  0.0000 0.000463 0.000585 0.001757  0.015117 -0.023494 -0.120214
MIBL 18JUL24 2018.5599 58323 2011 2  -83.3  -3298 -0.748327   4719116  0.242775   265  0.505183  0.0000 0.000470 0.000602 0.001796 -0.001282 -0.023125 -0.109645
MIBL 18JUL25 2018.5626 58324 2011 3  -83.3  -3298 -0.747356   4719116  0.239967   265  0.509919  0.0000 0.000465 0.000586 0.001746  0.027775 -0.034654 -0.115371
MIBL 18JUL26 2018.5654 58325 2011 4  -83.3  -3298 -0.748055   4719116  0.240712   265  0.519665  0.0000 0.000465 0.000588 0.001765  0.026421 -0.038863 -0.109723
MIBL 18JUL27 2018.5681 58326 2011 5  -83.3  -3298 -0.748529   4719116  0.241211   265  0.511373  0.0000 0.000463 0.000583 0.001756  0.017304 -0.031859 -0.113335
MIBL 18JUL28 2018.5708 58327 2011 6  -83.3  -3298 -0.747881   4719116  0.239529   265  0.507562  0.0000 0.000463 0.000586 0.001759  0.016704 -0.035799 -0.135782
MIBL 18JUL29 2018.5736 58328 2012 0  -83.3  -3298 -0.747932   4719116  0.241955   265  0.502407  0.0000 0.000468 0.000600 0.001805  0.021261 -0.017487 -0.106518
MIBL 18JUL30 2018.5763 58329 2012 1  -83.3  -3298 -0.748247   4719116  0.239155   265  0.519834  0.0000 0.000487 0.000611 0.001834  0.027452 -0.016521 -0.125329
MIBL 18JUL31 2018.5791 58330 2012 2  -83.3  -3298 -0.749022   4719116  0.239923   265  0.508662  0.0000 0.000485 0.000614 0.001819 -0.003713 -0.019334 -0.113302
MIBL 18AUG01 2018.5818 58331 2012 3  -83.3  -3298 -0.750575   4719116  0.240956   265  0.518170  0.0000 0.000487 0.000603 0.001828  0.013484 -0.001946 -0.127799
MIBL 18AUG02 2018.5845 58332 2012 4  -83.3  -3298 -0.746652   4719116  0.239500   265  0.509861  0.0000 0.000482 0.000599 0.001825  0.000405 -0.019506 -0.137417
MIBL 18AUG03 2018.5873 58333 2012 5  -83.3  -3298 -0.749839   4719116  0.241478   265  0.507425  0.0000 0.000468 0.000587 0.001787  0.010002 -0.012194 -0.130329
MIBL 18AUG04 2018.5900 58334 2012 6  -83.3  -3298 -0.748015   4719116  0.242510   265  0.511890  0.0000 0.000462 0.000583 0.001742  0.016347 -0.019674 -0.115218
MIBL 18AUG05 2018.5927 58335 2013 0  -83.3  -3298 -0.745679   4719116  0.238434   265  0.520866  0.0000 0.000460 0.000582 0.001745  0.018260 -0.028593 -0.098047
MIBL 18AUG06 2018.5955 58336 2013 1  -83.3  -3298 -0.747607   4719116  0.240177   265  0.512971  0.0000 0.000461 0.000588 0.001760  0.013629 -0.027382 -0.103615
MIBL 18AUG07 2018.5982 58337 2013 2  -83.3  -3298 -0.750695   4719116  0.241472   265  0.520387  0.0000 0.000465 0.000585 0.001769  0.020871 -0.032958 -0.121802
MIBL 18AUG08 2018.6010 58338 2013 3  -83.3  -3298 -0.749159   4719116  0.240688   265  0.519105  0.0000 0.000466 0.000586 0.001784  0.015383 -0.038248 -0.127834
