site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MMA1 02OCT06 2002.7625 52553 1187 0  121.0   4284  0.916597   1607779  0.299041    69  0.320815  1.6121 0.000801 0.000711 0.003227 -0.099404  0.037495  0.006454
MMA1 02OCT07 2002.7652 52554 1187 1  121.0   4284  0.913029   1607779  0.297909    69  0.316533  1.6121 0.000752 0.000672 0.003022 -0.071752  0.043177  0.034143
MMA1 02OCT08 2002.7680 52555 1187 2  121.0   4284  0.914431   1607779  0.297821    69  0.325587  1.6121 0.000752 0.000671 0.003069 -0.027458 -0.010691 -0.029909
MMA1 02OCT09 2002.7707 52556 1187 3  121.0   4284  0.927478   1607779  0.294121    69  0.353804  1.6132 0.000742 0.000656 0.003052 -0.048206  0.026878 -0.016875
MMA1 02OCT10 2002.7734 52557 1187 4  121.0   4284  0.918679   1607779  0.294383    69  0.331379  1.6152 0.000743 0.000669 0.003087 -0.049619  0.021224 -0.024126
MMA1 02OCT11 2002.7762 52558 1187 5  121.0   4284  0.913815   1607779  0.301648    69  0.314604  1.6162 0.000796 0.000685 0.003143 -0.074195  0.004094  0.034770
MMA1 02OCT12 2002.7789 52559 1187 6  121.0   4284  0.914569   1607779  0.295229    69  0.319508  1.6162 0.000724 0.000644 0.002960 -0.055691  0.027438  0.004608
MMA1 04SEP21 2004.7228 53269 1289 2  121.0   4284  0.884484   1607779  0.302372    69  0.259965  1.5767 0.000733 0.000626 0.002830  0.036455 -0.047671 -0.018072
MMA1 04SEP22 2004.7255 53270 1289 3  121.0   4284  0.880429   1607779  0.300179    69  0.262094  1.5767 0.000664 0.000555 0.002463  0.018638 -0.028861 -0.031297
MMA1 04SEP23 2004.7283 53271 1289 4  121.0   4284  0.885399   1607779  0.303440    69  0.282533  1.5767 0.000656 0.000545 0.002426  0.013913 -0.015365 -0.046307
MMA1 04SEP24 2004.7310 53272 1289 5  121.0   4284  0.882220   1607779  0.303817    69  0.275085  1.5767 0.000646 0.000545 0.002411  0.002857 -0.022462 -0.021244
MMA1 04SEP25 2004.7337 53273 1289 6  121.0   4284  0.880951   1607779  0.307091    69  0.279150  1.5767 0.001550 0.001257 0.005396 -0.073343 -0.088261 -0.018493
