site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MNDN 09AUG18 2009.6290 55061 1545 2  -96.9  -1081 -0.677358   5382072  0.234899   224  0.304683  0.0000 0.000503 0.000651 0.001868  0.059057  0.026455 -0.022939
MNDN 09AUG19 2009.6318 55062 1545 3  -96.9  -1081 -0.677003   5382072  0.234313   224  0.300001  0.0000 0.000485 0.000636 0.001783  0.050470  0.018959 -0.047139
MNDN 09AUG20 2009.6345 55063 1545 4  -96.9  -1081 -0.677230   5382072  0.233892   224  0.299261  0.0000 0.000498 0.000644 0.001838  0.052253  0.006353 -0.041526
MNDN 09AUG21 2009.6372 55064 1545 5  -96.9  -1081 -0.677904   5382072  0.231885   224  0.298122  0.0000 0.000497 0.000644 0.001829  0.043111  0.011644 -0.048087
MNDN 09AUG22 2009.6400 55065 1545 6  -96.9  -1081 -0.678918   5382072  0.234216   224  0.297753  0.0000 0.000498 0.000652 0.001874  0.024772  0.004304 -0.046902
MNDN 09AUG23 2009.6427 55066 1546 0  -96.9  -1081 -0.678399   5382072  0.233065   224  0.303118  0.0000 0.000500 0.000643 0.001839  0.022878  0.051307 -0.020083
MNDN 09AUG24 2009.6454 55067 1546 1  -96.9  -1081 -0.677055   5382072  0.234601   224  0.303719  0.0000 0.000499 0.000648 0.001839  0.019206  0.023914 -0.034848
MNDN 09AUG25 2009.6482 55068 1546 2  -96.9  -1081 -0.678349   5382072  0.234570   224  0.304116  0.0000 0.000493 0.000648 0.001826  0.061120 -0.014891 -0.053071
MNDN 09AUG26 2009.6509 55069 1546 3  -96.9  -1081 -0.676798   5382072  0.233897   224  0.306448  0.0000 0.000494 0.000648 0.001826  0.038566  0.002964 -0.037090
MNDN 09AUG27 2009.6537 55070 1546 4  -96.9  -1081 -0.677658   5382072  0.235857   224  0.300929  0.0000 0.000496 0.000656 0.001859  0.038139  0.032087 -0.046979
MNDN 09AUG28 2009.6564 55071 1546 5  -96.9  -1081 -0.676971   5382072  0.235731   224  0.291670  0.0000 0.000497 0.000658 0.001851  0.054766  0.003035 -0.030349
MNDN 09AUG29 2009.6591 55072 1546 6  -96.9  -1081 -0.677513   5382072  0.233370   224  0.290300  0.0000 0.000489 0.000646 0.001851  0.042035  0.010795 -0.028760
MNDN 09AUG30 2009.6619 55073 1547 0  -96.9  -1081 -0.676856   5382072  0.233610   224  0.302023  0.0000 0.000482 0.000644 0.001849  0.024341  0.000046 -0.074192
MNDN 09AUG31 2009.6646 55074 1547 1  -96.9  -1081 -0.677448   5382072  0.234563   224  0.305851  0.0000 0.000494 0.000641 0.001874  0.027905  0.016515 -0.048507
MNDN 09SEP01 2009.6674 55075 1547 2  -96.9  -1081 -0.678828   5382072  0.233972   224  0.301576  0.0000 0.000506 0.000670 0.001905  0.011806  0.011475 -0.083930
MNDN 09SEP02 2009.6701 55076 1547 3  -96.9  -1081 -0.678416   5382072  0.232538   224  0.300399  0.0000 0.000490 0.000646 0.001870  0.035132 -0.020262 -0.068866
MNDN 09SEP03 2009.6728 55077 1547 4  -96.9  -1081 -0.678125   5382072  0.235430   224  0.296064  0.0000 0.000495 0.000656 0.001894  0.030368  0.007773 -0.076336
MNDN 09SEP04 2009.6756 55078 1547 5  -96.9  -1081 -0.677817   5382072  0.235112   224  0.301412  0.0000 0.000498 0.000657 0.001906  0.022416 -0.002501 -0.083884
MNDN 09SEP05 2009.6783 55079 1547 6  -96.9  -1081 -0.677166   5382072  0.232520   224  0.305907  0.0000 0.000524 0.000703 0.002028  0.015511  0.009908 -0.111476
MNDN 09SEP06 2009.6810 55080 1548 0  -96.9  -1081 -0.678986   5382072  0.235478   224  0.306239  0.0000 0.000535 0.000706 0.002047  0.006745  0.035076 -0.102980
MNDN 09SEP07 2009.6838 55081 1548 1  -96.9  -1081 -0.677056   5382072  0.233540   224  0.304246  0.0000 0.000492 0.000653 0.001888  0.027195  0.019920 -0.070115
MNDN 09SEP08 2009.6865 55082 1548 2  -96.9  -1081 -0.676824   5382072  0.235206   224  0.305858  0.0000 0.000505 0.000665 0.001957  0.043908  0.006476 -0.077658
MNDN 09SEP09 2009.6893 55083 1548 3  -96.9  -1081 -0.676980   5382072  0.233701   224  0.297747  0.0000 0.000643 0.000811 0.002506  0.074157 -0.014554 -0.111408
MNDN 09SEP10 2009.6920 55084 1548 4  -96.9  -1081 -0.675320   5382072  0.233594   224  0.303955  0.0000 0.000499 0.000657 0.001921  0.022254  0.021758 -0.087135
MNDN 09SEP11 2009.6947 55085 1548 5  -96.9  -1081 -0.676884   5382072  0.234005   224  0.291497  0.0000 0.000493 0.000651 0.001915  0.019006  0.017131 -0.111943
MNDN 09SEP12 2009.6975 55086 1548 6  -96.9  -1081 -0.677521   5382072  0.234415   224  0.297239  0.0000 0.000488 0.000641 0.001860  0.018305  0.011251 -0.106823
MNDN 09SEP13 2009.7002 55087 1549 0  -96.9  -1081 -0.678411   5382072  0.233543   224  0.301368  0.0000 0.000509 0.000655 0.001934  0.008735  0.002167 -0.079020
MNDN 09SEP14 2009.7029 55088 1549 1  -96.9  -1081 -0.677547   5382072  0.234998   224  0.301798  0.0000 0.000506 0.000658 0.001933  0.044883 -0.017418 -0.115805
MNDN 09SEP15 2009.7057 55089 1549 2  -96.9  -1081 -0.678728   5382072  0.236211   224  0.309891  0.0000 0.000490 0.000640 0.001841  0.025397 -0.015472 -0.101228
MNDN 09SEP16 2009.7084 55090 1549 3  -96.9  -1081 -0.677167   5382072  0.235495   224  0.305065  0.0000 0.000492 0.000640 0.001857  0.017716 -0.021849 -0.091336
MNDN 09SEP17 2009.7112 55091 1549 4  -96.9  -1081 -0.677865   5382072  0.235167   224  0.309330  0.0000 0.000515 0.000660 0.001957  0.019906 -0.027903 -0.115636
MNDN 09SEP18 2009.7139 55092 1549 5  -96.9  -1081 -0.678314   5382072  0.232686   224  0.303906  0.0000 0.000502 0.000661 0.001920  0.002926  0.016567 -0.084870
MNDN 09SEP19 2009.7166 55093 1549 6  -96.9  -1081 -0.678711   5382072  0.234180   224  0.311032  0.0000 0.000502 0.000655 0.001896  0.028351  0.001902 -0.086567
MNDN 09SEP20 2009.7194 55094 1550 0  -96.9  -1081 -0.678891   5382072  0.234168   224  0.310100  0.0000 0.000495 0.000645 0.001880  0.002260  0.019855 -0.104763
MNDN 09SEP21 2009.7221 55095 1550 1  -96.9  -1081 -0.680848   5382072  0.234451   224  0.307762  0.0000 0.000491 0.000643 0.001849  0.017289 -0.002876 -0.061261
