site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MNIG 18AUG30 2018.6612 58360 2016 4  -93.1   3655  0.705011   4960480  0.639994   248  0.771944  0.0000 0.000458 0.000587 0.001704 -0.006840  0.015082 -0.092004
MNIG 18AUG31 2018.6639 58361 2016 5  -93.1   3655  0.704802   4960480  0.637673   248  0.781166  0.0000 0.000458 0.000591 0.001725 -0.014510  0.032327 -0.102901
MNIG 18SEP01 2018.6667 58362 2016 6  -93.1   3655  0.704148   4960480  0.638185   248  0.778185  0.0000 0.000459 0.000592 0.001725 -0.007418  0.002603 -0.116578
MNIG 18SEP02 2018.6694 58363 2017 0  -93.1   3655  0.705412   4960480  0.634202   248  0.781372  0.0000 0.000456 0.000588 0.001697 -0.011332 -0.006923 -0.092532
MNIG 18SEP03 2018.6721 58364 2017 1  -93.1   3655  0.705264   4960480  0.640753   248  0.779146  0.0000 0.000459 0.000593 0.001727 -0.030337  0.007859 -0.093623
MNIG 18SEP04 2018.6749 58365 2017 2  -93.1   3655  0.705907   4960480  0.638249   248  0.778467  0.0000 0.000460 0.000592 0.001717 -0.026587  0.010956 -0.092161
MNIG 18SEP05 2018.6776 58366 2017 3  -93.1   3655  0.706354   4960480  0.639233   248  0.781978  0.0000 0.000453 0.000584 0.001679 -0.004777  0.003484 -0.076120
MNIG 18SEP06 2018.6804 58367 2017 4  -93.1   3655  0.704729   4960480  0.639009   248  0.771996  0.0000 0.000467 0.000597 0.001739  0.008900  0.009647 -0.089566
MNIG 18SEP07 2018.6831 58368 2017 5  -93.1   3655  0.705142   4960480  0.638562   248  0.769747  0.0000 0.000472 0.000603 0.001772  0.005006  0.014173 -0.096278
MNIG 18SEP09 2018.6886 58370 2018 0  -93.1   3655  0.706683   4960480  0.638853   248  0.768496  0.0000 0.000467 0.000599 0.001763 -0.009732 -0.008399 -0.112414
MNIG 18SEP10 2018.6913 58371 2018 1  -93.1   3655  0.707643   4960480  0.637486   248  0.774786  0.0000 0.000468 0.000601 0.001780  0.002458 -0.024681 -0.130658
MNIG 18SEP11 2018.6940 58372 2018 2  -93.1   3655  0.705492   4960480  0.636827   248  0.780684  0.0000 0.000465 0.000610 0.001763 -0.016408  0.035097 -0.118951
MNIG 18SEP16 2018.7077 58377 2019 0  -93.1   3655  0.704269   4960480  0.638845   248  0.780848  0.0000 0.000462 0.000593 0.001747  0.011847 -0.024168 -0.132643
MNIG 18OCT11 2018.7762 58402 2022 4  -93.1   3655  0.699595   4960480  0.635705   248  0.766037  0.0000 0.000457 0.000593 0.001725 -0.011020 -0.007666 -0.089971
MNIG 18OCT12 2018.7789 58403 2022 5  -93.1   3655  0.700398   4960480  0.638355   248  0.762231  0.0000 0.000457 0.000595 0.001736 -0.029137  0.008835 -0.100595
MNIG 18OCT13 2018.7817 58404 2022 6  -93.1   3655  0.704039   4960480  0.638114   248  0.765945  0.0000 0.000468 0.000608 0.001761 -0.035992  0.022563 -0.116373
MNIG 18OCT14 2018.7844 58405 2023 0  -93.1   3655  0.703520   4960480  0.638010   248  0.764098  0.0000 0.000458 0.000594 0.001724 -0.021287  0.006870 -0.120157
MNIG 18OCT15 2018.7871 58406 2023 1  -93.1   3655  0.704316   4960480  0.637504   248  0.762271  0.0000 0.000459 0.000594 0.001732 -0.010160  0.019057 -0.106334
MNIG 18OCT16 2018.7899 58407 2023 2  -93.1   3655  0.702938   4960480  0.636841   248  0.765534  0.0000 0.000469 0.000619 0.001808  0.000113 -0.001277 -0.105350
MNIG 18OCT17 2018.7926 58408 2023 3  -93.1   3655  0.704492   4960480  0.639372   248  0.763505  0.0000 0.000465 0.000612 0.001768 -0.013687  0.028942 -0.114186
MNIG 18OCT18 2018.7953 58409 2023 4  -93.1   3655  0.703270   4960480  0.638914   248  0.769552  0.0000 0.000471 0.000621 0.001815 -0.028128  0.030856 -0.132482
