site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MNMN 05DEC01 2005.9165 53705 1351 4  -95.0    353  0.210995   4934330  0.789004   230  0.526236  0.0000 0.000570 0.000762 0.002275  0.001287  0.002730 -0.105574
MNMN 05DEC02 2005.9192 53706 1351 5  -95.0    353  0.211947   4934330  0.789369   230  0.527527  0.0000 0.000566 0.000760 0.002270  0.005539 -0.005820 -0.116730
MNMN 05DEC03 2005.9220 53707 1351 6  -95.0    353  0.211969   4934330  0.790143   230  0.526736  0.0000 0.000559 0.000751 0.002215  0.018436 -0.000572 -0.111875
MNMN 05DEC04 2005.9247 53708 1352 0  -95.0    353  0.211116   4934330  0.789249   230  0.525828  0.0000 0.000561 0.000752 0.002227  0.036291 -0.011643 -0.097461
MNMN 05DEC05 2005.9274 53709 1352 1  -95.0    353  0.210714   4934330  0.788212   230  0.524242  0.0000 0.000566 0.000756 0.002268  0.030453 -0.004457 -0.104606
MNMN 05DEC06 2005.9302 53710 1352 2  -95.0    353  0.213218   4934330  0.787937   230  0.523539  0.0000 0.000563 0.000748 0.002230  0.042628 -0.035330 -0.109088
MNMN 05DEC07 2005.9329 53711 1352 3  -95.0    353  0.210675   4934330  0.787706   230  0.522408  0.0000 0.000561 0.000749 0.002232  0.015500 -0.001047 -0.104624
MNMN 05DEC08 2005.9357 53712 1352 4  -95.0    353  0.210283   4934330  0.788207   230  0.521874  0.0000 0.000560 0.000748 0.002238  0.017367 -0.015772 -0.089316
MNMN 05DEC09 2005.9384 53713 1352 5  -95.0    353  0.209789   4934330  0.788283   230  0.532176  0.0000 0.000561 0.000755 0.002235  0.021267  0.007506 -0.097043
MNMN 05DEC10 2005.9411 53714 1352 6  -95.0    353  0.211124   4934330  0.789274   230  0.534111  0.0000 0.000562 0.000754 0.002235  0.040517 -0.008740 -0.105606
MNMN 05DEC11 2005.9439 53715 1353 0  -95.0    353  0.211147   4934330  0.789868   230  0.537453  0.0000 0.000562 0.000750 0.002230  0.031374 -0.010360 -0.095215
MNMN 05DEC12 2005.9466 53716 1353 1  -95.0    353  0.212067   4934330  0.788649   230  0.538034  0.0000 0.000565 0.000752 0.002246  0.029914 -0.013102 -0.094003
MNMN 05DEC13 2005.9493 53717 1353 2  -95.0    353  0.212304   4934330  0.789296   230  0.540329  0.0000 0.000588 0.000791 0.002325  0.027395 -0.010749 -0.093265
MNMN 05DEC14 2005.9521 53718 1353 3  -95.0    353  0.213962   4934330  0.788550   230  0.529476  0.0000 0.000593 0.000800 0.002386  0.005816 -0.001416 -0.099972
