site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MONB 98AUG01 1998.5818 51026  968 6 -121.9   2930  0.738008   4150373  0.467524   750  0.359174  0.0355 0.000534 0.000630 0.001973 -0.047990  0.038060 -0.103141
MONB 98AUG02 1998.5845 51027  969 0 -121.9   2930  0.743148   4150373  0.467469   750  0.355974  0.0355 0.000508 0.000604 0.001892 -0.030948  0.017694 -0.088912
MONB 98AUG03 1998.5873 51028  969 1 -121.9   2930  0.743756   4150373  0.466577   750  0.355129  0.0355 0.000508 0.000608 0.001893 -0.026720  0.008569 -0.093796
MONB 98AUG04 1998.5900 51029  969 2 -121.9   2930  0.743494   4150373  0.465197   750  0.352379  0.0355 0.000541 0.000625 0.001965 -0.038692  0.006163 -0.115260
MONB 98AUG05 1998.5927 51030  969 3 -121.9   2930  0.742510   4150373  0.464919   750  0.352797  0.0355 0.000516 0.000621 0.001937 -0.013124 -0.005369 -0.054791
MONB 98AUG06 1998.5955 51031  969 4 -121.9   2930  0.741867   4150373  0.465153   750  0.360588  0.0355 0.000505 0.000608 0.001884 -0.033439  0.015700 -0.090439
MONB 98AUG07 1998.5982 51032  969 5 -121.9   2930  0.743261   4150373  0.466008   750  0.354227  0.0355 0.000510 0.000609 0.001893 -0.018662  0.009468 -0.083413
MONB 98AUG08 1998.6010 51033  969 6 -121.9   2930  0.741618   4150373  0.466520   750  0.355809  0.0355 0.000506 0.000600 0.001867 -0.037703  0.005808 -0.081678
MONB 98AUG09 1998.6037 51034  970 0 -121.9   2930  0.743154   4150373  0.465120   750  0.350110  0.0355 0.000510 0.000607 0.001886 -0.034978  0.018290 -0.102361
MONB 98AUG10 1998.6064 51035  970 1 -121.9   2930  0.742750   4150373  0.467655   750  0.349214  0.0355 0.000512 0.000609 0.001891 -0.034913 -0.000641 -0.102597
MONB 98AUG11 1998.6092 51036  970 2 -121.9   2930  0.742729   4150373  0.465088   750  0.358531  0.0355 0.000507 0.000604 0.001875 -0.029220  0.002956 -0.082448
MONB 98AUG12 1998.6119 51037  970 3 -121.9   2930  0.743534   4150373  0.466068   750  0.356778  0.0355 0.000504 0.000600 0.001869 -0.029706  0.024738 -0.098753
MONB 98AUG13 1998.6146 51038  970 4 -121.9   2930  0.741662   4150373  0.464629   750  0.353943  0.0355 0.000505 0.000603 0.001870 -0.018916  0.012712 -0.084353
MONB 98AUG14 1998.6174 51039  970 5 -121.9   2930  0.744104   4150373  0.466864   750  0.364355  0.0355 0.000521 0.000605 0.001892 -0.021910 -0.005989 -0.098145
MONB 98AUG15 1998.6201 51040  970 6 -121.9   2930  0.741620   4150373  0.466099   750  0.352591  0.0355 0.000505 0.000600 0.001860 -0.024958  0.005294 -0.097510
MONB 98AUG16 1998.6229 51041  971 0 -121.9   2930  0.742250   4150373  0.466250   750  0.349093  0.0355 0.000515 0.000620 0.001927 -0.017400 -0.029732 -0.105535
