site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MST1 09DEC17 2009.9603 55182 1562 4   12.2   3018  0.360296   5039441  0.951225    68  0.157206  0.0000 0.000523 0.000638 0.001949 -0.001548  0.085079 -0.052326
MST1 09DEC19 2009.9658 55184 1562 6   12.2   3018  0.359516   5039441  0.948202    68  0.161366  0.0000 0.000531 0.000662 0.002014  0.018214  0.082356 -0.045021
MST1 09DEC20 2009.9685 55185 1563 0   12.2   3018  0.361053   5039441  0.950480    68  0.157922  0.0000 0.000532 0.000661 0.002011  0.012806  0.093329 -0.050059
MST1 09DEC21 2009.9713 55186 1563 1   12.2   3018  0.358818   5039441  0.950109    68  0.159568  0.0000 0.000529 0.000658 0.002008  0.020815  0.102620 -0.036858
MST1 09DEC22 2009.9740 55187 1563 2   12.2   3018  0.359964   5039441  0.950338    68  0.160694  0.0000 0.000534 0.000656 0.002028  0.008753  0.098947 -0.048262
MST1 09DEC23 2009.9767 55188 1563 3   12.2   3018  0.359345   5039441  0.950020    68  0.163976  0.0000 0.000519 0.000639 0.001959  0.012171  0.086264 -0.050154
MST1 09DEC24 2009.9795 55189 1563 4   12.2   3018  0.359586   5039441  0.949382    68  0.165292  0.0000 0.000527 0.000644 0.001980  0.016251  0.078587 -0.050960
MST1 09DEC25 2009.9822 55190 1563 5   12.2   3018  0.361400   5039441  0.950748    68  0.159639  0.0000 0.000528 0.000646 0.001973  0.017722  0.085072 -0.060161
MST1 09DEC26 2009.9849 55191 1563 6   12.2   3018  0.361017   5039441  0.951584    68  0.156240  0.0000 0.000526 0.000645 0.001979  0.017367  0.095003 -0.054725
MST1 09DEC27 2009.9877 55192 1564 0   12.2   3018  0.361691   5039441  0.951969    68  0.152546  0.0000 0.000524 0.000643 0.001976  0.016450  0.100294 -0.048196
