site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MTAW 98NOV19 1998.8830 51136  984 4  117.9  -2037 -0.410241    471361  0.986275    72  0.869782  0.0570 0.000920 0.000766 0.003690 -0.011473 -0.018727 -0.006264
MTAW 98NOV20 1998.8857 51137  984 5  117.9  -2037 -0.410143    471361  0.983765    72  0.880781  0.0570 0.000943 0.000777 0.003770 -0.007981  0.065514  0.036527
MTAW 98NOV21 1998.8884 51138  984 6  117.9  -2037 -0.412112    471361  0.980467    72  0.881411  0.0570 0.000955 0.000791 0.003848 -0.017127  0.044035  0.023931
MTAW 98NOV22 1998.8912 51139  985 0  117.9  -2037 -0.413853    471361  0.982727    72  0.872510  0.0570 0.000954 0.000778 0.003850  0.000543  0.008241  0.001026
MTAW 98NOV23 1998.8939 51140  985 1  117.9  -2037 -0.414991    471361  0.983222    72  0.875487  0.0570 0.000946 0.000785 0.003799 -0.022267  0.019868  0.043211
MTAW 01OCT07 2001.7659 52189 1135 0  117.9  -2037 -0.343874    471361  0.938162    72  1.048166 -0.1100 0.000905 0.000741 0.003597  0.005713 -0.013122 -0.089449
MTAW 01OCT08 2001.7687 52190 1135 1  117.9  -2037 -0.347930    471361  0.941866    72  1.045199 -0.1100 0.000790 0.000652 0.003046  0.021154  0.117367  0.063511
MTAW 01OCT09 2001.7714 52191 1135 2  117.9  -2037 -0.350018    471361  0.940208    72  1.039786 -0.1100 0.000798 0.000656 0.003076  0.012310  0.073726 -0.004739
MTAW 01OCT10 2001.7741 52192 1135 3  117.9  -2037 -0.349044    471361  0.939865    72  1.037175 -0.1100 0.000782 0.000635 0.002945  0.007319  0.052289 -0.021472
MTAW 01OCT11 2001.7769 52193 1135 4  117.9  -2037 -0.345798    471361  0.941089    72  1.036774 -0.1100 0.000850 0.000691 0.003190 -0.016847  0.045133  0.042640
MTAW 01OCT12 2001.7796 52194 1135 5  117.9  -2037 -0.346659    471361  0.938523    72  1.034182 -0.1100 0.000820 0.000662 0.003156 -0.009086  0.002408 -0.019880
MTAW 01OCT13 2001.7823 52195 1135 6  117.9  -2037 -0.348550    471361  0.937797    72  1.038873 -0.1100 0.000861 0.000683 0.003383  0.038203 -0.007977 -0.068896
MTAW 01OCT14 2001.7851 52196 1136 0  117.9  -2037 -0.352008    471361  0.938147    72  1.041412 -0.1100 0.000782 0.000673 0.003108  0.038377  0.119437 -0.013979
MTAW 01OCT15 2001.7878 52197 1136 1  117.9  -2037 -0.346619    471361  0.934195    72  1.039223 -0.1100 0.000865 0.000690 0.003139 -0.003842  0.062880 -0.018099
MTAW 01OCT16 2001.7906 52198 1136 2  117.9  -2037 -0.345250    471361  0.939410    72  1.025377 -0.1100 0.000819 0.000692 0.003284 -0.025127  0.083664 -0.039869
MTAW 01OCT17 2001.7933 52199 1136 3  117.9  -2037 -0.348611    471361  0.933782    72  1.024232 -0.1100 0.000846 0.000724 0.003362 -0.008819  0.006590 -0.029183
MTAW 07SEP24 2007.7290 54367 1446 1  117.9  -2037 -0.226104    471361  0.855928    72  0.862786  0.0520 0.001084 0.000846 0.004303 -0.133310  0.334409 -0.042065
MTAW 07SEP25 2007.7317 54368 1446 2  117.9  -2037 -0.226301    471361  0.850165    72  0.869479  0.0520 0.001858 0.001539 0.007436 -0.111096  0.172559 -0.066229
MTAW 07SEP26 2007.7344 54369 1446 3  117.9  -2037 -0.225352    471361  0.854681    72  0.851928  0.0520 0.000671 0.000534 0.002402 -0.053272  0.203937 -0.117773
MTAW 07SEP27 2007.7372 54370 1446 4  117.9  -2037 -0.224025    471361  0.857131    72  0.852172  0.0520 0.000687 0.000543 0.002440 -0.088869  0.181917 -0.111609
