site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
MTN2 16AUG31 2016.6653 57631 1912 3  153.5  -3377 -0.521737  -2991069 -0.868914   143  0.718990  0.0000 0.000604 0.000637 0.002419  0.034144  0.046141  0.115815
MTN2 16SEP01 2016.6680 57632 1912 4  153.5  -3377 -0.518323  -2991069 -0.870191   143  0.720467  0.0000 0.000566 0.000596 0.002231  0.028966  0.020411  0.136191
MTN2 16SEP03 2016.6735 57634 1912 6  153.5  -3377 -0.521464  -2991069 -0.869786   143  0.713769  0.0000 0.000568 0.000608 0.002271  0.036752  0.045261  0.133672
MTN2 16SEP04 2016.6762 57635 1913 0  153.5  -3377 -0.520344  -2991069 -0.868024   143  0.706643  0.0000 0.000563 0.000598 0.002232  0.037854  0.034740  0.137960
MTN2 16SEP05 2016.6790 57636 1913 1  153.5  -3377 -0.521623  -2991069 -0.870165   143  0.714436  0.0000 0.000583 0.000614 0.002297  0.029997 -0.006508  0.123804
MTN2 16SEP06 2016.6817 57637 1913 2  153.5  -3377 -0.523833  -2991069 -0.870114   143  0.707317  0.0000 0.000564 0.000596 0.002230  0.028915  0.038338  0.135423
MTN2 16SEP07 2016.6845 57638 1913 3  153.5  -3377 -0.521206  -2991069 -0.870853   143  0.713069  0.0000 0.000618 0.000643 0.002445  0.040741  0.025354  0.141326
MTN2 16SEP08 2016.6872 57639 1913 4  153.5  -3377 -0.521021  -2991069 -0.869204   143  0.711614  0.0000 0.000617 0.000667 0.002528  0.017782  0.041234  0.139628
MTN2 16SEP09 2016.6899 57640 1913 5  153.5  -3377 -0.517362  -2991069 -0.868642   143  0.704070  0.0000 0.000630 0.000668 0.002520  0.020307  0.016386  0.085950
MTN2 16SEP10 2016.6927 57641 1913 6  153.5  -3377 -0.522295  -2991069 -0.869095   143  0.704426  0.0000 0.000662 0.000692 0.002622  0.038412  0.054668  0.138250
MTN2 16SEP11 2016.6954 57642 1914 0  153.5  -3377 -0.520834  -2991069 -0.868218   143  0.707227  0.0000 0.001051 0.001078 0.004085 -0.004032  0.081223  0.157219
MTN2 16SEP12 2016.6982 57643 1914 1  153.5  -3377 -0.521682  -2991069 -0.870157   143  0.697713  0.0000 0.001542 0.001557 0.006548 -0.009450  0.061750  0.049007
MTN2 16SEP13 2016.7009 57644 1914 2  153.5  -3377 -0.521448  -2991069 -0.869449   143  0.715009  0.0000 0.000838 0.000807 0.003175  0.033129  0.114701  0.142438
MTN2 16SEP14 2016.7036 57645 1914 3  153.5  -3377 -0.520634  -2991069 -0.867802   143  0.722472  0.0000 0.000608 0.000637 0.002428  0.054999  0.087465  0.131276
MTN2 16SEP15 2016.7064 57646 1914 4  153.5  -3377 -0.524052  -2991069 -0.871158   143  0.720537  0.0000 0.000632 0.000655 0.002480  0.017684  0.027457  0.155717
MTN2 16SEP16 2016.7091 57647 1914 5  153.5  -3377 -0.522137  -2991069 -0.872169   143  0.700317  0.0000 0.000825 0.000925 0.003368 -0.026061 -0.008174  0.100948
MTN2 16SEP17 2016.7118 57648 1914 6  153.5  -3377 -0.519513  -2991069 -0.869846   143  0.716252  0.0000 0.000597 0.000623 0.002352  0.045356  0.042534  0.143001
MTN2 16SEP18 2016.7146 57649 1915 0  153.5  -3377 -0.518976  -2991069 -0.869738   143  0.719599  0.0000 0.000571 0.000604 0.002248  0.032593  0.040054  0.147529
MTN2 16SEP19 2016.7173 57650 1915 1  153.5  -3377 -0.520646  -2991069 -0.866996   143  0.720919  0.0000 0.000709 0.000761 0.002893  0.027915  0.109336  0.184444
MTN2 16SEP20 2016.7201 57651 1915 2  153.5  -3377 -0.520978  -2991069 -0.868499   143  0.721590  0.0000 0.000597 0.000623 0.002336  0.036475  0.033736  0.115102
MTN2 16SEP21 2016.7228 57652 1915 3  153.5  -3377 -0.523660  -2991069 -0.873904   143  0.707483  0.0000 0.000792 0.000875 0.003314 -0.036593  0.054353  0.165873
MTN2 16SEP22 2016.7255 57653 1915 4  153.5  -3377 -0.518398  -2991069 -0.868232   143  0.719880  0.0000 0.000707 0.000721 0.002664  0.114777  0.063469  0.096796
MTN2 16SEP23 2016.7283 57654 1915 5  153.5  -3377 -0.519645  -2991069 -0.867827   143  0.723499  0.0000 0.001040 0.001003 0.004040 -0.005543  0.147043  0.166363
MTN2 16SEP24 2016.7310 57655 1915 6  153.5  -3377 -0.519127  -2991069 -0.869185   143  0.721821  0.0000 0.000639 0.000667 0.002510  0.030746  0.043247  0.147386
MTN2 16SEP26 2016.7365 57657 1916 1  153.5  -3377 -0.518679  -2991069 -0.867313   143  0.728188  0.0000 0.000804 0.000931 0.003381  0.052588 -0.003464  0.166412
MTN2 16SEP27 2016.7392 57658 1916 2  153.5  -3377 -0.517447  -2991069 -0.869304   143  0.709431  0.0000 0.000906 0.000911 0.003540 -0.014084  0.073664  0.114308
MTN2 16SEP28 2016.7420 57659 1916 3  153.5  -3377 -0.517354  -2991069 -0.871253   143  0.716402  0.0000 0.000745 0.000768 0.002827  0.063070  0.040791  0.089001
MTN2 16SEP29 2016.7447 57660 1916 4  153.5  -3377 -0.517664  -2991069 -0.867006   143  0.716437  0.0000 0.000677 0.000685 0.002642  0.045178  0.096147  0.124792
MTN2 16SEP30 2016.7474 57661 1916 5  153.5  -3377 -0.515149  -2991069 -0.867419   143  0.724538  0.0000 0.001271 0.001305 0.005093 -0.023544  0.069758  0.142835
MTN2 16OCT01 2016.7502 57662 1916 6  153.5  -3377 -0.519770  -2991069 -0.865831   143  0.716263  0.0000 0.001389 0.001364 0.005179 -0.018464  0.057664  0.274026
MTN2 16OCT02 2016.7529 57663 1917 0  153.5  -3377 -0.519071  -2991069 -0.864925   143  0.729430  0.0000 0.000878 0.000987 0.003549  0.097877  0.027340  0.153983
MTN2 16OCT03 2016.7556 57664 1917 1  153.5  -3377 -0.519227  -2991069 -0.866424   143  0.725345  0.0000 0.000763 0.000779 0.003051  0.023839  0.070919  0.177574
MTN2 16OCT04 2016.7584 57665 1917 2  153.5  -3377 -0.519431  -2991069 -0.865518   143  0.715119  0.0000 0.000857 0.000910 0.003274  0.002420 -0.021770  0.089124
