site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NAS1 00MAY21 2000.3860 51685 1063 0   -3.6   3390  0.385017   5696673  0.855629   112  0.436164  0.0000 0.000565 0.000761 0.002305  0.013791 -0.086225 -0.117102
NAS1 00MAY22 2000.3888 51686 1063 1   -3.6   3390  0.385180   5696673  0.859070   112  0.433213  0.0000 0.000578 0.000772 0.002385  0.029644 -0.089125 -0.114422
NAS1 00MAY23 2000.3915 51687 1063 2   -3.6   3390  0.385978   5696673  0.858978   112  0.439384  0.0000 0.000589 0.000806 0.002451  0.015806 -0.099323 -0.100371
NAS1 00MAY24 2000.3943 51688 1063 3   -3.6   3390  0.383881   5696673  0.857112   112  0.437423  0.0000 0.000577 0.000789 0.002398  0.030935 -0.071294 -0.097702
NAS1 00MAY25 2000.3970 51689 1063 4   -3.6   3390  0.387375   5696673  0.862593   112  0.426122  0.0000 0.000585 0.000803 0.002388 -0.025331 -0.077683 -0.115322
NAS1 00MAY26 2000.3997 51690 1063 5   -3.6   3390  0.384842   5696673  0.856935   112  0.433019  0.0000 0.000567 0.000767 0.002363  0.041041 -0.079811 -0.167458
NAS1 00MAY27 2000.4025 51691 1063 6   -3.6   3390  0.386494   5696673  0.857690   112  0.434690  0.0000 0.000585 0.000789 0.002404  0.034843 -0.049200 -0.137789
NAS1 00MAY28 2000.4052 51692 1064 0   -3.6   3390  0.388301   5696673  0.858698   112  0.420409  0.0000 0.000561 0.000781 0.002360  0.036139 -0.060082 -0.143951
NAS1 00MAY29 2000.4079 51693 1064 1   -3.6   3390  0.383316   5696673  0.858980   112  0.436537  0.0000 0.000562 0.000770 0.002305  0.045564 -0.061928 -0.120187
NAS1 00MAY30 2000.4107 51694 1064 2   -3.6   3390  0.383260   5696673  0.858077   112  0.438957  0.0000 0.000576 0.000777 0.002396  0.022116 -0.053879 -0.153279
NAS1 00MAY31 2000.4134 51695 1064 3   -3.6   3390  0.380697   5696673  0.859882   112  0.439537  0.0000 0.000565 0.000777 0.002358  0.040824 -0.099731 -0.140003
NAS1 00JUN01 2000.4162 51696 1064 4   -3.6   3390  0.386499   5696673  0.859077   112  0.439715  0.0000 0.000562 0.000763 0.002285  0.044420 -0.055272 -0.104589
NAS1 00JUN02 2000.4189 51697 1064 5   -3.6   3390  0.383841   5696673  0.857409   112  0.442916  0.0000 0.000555 0.000760 0.002305  0.031475 -0.116859 -0.140562
NAS1 00JUN03 2000.4216 51698 1064 6   -3.6   3390  0.384088   5696673  0.859375   112  0.434161  0.0000 0.000557 0.000746 0.002254  0.025521 -0.088793 -0.130315
NAS1 00JUN04 2000.4244 51699 1065 0   -3.6   3390  0.383765   5696673  0.859871   112  0.432774  0.0000 0.000553 0.000753 0.002242 -0.003782 -0.074025 -0.116659
NAS1 00JUN05 2000.4271 51700 1065 1   -3.6   3390  0.386690   5696673  0.860265   112  0.438808  0.0000 0.000554 0.000742 0.002247  0.025887 -0.103776 -0.150212
NAS1 00JUN06 2000.4298 51701 1065 2   -3.6   3390  0.386477   5696673  0.860326   112  0.432299  0.0000 0.000555 0.000753 0.002289  0.014990 -0.066662 -0.174425
NAS1 00JUN07 2000.4326 51702 1065 3   -3.6   3390  0.384523   5696673  0.860670   112  0.442634  0.0000 0.000553 0.000755 0.002271  0.009620 -0.052013 -0.147525
NAS1 00JUN08 2000.4353 51703 1065 4   -3.6   3390  0.383036   5696673  0.857311   112  0.439960  0.0000 0.000552 0.000743 0.002209  0.012764 -0.072972 -0.116796
NAS1 00JUN09 2000.4381 51704 1065 5   -3.6   3390  0.384118   5696673  0.858220   112  0.435131  0.0000 0.000555 0.000758 0.002244  0.014088 -0.090631 -0.111748
NAS1 00JUN10 2000.4408 51705 1065 6   -3.6   3390  0.385689   5696673  0.860111   112  0.439250  0.0000 0.000560 0.000752 0.002300  0.027158 -0.109817 -0.158268
NAS1 00JUN11 2000.4435 51706 1066 0   -3.6   3390  0.387818   5696673  0.861183   112  0.440768  0.0000 0.000554 0.000753 0.002246  0.026506 -0.066608 -0.153164
NAS1 00JUN12 2000.4463 51707 1066 1   -3.6   3390  0.387868   5696673  0.858616   112  0.445669  0.0000 0.000547 0.000757 0.002254  0.031903 -0.084364 -0.143299
NAS1 00JUN13 2000.4490 51708 1066 2   -3.6   3390  0.388564   5696673  0.858469   112  0.430730  0.0000 0.000556 0.000762 0.002282 -0.006579 -0.086007 -0.137924
NAS1 00JUN14 2000.4517 51709 1066 3   -3.6   3390  0.390754   5696673  0.861635   112  0.434534  0.0000 0.000555 0.000746 0.002244 -0.017543 -0.079649 -0.141365
NAS1 00JUN15 2000.4545 51710 1066 4   -3.6   3390  0.386739   5696673  0.858790   112  0.427822  0.0000 0.000576 0.000803 0.002397 -0.035626 -0.094917 -0.106556
NAS1 00JUN16 2000.4572 51711 1066 5   -3.6   3390  0.382691   5696673  0.860037   112  0.437095  0.0000 0.000551 0.000756 0.002242  0.020674 -0.032354 -0.129506
NAS1 00JUN17 2000.4600 51712 1066 6   -3.6   3390  0.381495   5696673  0.860671   112  0.441989  0.0000 0.000544 0.000745 0.002226  0.022137 -0.069677 -0.128294
NAS1 00JUN18 2000.4627 51713 1067 0   -3.6   3390  0.382678   5696673  0.859656   112  0.438424  0.0000 0.000555 0.000766 0.002277 -0.003334 -0.075578 -0.131285
NAS1 00JUN19 2000.4654 51714 1067 1   -3.6   3390  0.384644   5696673  0.858563   112  0.441555  0.0000 0.000576 0.000788 0.002342  0.027237 -0.112772 -0.153826
NAS1 00JUN20 2000.4682 51715 1067 2   -3.6   3390  0.382412   5696673  0.860089   112  0.438061  0.0000 0.000551 0.000768 0.002311  0.015238 -0.074810 -0.164510
NAS1 00JUN21 2000.4709 51716 1067 3   -3.6   3390  0.388256   5696673  0.860489   112  0.442070  0.0000 0.000581 0.000761 0.002401  0.000148 -0.079466 -0.098389
NAS1 00JUN22 2000.4736 51717 1067 4   -3.6   3390  0.391140   5696673  0.862704   112  0.430024  0.0000 0.000596 0.000766 0.002473  0.030840 -0.099807 -0.130142
NAS1 00JUN23 2000.4764 51718 1067 5   -3.6   3390  0.387412   5696673  0.859022   112  0.435357  0.0000 0.000569 0.000761 0.002336  0.045105 -0.106956 -0.114174
NAS1 00JUN24 2000.4791 51719 1067 6   -3.6   3390  0.387757   5696673  0.857103   112  0.432412  0.0000 0.000555 0.000758 0.002286 -0.008977 -0.104670 -0.121562
NAS1 00JUN25 2000.4819 51720 1068 0   -3.6   3390  0.387000   5696673  0.858454   112  0.432363  0.0000 0.000556 0.000757 0.002290  0.016234 -0.065021 -0.165159
NAS1 00JUN26 2000.4846 51721 1068 1   -3.6   3390  0.383059   5696673  0.859978   112  0.439640  0.0000 0.000576 0.000757 0.002355  0.053247 -0.096494 -0.137646
