site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NAU1 03JAN01 2003.0007 52640 1199 3  167.1   1137  0.520313  -8608464 -0.412034  3572  0.003070  0.0000 0.000789 0.000927 0.004761  0.047213 -0.046954 -0.376661
NAU1 03JAN02 2003.0034 52641 1199 4  167.1   1137  0.522571  -8608464 -0.415542  3572  0.012390  0.0000 0.000655 0.000784 0.003958 -0.150669 -0.080702 -0.200011
NAU1 03JAN03 2003.0062 52642 1199 5  167.1   1137  0.519304  -8608464 -0.418590  3572  0.029775  0.0000 0.001084 0.001051 0.005003 -0.224714 -0.154386 -0.315601
NAU1 03JAN04 2003.0089 52643 1199 6  167.1   1137  0.524209  -8608464 -0.415141  3572  0.016333  0.0000 0.000727 0.000841 0.003956 -0.008810 -0.129805 -0.400079
NAU1 03JAN05 2003.0116 52644 1200 0  167.1   1137  0.524092  -8608464 -0.414931  3572  0.011299  0.0000 0.000868 0.001125 0.004898 -0.060086 -0.104245 -0.305288
NAU1 03JAN06 2003.0144 52645 1200 1  167.1   1137  0.524635  -8608464 -0.414914  3572 -0.000454  0.0000 0.000634 0.000804 0.003813 -0.114174 -0.054011 -0.294144
NAU1 03JAN07 2003.0171 52646 1200 2  167.1   1137  0.524772  -8608464 -0.414839  3572  0.003944  0.0000 0.000978 0.001023 0.004929 -0.034251 -0.036657 -0.290641
NAU1 03JAN08 2003.0198 52647 1200 3  167.1   1137  0.520947  -8608464 -0.415703  3572  0.006813  0.0000 0.000563 0.000691 0.003351 -0.090366 -0.056048 -0.409604
NAU1 03JAN09 2003.0226 52648 1200 4  167.1   1137  0.523488  -8608464 -0.414284  3572  0.019235  0.0000 0.000767 0.000825 0.004030 -0.118330 -0.064950 -0.255124
NAU1 03JAN10 2003.0253 52649 1200 5  167.1   1137  0.521263  -8608464 -0.415494  3572  0.008078  0.0000 0.000968 0.001109 0.004877 -0.171873 -0.115670 -0.238886
NAU1 03JAN11 2003.0281 52650 1200 6  167.1   1137  0.524019  -8608464 -0.415622  3572  0.005073  0.0000 0.000800 0.000904 0.004400 -0.097271 -0.120860 -0.180994
NAU1 03JAN12 2003.0308 52651 1201 0  167.1   1137  0.524420  -8608464 -0.414081  3572  0.009088  0.0000 0.000719 0.000871 0.004170 -0.042026 -0.122716 -0.227091
NAU1 03JAN13 2003.0335 52652 1201 1  167.1   1137  0.522201  -8608464 -0.415802  3572  0.001033  0.0000 0.000795 0.000989 0.004525 -0.096026 -0.071119 -0.173217
NAU1 03JAN14 2003.0363 52653 1201 2  167.1   1137  0.522102  -8608464 -0.417886  3572  0.015280  0.0000 0.000719 0.000894 0.004322 -0.039084 -0.105770 -0.321340
NAU1 03JAN15 2003.0390 52654 1201 3  167.1   1137  0.525820  -8608464 -0.416471  3572  0.009015  0.0000 0.000815 0.001053 0.004641 -0.168056 -0.077811 -0.283713
NAU1 03JAN16 2003.0418 52655 1201 4  167.1   1137  0.526023  -8608464 -0.415453  3572  0.005161  0.0000 0.000828 0.000929 0.004282  0.076089 -0.100409 -0.232324
NAU1 03JAN17 2003.0445 52656 1201 5  167.1   1137  0.525110  -8608464 -0.411314  3572 -0.000819  0.0000 0.000715 0.000883 0.004099 -0.207365 -0.098304 -0.189701
NAU1 03JAN18 2003.0472 52657 1201 6  167.1   1137  0.521988  -8608464 -0.417837  3572  0.009491  0.0000 0.000760 0.000909 0.004302 -0.036103 -0.051520 -0.393608
NAU1 03JAN19 2003.0500 52658 1202 0  167.1   1137  0.522574  -8608464 -0.416094  3572  0.016413  0.0000 0.000771 0.000826 0.004359 -0.055503 -0.107531 -0.362742
NAU1 03JAN23 2003.0609 52662 1202 4  167.1   1137  0.513338  -8608464 -0.413480  3572  0.067926  0.0000 0.000945 0.000990 0.004983 -0.124634 -0.020701 -0.390903
NAU1 03JAN24 2003.0637 52663 1202 5  167.1   1137  0.517695  -8608464 -0.412185  3572  0.067062  0.0000 0.000818 0.000917 0.004352 -0.092778 -0.079025 -0.230867
NAU1 03JAN27 2003.0719 52666 1203 1  167.1   1137  0.517604  -8608464 -0.417146  3572  0.052423  0.0000 0.001323 0.001437 0.006588 -0.175146  0.044648 -0.368616
NAU1 03JAN29 2003.0773 52668 1203 3  167.1   1137  0.522942  -8608464 -0.420460  3572  0.030324  0.0000 0.000670 0.000753 0.003542 -0.126654 -0.109911 -0.296357
NAU1 03JAN30 2003.0801 52669 1203 4  167.1   1137  0.525039  -8608464 -0.415280  3572  0.016849  0.0000 0.001184 0.001415 0.005218 -0.279647 -0.018053 -0.127983
NAU1 03JAN31 2003.0828 52670 1203 5  167.1   1137  0.517866  -8608464 -0.417717  3572  0.023965  0.0000 0.001310 0.001425 0.006622 -0.061132  0.040955 -0.287606
NAU1 03FEB01 2003.0856 52671 1203 6  167.1   1137  0.516976  -8608464 -0.417018  3572  0.022391  0.0000 0.000882 0.001053 0.004634 -0.203423 -0.166175 -0.144830
NAU1 03FEB02 2003.0883 52672 1204 0  167.1   1137  0.522034  -8608464 -0.413864  3572  0.016520  0.0000 0.000949 0.000980 0.004538 -0.323003 -0.098751 -0.224941
NAU1 03FEB03 2003.0910 52673 1204 1  167.1   1137  0.521424  -8608464 -0.414370  3572  0.007689  0.0000 0.000754 0.000815 0.004159 -0.041523 -0.160404 -0.364656
NAU1 03FEB04 2003.0938 52674 1204 2  167.1   1137  0.521377  -8608464 -0.415342  3572 -0.001205  0.0000 0.001115 0.001650 0.006973  0.023295  0.144737 -0.172583
NAU1 03FEB05 2003.0965 52675 1204 3  167.1   1137  0.523425  -8608464 -0.413717  3572  0.007905  0.0000 0.000864 0.000942 0.004542 -0.214906 -0.150946 -0.242736
NAU1 03FEB06 2003.0992 52676 1204 4  167.1   1137  0.522093  -8608464 -0.412641  3572  0.004221  0.0000 0.000873 0.001119 0.004860 -0.015581 -0.091403 -0.349604
NAU1 03FEB07 2003.1020 52677 1204 5  167.1   1137  0.521229  -8608464 -0.416634  3572  0.010408  0.0000 0.002032 0.001728 0.006016 -0.470493 -0.026623 -0.180539
NAU1 03FEB08 2003.1047 52678 1204 6  167.1   1137  0.524640  -8608464 -0.416312  3572  0.018541  0.0000 0.000895 0.000905 0.004644 -0.104057 -0.010367 -0.273373
NAU1 03FEB09 2003.1075 52679 1205 0  167.1   1137  0.524569  -8608464 -0.420091  3572  0.023182  0.0000 0.001045 0.001198 0.005248 -0.154431 -0.088971 -0.190038
NAU1 03FEB10 2003.1102 52680 1205 1  167.1   1137  0.520383  -8608464 -0.418972  3572  0.008295  0.0000 0.001025 0.001193 0.005492 -0.160545  0.046152 -0.188232
NAU1 03FEB11 2003.1129 52681 1205 2  167.1   1137  0.522936  -8608464 -0.415402  3572  0.027200  0.0000 0.000842 0.001081 0.005217 -0.198550 -0.074040 -0.157943
NAU1 03FEB12 2003.1157 52682 1205 3  167.1   1137  0.524405  -8608464 -0.418228  3572  0.016055  0.0000 0.000717 0.000774 0.003836 -0.113483 -0.156346 -0.244618
NAU1 03FEB13 2003.1184 52683 1205 4  167.1   1137  0.525385  -8608464 -0.419287  3572  0.009921  0.0000 0.000753 0.000813 0.004323 -0.043283  0.095418 -0.399488
NAU1 03FEB14 2003.1211 52684 1205 5  167.1   1137  0.523067  -8608464 -0.419446  3572  0.014129  0.0000 0.000800 0.000954 0.004087 -0.076234 -0.057694 -0.249285
NAU1 03FEB15 2003.1239 52685 1205 6  167.1   1137  0.526469  -8608464 -0.417589  3572  0.010249  0.0000 0.000752 0.000851 0.004093  0.075928 -0.128533 -0.290259
NAU1 03FEB16 2003.1266 52686 1206 0  167.1   1137  0.521124  -8608464 -0.415593  3572  0.020825  0.0000 0.000832 0.000873 0.004297 -0.017688  0.013218 -0.365684
NAU1 03FEB17 2003.1294 52687 1206 1  167.1   1137  0.523056  -8608464 -0.415465  3572  0.013454  0.0000 0.001167 0.001278 0.005578  0.008716 -0.014206 -0.338712
NAU1 03FEB18 2003.1321 52688 1206 2  167.1   1137  0.521163  -8608464 -0.417631  3572  0.015969  0.0000 0.000784 0.000893 0.004408 -0.170700 -0.062173 -0.400422
NAU1 03FEB19 2003.1348 52689 1206 3  167.1   1137  0.523896  -8608464 -0.415756  3572  0.010694  0.0000 0.000823 0.000931 0.004333 -0.021629 -0.123789 -0.272191
NAU1 03FEB20 2003.1376 52690 1206 4  167.1   1137  0.522293  -8608464 -0.414381  3572  0.013437  0.0000 0.000932 0.000938 0.004967 -0.079533 -0.024694 -0.324524
NAU1 03FEB21 2003.1403 52691 1206 5  167.1   1137  0.526231  -8608464 -0.409077  3572 -0.001115  0.0000 0.000826 0.001011 0.004521  0.160594 -0.060957 -0.321311
NAU1 03FEB22 2003.1431 52692 1206 6  167.1   1137  0.525517  -8608464 -0.413181  3572 -0.000014  0.0000 0.000984 0.001361 0.005313 -0.304406 -0.121968 -0.118168
NAU1 03FEB23 2003.1458 52693 1207 0  167.1   1137  0.523643  -8608464 -0.416206  3572  0.024761  0.0000 0.000837 0.000952 0.004627  0.031652 -0.052739 -0.220022
NAU1 03FEB24 2003.1485 52694 1207 1  167.1   1137  0.525880  -8608464 -0.414613  3572  0.020323  0.0000 0.000664 0.000759 0.003966 -0.045756 -0.088759 -0.312455
NAU1 03FEB25 2003.1513 52695 1207 2  167.1   1137  0.524918  -8608464 -0.417452  3572  0.013672  0.0000 0.000600 0.000715 0.003448  0.003879 -0.034908 -0.225885
NAU1 03FEB26 2003.1540 52696 1207 3  167.1   1137  0.522486  -8608464 -0.415230  3572  0.017703  0.0000 0.000894 0.000973 0.004978 -0.017758 -0.176034 -0.307186
NAU1 03FEB27 2003.1567 52697 1207 4  167.1   1137  0.523602  -8608464 -0.419765  3572  0.018950  0.0000 0.001182 0.001309 0.005742 -0.101752 -0.023835 -0.247559
NAU1 03FEB28 2003.1595 52698 1207 5  167.1   1137  0.522977  -8608464 -0.420616  3572  0.025955  0.0000 0.000789 0.000839 0.004208 -0.009253 -0.122057 -0.247881
NAU1 03MAR01 2003.1622 52699 1207 6  167.1   1137  0.525350  -8608464 -0.416592  3572  0.014134  0.0000 0.000788 0.000845 0.004101 -0.063993 -0.045996 -0.300821
