site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NRSW 11JAN18 2011.0472 55579 1619 2  176.2      3  0.203985  -4442111 -0.975367   364  0.078704  0.0020 0.000475 0.000589 0.001824  0.007753  0.032791  0.083728
NRSW 11JAN19 2011.0500 55580 1619 3  176.2      3  0.200826  -4442111 -0.973410   364  0.076806  0.0020 0.000470 0.000587 0.001791  0.008639  0.013338  0.098504
NRSW 11JAN20 2011.0527 55581 1619 4  176.2      3  0.202009  -4442111 -0.978839   364  0.086021  0.0020 0.000468 0.000569 0.001765 -0.000965  0.005749  0.086354
NRSW 11JAN21 2011.0554 55582 1619 5  176.2      3  0.203824  -4442111 -0.976208   364  0.088558  0.0020 0.000465 0.000563 0.001745  0.006773  0.001174  0.091166
NRSW 11JAN22 2011.0582 55583 1619 6  176.2      3  0.200140  -4442111 -0.974684   364  0.089113  0.0020 0.000467 0.000566 0.001760  0.013326  0.008495  0.094000
NRSW 11JAN23 2011.0609 55584 1620 0  176.2      3  0.198881  -4442111 -0.975279   364  0.088887  0.0020 0.000469 0.000568 0.001776  0.026634  0.040381  0.115679
NRSW 11JAN24 2011.0637 55585 1620 1  176.2      3  0.201124  -4442111 -0.973926   364  0.081856  0.0020 0.000461 0.000569 0.001728  0.013531  0.017747  0.081855
NRSW 11JAN25 2011.0664 55586 1620 2  176.2      3  0.197447  -4442111 -0.977634   364  0.086981  0.0020 0.000465 0.000567 0.001754  0.009846  0.018643  0.092112
NRSW 11JAN26 2011.0691 55587 1620 3  176.2      3  0.203788  -4442111 -0.977461   364  0.112404  0.0020 0.000480 0.000586 0.001804  0.001125  0.022675  0.107025
NRSW 11JAN27 2011.0719 55588 1620 4  176.2      3  0.199542  -4442111 -0.978087   364  0.090908  0.0020 0.000467 0.000567 0.001764  0.010577 -0.000659  0.102419
NRSW 11JAN28 2011.0746 55589 1620 5  176.2      3  0.199690  -4442111 -0.981151   364  0.086354  0.0020 0.000481 0.000574 0.001826  0.032691  0.050578  0.109851
