site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
NYHB 06APR22 2006.3053 53847 1371 6  -78.8  -3806 -0.525056   4731327  0.557307   211  0.353651  0.0000 0.000516 0.000647 0.001946 -0.013522  0.009206 -0.117212
NYHB 06APR24 2006.3107 53849 1372 1  -78.8  -3806 -0.525533   4731327  0.556601   211  0.346479  0.0000 0.000528 0.000641 0.001991  0.002616  0.021360 -0.169775
NYHB 06APR25 2006.3135 53850 1372 2  -78.8  -3806 -0.526940   4731327  0.556896   211  0.344118  0.0000 0.000531 0.000658 0.002020  0.001882 -0.002664 -0.125937
NYHB 06APR26 2006.3162 53851 1372 3  -78.8  -3806 -0.525939   4731327  0.557403   211  0.347011  0.0000 0.000520 0.000644 0.001972 -0.013571  0.036384 -0.105318
NYHB 06APR27 2006.3190 53852 1372 4  -78.8  -3806 -0.525866   4731327  0.558898   211  0.341605  0.0000 0.000533 0.000659 0.002036 -0.014904  0.021959 -0.118009
NYHB 06APR28 2006.3217 53853 1372 5  -78.8  -3806 -0.525066   4731327  0.558630   211  0.340005  0.0000 0.000542 0.000665 0.002044 -0.028037  0.064437 -0.149155
NYHB 06APR29 2006.3244 53854 1372 6  -78.8  -3806 -0.525094   4731327  0.557003   211  0.343997  0.0000 0.000522 0.000648 0.001972 -0.023079  0.038003 -0.113824
NYHB 06MAY02 2006.3326 53857 1373 2  -78.8  -3806 -0.524097   4731327  0.556903   211  0.347195  0.0000 0.000525 0.000645 0.001998 -0.027587  0.096178 -0.149128
NYHB 06MAY03 2006.3354 53858 1373 3  -78.8  -3806 -0.525969   4731327  0.557289   211  0.342843  0.0000 0.000532 0.000662 0.002041 -0.013028  0.043708 -0.132474
NYHB 06MAY04 2006.3381 53859 1373 4  -78.8  -3806 -0.526017   4731327  0.557769   211  0.348731  0.0000 0.000518 0.000647 0.001969 -0.022990  0.025892 -0.126213
